published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2015-01-29,185.00,203.00,183.00,184.00,0.00,200565.00,37843212.00,0,1
2015-01-28,177.00,191.00,178.00,185.00,0.00,85056.00,15684801.00,0,2
2015-01-27,174.00,179.00,172.00,177.00,0.00,41941.00,7395340.00,0,3
2015-01-26,164.00,178.00,167.00,174.00,0.00,52158.00,8985523.00,0,4
2015-01-25,166.00,166.00,163.00,164.00,0.00,20667.00,3389232.00,0,5
2015-01-22,169.00,169.00,161.00,166.00,0.00,35712.00,5878789.00,0,6
2015-01-20,171.00,174.00,164.00,169.00,0.00,31360.00,5274032.00,0,7
2015-01-19,164.00,180.00,155.00,171.00,0.00,318162.00,51153608.00,0,8
2015-01-18,169.00,171.00,162.00,164.00,0.00,16518.00,2718620.00,0,9
2015-01-14,168.00,169.00,168.00,169.00,0.00,1487.00,250466.00,0,10
2015-01-13,173.00,170.00,163.00,168.00,0.00,3096.00,513162.00,0,11
2015-01-12,164.00,173.00,162.00,173.00,0.00,4411.00,734611.00,0,12
2015-01-11,164.00,167.00,160.00,164.00,0.00,99867.00,16026612.00,0,13
2015-01-08,165.00,167.00,162.00,164.00,0.00,14969.00,2451237.00,0,14
2015-01-07,166.00,166.00,163.00,165.00,0.00,12620.00,2070470.00,0,15
2015-01-06,167.00,170.00,162.00,166.00,0.00,17168.00,2837922.00,0,16
2015-01-05,171.00,173.00,167.00,167.00,0.00,8142.00,1385680.00,0,17
2015-01-04,168.00,172.00,168.00,171.00,0.00,7076.00,1200494.00,0,18
2015-01-01,170.00,173.00,168.00,168.00,0.00,4479.00,763394.00,0,19
2014-12-31,174.00,171.00,169.00,170.00,0.00,5999.00,1019246.00,0,20
2014-12-29,173.00,177.00,171.00,174.00,0.00,7893.00,1364021.00,0,21
2014-12-28,170.00,177.00,170.00,173.00,0.00,14306.00,2501763.00,0,22
2014-12-24,170.00,172.00,167.00,170.00,0.00,7765.00,1316481.00,0,23
2014-12-23,170.00,170.00,167.00,170.00,0.00,1827.00,308184.00,0,24
2014-12-22,168.00,170.00,167.00,170.00,0.00,3026.00,510405.00,0,25
2014-12-21,175.00,177.00,168.00,168.00,0.00,4284.00,740134.00,0,26
2014-12-18,175.00,175.00,170.00,175.00,0.00,3032.00,526302.00,0,27
2014-12-17,180.00,180.00,172.00,175.00,0.00,6801.00,1189204.00,0,28
2014-12-16,175.00,180.00,170.00,180.00,0.00,3220.00,569586.00,0,29
2014-12-15,177.00,180.00,171.00,175.00,0.00,10882.00,1906434.00,0,30
2014-12-14,163.00,177.00,165.00,177.00,0.00,12915.00,2208997.00,0,31
2014-12-11,163.00,165.00,159.00,163.00,0.00,11982.00,1930683.00,0,32
2014-12-10,164.00,167.00,161.00,163.00,0.00,7509.00,1234350.00,0,33
2014-12-09,166.00,166.00,164.00,164.00,0.00,4124.00,682085.00,0,34
2014-12-08,167.00,170.00,164.00,166.00,0.00,9279.00,1540582.00,0,35
2014-12-07,165.00,173.00,165.00,167.00,0.00,10244.00,1709336.00,0,36
2014-12-04,161.00,167.00,164.00,165.00,0.00,4952.00,816628.00,0,37
2014-12-03,161.00,170.00,161.00,161.00,0.00,9781.00,1611013.00,0,38
2014-12-02,160.00,165.00,154.00,161.00,0.00,8685.00,1387329.00,0,39
2014-12-01,162.00,164.00,157.00,160.00,0.00,15841.00,2527048.00,0,40
2014-11-30,163.00,165.00,160.00,162.00,0.00,8610.00,1383770.00,0,41
2014-11-25,166.00,164.00,161.00,163.00,0.00,6442.00,1047155.00,0,42
2014-11-24,166.00,169.00,163.00,166.00,0.00,16286.00,2692997.00,0,43
2014-11-23,162.00,171.00,162.00,166.00,0.00,9562.00,1580353.00,0,44
2014-11-20,173.00,174.00,162.00,162.00,0.00,10344.00,1726881.00,0,45
2014-11-19,160.00,173.00,155.00,173.00,0.00,13440.00,2188237.00,0,46
2014-11-18,162.00,167.00,150.00,160.00,0.00,12374.00,1959978.00,0,47
2014-11-17,180.00,177.00,162.00,162.00,0.00,13195.00,2161063.00,0,48
2014-11-16,199.00,196.00,180.00,180.00,0.00,14080.00,2540346.00,0,49
2014-11-13,200.00,203.00,193.00,199.00,0.00,47753.00,9361082.00,0,50
2014-11-12,201.00,204.00,200.00,200.00,0.00,3200.00,640227.00,0,51
2014-11-11,203.00,203.00,197.00,201.00,0.00,5584.00,1111823.00,0,52
2014-11-10,205.00,208.00,200.00,203.00,0.00,14094.00,2846837.00,0,53
2014-11-09,213.00,210.00,204.00,205.00,0.00,5570.00,1145712.00,0,54
2014-11-06,209.00,213.00,209.00,213.00,0.00,4575.00,958665.00,0,55
2014-11-05,209.00,212.00,207.00,209.00,0.00,15393.00,3230820.00,0,56
2014-11-04,215.00,213.00,207.00,209.00,0.00,18417.00,3843554.00,0,57
2014-11-03,213.00,215.00,209.00,215.00,0.00,2111.00,449552.00,0,58
2014-11-02,216.00,218.00,213.00,213.00,0.00,7074.00,1518697.00,0,59
2014-10-30,215.00,219.00,207.00,216.00,0.00,12538.00,2702638.00,0,60
2014-10-28,216.00,217.00,213.00,215.00,0.00,21967.00,4727028.00,0,61
2014-10-27,220.00,220.00,215.00,216.00,0.00,67135.00,14477084.00,0,62
2014-10-26,219.00,220.00,219.00,220.00,0.00,672.00,147668.00,0,63
2014-10-22,220.00,222.00,218.00,219.00,0.00,39127.00,8582814.00,0,64
2014-10-21,222.00,222.00,216.00,220.00,0.00,30028.00,6589347.00,0,65
2014-10-20,223.00,224.00,217.00,222.00,0.00,44639.00,9774433.00,0,66
2014-10-16,221.00,224.00,221.00,223.00,0.00,29674.00,6604951.00,0,67
2014-10-15,218.00,223.00,215.00,221.00,0.00,108799.00,23638558.00,0,68
2014-10-14,219.00,220.00,216.00,218.00,0.00,27899.00,6095152.00,0,69
2014-10-13,218.00,221.00,215.00,219.00,0.00,22591.00,4934747.00,0,70
2014-10-12,214.00,218.00,214.00,218.00,0.00,8240.00,1775980.00,0,71
2014-10-09,214.00,214.00,210.00,214.00,0.00,476.00,100468.00,0,72
2014-10-08,215.00,217.00,208.00,214.00,0.00,33000.00,6952140.00,0,73
2014-09-30,207.00,225.00,205.00,215.00,0.00,88345.00,18739716.00,0,74
2014-09-29,207.00,210.00,205.00,207.00,0.00,149159.00,30699572.00,0,75
2014-09-28,206.00,210.00,205.00,207.00,0.00,28205.00,5826775.00,0,76
2014-09-24,206.00,210.00,205.00,206.00,0.00,21353.00,4396756.00,0,77
2014-09-23,207.00,214.00,205.00,206.00,0.00,41150.00,8495506.00,0,78
2014-09-22,204.00,207.00,202.00,207.00,0.00,19502.00,3968010.00,0,79
2014-09-21,210.00,207.00,200.00,204.00,0.00,14227.00,2873200.00,0,80
2014-09-18,213.00,212.00,200.00,210.00,0.00,88153.00,17989486.00,0,81
2014-09-17,225.00,221.00,207.00,213.00,0.00,43198.00,9070598.00,0,82
2014-09-16,220.00,225.00,214.00,225.00,0.00,17860.00,3901285.00,0,83
2014-09-15,220.00,224.00,217.00,220.00,0.00,3325.00,733471.00,0,84
2014-09-14,225.00,225.00,217.00,220.00,0.00,5387.00,1188092.00,0,85
2014-09-11,232.00,232.00,221.00,225.00,0.00,12788.00,2901919.00,0,86
2014-09-10,239.00,235.00,222.00,232.00,0.00,14161.00,3227302.00,0,87
2014-09-09,218.00,239.00,218.00,239.00,0.00,11040.00,2452021.00,0,88
2014-09-07,239.00,236.00,218.00,218.00,0.00,5708.00,1281225.00,0,89
2014-09-04,244.00,245.00,236.00,239.00,0.00,11994.00,2861320.00,0,90
2014-09-03,243.00,248.00,240.00,244.00,0.00,4516.00,1100259.00,0,91
2014-09-01,241.00,243.00,234.00,243.00,0.00,4721.00,1127305.00,0,92
2014-08-31,248.00,252.00,237.00,241.00,0.00,12309.00,3036951.00,0,93
2014-08-28,243.00,258.00,247.00,248.00,0.00,19109.00,4808518.00,0,94
2014-08-27,235.00,247.00,239.00,243.00,0.00,11740.00,2873498.00,0,95
2014-08-26,238.00,250.00,232.00,235.00,0.00,6932.00,1689150.00,0,96
2014-08-25,242.00,245.00,236.00,238.00,0.00,11885.00,2836801.00,0,97
2014-08-24,241.00,249.00,232.00,242.00,0.00,28786.00,6927778.00,0,98
2014-08-21,240.00,246.00,230.00,241.00,0.00,16549.00,3947851.00,0,99
