published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2014-06-11,120.00,120.00,120.00,120.00,0.00,162705.00,19524600.00,0,1
2014-06-05,112.00,120.00,114.00,120.00,0.00,150546.00,18065280.00,0,2
2014-03-17,108.00,112.00,112.00,112.00,0.00,224658.00,25161696.00,0,3
2014-03-12,120.00,118.00,108.00,108.00,0.00,18059.00,1950972.00,0,4
2014-02-26,112.00,120.00,114.00,120.00,0.00,93857.00,11262606.00,0,5
2014-02-20,111.00,112.00,112.00,112.00,0.00,199800.00,22377600.00,0,6
2014-02-18,105.00,111.00,107.00,111.00,0.00,100.00,10920.00,0,7
2014-02-17,101.00,105.00,103.00,105.00,0.00,100.00,10400.00,0,8
2013-08-20,101.00,101.00,101.00,101.00,0.00,90000.00,9090000.00,0,9
2013-07-22,101.00,101.00,101.00,101.00,0.00,119055.00,12024555.00,0,10
2013-07-21,109.00,107.00,101.00,101.00,0.00,60320.00,6095152.00,0,11
2013-04-11,111.00,109.00,109.00,109.00,0.00,100595.00,10964855.00,0,12
2013-04-09,123.00,121.00,111.00,111.00,0.00,60.00,6960.00,0,13
2013-04-08,131.00,129.00,123.00,123.00,0.00,40.00,5040.00,0,14
2013-04-04,133.00,131.00,131.00,131.00,0.00,10.00,1310.00,0,15
2013-04-03,139.00,137.00,133.00,133.00,0.00,30.00,4050.00,0,16
2013-04-01,147.00,145.00,139.00,139.00,0.00,40.00,5680.00,0,17
2013-03-31,158.00,155.00,147.00,147.00,0.00,40.00,6030.00,0,18
2013-03-27,175.00,172.00,158.00,158.00,0.00,60.00,9880.00,0,19
2013-03-25,184.00,181.00,175.00,175.00,0.00,30.00,5340.00,0,20
2013-03-24,203.00,199.00,184.00,184.00,0.00,60.00,11490.00,0,21
2013-03-21,0.00,221.00,203.00,203.00,0.00,60.00,12680.00,0,22
