published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-07-08,277.00,277.00,277.00,277.00,0.00,10340.00,2864180.00,0,1
2024-01-08,178.00,178.00,178.00,178.00,0.00,5190.00,923820.00,0,2
2023-01-12,153.00,153.00,153.00,153.00,0.00,5000.00,765000.00,0,3
2022-09-02,135.00,135.00,135.00,135.00,0.00,1000.00,135000.00,0,4
2022-07-22,135.00,135.00,135.00,135.00,0.00,1000.00,135000.00,0,5
2022-06-08,135.00,135.00,135.00,135.00,0.00,5000.00,675000.00,0,6
2022-02-27,177.00,177.00,177.00,177.00,0.00,2500.00,442500.00,0,7
2022-01-06,177.00,177.00,177.00,177.00,0.00,7500.00,1327500.00,0,8
2021-09-12,187.00,187.00,187.00,187.00,0.00,7000.00,1309000.00,0,9
2021-07-06,187.00,187.00,187.00,187.00,0.00,3000.00,561000.00,0,10
2021-07-04,100.00,100.00,100.00,100.00,0.00,3000.00,300000.00,0,11
2021-03-29,100.00,100.00,100.00,100.00,0.00,12000.00,1200000.00,0,12
2021-03-25,100.00,100.00,100.00,100.00,0.00,50000.00,5000000.00,0,13
2021-03-24,100.00,100.00,100.00,100.00,0.00,10000.00,1000000.00,0,14
2021-03-23,100.00,100.00,100.00,100.00,0.00,56000.00,5600000.00,0,15
2020-09-27,100.00,100.00,100.00,100.00,0.00,3000.00,300000.00,0,16
2020-09-16,100.00,100.00,100.00,100.00,0.00,25000.00,2500000.00,0,17
2020-09-13,100.00,100.00,100.00,100.00,0.00,32000.00,3200000.00,0,18
2020-07-06,100.00,100.00,100.00,100.00,0.00,19000.00,1900000.00,0,19
2019-12-11,100.00,100.00,100.00,100.00,0.00,35000.00,3500000.00,0,20
2019-12-03,100.00,100.00,100.00,100.00,0.00,36710.00,3671000.00,0,21
2019-11-21,100.00,100.00,100.00,100.00,0.00,23750.00,2375000.00,0,22
