published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-09-25,513.00,518.50,500.00,507.90,-0.41,1258.00,636395.00,-1,1
2025-09-24,521.0,521.0,500.0,510.0,-0.39,4205.0,2112140.0,-1,1
2025-09-23,509.4,517.0,500.0,512.0,2.51,5474.0,2796751.2,1,1
2025-09-21,465.5,512.0,465.5,499.45,7.29,17352.0,8479503.2,1,1
2025-09-18,499.6,499.6,465.5,465.5,-8.68,2390.0,1146772.0,-1,1
2025-09-08,520.0,520.0,508.0,509.72,-0.38,3726.0,1900367.0,-1,1
2025-09-07,529.5,529.5,509.0,511.68,-1.44,9758.0,5039498.8,-1,1
2025-09-04,524.5,565.0,509.6,519.14,0.95,15617.0,8102507.9,1,1
2025-09-03,524.0,538.0,513.0,514.27,-1.73,11244.0,5831991.2,-1,1
2025-09-02,529.0,534.9,520.0,523.32,-0.69,7066.0,3707769.8,-1,1
2025-09-01,516.0,534.0,516.0,526.95,0.27,3914.0,2056564.2,1,1
2025-08-31,530.0,535.0,525.4,525.55,-1.09,7721.0,4074467.0,-1,1
2025-08-28,548.9,548.9,530.5,531.34,-1.3,8114.0,4333257.8,-1,1
2025-08-27,543.9,543.9,530.3,538.33,0.77,10275.0,5496408.8,1,1
2025-08-26,534.0,537.9,530.0,534.21,0.14,4267.0,2272911.9,1,1
2025-08-25,532.0,536.8,529.2,533.45,0.73,6416.0,3415796.9,1,1
2025-08-24,544.9,544.9,527.4,529.56,-0.93,12012.0,6372753.4,-1,1
2025-08-21,535.0,537.0,532.5,534.51,-0.41,9231.0,4930038.4,-1,1
2025-08-20,543.0,549.8,535.0,536.7,-0.62,6828.0,3677708.4,-1,1
2025-08-19,534.0,556.4,534.0,540.05,0.91,7091.0,3829300.9,1,1
2025-08-18,540.0,540.0,532.1,535.16,0.58,5964.0,3196122.7,1,1
2025-08-17,541.0,543.9,530.0,532.07,-2.08,17113.0,9161339.3,-1,1
2025-08-14,554.0,554.0,543.0,543.35,-0.09,5972.0,3252528.5,-1,1
2025-08-13,554.9,555.0,543.0,543.85,-0.54,9194.0,5042009.9,-1,1
2025-08-12,550.0,561.0,543.0,546.83,-1.2,10350.0,5675005.8,-1,1
2025-08-11,555.7,566.8,550.0,553.48,-1.83,10699.0,5952450.4,-1,1
2025-08-07,571.0,571.0,561.0,563.78,0.7,5854.0,3301083.8,1,1
2025-08-06,560.0,571.0,556.0,559.87,-0.11,11529.0,6490960.0,-1,1
