published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-09-16,474.00,474.00,474.00,474.00,0.00,30.00,14220.00,0,1
2024-09-09,474.00,474.00,474.00,474.00,0.00,5938.00,2814612.00,0,2
2024-06-19,355.00,355.00,355.00,355.00,0.00,55000.00,19525000.00,0,3
2024-03-27,432.00,432.00,432.00,432.00,0.00,1587.00,685584.00,0,4
2023-05-07,289.00,289.00,289.00,289.00,1.76,12563.00,3630707.00,1,5
2022-12-15,284.00,284.00,284.00,284.00,0.00,42632.00,12107488.00,0,6
2022-08-10,255.00,255.00,255.00,255.00,0.00,7000.00,1785000.00,0,7
2022-07-14,255.00,255.00,255.00,255.00,0.00,77931.00,19872405.00,0,8
2022-05-31,255.00,255.00,255.00,255.00,-1.16,3094.00,788970.00,-1,9
2022-04-25,258.00,258.00,258.00,258.00,0.00,39668.00,10234344.00,0,10
2021-08-04,649.00,649.00,649.00,649.00,0.00,600.00,389400.00,0,11
2021-07-20,649.00,649.00,649.00,649.00,0.00,26523.00,17213427.00,0,12
2021-05-09,259.00,259.00,259.00,259.00,0.00,9281.00,2403779.00,0,13
2021-01-21,176.00,176.00,176.00,176.00,0.00,6000.00,1056000.00,0,14
2019-06-27,100.00,100.00,100.00,100.00,0.00,181259.00,18125900.00,0,15
2018-10-29,100.00,100.00,100.00,100.00,0.00,257850.00,25785000.00,0,16
2018-10-25,100.00,100.00,100.00,100.00,0.00,5085.00,508500.00,0,17
2018-10-02,100.00,100.00,100.00,100.00,0.00,2750.00,275000.00,0,18
2018-09-27,100.00,100.00,100.00,100.00,0.00,34647.00,3464700.00,0,19
2018-09-17,100.00,100.00,100.00,100.00,0.00,8647.00,864700.00,0,20
2018-08-13,100.00,100.00,100.00,100.00,0.00,4563.00,456300.00,0,21
2018-08-07,100.00,100.00,100.00,100.00,0.00,17881.00,1788100.00,0,22
2018-06-10,100.00,100.00,100.00,100.00,0.00,29260.00,2926000.00,0,23
2018-05-24,100.00,100.00,100.00,100.00,0.00,77043.00,7704300.00,0,24
2018-04-24,100.00,100.00,100.00,100.00,0.00,2100.00,210000.00,0,25
2018-03-20,100.00,100.00,100.00,100.00,0.00,104999.00,10499900.00,0,26
2018-01-31,100.00,100.00,100.00,100.00,0.00,29675.00,2967500.00,0,27
2018-01-01,100.00,100.00,100.00,100.00,0.00,41317.00,4131700.00,0,28
2017-11-23,100.00,100.00,100.00,100.00,0.00,122893.00,12289300.00,0,29
2017-11-20,100.00,100.00,100.00,100.00,0.00,65016.00,6501600.00,0,30
2017-11-14,100.00,100.00,100.00,100.00,0.00,141593.00,14159300.00,0,31
2017-11-08,102.00,100.00,100.00,100.00,0.00,108158.00,10815800.00,0,32
