published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-09-21,480.2,529.0,480.2,517.22,5.56,73505.0,37720352.4,1,1
2025-09-18,515.3,515.3,473.2,490.0,-6.8,5977.0,2895781.0,-1,1
2025-09-08,530.0,540.0,525.2,525.73,-1.62,50107.0,26462157.2,-1,1
2025-09-07,535.0,543.0,532.1,534.41,-0.91,41595.0,22348672.2,-1,1
2025-09-04,534.0,545.0,532.1,539.31,0.51,64332.0,34526488.3,1,1
2025-09-03,536.0,545.0,536.0,536.59,-0.88,29316.0,15797153.5,-1,1
2025-09-02,541.3,550.0,540.1,541.35,-0.52,30172.0,16362618.4,-1,1
2025-09-01,542.0,552.0,539.0,544.19,-0.12,39847.0,21751052.4,-1,1
2025-08-31,572.0,572.0,544.0,544.82,-2.91,113838.0,62557349.3,-1,1
2025-08-28,581.47,584.9,558.0,561.13,-3.5,141033.0,80401570.9,-1,1
2025-08-27,548.0,586.0,535.0,581.47,8.08,846623.0,465379407.4,1,1
2025-08-26,536.2,550.0,536.2,537.98,-0.78,18452.0,9946776.4,-1,1
2025-08-25,550.0,551.6,535.2,542.22,0.26,44129.0,23913462.5,1,1
2025-08-24,541.0,559.0,540.0,540.81,-1.09,51707.0,28344452.4,-1,1
2025-08-21,542.0,552.0,541.1,546.75,0.78,50010.0,27300856.6,1,1
2025-08-20,561.5,561.5,539.0,542.53,-1.46,75588.0,41325540.1,-1,1
2025-08-19,560.0,574.0,548.0,550.58,-1.07,108801.0,60739512.7,-1,1
2025-08-18,558.1,568.5,542.0,556.55,1.64,154685.0,86830637.5,1,1
2025-08-17,540.6,565.0,533.5,547.58,1.29,150363.0,82798125.8,1,1
2025-08-14,546.0,555.9,534.1,540.6,-1.53,94196.0,51234752.7,-1,1
2025-08-13,566.0,566.0,545.6,549.01,-1.27,60682.0,33572425.8,-1,1
2025-08-12,540.2,567.0,540.2,556.07,2.25,171086.0,95787513.2,1,1
2025-08-11,570.1,570.1,540.0,543.84,-2.7,167630.0,92787926.9,-1,1
2025-08-07,570.1,584.4,557.0,558.94,-1.44,214560.0,122077523.1,-1,1
2025-08-06,566.0,580.0,565.0,567.09,-0.57,283102.0,161528598.1,-1,1
2025-08-05,584.0,590.0,568.4,570.33,-1.65,191993.0,110931553.5,-1,1
2025-08-04,578.1,598.0,576.0,579.9,-1.24,171364.0,100180315.6,-1,1
2025-08-03,611.0,617.0,583.2,587.16,-5.77,351012.0,209360100.7,-1,1
2025-07-31,612.2,662.0,606.7,623.14,-0.07,312192.0,194666419.2,-1,1
2025-07-30,641.0,648.5,590.0,623.56,-2.04,928024.0,566901446.1,-1,1
2025-07-29,582.9,642.0,575.0,636.57,7.04,1078962.0,638243521.4,1,1
2025-07-28,632.6,632.6,588.0,600.47,-5.08,406177.0,243900897.2,-1,1
2025-07-27,607.0,643.0,550.0,632.63,6.29,1321127.0,760656345.9,1,1
2025-07-24,550.0,595.2,520.0,595.2,10.0,1191263.0,662867705.9,1,1
2025-07-23,493.0,544.0,493.0,541.1,9.4,242045.0,124971480.2,1,1
2025-07-22,481.0,499.9,481.0,494.59,1.72,66277.0,32779671.7,1,1
2025-07-21,487.0,490.0,481.0,486.22,0.69,34128.0,16541675.3,1,1
2025-07-20,485.0,501.0,480.0,482.91,-1.81,101908.0,50403475.2,-1,1
2025-07-17,489.9,501.7,487.1,491.81,1.97,82934.0,40860040.3,1,1
2025-07-16,477.6,499.0,465.1,482.3,2.99,75208.0,35915852.0,1,1
2025-07-15,461.3,473.0,461.3,468.32,1.26,27083.0,12660196.2,1,1
2025-07-14,465.0,470.0,458.0,462.51,0.1,14375.0,6650620.2,1,1
2025-07-13,478.0,480.0,460.0,462.06,-1.56,30020.0,14037815.2,-1,1
2025-07-10,465.7,475.1,461.3,469.36,0.79,45792.0,21395704.4,1,1
2025-07-09,464.6,473.9,461.1,465.7,0.22,41678.0,19501090.6,1,1
2025-07-08,458.0,466.9,451.0,464.69,1.43,33166.0,15341276.0,1,1
2025-07-07,465.0,465.0,456.4,458.16,-1.54,25158.0,11561665.9,-1,1
2025-07-06,467.0,470.0,463.4,465.34,-0.86,50646.0,23572459.8,-1,1
2025-07-03,485.9,486.7,466.0,469.37,-1.65,59896.0,28440082.3,-1,1
2025-07-02,485.0,487.5,475.0,477.24,-0.34,105722.0,51036506.3,-1,1
2025-07-01,468.0,483.0,467.2,478.87,2.21,50172.0,23856560.9,1,1
2025-06-30,481.0,485.0,466.5,468.51,-2.41,57570.0,27175124.0,-1,1
2025-06-29,448.0,483.8,442.0,480.07,6.95,175442.0,82690292.4,1,1
2025-06-26,444.0,456.0,441.3,448.86,1.01,38200.0,17211884.6,1,1
2025-06-25,439.1,449.8,439.1,444.36,0.27,5806.0,2580161.3,1,1
2025-06-24,439.0,455.8,439.0,443.15,-0.81,19956.0,8956326.8,-1,1
2025-06-23,442.0,455.0,437.2,446.79,0.99,14477.0,6462873.1,1,1
2025-06-22,445.0,452.0,441.1,442.39,-1.11,12482.0,5549187.9,-1,1
2025-06-19,458.0,462.9,445.0,447.36,-2.19,51513.0,23382005.2,-1,1
2025-06-18,460.0,465.0,457.0,457.38,-0.66,17331.0,7964661.9,-1,1
2025-06-17,463.0,463.0,457.2,460.44,-0.7,19223.0,8829870.5,-1,1
2025-06-16,473.0,478.3,460.3,463.67,-0.43,74243.0,34915327.1,-1,1
2025-06-15,460.0,472.9,453.0,465.67,1.74,63640.0,29613329.4,1,1
2025-06-12,457.1,469.5,456.3,457.72,0.39,67945.0,31472805.5,1,1
2025-06-11,451.0,460.0,446.2,455.96,0.94,20519.0,9317551.1,1,1
2025-06-10,463.2,465.0,451.0,451.71,-0.55,34003.0,15556098.6,-1,1
2025-06-09,434.0,458.9,430.2,454.21,3.89,49525.0,22118339.1,1,1
2025-06-08,434.0,441.0,434.0,437.21,-0.19,11708.0,5121491.8,-1,1
2025-06-05,442.0,442.0,435.5,438.04,0.49,15610.0,6853821.8,1,1
2025-06-04,430.2,440.0,430.2,435.92,0.01,18425.0,8033243.7,1,1
2025-06-03,435.0,443.7,432.2,435.86,-0.52,28607.0,12532262.7,-1,2
2025-06-02,448.4,448.5,437.2,438.12,-0.67,11220.0,4929617.7,-1,1
2025-05-28,435.0,443.4,435.0,441.06,0.93,17244.0,7561509.7,1,1
2025-05-27,438.0,441.3,435.0,436.98,-0.22,15293.0,6681841.6,-1,2
2025-05-26,448.0,459.0,437.0,437.93,-0.61,17192.0,7590247.6,-1,1
2025-05-25,452.0,452.0,438.0,440.62,-0.69,14562.0,6409708.4,-1,2
2025-05-22,447.0,450.0,440.3,443.67,-0.73,24169.0,10777442.7,-1,3
2025-05-21,457.1,458.9,444.0,446.94,-0.29,34270.0,15395887.0,-1,4
2025-05-20,440.0,448.6,436.0,448.22,1.38,17451.0,7715635.7,1,5
2025-05-19,440.0,448.0,440.0,442.13,0.61,8118.0,3591993.3,1,6
2025-05-18,441.1,446.0,437.0,439.47,-0.55,14060.0,6189142.0,-1,7
2025-05-15,440.2,444.0,436.1,441.88,-0.57,12943.0,5702855.9,-1,8
2025-05-14,456.0,463.8,442.0,444.4,-2.59,30136.0,13480677.0,-1,9
2025-05-13,468.0,476.0,452.2,456.23,-0.74,36152.0,16557180.6,-1,10
2025-05-11,467.0,467.0,458.7,459.63,-1.65,58301.0,26898343.3,-1,11
2025-05-08,463.0,479.0,450.0,467.36,0.69,52122.0,24368696.9,1,12
2025-05-07,453.0,468.5,453.0,464.15,1.04,44209.0,20400977.1,1,13
2025-05-06,432.0,473.0,424.0,459.35,6.79,115795.0,51425171.0,1,14
2025-05-05,425.0,435.0,425.0,430.14,0.05,20633.0,8837134.9,1,15
2025-05-04,437.0,437.0,427.0,429.93,0.14,35478.0,15289644.3,1,16
2025-04-30,435.0,435.0,425.0,429.34,0.08,45452.0,19383319.3,1,17
2025-04-29,433.7,435.0,427.0,429.0,-1.1,29573.0,12703009.0,-1,18
2025-04-28,444.0,444.0,433.0,433.76,-1.32,29281.0,12793824.1,-1,19
2025-04-27,450.3,451.0,438.0,439.57,-0.98,33091.0,14661953.9,-1,20
2025-04-24,448.0,450.0,442.0,443.9,-1.77,33218.0,14783152.6,-1,21
2025-04-23,464.7,464.7,451.2,451.9,-0.86,20405.0,9263283.0,-1,22
2025-04-22,467.0,467.0,455.0,455.82,-0.46,27816.0,12689659.5,-1,23
2025-04-21,460.0,462.0,455.6,457.92,-0.9,54068.0,24772560.0,-1,24
2025-04-20,470.0,471.0,460.1,462.06,-1.45,26754.0,12397103.5,-1,25
2025-04-17,463.0,479.0,463.0,468.84,-0.59,47466.0,22455147.9,-1,26
2025-04-16,478.2,483.0,470.4,471.64,-1.44,25003.0,11890044.7,-1,27
2025-04-15,480.0,485.0,475.0,478.55,-0.31,31801.0,15313142.4,-1,28
2025-04-13,484.0,488.0,477.0,480.05,-2.28,41076.0,19835431.6,-1,29
2025-04-10,485.0,495.0,483.0,491.26,0.09,31486.0,15444560.0,1,30
2025-04-09,495.0,500.7,486.2,490.8,0.25,43152.0,21268413.0,1,31
2025-04-08,478.1,495.0,468.0,489.58,0.55,79183.0,38038289.2,1,32
2025-04-07,515.0,516.0,481.0,486.91,-3.62,78644.0,38797468.1,-1,33
2025-04-03,450.2,505.2,435.0,505.2,9.99,227120.0,109688258.7,1,34
