published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2016-09-04,328.00,326.00,314.00,314.00,0.00,20035.00,6398335.00,0,1
2016-09-03,328.00,326.00,314.00,314.00,0.00,20035.00,6398335.00,0,2
2016-09-01,322.00,328.00,328.00,328.00,0.00,20.00,6560.00,0,3
2016-08-31,310.00,322.00,316.00,322.00,0.00,61.00,19462.00,0,4
2016-08-30,322.00,316.00,310.00,310.00,0.00,800.00,251000.00,0,5
2016-08-29,328.00,322.00,322.00,322.00,0.00,10.00,3220.00,0,6
2016-08-28,312.00,328.00,316.00,328.00,0.00,700.00,228100.00,0,7
2016-08-24,318.00,318.00,312.00,312.00,0.00,544.00,169908.00,0,8
2016-08-23,330.00,324.00,318.00,318.00,0.00,6050.00,1924200.00,0,9
2016-08-22,335.00,330.00,330.00,330.00,0.00,50.00,16500.00,0,10
2016-08-21,335.00,347.00,335.00,335.00,0.00,1243.00,418527.00,0,11
2016-08-17,323.00,341.00,311.00,335.00,0.00,2063.00,671321.00,0,12
2016-08-16,329.00,323.00,323.00,323.00,0.00,57.00,18411.00,0,13
2016-08-15,331.00,329.00,329.00,329.00,0.00,31.00,10199.00,0,14
2016-08-14,367.00,360.00,331.00,331.00,0.00,2896.00,971406.00,0,15
2016-08-11,370.00,384.00,367.00,367.00,0.00,545.00,204893.00,0,16
2016-08-10,342.00,370.00,348.00,370.00,0.00,435.00,158690.00,0,17
2016-07-17,342.00,348.00,342.00,342.00,0.00,510.00,174480.00,0,18
2016-07-13,346.00,342.00,322.00,342.00,0.00,2223.00,724410.00,0,19
2016-07-12,347.00,353.00,340.00,346.00,0.00,394.00,137594.00,0,20
2016-07-11,360.00,353.00,341.00,347.00,0.00,811.00,280103.00,0,21
2016-07-10,359.00,370.00,342.00,360.00,0.00,3360.00,1190062.00,0,22
2016-07-06,329.00,359.00,326.00,359.00,0.00,9093.00,3003279.00,0,23
2016-07-05,315.00,329.00,313.00,329.00,0.00,3280.00,1048710.00,0,24
2016-07-04,311.00,316.00,307.00,315.00,0.00,9620.00,2981120.00,0,25
2016-07-03,325.00,331.00,305.00,311.00,0.00,10195.00,3139610.00,0,26
2016-06-30,322.00,328.00,319.00,325.00,0.00,210.00,67680.00,0,27
2016-06-29,320.00,326.00,310.00,322.00,0.00,1630.00,513040.00,0,28
2016-06-28,334.00,328.00,316.00,320.00,0.00,2130.00,688380.00,0,29
2016-06-27,320.00,334.00,316.00,334.00,0.00,1770.00,567920.00,0,30
2016-06-26,324.00,330.00,315.00,320.00,0.00,1950.00,622700.00,0,31
2016-06-22,330.00,324.00,324.00,324.00,0.00,50.00,16200.00,0,32
2016-06-21,326.00,330.00,330.00,330.00,0.00,10.00,3300.00,0,33
2016-06-20,320.00,326.00,320.00,326.00,0.00,370.00,119420.00,0,34
2016-06-19,316.00,320.00,310.00,320.00,0.00,640.00,203880.00,0,35
2016-06-16,328.00,328.00,316.00,316.00,0.00,1000.00,320920.00,0,36
2016-06-14,325.00,333.00,328.00,328.00,0.00,1250.00,411150.00,0,37
2016-06-13,329.00,325.00,325.00,325.00,0.00,150.00,48750.00,0,38
2016-06-12,323.00,329.00,329.00,329.00,0.00,370.00,121730.00,0,39
2016-06-09,317.00,323.00,318.00,323.00,0.00,780.00,249590.00,0,40
2016-06-08,305.00,317.00,310.00,317.00,0.00,2190.00,689730.00,0,41
2016-06-07,317.00,317.00,300.00,305.00,0.00,1020.00,312490.00,0,42
2016-06-06,315.00,317.00,315.00,317.00,0.00,270.00,85390.00,0,43
2016-06-05,324.00,325.00,315.00,315.00,0.00,1541.00,490825.00,0,44
2016-06-02,332.00,326.00,324.00,324.00,0.00,160.00,51920.00,0,45
2016-06-01,326.00,332.00,326.00,332.00,0.00,420.00,136980.00,0,46
2016-05-31,332.00,338.00,326.00,326.00,0.00,1580.00,519200.00,0,47
2016-05-30,326.00,332.00,331.00,332.00,0.00,600.00,199100.00,0,48
2016-05-29,335.00,341.00,326.00,326.00,0.00,2160.00,716130.00,0,49
2016-05-26,320.00,335.00,319.00,335.00,0.00,530.00,171500.00,0,50
