published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2018-07-15,135.00,135.00,133.00,133.00,-1.48,550.00,73650.00,-1,1
2018-07-12,133.00,135.00,133.00,135.00,2.27,600.00,80150.00,1,2
2018-07-11,130.00,132.00,130.00,132.00,2.33,484.00,63400.00,1,3
2018-07-10,131.00,131.00,129.00,129.00,-3.01,1467.00,189843.00,-1,4
2018-07-09,135.00,135.00,133.00,133.00,-2.92,294.00,39490.00,-1,5
2018-07-08,139.00,140.00,137.00,137.00,0.00,1019.00,140707.00,0,6
2018-07-05,137.00,137.00,137.00,137.00,1.48,50.00,6850.00,1,7
2018-07-04,132.00,135.00,132.00,135.00,3.85,193.00,25925.00,1,8
2018-07-03,131.00,131.00,130.00,130.00,0.78,150.00,19550.00,1,9
2018-07-01,130.00,131.00,129.00,129.00,-1.53,300.00,38920.00,-1,10
2018-06-28,130.00,131.00,130.00,131.00,0.77,80.00,10430.00,1,11
2018-06-26,132.00,132.00,130.00,130.00,-2.99,1700.00,221400.00,-1,12
2018-06-25,135.00,135.00,134.00,134.00,0.00,575.00,77125.00,0,13
2018-06-24,131.00,134.00,131.00,134.00,0.75,3673.00,482663.00,1,14
2018-06-21,134.00,134.00,132.00,133.00,-0.75,570.00,75430.00,-1,15
2018-06-19,134.00,134.00,134.00,134.00,-1.47,250.00,33500.00,-1,16
2018-06-17,137.00,137.00,136.00,136.00,-1.45,910.00,123960.00,-1,17
2018-06-14,134.00,138.00,134.00,138.00,1.47,225.00,30570.00,1,18
2018-06-12,136.00,137.00,136.00,136.00,1.49,919.00,125166.00,1,19
2018-06-11,132.00,134.00,132.00,134.00,0.00,570.00,75260.00,0,20
2018-06-10,136.00,136.00,134.00,134.00,0.00,1400.00,189800.00,0,21
2018-06-07,134.00,134.00,132.00,134.00,-1.47,3782.00,504188.00,-1,22
2018-06-04,136.00,136.00,136.00,136.00,-1.45,250.00,34000.00,-1,23
2018-06-03,138.00,138.00,138.00,138.00,-1.43,500.00,69000.00,-1,24
2018-05-31,145.00,145.00,140.00,140.00,-2.10,3385.00,480950.00,-1,25
2018-05-30,144.00,144.00,142.00,143.00,0.70,1600.00,228300.00,1,26
2018-05-29,142.00,142.00,142.00,142.00,1.43,50.00,7100.00,1,27
2018-05-28,138.00,140.00,138.00,140.00,2.94,1045.00,144770.00,1,28
2018-05-27,139.00,139.00,136.00,136.00,-3.55,989.00,135454.00,-1,29
2018-05-24,145.00,145.00,141.00,141.00,-2.76,1960.00,278820.00,-1,30
2018-05-23,150.00,150.00,145.00,145.00,-2.68,340.00,49670.00,-1,31
2018-05-22,142.00,149.00,142.00,149.00,6.43,810.00,115620.00,1,32
2018-05-21,142.00,142.00,140.00,140.00,-2.78,148.00,20920.00,-1,33
2018-05-17,142.00,146.00,142.00,144.00,2.86,1020.00,146680.00,1,34
2018-05-15,140.00,140.00,140.00,140.00,-1.41,187.00,26180.00,-1,35
2018-05-14,139.00,142.00,138.00,142.00,1.43,1160.00,161750.00,1,36
2018-05-10,142.00,142.00,140.00,140.00,-2.78,801.00,112541.00,-1,37
2018-05-09,145.00,145.00,144.00,144.00,-1.37,960.00,138800.00,-1,38
2018-05-08,146.00,146.00,146.00,146.00,0.69,100.00,14600.00,1,39
2018-05-07,149.00,150.00,145.00,145.00,-2.68,4545.00,668235.00,-1,40
2018-05-06,153.00,153.00,147.00,149.00,-2.61,1325.00,198075.00,-1,41
2018-05-03,149.00,153.00,149.00,153.00,2.68,730.00,109840.00,1,42
2018-05-02,157.00,167.00,157.00,160.00,1.27,2020.00,329970.00,1,43
2018-04-29,153.00,159.00,153.00,158.00,1.28,1955.00,305175.00,1,44
2018-04-26,163.00,163.00,156.00,156.00,-2.50,848.00,134986.00,-1,45
2018-04-25,160.00,163.00,159.00,160.00,-1.23,785.00,125545.00,-1,46
2018-04-24,168.00,169.00,159.00,162.00,-3.57,9292.00,1537414.00,-1,47
2018-04-23,172.00,174.00,167.00,168.00,-1.18,13092.00,2230554.00,-1,48
2018-04-22,162.00,170.00,162.00,170.00,6.92,13309.00,2215780.00,1,49
2018-04-19,165.00,168.00,159.00,159.00,-2.45,11147.00,1822466.00,-1,50
2018-04-18,153.00,166.00,153.00,163.00,7.95,10281.00,1652621.00,1,51
2018-04-17,154.00,162.00,151.00,151.00,-1.95,7347.00,1152078.00,-1,52
2018-04-16,151.00,154.00,151.00,154.00,3.36,250.00,38350.00,1,53
2018-04-15,149.00,149.00,149.00,149.00,0.68,150.00,22350.00,1,54
2018-04-12,150.00,150.00,146.00,148.00,0.00,3421.00,503466.00,0,55
2018-04-10,157.00,157.00,148.00,148.00,-7.50,4122.00,626576.00,-1,56
2018-04-09,160.00,166.00,158.00,160.00,0.00,3382.00,544236.00,0,57
2018-04-08,148.00,160.00,148.00,160.00,9.59,1072.00,163150.00,1,58
2018-04-05,144.00,146.00,142.00,146.00,0.00,714.00,102004.00,0,59
2018-04-04,143.00,146.00,141.00,146.00,2.10,1214.00,172808.00,1,60
2018-04-03,142.00,143.00,142.00,143.00,-0.69,22.00,3134.00,-1,61
2018-04-02,145.00,145.00,143.00,144.00,0.00,899.00,129006.00,0,62
2018-04-01,142.00,144.00,142.00,144.00,2.86,30.00,4280.00,1,63
2018-03-29,138.00,140.00,138.00,140.00,0.00,100.00,13900.00,0,64
2018-03-28,138.00,140.00,138.00,140.00,2.94,750.00,104600.00,1,65
2018-03-27,137.00,137.00,133.00,136.00,-0.73,1300.00,175100.00,-1,66
2018-03-26,141.00,141.00,137.00,137.00,-4.20,1080.00,151120.00,-1,67
2018-03-22,143.00,143.00,143.00,143.00,0.00,659.00,94237.00,0,68
2018-03-21,144.00,144.00,143.00,143.00,-0.69,300.00,43050.00,-1,69
