published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-05-26,1271.60,1297.00,1240.00,1242.97,-0.30,11033.00,13822487.90,-1,1
2025-05-25,1283.70,1283.70,1240.00,1246.70,-0.94,9846.00,12323711.90,-1,2
2025-05-22,1268.38,1290.00,1255.00,1258.56,-0.77,8281.00,10473483.20,-1,3
2025-05-21,1311.10,1363.70,1260.20,1268.38,-1.33,33527.00,43603272.90,-1,4
2025-05-20,1253.50,1300.00,1235.00,1285.47,2.59,13374.00,17044090.00,1,5
2025-05-19,1252.70,1277.90,1230.00,1253.05,2.02,17093.00,21502637.40,1,6
2025-05-18,1244.00,1244.00,1221.00,1228.19,0.26,15239.00,18763180.30,1,7
2025-05-15,1256.40,1256.40,1223.00,1225.00,-0.56,18469.00,22715675.00,-1,8
2025-05-14,1240.00,1244.90,1230.00,1231.86,-0.37,17752.00,21915500.30,-1,9
2025-05-13,1250.00,1265.00,1231.00,1236.47,-1.16,24341.00,30234636.30,-1,10
2025-05-11,1270.00,1280.00,1248.00,1250.96,-1.28,24903.00,31388333.00,-1,11
2025-05-08,1282.00,1300.00,1260.00,1267.17,-2.19,22794.00,29139611.60,-1,12
2025-05-07,1273.19,1322.90,1253.00,1295.54,1.76,25635.00,33018377.90,1,13
2025-05-06,1290.00,1290.00,1270.00,1273.19,-1.19,17488.00,22314576.60,-1,14
2025-05-05,1296.00,1300.10,1280.00,1288.47,0.18,15600.00,20120428.70,1,15
2025-05-04,1317.90,1317.90,1285.00,1286.12,-0.84,26329.00,34041964.30,-1,16
2025-04-30,1318.00,1319.90,1293.60,1297.02,-1.07,26763.00,34899516.20,-1,17
2025-04-29,1306.60,1328.00,1306.60,1311.01,-1.67,36947.00,48735052.80,-1,18
2025-04-28,1382.00,1382.00,1330.00,1333.25,-1.64,22148.00,29794751.40,-1,19
2025-04-27,1380.00,1400.00,1350.00,1355.49,-1.64,38326.00,52787630.10,-1,20
2025-04-24,1316.00,1392.00,1316.00,1378.11,4.17,29297.00,39518517.20,1,21
2025-04-23,1327.90,1353.90,1310.00,1322.99,-1.73,32506.00,43011311.20,-1,22
2025-04-22,1346.00,1387.00,1335.00,1346.25,-1.96,35087.00,47473096.00,-1,23
2025-04-21,1353.50,1400.00,1353.50,1373.15,-0.57,25729.00,35303093.70,-1,24
2025-04-20,1420.00,1439.90,1375.10,1381.09,-2.61,33311.00,46369943.30,-1,25
2025-04-17,1400.00,1459.00,1400.00,1418.07,0.16,49654.00,71406971.60,1,26
2025-04-16,1460.00,1469.80,1402.00,1415.74,-1.78,27913.00,39894459.60,-1,27
2025-04-15,1367.00,1456.00,1367.00,1441.37,5.30,82681.00,118174156.60,1,28
2025-04-13,1356.00,1389.00,1356.00,1368.77,-0.54,30187.00,41283360.80,-1,29
2025-04-10,1395.10,1398.90,1367.00,1376.22,-0.59,24467.00,33708444.40,-1,30
2025-04-09,1315.00,1400.00,1315.00,1384.39,3.34,38715.00,53477954.40,1,31
2025-04-08,1335.00,1348.80,1300.10,1339.61,0.04,27251.00,36027035.10,1,32
2025-04-07,1378.00,1380.00,1335.30,1339.03,-2.85,43956.00,59550007.70,-1,33
2025-04-03,1410.00,1437.00,1370.10,1378.32,-1.30,57061.00,80001643.60,-1,34
2025-04-02,1287.00,1401.00,1287.00,1396.46,6.79,74922.00,102719829.10,1,35
2025-04-01,1323.11,1334.00,1276.00,1307.65,-1.17,50954.00,66518456.60,-1,36
2025-03-30,1280.00,1346.00,1280.00,1323.11,1.73,38228.00,50730963.10,1,37
2025-03-27,1246.00,1305.00,1240.00,1300.63,3.83,31674.00,40476618.90,1,38
2025-03-26,1199.15,1279.90,1195.00,1252.71,4.47,28107.00,34629187.80,1,39
2025-03-25,1240.00,1260.00,1194.90,1199.15,-4.67,37004.00,44898154.40,-1,40
2025-03-24,1260.10,1304.00,1253.00,1257.85,-1.95,49128.00,62455571.30,-1,41
2025-03-23,1325.00,1331.10,1279.00,1282.83,-3.44,36890.00,47919053.60,-1,42
2025-03-20,1327.00,1340.00,1315.00,1328.50,0.11,14434.00,19160293.10,1,43
2025-03-19,1304.00,1344.00,1304.00,1327.00,0.68,14931.00,19747307.60,1,44
2025-03-18,1344.00,1353.00,1313.00,1318.00,-1.57,33899.00,45011610.10,-1,45
2025-03-17,1340.00,1360.00,1320.00,1339.00,-0.45,27886.00,37376039.20,-1,46
2025-03-16,1370.20,1380.00,1336.10,1345.00,-3.38,25085.00,33937946.00,-1,47
2025-03-12,1385.90,1409.00,1340.00,1392.00,2.36,34591.00,47871038.50,1,48
2025-03-11,1432.90,1432.90,1351.00,1359.90,-3.21,28254.00,38914805.70,-1,49
2025-03-10,1410.00,1450.00,1400.00,1405.00,-2.02,32581.00,46068469.70,-1,50
2024-12-12,1408.0,1436.0,1382.0,1382.6,-2.98,18277.0,25574183.2,-1,1
