published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-09-24,196.20,200.00,196.20,198.70,-0.70,60114.00,11949040.00,-1,1
2025-09-23,198.0,201.0,198.0,200.1,0.91,81131.0,16215849.9,1,1
2025-09-21,184.0,204.0,184.0,198.29,6.04,138336.0,27127502.1,1,1
2025-09-18,196.6,196.6,186.3,187.0,-6.76,13981.0,2654068.8,-1,1
2025-09-08,200.0,203.0,200.0,200.55,-0.9,116012.0,23302197.9,-1,1
2025-09-07,200.0,203.5,200.0,202.38,-0.71,155852.0,31468220.0,-1,1
2025-09-04,200.0,206.7,200.0,203.83,0.63,119713.0,24306598.9,1,1
2025-09-03,204.0,204.2,200.1,202.56,0.06,175909.0,35581269.7,1,1
2025-09-02,202.0,206.0,198.0,202.43,-1.78,480490.0,97360470.2,-1,1
2025-09-01,209.3,209.3,202.0,206.09,0.41,71529.0,14709933.5,1,1
2025-08-31,209.59,210.8,203.5,205.24,-2.08,98290.0,20217447.0,-1,1
2025-08-28,213.0,213.0,207.5,209.59,-0.8,80057.0,16728255.17,-1,1
2025-08-27,212.6,212.6,207.9,211.27,1.34,74048.0,15523188.7,1,1
2025-08-26,214.0,214.0,207.7,208.48,-0.8,63587.0,13338718.1,-1,1
2025-08-25,212.0,213.0,208.0,210.16,0.06,38734.0,8093873.1,1,1
2025-08-24,214.0,214.0,209.0,210.03,-1.4,86346.0,18197459.7,-1,1
2025-08-21,218.0,218.0,211.0,213.02,-0.56,59211.0,12585448.5,-1,1
2025-08-20,217.0,217.8,212.1,214.23,-0.87,30520.0,6537559.4,-1,1
2025-08-19,216.8,217.5,213.5,216.12,1.08,46548.0,10040679.7,1,1
2025-08-18,213.0,216.4,212.4,213.81,0.17,54658.0,11683263.6,1,1
2025-08-17,214.4,218.0,213.0,213.44,-1.24,57487.0,12320022.5,-1,1
2025-08-14,217.0,219.9,214.0,216.11,-0.66,53565.0,11577254.8,-1,1
2025-08-13,220.0,221.3,217.0,217.55,-1.59,66853.0,14604503.4,-1,1
2025-08-12,224.5,225.0,219.4,221.07,-2.22,104854.0,23242857.6,-1,1
2025-08-11,225.0,237.2,225.0,226.1,-1.02,41959.0,9536084.1,-1,1
2025-08-07,233.0,233.0,228.0,228.44,-0.21,45870.0,10499181.2,-1,1
2025-08-06,232.0,232.0,228.2,228.92,0.16,32132.0,7379123.4,1,1
2025-08-05,236.0,239.8,228.2,228.55,-1.91,49397.0,11483014.5,-1,1
2025-08-04,227.0,239.8,225.1,232.99,2.57,90076.0,20719727.8,1,1
2025-08-03,238.0,238.0,226.7,227.16,-2.66,71440.0,16374663.4,-1,1
2025-07-31,236.0,239.0,233.0,233.36,-2.0,94880.0,22292527.6,-1,1
2025-07-30,246.0,246.0,237.7,238.13,-1.51,127551.0,30624770.5,-1,1
2025-07-29,242.0,250.9,237.5,241.78,1.7,362259.0,87590586.7,1,1
2025-07-28,239.6,249.0,229.4,235.43,-1.47,305519.0,71930466.3,-1,1
2025-07-27,248.2,248.3,238.5,238.95,-2.76,200360.0,48788138.7,-1,1
2025-07-24,249.6,250.7,245.0,245.72,-1.53,100215.0,24704897.7,-1,1
2025-07-23,245.0,254.8,245.0,249.55,-0.17,217897.0,54318595.6,-1,1
2025-07-22,250.0,252.0,246.1,249.98,0.76,326382.0,81345124.7,1,1
2025-07-21,245.0,255.0,241.1,248.1,1.45,244277.0,60855163.2,1,1
2025-07-20,250.0,255.0,243.6,244.55,-1.61,319717.0,79900422.5,-1,1
2025-07-17,241.0,261.0,236.0,248.56,4.75,407528.0,100422824.9,1,1
2025-07-16,237.7,241.9,230.3,237.3,1.82,514356.0,122426769.6,1,1
2025-07-15,233.1,234.0,226.4,233.05,1.95,84776.0,19563678.9,1,1
2025-07-14,238.9,238.9,227.0,228.6,-2.61,131774.0,30347507.0,-1,1
2025-07-13,233.2,242.0,230.0,234.72,2.62,333991.0,78829829.8,1,1
2025-07-10,223.0,235.0,223.0,228.72,2.35,206935.0,47409870.9,1,1
2025-07-09,221.0,230.0,216.3,223.46,1.28,120054.0,26670618.6,1,1
2025-07-08,220.0,222.0,215.9,220.64,0.32,72379.0,15802706.8,1,1
2025-07-07,223.0,224.0,216.0,219.93,-0.95,117039.0,25819525.4,-1,1
2025-07-06,226.0,227.5,220.0,222.04,-0.45,43206.0,9616854.0,-1,1
2025-07-03,229.3,229.3,220.4,223.04,-0.81,67336.0,15113150.9,-1,1
2025-07-02,223.0,225.6,220.6,224.86,0.63,73146.0,16346297.5,1,1
2025-07-01,216.0,227.4,216.0,223.46,2.95,80574.0,17817333.1,1,1
2025-06-30,218.0,221.9,216.5,217.05,-0.75,11301.0,2459244.8,-1,1
2025-06-29,215.0,219.3,213.0,218.69,2.65,64547.0,13951622.2,1,1
2025-06-26,212.0,215.0,212.0,213.05,-0.17,30544.0,6512605.9,-1,1
2025-06-25,217.0,217.0,213.0,213.41,-0.43,24124.0,5171094.2,-1,1
