published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-08-12,135.00,135.00,125.00,125.00,-7.41,866813.00,116851625.00,-1,1
2024-08-11,135.00,135.00,135.00,135.00,8.00,601184.00,81159840.00,1,2
2024-08-06,125.00,125.00,125.00,125.00,0.00,31615.00,3951875.00,0,3
2024-07-10,125.00,125.00,125.00,125.00,0.00,171120.00,21390000.00,0,4
2024-06-27,125.00,125.00,125.00,125.00,0.00,105804.00,13225500.00,0,5
2024-06-23,125.00,125.00,125.00,125.00,0.00,59259.00,7407375.00,0,6
2024-06-13,125.00,125.00,125.00,125.00,1.46,750394.00,93799250.00,1,7
2024-05-16,150.00,150.00,150.00,150.00,0.00,5291.00,793650.00,0,8
2024-02-05,120.80,120.80,120.80,120.80,-1.95,35980.00,4346384.00,-1,9
2024-01-14,132.30,132.30,123.20,123.20,-8.67,192626.00,24801054.80,-1,10
2024-01-11,146.10,150.00,134.90,150.00,0.67,1590050.00,238507022.00,1,11
2024-01-10,161.40,161.40,149.00,149.00,-9.48,50.00,7757.00,-1,12
2024-01-09,178.20,178.20,164.60,164.60,-9.46,50.00,8567.00,-1,13
2024-01-08,196.90,196.90,181.80,181.80,-9.51,50.00,9464.00,-1,14
2024-01-07,217.50,217.50,200.90,200.90,-9.46,50.00,10455.00,-1,15
2024-01-04,240.50,240.50,221.90,221.90,-9.58,50.00,11555.00,-1,16
2024-01-03,266.00,266.00,245.40,245.40,-9.58,50.00,12780.00,-1,17
2024-01-02,294.00,294.00,271.40,271.40,-9.53,50.00,14130.00,-1,18
2024-01-01,300.00,300.00,300.00,300.00,0.00,1000.00,300000.00,0,19
2023-12-27,300.00,300.00,300.00,300.00,0.00,25000.00,7500000.00,0,20
2023-11-08,124.50,124.50,124.50,124.50,5.51,420304.00,52327848.00,1,21
2023-11-07,125.00,125.00,118.00,118.00,-5.60,745460.00,91644228.00,-1,22
2023-11-06,125.00,125.00,125.00,125.00,0.00,286790.00,35848750.00,0,23
2020-10-19,300.00,300.00,300.00,300.00,0.00,112686.00,33805800.00,0,24
2020-10-18,300.00,300.00,300.00,300.00,3.45,815172.00,244551600.00,1,25
2020-01-21,290.00,290.00,290.00,290.00,-31.76,843507.00,244617024.00,-1,26
2015-06-25,245.00,425.00,425.00,425.00,0.00,6652.00,2827100.00,0,27
2014-10-30,241.00,245.00,245.00,245.00,0.00,100145.00,24535524.00,0,28
2013-10-01,267.00,262.00,241.00,241.00,0.00,635713.00,153207392.00,0,29
2013-09-30,296.00,291.00,267.00,267.00,0.00,60.00,16720.00,0,30
2013-09-29,296.00,328.00,296.00,296.00,0.00,70.00,21740.00,0,31
