published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-08-28,199.20,200.00,196.00,196.32,-1.12,122214.00,24159434.70,-1,1
2025-08-27,198.0,199.7,197.5,198.55,0.79,123716.0,24522555.8,1,1
2025-08-26,197.1,199.9,196.5,197.0,-0.16,211491.0,41680985.6,-1,1
2025-08-25,199.0,199.0,196.1,197.32,0.03,57674.0,11378206.4,1,1
2025-08-24,195.1,201.0,195.1,197.27,-0.86,88037.0,17448865.5,-1,1
2025-08-21,200.0,202.0,198.8,198.99,-0.4,90809.0,18132404.7,-1,1
2025-08-20,201.5,202.0,199.1,199.79,-0.55,81370.0,16291830.1,-1,1
2025-08-19,205.2,205.2,200.0,200.9,-0.18,64648.0,13022939.9,-1,1
2025-08-18,197.0,203.0,197.0,201.26,0.46,108318.0,21799415.7,1,1
2025-08-17,203.0,204.0,200.0,200.34,-0.53,113219.0,22817611.9,-1,1
2025-08-14,198.0,205.0,198.0,201.41,-0.31,113108.0,22811082.4,-1,1
2025-08-13,198.9,205.9,198.9,202.03,-0.42,105522.0,21420504.5,-1,1
2025-08-12,199.8,205.5,199.8,202.89,-0.46,140228.0,28510243.3,-1,1
2025-08-11,201.2,209.9,201.2,203.82,-0.69,154252.0,31839763.5,-1,1
2025-08-07,198.4,207.7,198.4,205.23,1.4,191045.0,39185528.9,1,1
2025-08-06,199.5,205.0,199.5,202.4,-0.54,113693.0,23152698.2,-1,1
2025-08-05,209.0,209.0,202.5,203.5,-1.97,188845.0,38648394.2,-1,1
2025-08-04,202.6,209.5,202.6,207.6,0.45,225165.0,46466819.3,1,1
2025-08-03,210.0,212.0,206.0,206.67,-1.69,229607.0,47877657.0,-1,1
2025-07-31,208.9,215.5,208.9,210.22,-1.37,356059.0,75430775.7,-1,1
2025-07-30,212.2,216.3,212.2,213.13,0.44,655650.0,140360467.7,1,1
2025-07-29,212.0,214.4,210.0,212.2,0.93,368253.0,78181387.1,1,1
2025-07-28,213.0,213.0,205.3,210.25,0.67,352528.0,73388408.8,1,1
2025-07-27,215.0,218.0,207.5,208.85,-2.67,661700.0,140724526.8,-1,1
2025-07-24,214.0,217.0,212.6,214.57,0.33,526249.0,113198145.2,1,1
2025-07-23,211.0,217.9,208.4,213.86,2.59,834117.0,178714289.5,1,1
2025-07-22,205.0,209.5,205.0,208.47,1.78,306812.0,63702941.1,1,1
2025-07-21,210.0,210.0,202.0,204.82,-0.56,306239.0,62865465.7,-1,1
2025-07-20,207.0,213.0,204.1,205.97,0.51,597672.0,124974083.4,1,1
2025-07-17,197.0,207.0,197.0,204.92,3.62,598465.0,121606345.7,1,1
2025-07-16,196.0,199.7,196.0,197.76,0.73,206335.0,40809710.2,1,1
2025-07-15,201.4,201.4,195.8,196.33,-0.6,169534.0,33381541.4,-1,1
2025-07-14,201.0,201.0,196.0,197.52,0.23,194961.0,38526114.0,1,1
