published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-07-24,643.00,643.00,630.00,636.78,-0.61,27494.00,17455925.10,-1,1
2025-07-23,638.1,654.0,628.1,640.72,0.13,36276.0,23181091.8,1,1
2025-07-22,623.1,647.7,623.1,639.92,2.16,42950.0,27495943.2,1,1
2025-07-21,620.0,630.0,613.0,626.37,0.38,29066.0,18035122.9,1,1
2025-07-20,626.0,638.0,617.9,624.02,-0.37,82292.0,51603455.4,-1,1
2025-07-17,620.0,632.0,619.0,626.32,1.62,24700.0,15481790.3,1,1
2025-07-16,590.4,637.5,590.1,616.36,3.71,41568.0,25200852.1,1,1
2025-07-15,599.9,601.0,582.0,594.29,0.55,27436.0,16112621.3,1,1
2025-07-14,595.48,600.0,589.0,591.03,-0.75,14466.0,8562339.6,-1,1
2025-07-13,612.0,614.0,590.0,595.48,-0.77,22099.0,13210345.9,-1,1
2025-07-10,603.8,603.8,593.1,600.09,1.15,15000.0,8954211.3,1,1
2025-07-09,585.0,604.5,585.0,593.27,-0.44,24962.0,14747686.4,-1,1
2025-07-08,595.0,597.7,586.0,595.89,0.08,37274.0,22154390.4,1,1
2025-07-07,595.0,602.0,595.0,595.41,-0.56,18257.0,10898962.0,-1,1
2025-07-06,609.9,609.9,595.3,598.75,-2.11,35064.0,21043105.8,-1,1
2025-07-03,584.2,618.0,584.2,611.63,2.92,83016.0,50550456.2,1,1
2025-07-02,565.2,596.0,565.2,594.29,3.93,52671.0,31041386.8,1,1
2025-07-01,563.0,572.8,556.4,571.8,1.52,14254.0,8028236.2,1,1
2025-06-30,555.67,566.0,555.67,563.23,1.36,8180.0,4609311.7,1,1
2025-06-29,565.0,565.0,555.1,555.67,-0.33,12575.0,7011508.2,-1,1
2025-06-26,547.4,562.9,547.4,557.49,-0.19,9703.0,5413754.3,-1,1
2025-06-25,560.3,564.0,557.0,558.53,-0.49,10744.0,6000265.9,-1,1
2025-06-24,573.0,573.0,560.0,561.26,-0.26,6395.0,3594369.2,-1,1
2025-06-23,573.9,573.9,556.1,562.75,-0.07,7951.0,4458176.0,-1,1
2025-06-22,561.0,567.0,559.0,563.13,-0.69,8478.0,4764627.4,-1,1
2025-06-19,570.0,570.0,566.0,567.04,-0.07,13342.0,7568542.1,-1,1
2025-06-18,568.2,574.0,564.0,567.43,-0.51,8732.0,4949751.6,-1,1
2025-06-17,571.5,576.0,569.7,570.33,-0.81,7590.0,4336057.6,-1,1
2025-06-16,585.0,585.0,569.0,575.0,0.16,16939.0,9722658.7,1,1
2025-06-15,569.1,580.0,568.0,574.06,0.58,18281.0,10459097.1,1,1
2025-06-12,581.9,585.0,570.0,570.75,-1.72,20688.0,11923860.9,-1,1
2025-06-11,575.0,588.0,570.0,580.75,1.68,25997.0,15115005.4,1,1
2025-06-10,570.1,578.9,569.0,571.15,0.37,16570.0,9458702.9,1,1
2025-06-09,566.1,580.0,566.0,569.05,-0.43,10840.0,6189548.3,-1,1
2025-06-08,584.0,584.0,570.2,571.49,-0.43,19564.0,11203361.8,-1,1
2025-06-05,585.5,585.5,571.0,573.95,-0.45,11321.0,6505622.0,-1,1
2025-06-04,570.0,590.0,570.0,576.53,-0.69,10206.0,5900099.3,-1,1
2025-06-03,565.0,586.0,565.0,580.51,1.68,38135.0,22131313.3,1,2
2025-06-02,580.5,580.5,570.2,570.93,0.31,8396.0,4820730.4,1,1
2025-05-28,572.0,581.0,560.5,569.14,-0.33,11324.0,6399704.6,-1,1
2025-05-27,570.0,575.0,566.3,571.0,0.46,5054.0,2887309.5,1,2
2025-05-26,581.9,599.9,565.5,568.38,-0.37,23795.0,13705661.1,-1,1
2025-05-25,587.0,598.0,565.0,570.5,-1.4,31651.0,18315839.4,-1,2
2025-05-22,581.0,583.0,560.0,578.6,-0.31,28314.0,16204827.4,-1,3
2025-05-21,597.3,621.0,580.0,580.42,-0.9,30809.0,18205668.8,-1,4
2025-05-20,567.0,589.8,565.0,585.68,3.14,14582.0,8389007.4,1,5
2025-05-19,557.0,577.0,557.0,567.83,0.52,19715.0,11262397.2,1,6
2025-05-18,560.5,574.0,560.5,564.89,-0.17,8460.0,4793356.6,-1,7
2025-05-15,567.0,578.5,564.0,565.88,-0.23,10592.0,6005357.6,-1,8
2025-05-14,573.0,573.0,565.3,567.19,-1.22,16078.0,9156005.0,-1,9
2025-05-13,576.0,582.9,572.0,574.2,0.26,12600.0,7236254.3,1,10
2025-05-11,585.0,585.0,572.1,572.73,-1.51,8418.0,4837864.2,-1,11
2025-05-08,574.0,595.0,574.0,581.49,-0.69,16284.0,9495621.5,-1,12
2025-05-07,555.0,587.9,555.0,585.52,3.59,20948.0,12147902.9,1,13
2025-05-06,559.0,571.0,559.0,565.21,0.09,24647.0,13912851.8,1,14
2025-05-05,577.0,577.0,561.2,564.69,-0.29,14847.0,8401822.8,-1,15
2025-05-04,567.0,577.0,564.0,566.36,-0.11,11368.0,6480673.3,-1,16
2025-04-30,565.0,575.0,564.1,567.0,-0.59,17715.0,10079705.6,-1,17
2025-04-29,579.0,579.0,566.6,570.39,-1.52,18571.0,10593808.7,-1,18
2025-04-28,580.0,587.0,577.1,579.19,0.29,6458.0,3744839.9,1,19
2025-04-27,592.2,592.2,573.0,577.54,-0.53,22085.0,12776753.8,-1,20
2025-04-24,578.6,589.0,578.0,580.61,-1.34,34503.0,20020692.3,-1,21
2025-04-23,590.0,595.0,575.0,588.51,-1.44,31559.0,18472111.9,-1,22
2025-04-22,596.6,600.0,595.0,597.12,-0.21,9574.0,5722492.3,-1,23
2025-04-21,603.0,607.0,597.5,598.38,-1.79,9043.0,5432825.5,-1,24
2025-04-20,615.0,617.6,605.0,609.3,-0.66,4547.0,2767292.7,-1,25
2025-04-17,614.0,615.0,601.8,613.35,1.56,12179.0,7420739.8,1,26
2025-04-16,600.0,605.0,600.0,603.95,0.83,9262.0,5573270.0,1,27
2025-04-15,602.0,609.0,591.0,598.96,1.32,15086.0,9037068.4,1,28
2025-04-13,593.4,596.5,590.0,591.18,-1.42,6897.0,4079788.8,-1,29
2025-04-10,602.0,603.9,595.0,599.7,-0.09,7102.0,4251130.9,-1,30
2025-04-09,598.0,607.0,595.0,600.27,0.4,21236.0,12753038.3,1,31
2025-04-08,589.0,604.5,582.1,597.87,0.88,17267.0,10171935.1,1,32
2025-04-07,597.1,607.0,592.0,592.68,-1.9,9010.0,5382645.5,-1,33
2025-04-03,605.1,612.0,602.0,604.16,-0.81,9918.0,6034898.0,-1,34
2025-04-02,592.0,613.0,592.0,609.08,1.21,9047.0,5485728.1,1,35
2025-04-01,614.1,614.1,597.0,601.79,-2.01,17986.0,10841461.7,-1,36
2025-03-30,614.1,618.3,605.3,614.13,1.27,14257.0,8753633.5,1,37
2025-03-27,590.0,610.9,590.0,606.42,1.07,19585.0,11766896.4,1,38
2025-03-26,591.0,602.0,585.2,600.0,1.69,11614.0,6904749.8,1,39
2025-03-25,596.0,599.0,584.1,590.04,-2.4,27369.0,16164842.7,-1,40
2025-03-24,595.1,611.4,593.2,604.55,0.84,10797.0,6515497.2,1,41
2025-03-23,610.0,610.0,598.0,599.5,-2.33,25318.0,15262309.8,-1,42
2025-03-20,620.0,620.0,613.6,613.82,-1.28,12287.0,7555571.6,-1,43
2025-03-19,628.0,631.0,620.0,621.8,-1.14,10510.0,6555267.6,-1,44
2025-03-18,629.9,634.9,625.0,629.0,-0.14,7598.0,4765969.7,-1,45
2025-03-17,630.0,634.8,623.0,629.9,0.48,7629.0,4783248.2,1,46
