published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-08-18,370.50,370.50,355.90,363.00,-3.97,95.00,34490.00,-1,1
2025-08-17,365.0,386.0,364.1,378.0,2.72,7961.0,2994482.0,1,1
2025-08-14,368.0,368.0,368.0,368.0,0.81,180.0,66240.0,1,1
2025-08-13,361.2,365.1,361.2,365.05,-0.48,1044.0,380689.8,-1,1
2025-08-12,362.0,368.8,361.6,366.82,-0.38,10520.0,3829568.4,-1,1
2025-08-11,368.1,368.3,368.0,368.23,-1.15,2273.0,836817.8,-1,1
2025-08-07,378.0,380.0,372.5,372.5,0.2,1052.0,398250.0,1,1
2025-08-06,380.0,381.0,371.5,371.77,-1.91,4656.0,1747917.0,-1,1
2025-08-05,378.0,379.0,378.0,379.0,0.98,1010.0,382080.0,1,1
2025-08-04,375.0,378.3,371.0,375.34,1.2,1152.0,432394.0,1,1
2025-08-03,372.1,378.4,369.0,370.9,-1.3,2755.0,1020711.4,-1,1
2025-07-31,365.0,375.8,365.0,375.8,1.99,495.0,181463.1,1,1
2025-07-30,369.2,379.0,362.0,368.48,-2.1,10091.0,3716111.0,-1,1
2025-07-29,384.0,384.0,376.4,376.4,-0.46,8330.0,3147638.0,-1,1
2025-07-28,369.0,380.0,368.1,373.25,-0.47,6370.0,2377650.2,-1,1
2025-07-27,376.0,388.0,374.9,375.0,-1.96,7400.0,2789111.5,-1,1
2025-07-24,392.0,392.0,378.3,382.5,-2.32,14790.0,5684971.4,-1,1
2025-07-23,375.0,398.0,375.0,391.6,4.35,12896.0,4998538.9,1,1
2025-07-22,378.4,386.0,364.6,375.29,1.16,6519.0,2491814.8,1,1
2025-07-21,371.0,378.4,370.0,371.0,-1.89,34737.0,12890420.0,-1,1
2025-07-20,378.1,385.0,378.1,378.16,-1.98,3717.0,1408419.7,-1,1
2025-07-17,378.0,387.0,377.5,385.8,2.88,11253.0,4276630.0,1,1
2025-07-16,365.8,378.0,365.8,375.01,0.54,36012.0,13485354.4,1,1
2025-07-15,365.0,373.0,365.0,373.0,1.85,110.0,40230.0,1,1
2025-07-14,368.5,368.5,365.6,366.21,-2.55,3699.0,1356613.4,-1,1
2025-07-13,369.5,375.8,369.5,375.8,1.98,600.0,222351.0,1,1
2025-07-10,368.5,368.5,368.5,368.5,-1.6,300.0,110550.0,-1,1
2025-07-09,367.5,374.7,367.5,374.5,-0.13,2316.0,851272.0,-1,1
2025-07-07,375.0,375.0,375.0,375.0,0.0,10.0,3750.0,0,1
2025-07-06,371.9,375.0,371.9,375.0,1.68,2500.0,936266.0,1,1
2025-07-03,374.0,374.0,368.0,368.8,-0.05,783.0,289404.0,-1,1
2025-07-02,369.9,370.0,364.0,369.0,0.27,1050.0,387281.8,1,1
2025-07-01,367.9,368.0,367.9,368.0,2.0,2746.0,1010428.0,1,1
2025-06-30,368.1,368.1,360.8,360.8,-0.03,942.0,339946.6,-1,1
2025-06-29,360.0,374.5,360.0,360.9,0.75,8031.0,2938775.2,1,1
2025-06-26,358.1,358.2,358.1,358.2,-0.5,260.0,93125.0,-1,1
2025-06-25,365.0,367.3,358.1,360.0,-0.03,1725.0,629632.5,-1,1
2025-06-24,358.0,366.0,358.0,360.1,-0.15,1685.0,606367.7,-1,1
2025-06-22,361.7,375.3,360.6,360.65,-2.26,5222.0,1931554.4,-1,1
2025-06-19,363.0,369.0,363.0,369.0,0.27,227.0,83001.0,1,1
2025-06-18,363.8,368.0,363.8,368.0,1.93,4360.0,1596070.0,1,1
2025-06-17,360.0,361.2,358.1,361.02,-0.13,3982.0,1434904.3,-1,1
2025-06-16,361.0,367.0,361.0,361.5,-1.77,3176.0,1147273.8,-1,1
2025-06-15,360.0,369.0,360.0,368.03,1.39,3272.0,1195534.0,1,1
2025-06-12,368.0,382.8,361.1,363.0,-1.36,5279.0,1978193.9,-1,1
2025-06-11,362.5,368.0,355.4,368.0,1.49,9010.0,3255889.8,1,1
2025-06-10,369.0,376.0,362.0,362.59,0.16,1620.0,597245.0,1,1
2025-06-09,366.8,366.8,362.0,362.0,-1.31,2252.0,817624.0,-1,1
2025-06-08,367.0,367.0,347.9,366.8,-1.93,16083.0,5677777.5,-1,1
2025-06-05,367.0,377.2,367.0,374.0,3.12,6304.0,2347358.0,1,1
2025-06-04,369.8,369.8,362.7,362.7,-0.63,110.0,39968.0,-1,1
2025-06-03,369.0,370.0,362.2,365.0,-0.54,3750.0,1385130.0,-1,2
2025-06-02,368.0,370.0,366.9,367.0,0.55,2665.0,979294.0,1,1
2025-05-28,358.0,365.0,358.0,365.0,-0.01,1000.0,361500.0,-1,1
2025-05-27,365.0,368.0,365.0,365.02,-1.61,3033.0,1107795.0,-1,2
2025-05-26,367.0,374.0,366.6,371.0,2.97,910.0,333928.0,1,1
2025-05-25,360.0,367.3,360.0,360.3,0.03,10923.0,3974778.0,1,2
2025-05-22,374.0,376.1,360.0,360.19,-2.35,37778.0,13728899.0,-1,3
2025-05-21,365.0,372.3,361.0,368.84,1.05,5664.0,2078269.0,1,4
2025-05-20,365.0,365.0,365.0,365.0,0.34,200.0,73000.0,1,5
2025-05-19,358.1,365.5,358.1,363.78,1.06,1593.0,575953.4,1,6
2025-05-18,353.2,360.0,353.2,359.95,0.83,2220.0,799014.0,1,7
2025-05-15,360.0,360.0,357.0,357.0,-0.83,1721.0,618897.0,-1,8
2025-05-14,353.0,360.0,353.0,360.0,0.0,2095.0,746595.0,0,9
2025-05-13,359.0,365.8,359.0,360.0,0.37,2340.0,848152.7,1,10
2025-05-11,358.1,359.0,358.0,358.66,0.18,6750.0,2422530.0,1,11
2025-05-08,364.0,364.0,358.0,358.0,-0.62,3688.0,1321689.0,-1,12
2025-05-07,365.0,366.0,360.0,360.25,-0.76,1400.0,504481.0,-1,13
2025-05-06,359.8,364.0,359.8,363.0,-1.06,14069.0,5066378.0,-1,14
2025-05-05,365.0,370.0,360.0,366.9,0.38,2220.0,800369.0,1,15
2025-05-04,360.0,365.5,347.0,365.5,1.53,16453.0,5895834.3,1,16
2025-04-30,352.0,372.9,350.0,360.0,2.15,17576.0,6280885.0,1,17
2025-04-29,353.1,353.1,351.1,352.41,-1.31,8079.0,2844557.9,-1,18
2025-04-28,356.0,357.1,355.9,357.1,-0.83,3800.0,1354547.0,-1,19
2025-04-27,363.9,364.0,358.2,360.1,0.0,2640.0,949594.9,0,20
2025-04-24,358.6,360.1,353.0,360.1,-1.59,7211.0,2575025.2,-1,21
2025-04-23,353.3,365.9,353.3,365.9,3.89,1545.0,549193.0,1,22
2025-04-22,355.1,359.0,352.1,352.19,-1.41,5664.0,2001875.2,-1,23
2025-04-21,357.1,363.4,356.1,357.22,-0.23,7154.0,2558651.1,-1,24
2025-04-20,357.3,359.0,357.2,358.05,-0.23,1400.0,501140.0,-1,25
2025-04-17,363.2,370.0,358.6,358.89,-1.89,9589.0,3502798.1,-1,26
2025-04-16,362.2,367.0,360.2,365.8,0.37,24460.0,8928458.2,1,27
2025-04-15,368.0,370.9,363.6,364.45,0.22,2463.0,905291.5,1,28
2025-04-13,366.0,367.0,359.0,363.65,0.96,7381.0,2663514.6,1,29
2025-04-10,366.0,368.0,360.1,360.18,-0.19,15250.0,5511981.0,-1,30
2025-04-09,362.6,370.0,360.3,360.86,-2.47,4970.0,1806209.0,-1,31
2025-04-08,362.0,373.0,358.0,369.99,0.19,38045.0,13811095.8,1,32
2025-04-07,360.1,369.8,353.2,369.3,0.65,22269.0,7999674.0,1,33
2025-04-03,363.6,367.0,360.1,366.9,-1.11,7045.0,2546582.1,-1,34
2025-04-02,366.2,373.0,361.3,371.0,2.76,6542.0,2400849.7,1,35
2025-04-01,365.0,374.0,359.0,361.04,0.21,16241.0,5899189.4,1,36
2025-03-30,359.7,403.5,354.0,360.27,-1.79,76123.0,27593522.6,-1,37
2025-03-27,366.2,379.0,359.0,366.85,-1.82,99105.0,36737585.5,-1,38
