published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-10-09,269.9,283.0,265.1,265.1,0.15,219448.0,59913545.5,1,1
2025-10-08,266.5,267.0,258.0,264.7,-0.68,145358.0,37999856.4,-1,1
2025-10-07,270.0,273.0,263.0,266.5,-2.88,148622.0,39490972.0,-1,1
2025-09-28,274.0,276.0,270.0,274.4,0.51,76227.0,20778240.8,1,1
2025-09-25,275.6,279.4,268.8,273.0,-0.36,108839.0,29631619.8,-1,1
2025-09-24,281.0,281.0,270.0,274.0,-2.49,167531.0,45817952.4,-1,1
2025-09-23,279.3,285.0,274.0,281.0,2.59,189939.0,53262202.8,1,1
2025-09-21,245.3,275.3,245.3,273.91,9.43,268607.0,71757811.1,1,1
2025-09-18,265.0,265.0,245.0,250.3,-7.39,22665.0,5682290.1,-1,1
2025-09-08,270.7,281.5,269.0,270.26,-2.14,127024.0,34439785.6,-1,1
2025-09-07,272.5,282.5,272.5,276.17,-0.68,94277.0,26102352.8,-1,1
2025-09-04,279.3,283.0,275.7,278.06,-0.77,134860.0,37533101.4,-1,1
2025-09-03,287.0,287.0,279.29,280.22,-0.51,128999.0,36200292.4,-1,1
2025-09-02,283.0,284.9,280.2,281.66,-0.58,144639.0,40871690.0,-1,1
2025-09-01,277.5,287.0,277.5,283.29,0.05,83065.0,23480455.7,1,1
2025-08-31,285.1,288.8,282.3,283.14,-1.54,170986.0,48490262.7,-1,1
2025-08-28,291.0,296.0,287.0,287.56,-2.33,151856.0,44086393.3,-1,1
2025-08-27,279.8,296.0,279.8,294.41,3.25,184316.0,53515267.4,1,1
2025-08-26,282.5,288.0,282.5,285.14,-0.33,137054.0,39105425.9,-1,1
2025-08-25,280.0,286.9,280.0,286.07,0.69,78353.0,22298987.1,1,1
2025-08-24,280.3,289.0,280.3,284.12,-0.65,100316.0,28538797.4,-1,1
2025-08-21,285.0,288.6,284.2,285.97,-0.14,218215.0,62342478.2,-1,1
2025-08-20,282.5,290.0,282.5,286.37,-0.63,273321.0,78457799.2,-1,1
2025-08-19,280.8,292.0,280.8,288.18,0.59,177968.0,51352136.1,1,1
2025-08-18,290.0,290.0,282.1,286.48,0.42,169780.0,48487468.6,1,1
2025-08-17,288.0,291.4,284.0,285.27,-1.39,181589.0,51974565.3,-1,1
2025-08-14,290.0,291.8,285.0,289.29,0.33,193740.0,55848434.4,1,1
2025-08-13,282.3,292.0,282.3,288.33,0.1,137270.0,39702228.1,1,1
2025-08-12,282.8,292.0,282.8,288.04,-0.18,164752.0,47625018.2,-1,1
2025-08-11,298.9,298.9,288.0,288.56,-1.91,290368.0,84458340.0,-1,1
2025-08-07,290.0,295.0,289.0,294.19,1.27,164637.0,48126666.1,1,1
2025-08-06,283.9,293.5,283.9,290.49,0.28,163840.0,47644649.4,1,1
2025-08-05,295.0,298.0,289.0,289.69,-2.01,298941.0,87175931.8,-1,1
2025-08-04,289.6,300.7,289.6,295.63,0.05,290388.0,85703902.5,1,1
2025-08-03,294.7,305.0,294.7,295.48,-1.74,313020.0,93121182.8,-1,1
2025-07-31,300.7,309.8,299.0,300.7,-1.97,488131.0,148132602.1,-1,1
2025-07-30,312.0,316.0,306.0,306.74,-1.74,332023.0,102764620.8,-1,1
