published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-05-26,1032.80,1032.80,985.10,987.36,-2.49,7988.00,8078769.50,-1,1
2025-05-25,987.00,1024.90,987.00,1012.60,2.77,12383.00,12526099.30,1,2
2025-05-22,963.90,994.00,950.00,985.33,3.71,10773.00,10503054.50,1,3
2025-05-21,977.90,978.00,947.00,950.08,-0.91,3467.00,3329946.10,-1,4
2025-05-20,930.10,962.00,930.00,958.78,1.31,3208.00,3056782.10,1,5
2025-05-19,960.00,960.00,946.00,946.40,0.21,2114.00,2010124.20,1,6
2025-05-18,927.30,955.70,927.30,944.40,1.84,2202.00,2082041.50,1,7
2025-05-15,925.17,943.60,925.17,927.30,0.23,611.00,570924.50,1,8
2025-05-14,941.00,941.00,924.00,925.17,-1.11,3100.00,2872488.50,-1,9
2025-05-13,935.10,937.20,925.00,935.52,-0.36,2405.00,2243734.00,-1,10
2025-05-11,924.00,950.00,922.00,938.94,-0.12,2331.00,2189613.00,-1,11
2025-05-08,942.00,957.00,940.00,940.08,-0.62,3410.00,3211871.80,-1,12
2025-05-07,943.90,957.00,928.00,945.97,2.06,3969.00,3756890.00,1,13
2025-05-06,924.00,930.00,910.00,926.90,0.27,4117.00,3788751.10,1,14
2025-05-05,948.00,948.00,920.10,924.39,-0.56,1816.00,1684888.80,-1,15
2025-05-04,925.00,938.60,925.00,929.55,0.00,4008.00,3728070.70,0,16
2025-04-30,950.00,955.90,927.30,929.51,-1.76,5200.00,4848490.80,-1,17
2025-04-29,940.10,957.30,934.00,946.20,0.40,2384.00,2243188.90,1,18
2025-04-28,955.00,959.90,941.00,942.47,-1.19,5110.00,4848516.40,-1,19
2025-04-27,945.85,964.70,945.10,953.81,0.84,4609.00,4376414.00,1,20
2025-04-24,950.00,962.90,942.20,945.85,-0.50,2910.00,2756430.70,-1,21
2025-04-23,952.00,960.00,950.00,950.62,-1.25,2609.00,2479928.60,-1,22
2025-04-22,970.00,970.00,962.20,962.64,0.02,1606.00,1549788.00,1,23
2025-04-21,958.50,970.00,958.50,962.46,0.19,642.00,617609.20,1,24
2025-04-20,966.20,971.10,959.30,960.63,-1.38,2363.00,2275476.00,-1,25
