published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-07-24,450.0,461.0,448.1,454.89,0.64,292197.0,132867899.8,1,1
2025-07-23,450.0,458.5,437.1,451.99,0.53,223888.0,100170608.3,1,1
2025-07-22,420.0,452.0,419.6,449.59,7.14,380023.0,166350422.8,1,1
2025-07-21,426.0,426.0,413.0,419.64,0.26,79843.0,33485791.8,1,1
2025-07-20,422.0,429.9,415.1,418.56,-0.25,153007.0,64762529.6,-1,1
2025-07-17,407.5,424.0,407.5,419.6,3.07,125709.0,52738459.6,1,1
2025-07-16,405.0,411.0,405.0,407.11,0.42,105809.0,43202769.5,1,1
2025-07-15,401.0,407.8,400.0,405.4,1.16,33560.0,13538713.9,1,1
2025-07-14,409.0,409.0,400.0,400.75,-1.94,46220.0,18637194.9,-1,1
2025-07-13,414.2,414.2,405.0,408.67,0.62,77395.0,31604564.5,1,1
2025-07-10,404.2,410.8,404.0,406.17,0.28,57759.0,23491492.4,1,1
2025-07-09,400.0,407.7,400.0,405.05,0.11,31429.0,12735427.1,1,1
2025-07-08,395.1,406.0,395.1,404.62,0.83,40248.0,16216490.6,1,1
2025-07-07,407.0,410.0,400.0,401.27,-1.87,67609.0,27324706.9,-1,1
2025-07-06,407.3,417.8,407.3,408.92,-1.6,180195.0,73804847.5,-1,1
2025-07-03,406.0,420.0,402.0,415.58,2.59,132822.0,54585608.5,1,1
2025-07-02,395.0,406.9,392.8,405.09,2.57,114281.0,46108888.9,1,1
2025-07-01,395.9,398.0,388.1,394.93,1.31,65399.0,25733605.0,1,1
2025-06-30,391.0,392.9,385.5,389.82,1.01,33175.0,12929003.9,1,1
2025-06-29,381.0,389.0,378.0,385.94,1.71,54022.0,20698806.6,1,1
2025-06-26,382.04,385.0,377.7,379.46,-0.68,60463.0,23023471.4,-1,1
2025-06-25,383.07,386.0,381.0,382.04,-0.27,29980.0,11494070.9,-1,1
2025-06-24,384.0,389.9,382.0,383.07,-0.31,44376.0,17051586.2,-1,1
2025-06-23,391.4,391.4,380.3,384.28,0.12,43771.0,16772184.7,1,1
2025-06-22,388.0,390.0,383.0,383.81,-0.82,57605.0,22213076.1,-1,1
2025-06-19,390.51,394.0,385.0,387.0,-0.9,76958.0,29888437.1,-1,1
2025-06-18,389.0,392.7,385.0,390.51,0.55,55448.0,21574442.3,1,1
2025-06-17,390.5,394.5,386.6,388.38,-0.47,58210.0,22696435.4,-1,1
2025-06-16,392.0,398.5,386.0,390.2,-0.15,87011.0,34143305.2,-1,1
2025-06-15,395.2,400.7,389.0,390.77,-1.43,122996.0,48349186.4,-1,1
2025-06-12,398.0,402.0,395.0,396.42,-0.99,54830.0,21804687.7,-1,1
2025-06-11,409.0,409.0,400.0,400.37,-2.09,41584.0,16706048.1,-1,1
2025-06-10,408.0,410.1,400.0,408.92,2.17,156648.0,63182404.7,1,1
2025-06-09,403.0,405.0,399.0,400.24,-0.33,80062.0,32136275.4,-1,1
2025-06-08,408.0,409.0,399.5,401.58,-0.93,70280.0,28244892.8,-1,1
2025-06-05,406.0,408.0,403.0,405.35,-0.11,34170.0,13845070.7,-1,1
2025-06-04,409.0,410.7,402.6,405.78,-0.71,57632.0,23384537.2,-1,1
2025-06-03,415.0,415.0,408.1,408.68,-0.52,32211.0,13173470.1,-1,2
2025-06-02,415.0,417.0,410.0,410.81,-0.09,47784.0,19696434.4,-1,1
2025-05-28,405.0,413.0,403.0,411.18,0.79,59435.0,24136178.7,1,1
2025-05-27,411.0,412.0,407.0,407.97,-0.8,14865.0,6070383.7,-1,2
2025-05-26,420.0,420.0,411.0,411.28,-0.14,38710.0,16025032.9,-1,1
2025-05-25,417.0,421.0,410.1,411.84,-0.77,20821.0,8617947.0,-1,2
2025-05-22,419.0,419.0,410.0,415.04,1.02,47098.0,19527446.8,1,3
2025-05-21,419.0,430.0,410.7,410.83,0.0,75018.0,31280121.9,0,4
2025-05-20,400.1,415.0,400.1,410.82,0.99,70146.0,28597027.5,1,5
2025-05-19,404.2,409.0,404.0,406.78,0.74,32548.0,13232946.2,1,6
2025-05-18,402.0,410.1,401.1,403.79,-0.07,35456.0,14347025.3,-1,7
2025-05-15,408.0,410.0,403.0,404.08,-0.74,51159.0,20723850.8,-1,8
2025-05-14,415.0,416.0,406.0,407.11,-0.64,28034.0,11465742.4,-1,9
2025-05-13,415.0,418.0,409.0,409.75,-0.42,32757.0,13485842.1,-1,10
2025-05-11,421.0,423.0,410.9,411.47,-1.26,46039.0,19043459.7,-1,11
2025-05-08,418.0,425.0,416.0,416.74,-1.11,25850.0,10820672.3,-1,12
2025-05-07,409.1,425.0,409.0,421.43,2.87,69097.0,28817829.5,1,13
2025-05-06,409.3,416.9,409.0,409.66,-0.49,73411.0,30137766.3,-1,14
2025-05-05,412.0,418.0,410.1,411.66,-0.83,27912.0,11533590.8,-1,15
2025-05-04,417.1,420.0,414.8,415.09,0.06,70953.0,29646383.2,1,16
2025-04-30,412.0,418.9,412.0,414.85,0.02,64797.0,26878826.8,1,17
2025-04-29,418.0,421.0,412.8,414.78,-0.56,41738.0,17370156.5,-1,18
2025-04-28,417.0,422.0,416.1,417.12,-0.16,52352.0,21892714.4,-1,19
2025-04-27,421.0,422.0,412.0,417.77,-0.62,53377.0,22348837.2,-1,20
2025-04-24,416.0,422.0,416.0,420.38,-0.39,48964.0,20522895.4,-1,21
2025-04-23,422.6,426.0,417.0,422.04,-0.3,81174.0,34142842.3,-1,22
2025-04-22,421.0,428.0,421.0,423.33,-0.04,39989.0,16956232.2,-1,23
2025-04-21,425.5,429.0,422.4,423.5,-0.83,27590.0,11717282.1,-1,24
2025-04-20,430.0,430.0,426.6,427.06,-0.47,31502.0,13478144.4,-1,25
2025-04-17,429.9,432.0,421.5,429.06,0.84,50087.0,21448388.4,1,26
2025-04-16,436.0,436.0,421.2,425.47,-0.5,34209.0,14560603.1,-1,27
2025-04-15,432.0,432.0,418.0,427.59,0.92,50132.0,21147746.7,1,28
2025-04-13,427.0,432.0,418.0,423.71,-0.89,44528.0,18774233.5,-1,29
2025-04-10,431.3,433.0,426.5,427.5,-0.52,60748.0,26014876.8,-1,30
2025-04-09,431.0,436.0,428.0,429.72,-0.46,20750.0,8940753.4,-1,31
2025-04-08,425.0,434.5,421.0,431.69,0.11,50815.0,21659247.3,1,32
2025-04-07,438.0,439.0,426.0,431.22,-1.76,39452.0,17024184.5,-1,33
2025-04-03,442.0,450.8,430.0,438.93,1.28,79364.0,34673287.3,1,34
2025-04-02,434.7,443.0,420.0,433.38,1.69,45102.0,19392789.1,1,35
2025-04-01,424.1,429.0,422.4,426.18,-0.8,42300.0,18004595.5,-1,36
2025-03-30,428.0,442.0,426.1,429.63,0.26,79349.0,34328833.6,1,37
2025-03-27,427.0,432.4,423.2,428.51,1.02,52906.0,22616802.5,1,38
2025-03-26,412.1,427.0,412.1,424.19,3.09,35644.0,14963324.2,1,39
2025-03-25,415.0,420.0,410.0,411.49,-1.77,59895.0,24715986.3,-1,40
2025-03-24,412.0,422.0,412.0,418.91,0.21,64807.0,27090858.0,1,41
2025-03-23,425.0,426.9,417.1,418.03,-1.76,50119.0,21153671.9,-1,42
2025-03-20,425.5,429.9,425.0,425.51,0.0,29807.0,12687277.0,0,43
2025-03-19,427.1,434.9,425.1,425.5,-0.82,86256.0,36803525.8,-1,44
2025-03-18,428.0,435.0,427.4,429.0,-0.26,20858.0,8970215.0,-1,45
2025-03-17,427.0,435.5,427.0,430.1,-0.21,30926.0,13332588.5,-1,46
2025-03-16,437.1,438.0,428.0,431.0,-1.37,46739.0,20148082.2,-1,47
2025-03-12,435.0,443.7,432.0,437.0,0.02,31643.0,13834919.2,1,48
2025-03-11,440.0,445.0,435.0,436.9,-1.33,50508.0,22204497.8,-1,49
2025-03-10,443.0,452.0,440.3,442.8,-0.72,52695.0,23411796.1,-1,50
2024-12-12,466.3,472.0,463.3,463.4,-1.61,30772.0,14348626.6,-1,1
2024-12-11,460.0,471.2,458.0,471.0,2.17,27922.0,12946230.4,1,1
2024-12-10,458.0,465.2,458.0,461.0,0.22,44922.0,20775160.7,1,1
2024-12-09,460.0,465.1,458.0,460.0,-0.65,46967.0,21667849.0,-1,2
2024-12-08,468.0,469.0,461.0,463.0,-1.26,57463.0,26647797.4,-1,3
2024-12-05,473.0,477.0,468.0,468.9,-0.87,61929.0,29210020.5,-1,4
2024-12-04,484.5,484.5,473.0,473.0,-0.42,41711.0,19849478.9,-1,5
2024-12-03,476.0,483.0,473.4,475.0,-0.4,58164.0,27662012.1,-1,6
2024-12-02,474.0,485.0,474.0,476.9,0.17,76235.0,36525394.3,1,7
2024-12-01,488.3,488.3,470.0,476.1,-0.56,74250.0,35230993.4,-1,8
2024-11-28,485.0,490.0,478.8,478.8,-1.07,63190.0,30547950.8,-1,9
2024-11-27,480.0,487.0,475.0,484.0,0.83,57994.0,28103781.5,1,10
2024-11-26,482.3,485.2,472.8,480.0,1.5,55986.0,26827909.7,1,11
2024-11-25,474.0,477.0,464.0,472.9,0.08,42592.0,20042472.0,1,12
2024-11-24,472.2,483.4,470.0,472.5,-0.94,63475.0,30089609.7,-1,13
2024-11-21,491.9,491.9,473.0,477.0,-1.24,58485.0,27945061.7,-1,14
2024-11-20,483.5,488.0,480.0,483.0,-0.02,50140.0,24186614.5,-1,15
2024-11-19,491.3,500.0,483.0,483.1,-2.4,90287.0,44215602.0,-1,16
2024-11-17,505.0,506.0,494.0,495.0,-0.4,111718.0,55901420.9,-1,17
2024-11-14,496.0,500.0,491.2,497.0,0.18,72739.0,36204311.8,1,18
2024-11-13,510.0,510.0,494.1,496.1,-1.37,92055.0,45923435.7,-1,19
2024-11-12,517.9,517.9,500.3,503.0,-0.96,104078.0,52687318.7,-1,20
2024-11-11,501.0,512.4,496.0,507.9,3.29,265763.0,134001926.7,1,21
2024-11-10,489.0,493.5,481.0,491.7,2.44,99717.0,48804786.1,1,22
2024-11-06,491.0,491.0,476.0,480.0,-0.41,35561.0,17041955.8,-1,23
2024-11-05,473.4,488.9,473.4,482.0,-0.21,30696.0,14819249.4,-1,24
2024-10-30,496.0,496.0,479.3,483.0,-1.02,27895.0,13446924.5,-1,25
2024-10-29,477.9,490.6,476.2,488.0,2.31,81597.0,39521944.2,1,26
2024-10-28,465.0,477.2,465.0,477.0,1.38,17924.0,8509862.1,1,27
2024-10-27,467.0,474.0,466.0,470.5,0.75,27771.0,13038954.4,1,28
2024-10-24,470.2,470.2,462.6,467.0,-1.06,37173.0,17332842.3,-1,29
2024-10-23,476.0,485.0,472.0,472.0,-0.84,37286.0,17737429.9,-1,30
2024-10-22,476.1,486.5,470.5,476.0,0.21,33145.0,15833769.9,1,31
2024-10-21,479.0,484.5,473.5,475.0,-1.25,67478.0,32195062.2,-1,32
2024-10-20,491.0,493.6,480.0,481.0,-2.04,77592.0,37597728.6,-1,33
2024-10-17,494.3,507.0,488.1,491.0,-1.74,71995.0,35818725.8,-1,34
2024-10-16,479.0,503.9,479.0,499.7,3.56,97021.0,48325456.5,1,35
2024-10-15,486.2,486.2,471.0,482.5,1.22,23328.0,11254583.6,1,36
2024-10-09,483.0,483.0,472.5,476.7,0.1,24434.0,11654434.7,1,37
2024-10-08,488.0,488.0,476.0,476.2,-2.42,40181.0,19339264.6,-1,38
2024-10-07,482.1,495.0,482.1,488.0,1.24,73902.0,36222492.5,1,39
2024-10-06,470.0,483.0,467.0,482.0,1.9,71665.0,34187929.5,1,40
2024-10-02,479.8,484.4,466.1,473.0,-0.42,86899.0,41123083.9,-1,41
2024-10-01,455.0,479.0,455.0,475.0,4.4,121041.0,56829610.2,1,42
2024-09-30,442.0,460.0,442.0,455.0,1.79,45521.0,20706444.3,1,43
2024-09-29,440.1,448.0,439.1,447.0,0.0,56876.0,25200834.7,0,44
2024-09-26,457.0,461.9,446.2,447.0,-2.21,53557.0,24236141.8,-1,45
2024-09-25,448.0,462.0,445.4,457.1,2.05,78015.0,35224587.2,1,46
2024-09-24,445.0,462.0,445.0,447.9,-1.13,96395.0,43320708.9,-1,47
2024-09-23,475.5,475.5,452.0,453.0,-2.83,60419.0,27652758.3,-1,48
2024-09-22,473.2,482.6,464.6,466.2,0.47,79482.0,37495553.3,1,49
2024-09-18,470.2,470.5,454.0,464.0,0.65,80983.0,37582020.7,1,50
2024-09-16,472.0,476.0,460.0,461.0,-2.33,93993.0,43787706.1,-1,51
2024-09-15,490.0,498.0,470.0,472.0,-3.65,220041.0,106765299.4,-1,52
2024-09-12,470.2,490.0,462.0,489.9,6.27,104666.0,49643910.6,1,53
2024-09-11,463.1,473.9,460.6,461.0,-0.45,120319.0,56109146.3,-1,54
2024-09-10,480.0,485.0,463.1,463.1,-2.71,141552.0,66883433.1,-1,55
2024-09-09,485.0,495.0,473.1,476.0,-2.66,168174.0,80485559.7,-1,56
2024-09-08,500.0,501.1,485.1,489.0,-2.2,113098.0,55695845.3,-1,57
2024-09-05,493.0,506.0,492.0,500.0,-0.6,139378.0,69418654.3,-1,58
2024-09-04,529.3,529.3,496.0,503.0,-3.08,241851.0,122675346.9,-1,59
2024-09-03,499.0,527.3,499.0,519.0,2.77,296574.0,153408643.5,1,60
2024-09-02,481.0,505.0,480.0,505.0,4.95,229167.0,113951399.1,1,61
2024-09-01,494.0,498.5,480.0,481.2,-1.8,160295.0,78125320.0,-1,62
2024-08-29,500.7,507.0,481.0,490.0,-1.61,257654.0,126984232.8,-1,63
2024-08-28,499.0,527.0,496.0,498.0,0.1,263711.0,133426725.2,1,64
2024-08-27,524.0,527.0,496.3,497.5,-5.24,348889.0,178462584.2,-1,65
2024-08-25,538.1,543.0,521.9,525.0,-2.43,327710.0,173396303.1,-1,66
2024-08-22,535.0,550.0,535.0,538.1,0.0,310477.0,168500969.3,0,67
2024-08-21,554.0,554.8,538.1,538.1,-1.08,225020.0,122295474.4,-1,68
2024-08-18,565.0,574.0,540.1,544.0,-3.55,475602.0,263533906.2,-1,69
2024-08-15,580.2,584.9,560.0,564.0,-0.86,510284.0,290820162.2,-1,70
2024-08-14,581.0,581.0,550.1,568.9,-0.19,495817.0,279650497.9,-1,71
2024-08-13,587.9,607.0,561.0,570.0,-1.11,582556.0,336855030.5,-1,72
2024-08-12,520.0,576.4,520.0,576.4,10.0,1021936.0,572543881.0,1,73
2024-08-11,493.0,533.0,489.4,524.0,8.04,750619.0,385179932.3,1,74
2024-08-08,490.5,506.0,480.0,485.0,-1.12,415537.0,204586836.6,-1,75
2024-08-07,466.0,491.0,459.0,490.5,5.71,410840.0,196560248.6,1,76
