published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-07-01,528.90,533.00,517.10,524.62,1.15,107568.00,56320579.60,1,1
2025-06-30,527.0,534.9,515.2,518.65,-1.74,67735.0,35508771.1,-1,1
2025-06-29,530.0,540.6,524.0,527.86,-2.34,79765.0,42300148.4,-1,1
2025-06-26,558.0,558.0,530.0,540.51,-1.73,480771.0,259536115.1,-1,1
2025-06-25,592.5,592.5,549.0,550.03,-9.02,201131.0,112025422.5,-1,1
2025-06-24,550.0,613.0,550.0,604.58,7.87,412718.0,238597683.7,1,1
2025-06-23,570.1,575.0,550.0,560.49,0.25,477746.0,268787586.8,1,1
2025-06-22,550.0,564.0,545.0,559.08,0.88,172388.0,95984471.2,1,1
2025-06-19,565.0,570.0,546.0,554.18,-1.12,141197.0,77990782.2,-1,1
2025-06-18,561.0,580.0,559.0,560.47,-2.06,155738.0,88033381.4,-1,1
2025-06-17,561.2,575.0,558.0,572.24,0.67,138213.0,78505707.9,1,1
2025-06-16,578.0,590.0,559.0,568.45,0.02,366715.0,212419411.1,1,1
2025-06-15,546.0,580.0,546.0,568.36,2.02,306315.0,174438719.7,1,1
2025-06-12,535.0,563.8,535.0,557.1,3.1,317586.0,175665721.3,1,1
2025-06-11,551.0,562.1,535.5,540.34,-3.43,189009.0,103073007.2,-1,1
2025-06-10,555.0,576.3,546.1,559.51,2.69,420234.0,236380838.1,1,1
2025-06-09,536.0,566.1,519.2,544.86,1.54,232084.0,126470230.1,1,1
2025-06-08,492.0,540.0,487.4,536.61,7.95,253584.0,131788098.8,1,1
2025-06-05,492.0,500.0,483.0,497.08,2.35,127089.0,62849845.5,1,1
2025-06-04,483.0,490.0,477.1,485.67,0.97,77949.0,37671319.9,1,1
2025-06-03,488.0,497.0,480.1,481.0,-1.36,52257.0,25257929.6,-1,2
2025-06-02,499.4,509.3,486.1,487.63,-0.41,93136.0,45843051.3,-1,1
2025-05-28,483.1,502.0,481.3,489.66,0.59,97071.0,47434923.7,1,1
2025-05-27,490.1,494.7,483.1,486.79,-1.05,104997.0,51200371.5,-1,2
2025-05-26,500.0,507.5,491.0,491.97,-0.55,68786.0,34134897.8,-1,1
2025-05-25,490.0,514.0,488.1,494.71,0.45,431164.0,212394063.5,1,2
2025-05-22,510.0,510.0,490.1,492.47,-1.83,86013.0,42846409.9,-1,3
2025-05-21,519.1,538.0,500.0,501.65,-1.44,62905.0,32189883.7,-1,4
2025-05-20,490.0,520.0,490.0,508.99,3.25,90807.0,45939438.2,1,5
2025-05-19,489.0,500.0,489.0,492.95,0.83,86795.0,43016815.5,1,6
2025-05-18,507.0,507.0,488.0,488.9,-2.16,89145.0,44255413.1,-1,7
2025-05-15,501.0,511.0,497.0,499.71,-1.42,94355.0,47425267.2,-1,8
2025-05-14,534.2,534.2,503.0,506.93,-3.64,123884.0,63601369.3,-1,9
2025-05-13,505.6,542.0,505.6,526.1,3.53,382303.0,200229031.4,1,10
2025-05-11,533.9,533.9,505.0,508.14,-3.25,168426.0,86464903.0,-1,11
2025-05-08,543.0,553.0,521.4,525.22,-3.34,266969.0,142037912.3,-1,12
2025-05-07,540.2,570.1,540.0,543.39,-1.41,206098.0,113292790.7,-1,13
2025-05-06,570.0,573.0,547.5,551.17,-5.18,281487.0,156954248.3,-1,14
2025-05-05,633.0,633.0,581.3,581.3,-9.99,207695.0,121399819.6,-1,15
2025-05-04,592.5,660.0,577.0,645.85,6.83,422606.0,256548846.9,1,16
2025-04-30,573.0,621.0,568.1,604.56,7.06,619165.0,359427966.9,1,17
2025-04-29,565.0,601.0,563.6,564.69,0.58,168346.0,95989416.9,1,18
2025-04-28,575.0,576.0,559.0,561.41,-1.61,165041.0,93587264.2,-1,19
2025-04-27,585.7,585.7,568.4,570.61,-0.63,293488.0,168362335.1,-1,20
2025-04-24,589.0,591.6,567.0,574.23,-0.67,156035.0,90336422.6,-1,21
2025-04-23,589.5,589.5,570.0,578.11,-0.57,129854.0,74819379.1,-1,22
2025-04-22,600.0,606.0,580.0,581.41,-3.38,694617.0,409498326.7,-1,23
2025-04-21,606.6,620.0,599.9,601.78,-2.77,586127.0,355566698.5,-1,24
2025-04-20,655.0,655.0,616.0,618.91,-7.33,330336.0,207437445.6,-1,25
2025-04-17,663.0,711.0,600.0,667.89,0.89,2531957.0,1582511706.0,1,26
2025-04-16,638.0,670.0,626.0,661.99,5.82,486024.0,315770203.7,1,27
2025-04-15,612.0,630.0,611.5,625.56,3.82,482328.0,300952874.4,1,28
2025-04-13,593.2,614.8,593.2,602.57,0.3,257854.0,156082207.7,1,29
2025-04-10,619.0,620.1,596.9,600.78,-2.72,177939.0,107723485.1,-1,30
2025-04-09,625.0,630.0,615.0,617.56,-0.55,281745.0,174664740.3,-1,31
2025-04-08,637.2,637.2,605.0,620.99,-0.6,178590.0,109990317.4,-1,32
2025-04-07,651.0,655.0,618.0,624.75,-4.32,334081.0,214068619.8,-1,33
2025-04-03,645.0,670.0,632.0,652.93,1.87,530423.0,340249341.2,1,34
2025-04-02,630.1,644.5,608.0,640.92,3.44,355885.0,224906390.5,1,35
2025-04-01,613.0,627.9,597.9,619.59,3.07,347130.0,212901958.9,1,36
2025-03-30,594.8,618.0,580.7,601.16,2.12,197076.0,120082410.5,1,37
2025-03-27,588.0,594.0,580.0,588.7,0.36,74237.0,43620239.4,1,38
2025-03-26,580.0,592.5,570.0,586.58,3.0,40801.0,23796578.3,1,39
2025-03-25,573.5,585.9,563.0,569.47,-2.67,77647.0,44269435.7,-1,40
2025-03-24,596.0,596.0,574.2,585.12,0.08,43277.0,25278543.2,1,41
2025-03-23,617.9,617.9,583.1,584.67,-3.93,121843.0,71711184.5,-1,42
2025-03-20,616.0,616.0,593.3,608.61,0.7,123709.0,74955711.1,1,43
2025-03-19,620.4,644.0,574.0,604.4,-4.52,226339.0,138395016.3,-1,44
2025-03-18,587.0,633.0,577.0,633.0,9.9,113172.0,66472633.4,1,45
2025-03-17,579.0,598.0,575.0,576.0,-2.37,68309.0,39564902.6,-1,46
2025-03-16,588.0,605.0,580.0,590.0,-1.67,87166.0,50975546.7,-1,47
2025-03-12,580.0,601.7,576.0,600.0,2.39,118444.0,70677799.9,1,48
2025-03-11,608.5,609.5,580.0,586.0,-4.72,128097.0,75872564.4,-1,49
2025-03-10,627.0,627.0,600.0,615.0,0.0,138274.0,84036606.0,0,50
2024-12-12,415.0,418.8,408.0,408.0,-1.21,56982.0,23598251.9,-1,1
2024-12-11,413.0,414.0,409.0,413.0,0.49,31425.0,12950714.7,1,1
2024-12-10,419.5,419.5,410.0,411.0,-1.3,46164.0,19091910.4,-1,1
2024-12-09,424.0,424.0,414.0,416.4,-0.1,34675.0,14441367.2,-1,2
2024-12-08,419.0,424.0,413.6,416.8,0.19,76972.0,32150668.0,1,3
2024-12-05,426.3,426.3,409.0,416.0,-0.48,79420.0,32901322.9,-1,4
2024-12-04,425.0,429.0,416.0,418.0,0.02,72156.0,30503074.7,1,5
2024-12-03,430.0,430.0,417.0,417.9,-1.67,79780.0,33833430.5,-1,6
2024-12-02,425.0,431.0,419.1,425.0,1.36,114632.0,48810412.2,1,7
2024-12-01,433.6,433.6,414.0,419.3,-1.36,116623.0,49217364.4,-1,8
2024-11-28,436.5,436.5,408.1,425.1,-0.68,290363.0,122063257.6,-1,9
2024-11-27,400.1,432.0,400.1,428.0,6.97,242664.0,102059222.3,1,10
2024-11-26,396.7,404.9,392.2,400.1,2.85,93376.0,37272622.4,1,11
2024-11-25,393.7,398.0,380.3,389.0,0.78,71232.0,27776153.9,1,12
2024-11-24,402.9,410.0,386.0,386.0,-2.28,66332.0,26460812.2,-1,13
2024-11-21,405.0,408.0,393.1,395.0,-1.5,31846.0,12669038.7,-1,14
2024-11-20,401.8,404.9,388.2,401.0,1.78,67262.0,26821063.5,1,15
2024-11-19,415.1,415.1,386.2,394.0,-3.19,193331.0,77918629.0,-1,16
2024-11-17,395.7,418.0,395.7,407.0,4.9,174221.0,71432843.4,1,17
2024-11-14,370.0,398.7,358.0,388.0,6.33,189698.0,73914645.1,1,18
2024-11-13,350.1,377.9,348.0,364.9,3.96,54509.0,19561839.6,1,19
2024-11-12,360.0,361.9,350.9,351.0,-1.68,30717.0,10930564.0,-1,20
2024-11-11,352.0,357.9,348.0,357.0,2.59,69394.0,24501871.2,1,21
2024-11-10,338.2,353.0,338.1,348.0,3.88,51111.0,17712371.9,1,22
2024-11-06,335.0,339.1,332.5,335.0,0.6,26830.0,9033929.6,1,23
2024-11-05,338.0,338.0,331.4,333.0,0.3,17119.0,5711024.5,1,24
2024-10-30,341.0,341.0,330.1,332.0,-2.06,45716.0,15221049.2,-1,25
2024-10-29,341.3,347.9,335.0,339.0,1.28,20505.0,6947276.5,1,26
2024-10-28,320.3,341.0,320.3,334.7,2.98,27132.0,9087102.2,1,27
2024-10-27,321.0,333.0,314.7,325.0,0.25,71556.0,23340976.9,1,28
2024-10-24,316.5,330.0,310.0,324.2,2.5,23528.0,7549584.0,1,29
2024-10-23,326.2,326.2,310.1,316.3,-1.13,23882.0,7512700.6,-1,30
2024-10-22,318.0,327.8,313.0,319.9,1.52,41376.0,13103963.5,1,31
2024-10-21,329.0,334.5,315.1,315.1,-3.96,31986.0,10327806.6,-1,32
2024-10-20,344.0,346.0,328.1,328.1,-4.62,34573.0,11677743.1,-1,33
2024-10-17,348.0,352.9,343.0,344.0,-1.15,20675.0,7215288.0,-1,34
2024-10-16,332.0,354.8,330.2,348.0,3.91,28062.0,9717388.9,1,35
2024-10-15,332.5,337.0,325.0,334.9,2.73,19174.0,6334557.4,1,36
2024-10-09,315.3,340.1,315.3,326.0,2.0,16766.0,5435085.3,1,37
2024-10-08,325.0,331.5,319.6,319.6,-1.66,22954.0,7499713.9,-1,38
2024-10-07,315.1,337.8,315.1,325.0,1.09,44009.0,14564458.7,1,39
2024-10-06,306.8,322.0,306.8,321.5,2.72,15733.0,4993945.5,1,40
2024-10-02,313.0,320.0,308.0,313.0,-1.85,28114.0,8820415.2,-1,41
2024-10-01,303.0,318.9,303.0,318.9,7.01,37776.0,11759308.0,1,42
2024-09-30,294.0,301.7,294.0,298.0,1.71,15658.0,4682876.9,1,43
2024-09-29,300.0,300.0,290.1,293.0,-0.68,16477.0,4837675.1,-1,44
2024-09-26,312.0,314.0,295.0,295.0,-4.16,24449.0,7435686.6,-1,45
2024-09-25,301.9,310.0,296.0,307.8,3.99,27442.0,8308530.4,1,46
2024-09-24,307.3,310.0,296.0,296.0,-1.76,42656.0,12942261.2,-1,47
2024-09-23,322.0,323.3,300.1,301.3,-4.95,42019.0,13037338.1,-1,48
2024-09-22,319.5,338.0,316.1,317.0,-0.78,35234.0,11318911.9,-1,49
2024-09-18,322.1,334.0,319.5,319.5,-2.59,22432.0,7277263.3,-1,50
2024-09-16,345.7,345.7,321.1,328.0,-3.24,39767.0,13119141.0,-1,51
2024-09-15,360.6,364.0,336.0,339.0,-4.13,62683.0,22047894.9,-1,52
2024-09-12,343.7,359.8,336.4,353.6,4.93,153973.0,52639763.9,1,53
2024-09-11,351.0,352.0,334.0,337.0,-2.6,42871.0,14605131.7,-1,54
2024-09-10,367.0,373.0,341.2,346.0,-3.89,60201.0,21370569.4,-1,55
2024-09-09,375.0,403.0,359.0,360.0,-4.0,120362.0,44583956.5,-1,56
2024-09-08,377.0,388.0,372.0,375.0,0.81,185323.0,69931380.6,1,57
