published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-08-03,1103.80,1105.00,1053.00,1058.21,-4.12,666334.00,715566759.10,-1,1
2025-07-31,1109.0,1139.9,1091.6,1103.73,1.51,1195623.0,1338816770.0,1,1
2025-07-30,1063.0,1111.0,1056.2,1087.35,2.66,1211491.0,1321218195.0,1,1
2025-07-29,1045.0,1075.0,1045.0,1059.18,1.34,497059.0,527790627.7,1,1
2025-07-28,1068.8,1068.8,1030.0,1045.2,-0.26,475291.0,495273122.8,-1,1
2025-07-27,1091.0,1091.0,1044.0,1047.89,-2.06,656580.0,700095310.0,-1,1
2025-07-24,1065.0,1100.0,1065.0,1069.98,-0.99,476695.0,513083767.5,-1,1
2025-07-23,1060.3,1089.0,1042.1,1080.69,2.06,729485.0,781028433.2,1,1
2025-07-22,1040.1,1061.2,1030.4,1058.86,1.86,533910.0,560128479.0,1,1
2025-07-21,996.0,1046.1,990.0,1039.54,4.37,736709.0,752803938.2,1,1
2025-07-20,993.3,1020.0,975.0,996.0,2.27,563638.0,566270305.0,1,1
2025-07-17,941.2,980.0,930.0,973.92,5.54,288141.0,277094695.0,1,1
2025-07-16,915.0,935.0,915.0,922.78,0.82,169639.0,157005951.5,1,1
2025-07-15,925.0,927.0,913.0,915.28,0.06,114099.0,104690400.7,1,1
2025-07-14,919.0,933.0,912.0,914.75,-1.38,105285.0,96941464.2,-1,1
2025-07-13,950.3,950.3,923.0,927.52,-0.45,162656.0,151901692.9,-1,1
2025-07-10,920.0,940.5,920.0,931.68,0.54,133555.0,124582108.8,1,1
2025-07-09,920.0,935.0,918.0,926.72,0.32,116498.0,107787238.9,1,1
2025-07-08,930.0,935.0,917.0,923.78,-0.95,99777.0,92130838.1,-1,1
2025-07-07,960.0,963.0,930.1,932.63,-1.47,179282.0,169288383.1,-1,1
2025-07-06,925.0,954.0,918.0,946.58,4.35,362849.0,342470070.2,1,1
2025-07-03,915.0,915.0,901.0,907.1,0.2,95369.0,86509007.5,1,1
2025-07-02,896.0,910.0,890.0,905.25,1.01,75107.0,67980260.8,1,1
2025-07-01,899.9,900.0,882.3,896.22,0.52,47203.0,42218942.8,1,1
2025-06-30,894.9,900.0,890.0,891.57,-0.21,47239.0,42217663.7,-1,1
2025-06-29,875.0,900.0,870.5,893.47,2.04,129876.0,115486185.6,1,1
2025-06-26,878.0,883.5,875.0,875.64,-0.15,52817.0,46417304.9,-1,1
2025-06-25,885.0,894.0,875.2,876.92,-0.9,62395.0,54919274.3,-1,1
2025-06-24,894.0,901.0,883.0,884.87,-0.01,65820.0,58651630.6,-1,1
2025-06-23,886.1,895.9,880.0,884.95,-0.43,66621.0,58893505.1,-1,1
2025-06-22,894.0,902.0,886.0,888.75,-0.58,94173.0,84086184.8,-1,1
2025-06-19,881.9,911.9,881.9,893.97,-0.62,93582.0,83960535.1,-1,1
2025-06-18,900.1,910.0,897.0,899.53,-0.59,116539.0,105147133.5,-1,1
2025-06-17,915.0,915.0,903.0,904.91,-0.06,78164.0,70969002.3,-1,1
2025-06-16,913.5,922.0,901.0,905.47,-0.9,131625.0,119981243.2,-1,1
2025-06-15,925.0,928.0,912.0,913.66,-0.43,154620.0,141712796.0,-1,1
2025-06-12,927.7,933.0,915.0,917.6,-1.09,196388.0,180610023.4,-1,1
2025-06-11,939.0,940.0,926.0,927.72,-1.06,107782.0,100236551.5,-1,1
2025-06-10,944.0,953.9,935.0,937.62,-0.18,125074.0,117587153.0,-1,1
2025-06-09,910.0,942.0,910.0,939.3,2.84,166379.0,155438260.0,1,1
2025-06-08,930.0,935.0,910.0,913.37,-1.55,131188.0,120363442.9,-1,1
2025-06-05,912.0,943.0,912.0,927.78,-0.3,100124.0,93163111.4,-1,1
2025-06-04,936.0,944.0,925.0,930.61,-0.56,119150.0,110982349.5,-1,1
