published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-07-15,637.00,637.00,626.50,630.80,0.90,13546.00,8562302.70,1,1
2025-07-14,630.0,638.5,624.0,625.16,-1.61,25869.0,16227837.8,-1,1
2025-07-13,636.2,655.0,632.2,635.37,1.85,27450.0,17534243.1,1,1
2025-07-10,627.5,634.0,623.0,623.81,0.29,16690.0,10425889.5,1,1
2025-07-09,628.0,628.0,618.6,622.03,-0.19,10060.0,6246886.0,-1,1
2025-07-08,620.0,626.0,614.0,623.21,0.97,13828.0,8602786.3,1,1
2025-07-07,643.8,643.8,616.0,617.25,-2.69,23549.0,14634982.8,-1,1
2025-07-06,627.0,650.0,627.0,634.3,1.01,60032.0,38491743.1,1,1
2025-07-03,617.0,640.0,615.9,627.98,2.12,49472.0,31118608.0,1,1
2025-07-02,616.9,616.9,607.0,614.96,1.39,21460.0,13165556.5,1,1
2025-07-01,613.9,613.9,605.2,606.53,0.72,6957.0,4220145.1,1,1
2025-06-30,611.5,611.6,602.0,602.2,0.42,10334.0,6258679.9,1,1
2025-06-29,591.0,603.0,591.0,599.68,0.87,12106.0,7254074.8,1,1
2025-06-26,600.0,601.8,590.2,594.52,-0.68,10950.0,6511593.0,-1,1
2025-06-25,610.0,610.0,595.0,598.62,-0.18,10562.0,6321400.1,-1,1
2025-06-24,600.1,612.0,598.0,599.68,-1.07,15160.0,9131923.9,-1,1
2025-06-23,590.0,616.0,590.0,606.16,1.25,18632.0,11257599.3,1,1
2025-06-22,600.1,609.0,588.0,598.7,-1.6,25023.0,14955118.8,-1,1
2025-06-19,613.6,615.0,607.4,608.43,-0.85,16297.0,9952306.3,-1,1
2025-06-18,626.9,626.9,610.0,613.62,-0.99,9622.0,5917955.5,-1,1
2025-06-17,624.0,624.0,613.0,619.74,0.77,17955.0,11108727.0,1,1
2025-06-16,636.0,636.0,613.7,614.99,-1.42,23218.0,14377106.4,-1,1
2025-06-15,620.2,641.4,620.0,623.82,1.07,35779.0,22525957.3,1,1
2025-06-12,613.0,632.0,610.0,617.2,0.51,26235.0,16291440.98,1,1
2025-06-11,625.0,630.0,613.0,614.09,-1.36,15870.0,9842409.3,-1,1
2025-06-10,605.0,625.0,601.6,622.57,3.46,34279.0,21175959.4,1,1
2025-06-09,602.0,609.0,599.0,601.76,0.26,16566.0,9979527.7,1,1
