published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-12-05,1291.00,1305.00,1291.00,1300.00,0.70,97.00,126127.00,1,1
2024-12-04,1295.00,1295.00,1291.00,1291.00,0.46,230.00,297770.00,1,2
2024-12-03,1285.10,1285.10,1285.10,1285.10,0.00,50.00,64255.00,0,3
2024-12-02,1285.10,1285.10,1285.10,1285.10,-1.90,25.00,32127.50,-1,4
2024-12-01,1310.00,1310.00,1310.00,1310.00,0.00,70.00,91700.00,0,5
2024-11-27,1290.00,1310.00,1284.00,1310.00,2.02,343.00,444719.50,1,6
2024-11-26,1288.18,1288.18,1284.10,1284.10,-0.36,100.00,128450.80,-1,7
2024-11-24,1288.19,1315.00,1288.19,1288.70,-0.10,836.00,1092892.50,-1,8
2024-11-21,1300.50,1300.50,1290.00,1290.00,-0.77,215.00,278400.00,-1,9
2024-11-19,1299.00,1300.00,1299.00,1300.00,1.96,270.00,350910.00,1,10
2024-11-17,1254.60,1275.00,1250.00,1275.00,3.66,120.00,150296.00,1,11
2024-11-06,1230.00,1230.00,1230.00,1230.00,1.65,60.00,73800.00,1,12
2024-11-05,1210.00,1210.00,1210.00,1210.00,-1.63,20.00,24200.00,-1,13
2024-10-30,1230.00,1230.00,1230.00,1230.00,0.82,35.00,43050.00,1,14
2024-10-29,1220.00,1220.00,1220.00,1220.00,1.67,100.00,122000.00,1,15
2024-10-20,1200.00,1200.00,1200.00,1200.00,0.00,90.00,108000.00,0,16
2024-09-29,1205.00,1205.00,1200.00,1200.00,-2.04,412.00,494950.00,-1,17
2024-09-25,1225.00,1225.00,1225.00,1225.00,-2.00,70.00,85750.00,-1,18
2024-09-23,1250.00,1250.00,1250.00,1250.00,-0.08,80.00,100000.00,-1,19
2024-09-22,1240.00,1251.00,1240.00,1251.00,-0.86,235.00,292885.00,-1,20
2024-09-18,1261.00,1261.90,1261.00,1261.90,1.36,150.00,189240.00,1,21
2024-09-16,1245.00,1245.00,1245.00,1245.00,1.22,30.00,37350.00,1,22
2024-09-15,1230.00,1230.00,1230.00,1230.00,0.00,58.00,71340.00,0,23
2024-09-10,1230.00,1230.00,1230.00,1230.00,0.00,25.00,30750.00,0,24
2024-09-03,1229.00,1230.00,1220.00,1230.00,2.07,210.00,257290.00,1,25
2024-09-02,1205.00,1205.00,1205.00,1205.00,-0.25,10.00,12050.00,-1,26
2024-09-01,1210.00,1210.00,1208.00,1208.00,-0.98,250.00,302020.00,-1,27
2024-08-29,1225.00,1225.00,1220.00,1220.00,-0.33,250.00,305825.00,-1,28
2024-08-28,1220.00,1224.00,1220.00,1224.00,2.00,165.00,201440.00,1,29
2024-08-27,1201.00,1201.00,1200.00,1200.00,0.17,239.00,286810.00,1,30
2024-08-21,1198.00,1200.00,1198.00,1198.00,0.00,380.00,455540.00,0,31
2024-08-18,1198.00,1198.00,1198.00,1198.00,0.16,81.00,97038.00,1,32
2024-08-15,1196.00,1196.10,1196.00,1196.10,0.01,64.00,76547.90,1,33
2024-08-14,1196.00,1196.00,1196.00,1196.00,0.00,287.00,343252.00,0,34
2024-08-13,1195.19,1196.00,1195.00,1196.00,0.07,300.00,358576.15,1,35
2024-08-12,1195.20,1195.20,1195.20,1195.20,0.02,65.00,77688.00,1,36
2024-08-11,1195.00,1195.00,1195.00,1195.00,-3.63,126.00,150790.00,-1,37
2024-08-08,1238.10,1240.00,1238.10,1240.00,-1.84,30.00,37181.00,-1,38
2024-08-05,1289.00,1289.00,1289.00,1289.00,0.00,1.00,1263.30,0,39
2024-08-01,1289.00,1300.50,1289.00,1289.00,1.94,1.00,1289.00,1,40
2024-07-31,1240.00,1240.00,1240.00,1240.00,0.00,1.00,1264.50,0,41
2024-07-30,1217.00,1217.00,1217.00,1217.00,0.00,1.00,1240.00,0,42
2024-07-29,1194.00,1194.00,1194.00,1194.00,1.93,1.00,1217.00,1,43
2024-07-24,1190.00,1194.00,1190.00,1194.00,1.62,297.00,354518.00,1,44
2024-07-22,1171.30,1177.00,1171.20,1175.00,-1.67,135.00,158587.50,-1,45
2024-07-21,1199.00,1200.00,1195.00,1195.00,1.27,250.00,299780.00,1,46
2024-07-18,1165.10,1180.00,1165.00,1180.00,0.43,325.00,379452.50,1,47
2024-07-17,1175.00,1175.00,1175.00,1175.00,0.00,100.00,117500.00,0,48
2024-07-16,1199.80,1199.80,1170.50,1175.00,-9.65,256.00,302660.70,-1,49
2024-07-14,1275.00,1300.50,1275.00,1300.50,4.04,20.00,25755.00,1,50
2024-07-11,1250.00,1250.00,1250.00,1250.00,1.63,50.00,62500.00,1,51
2024-07-10,1230.00,1230.00,1230.00,1230.00,-1.60,69.00,84870.00,-1,52
2024-07-09,1250.00,1250.00,1250.00,1250.00,0.81,200.00,250000.00,1,53
2024-07-08,1240.00,1240.00,1240.00,1240.00,-0.64,100.00,124000.00,-1,54
2024-07-07,1225.00,1248.00,1225.00,1248.00,1.13,34.00,41880.00,1,55
2024-07-03,1225.00,1234.00,1225.00,1234.00,1.98,60.00,73715.00,1,56
2024-06-30,1222.00,1222.00,1210.00,1210.00,-1.22,275.00,334850.00,-1,57
2024-06-25,1225.00,1225.00,1225.00,1225.00,-1.92,50.00,61250.00,-1,58
2024-06-24,1249.00,1249.00,1249.00,1249.00,1.96,25.00,31225.00,1,59
2024-06-20,1225.00,1225.00,1225.00,1225.00,0.00,200.00,245000.00,0,60
2024-06-19,1230.00,1230.00,1225.00,1225.00,-0.41,210.00,257825.00,-1,61
2024-06-16,1230.00,1230.00,1230.00,1230.00,0.00,125.00,153750.00,0,62
2024-06-12,1230.00,1230.00,1230.00,1230.00,-1.99,50.00,61500.00,-1,63
2024-06-11,1235.00,1255.00,1235.00,1255.00,1.62,225.00,278375.00,1,64
2024-06-06,1235.00,1235.00,1235.00,1235.00,1.23,25.00,30875.00,1,65
2024-06-04,1220.00,1220.00,1220.00,1220.00,-0.41,25.00,30500.00,-1,66
2024-06-03,1223.00,1225.00,1223.00,1225.00,0.16,128.00,156700.00,1,67
2024-05-27,1223.00,1223.00,1223.00,1223.00,-0.57,13.00,15899.00,-1,68
2024-05-26,1230.00,1230.00,1230.00,1230.00,1.23,175.00,215250.00,1,69
2024-05-21,1215.10,1215.10,1215.00,1215.00,0.41,350.00,425260.00,1,70
2024-05-19,1210.00,1210.00,1210.00,1210.00,0.38,125.00,151250.00,1,71
2024-05-16,1230.00,1230.00,1205.40,1205.40,-2.00,355.00,433767.00,-1,72
2024-05-15,1215.00,1230.00,1215.00,1230.00,1.40,194.00,236270.00,1,73
2024-05-14,1190.00,1213.00,1190.00,1213.00,0.66,150.00,179650.00,1,74
2024-05-12,1205.00,1205.00,1205.00,1205.00,0.00,200.00,241000.00,0,75
2024-05-09,1212.00,1212.00,1205.00,1205.00,0.00,212.00,255544.00,0,76
2024-05-07,1205.00,1205.00,1205.00,1205.00,0.00,200.00,241000.00,0,77
2024-05-06,1200.00,1205.00,1196.00,1205.00,-1.23,720.00,864350.00,-1,78
2024-05-05,1220.00,1220.00,1220.00,1220.00,-0.81,250.00,305000.00,-1,79
2024-04-30,1230.00,1230.00,1230.00,1230.00,0.00,190.00,233700.00,0,80
2024-04-29,1210.00,1230.00,1210.00,1230.00,1.65,138.00,169080.00,1,81
2024-04-24,1230.00,1230.00,1210.00,1210.00,-0.82,110.00,133300.00,-1,82
2024-04-22,1225.00,1225.00,1220.00,1220.00,-0.81,289.00,353080.00,-1,83
2024-04-18,1199.90,1230.00,1199.90,1230.00,4.24,435.00,528050.00,1,84
2024-04-10,1180.00,1180.00,1180.00,1180.00,0.00,150.00,177000.00,0,85
2024-04-09,1180.00,1180.00,1180.00,1180.00,0.17,25.00,29500.00,1,86
2024-04-07,1178.00,1178.00,1178.00,1178.00,1.12,30.00,35340.00,1,87
2024-04-04,1165.00,1165.00,1165.00,1165.00,0.43,150.00,174750.00,1,88
2024-04-03,1160.00,1160.00,1160.00,1160.00,-0.85,50.00,58000.00,-1,89
2024-03-31,1185.00,1185.00,1170.00,1170.00,-0.85,300.00,353250.00,-1,90
2024-03-28,1180.00,1180.00,1180.00,1180.00,0.00,200.00,236000.00,0,91
2024-03-27,1170.00,1180.00,1170.00,1180.00,1.72,200.00,234950.00,1,92
2024-03-26,1160.00,1160.00,1160.00,1160.00,0.17,424.00,491840.00,1,93
2024-03-25,1160.00,1160.00,1158.00,1158.00,1.14,155.00,179740.00,1,94
2024-03-21,1145.00,1145.00,1145.00,1145.00,0.44,100.00,114500.00,1,95
2024-03-19,1140.00,1140.00,1140.00,1140.00,1.33,100.00,114000.00,1,96
2024-03-17,1125.00,1125.00,1125.00,1125.00,1.17,25.00,28125.00,1,97
2024-03-13,1112.00,1112.00,1112.00,1112.00,-1.16,20.00,22240.00,-1,98
2024-03-12,1120.00,1125.00,1120.00,1125.00,1.35,371.00,416425.00,1,99
2024-03-06,1110.00,1110.00,1110.00,1110.00,0.23,30.00,33300.00,1,100
2024-02-29,1107.50,1107.50,1107.50,1107.50,-1.99,25.00,27687.50,-1,101
2024-02-26,1130.00,1130.00,1130.00,1130.00,0.71,10.00,11300.00,1,102
2024-02-21,1122.00,1122.00,1122.00,1122.00,2.00,101.00,113322.00,1,103
2024-02-14,1105.00,1105.00,1100.00,1100.00,-0.90,835.00,918725.00,-1,104
