published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-09-03,525.00,526.00,520.00,521.77,-0.23,12931.00,6751439.00,-1,1
2025-09-02,528.05,533.0,522.4,522.97,-0.96,6606.0,3461458.4,-1,1
2025-09-01,526.0,530.9,522.3,528.05,0.18,7495.0,3937878.6,1,1
2025-08-31,530.6,537.0,526.0,527.12,-0.67,9787.0,5167922.6,-1,1
2025-08-28,540.0,543.9,529.2,530.65,-1.34,14163.0,7602226.4,-1,1
2025-08-27,535.0,540.0,527.3,537.86,1.88,20434.0,10937990.7,1,1
2025-08-26,537.0,537.0,527.0,527.94,-0.48,6282.0,3321314.1,-1,1
2025-08-25,528.2,531.0,528.0,530.48,0.26,6204.0,3287491.7,1,1
2025-08-24,535.0,535.0,525.2,529.12,0.24,9608.0,5078638.1,1,1
2025-08-21,518.0,536.0,518.0,527.87,-0.12,12691.0,6706622.0,-1,1
2025-08-20,516.3,533.0,516.3,528.49,0.33,8899.0,4724976.0,1,1
2025-08-19,515.2,532.0,515.2,526.74,0.2,15041.0,7929910.0,1,1
2025-08-18,516.1,528.9,516.1,525.67,-0.17,15632.0,8230776.4,-1,1
2025-08-17,528.1,537.0,525.2,526.59,-0.84,26839.0,14183880.9,-1,1
2025-08-14,533.67,537.8,529.0,531.06,-0.49,16827.0,8958981.0,-1,1
2025-08-13,535.0,543.0,531.2,533.67,-0.29,12520.0,6710414.4,-1,1
2025-08-12,530.1,548.9,530.1,535.24,-0.1,21276.0,11406870.1,-1,1
2025-08-11,546.0,555.0,535.2,535.77,-2.24,31198.0,16880956.4,-1,1
2025-08-07,545.1,552.0,544.0,548.05,0.5,25858.0,14146310.0,1,1
2025-08-06,556.0,556.0,543.1,545.31,-0.21,10653.0,5812210.0,-1,1
2025-08-05,542.2,562.0,542.2,546.44,-1.22,21609.0,11860856.5,-1,1
2025-08-04,540.7,559.8,540.7,553.21,0.28,29474.0,16267801.5,1,1
2025-08-03,555.5,564.0,551.1,551.67,-0.99,31014.0,17222453.6,-1,1
2025-07-31,577.0,577.0,554.0,557.2,-1.58,31778.0,17758816.6,-1,1
2025-07-30,585.0,585.0,565.0,566.16,-2.43,26079.0,14890123.2,-1,1
2025-07-29,587.9,590.0,575.0,580.29,0.48,48000.0,28040443.5,1,1
2025-07-28,570.0,581.9,556.9,577.5,-0.04,35393.0,20223053.9,-1,1
