published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2023-05-09,372.00,377.00,368.10,373.00,1.63,8988.00,3345779.20,1,1
2023-05-08,370.50,375.00,366.20,367.00,-2.11,12092.00,4468689.50,-1,2
2023-05-07,378.00,378.00,372.00,374.90,-0.82,9623.00,3612996.80,-1,3
2023-05-04,379.00,381.00,375.00,378.00,-0.26,5499.00,2085788.40,-1,4
2023-05-03,376.00,380.00,376.00,379.00,-0.26,4619.00,1745001.50,-1,5
2023-05-02,379.00,380.00,375.00,380.00,0.26,6561.00,2472897.80,1,6
2023-04-30,380.10,386.00,378.20,379.00,-1.56,19031.00,7266140.40,-1,7
2023-04-27,385.00,386.80,381.00,385.00,0.00,11291.00,4328810.30,0,8
2023-04-26,391.90,392.30,383.00,385.00,-0.80,9887.00,3825360.10,-1,9
2023-04-25,383.00,390.00,382.00,388.10,1.68,8295.00,3217442.30,1,10
2023-04-24,376.10,384.90,375.00,381.70,0.18,9284.00,3515068.90,1,11
2023-04-23,378.10,385.60,378.10,381.00,-1.04,6585.00,2511877.30,-1,12
2023-04-20,391.00,394.00,384.00,385.00,-1.53,8036.00,3116646.40,-1,13
2023-04-19,392.00,396.00,380.00,391.00,1.11,32513.00,12528396.20,1,14
2023-04-18,390.40,394.00,386.00,386.70,-0.87,12056.00,4693499.90,-1,15
2023-04-17,396.00,403.00,390.10,390.10,-2.35,11482.00,4524015.70,-1,16
2023-04-16,400.00,403.90,392.00,399.50,0.88,9757.00,3883140.20,1,17
2023-04-13,411.00,412.10,395.60,396.00,-2.70,26078.00,10552999.80,-1,18
2023-04-12,387.00,407.00,387.00,407.00,7.11,26104.00,10381652.50,1,19
2023-04-11,383.90,387.00,379.10,380.00,0.96,10155.00,3898354.80,1,20
2023-04-10,383.00,383.50,373.00,376.40,-0.03,16767.00,6306965.50,-1,21
2023-04-09,382.00,383.00,376.00,376.50,-1.95,18020.00,6844415.10,-1,22
2023-04-06,388.00,392.00,383.10,384.00,-1.03,15411.00,5958062.70,-1,23
2023-04-05,377.10,389.80,377.10,388.00,1.23,11634.00,4503240.60,1,24
2023-04-04,380.00,390.00,380.00,383.30,-0.96,13413.00,5176879.50,-1,25
2023-04-03,399.80,399.80,376.60,387.00,-1.28,21505.00,8327218.70,-1,26
2023-04-02,396.80,412.00,385.00,392.00,0.49,19014.00,7471047.00,1,27
2023-03-30,399.00,400.90,390.10,390.10,-0.99,21157.00,8417590.90,-1,28
2023-03-29,400.00,400.00,390.50,394.00,-0.25,8456.00,3337525.50,-1,29
2023-03-28,393.00,399.90,385.00,395.00,0.77,158133.00,61513253.50,1,30
2023-03-27,386.00,395.00,381.40,392.00,1.82,22584.00,8729838.00,1,31
2023-03-26,396.70,396.70,382.00,385.00,-1.28,11865.00,4552332.00,-1,32
2023-03-23,382.10,394.70,381.00,390.00,1.27,11736.00,4534042.60,1,33
2023-03-22,386.20,399.90,383.80,385.10,-2.26,53546.00,20834955.00,-1,34
2023-03-20,400.20,409.90,385.00,394.00,-3.00,195904.00,76392442.90,-1,35
2023-03-19,403.00,411.00,403.00,406.20,-0.68,12357.00,5017490.60,-1,36
2023-03-16,408.00,415.00,406.00,409.00,-0.49,8340.00,3407753.40,-1,37
2023-03-15,415.00,415.00,410.00,411.00,-1.91,7421.00,3062234.60,-1,38
2023-03-14,417.00,420.00,410.00,419.00,2.39,5971.00,2475052.50,1,39
2023-03-13,408.70,413.00,407.30,409.20,-1.40,5253.00,2151832.10,-1,40
2023-03-12,431.00,432.00,410.00,415.00,-1.87,24034.00,10074682.60,-1,41
2023-03-09,413.50,423.90,413.00,422.90,4.32,20030.00,8361124.90,1,42
2023-03-07,398.60,415.10,398.60,405.40,0.10,12928.00,5294854.20,1,43
2023-03-05,410.00,415.00,400.00,405.00,-1.22,9116.00,3687236.20,-1,44
