published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-07-24,1066.50,1145.00,1066.50,1122.79,3.17,28645.00,31660381.90,1,1
2025-07-23,1092.7,1094.1,1053.0,1088.25,1.58,20073.0,21548137.9,1,1
2025-07-22,996.0,1080.0,996.0,1071.31,8.36,39926.0,41551929.8,1,1
2025-07-21,964.0,1009.0,952.0,988.62,2.56,22472.0,22254877.3,1,1
2025-07-20,952.0,1020.0,951.1,963.92,0.07,16485.0,16260132.3,1,1
2025-07-17,933.8,976.0,914.0,963.25,5.17,18897.0,17850022.7,1,1
2025-07-16,890.0,925.0,890.0,915.94,3.81,10590.0,9592000.3,1,1
2025-07-15,890.0,890.0,867.1,882.29,0.38,2502.0,2200230.0,1,1
2025-07-14,884.0,894.0,865.1,878.99,-0.61,2935.0,2564385.1,-1,1
2025-07-13,876.6,907.0,861.0,884.42,2.91,10298.0,9080447.2,1,1
2025-07-10,855.0,867.0,840.0,859.42,2.21,3743.0,3199315.6,1,1
2025-07-09,859.0,859.0,836.0,840.83,-0.46,4134.0,3484641.2,-1,1
2025-07-08,832.0,852.0,832.0,844.68,0.05,1907.0,1606571.2,1,1
2025-07-07,861.0,878.0,844.0,844.23,-2.71,6725.0,5712034.3,-1,1
2025-07-06,846.0,880.0,846.0,867.78,2.58,9590.0,8285757.5,1,1
2025-07-03,845.0,864.0,844.4,845.94,-1.81,2915.0,2471201.5,-1,1
2025-07-02,875.0,875.0,850.3,861.56,-0.05,2751.0,2369089.3,-1,1
2025-07-01,849.9,865.0,833.0,862.01,3.4,6420.0,5464952.4,1,1
2025-06-30,824.0,839.0,820.0,833.66,1.18,4172.0,3455864.4,1,1
2025-06-29,818.0,828.6,810.0,823.92,0.74,1619.0,1325810.2,1,1
2025-06-26,805.0,853.0,795.2,817.9,1.56,4772.0,3844750.7,1,1
2025-06-25,805.0,815.0,800.1,805.32,-0.25,1787.0,1439199.0,-1,1
2025-06-24,820.0,830.0,806.0,807.3,-1.22,3416.0,2777234.3,-1,1
2025-06-23,838.0,838.0,816.0,817.29,-0.53,1112.0,913994.3,-1,1
2025-06-22,818.1,834.9,818.1,821.62,-1.13,2701.0,2221326.6,-1,1
2025-06-19,840.0,840.0,830.4,830.97,-1.92,2585.0,2160005.9,-1,1
2025-06-18,837.1,856.7,837.1,847.27,-0.23,1679.0,1413786.2,-1,1
2025-06-17,845.5,859.9,830.1,849.2,2.44,3917.0,3313872.8,1,1
2025-06-16,853.4,853.4,820.3,828.95,-0.93,6011.0,5031502.1,-1,1
2025-06-15,845.0,858.9,832.0,836.72,-1.27,3097.0,2599876.6,-1,1
2025-06-12,850.0,870.9,839.0,847.49,-0.83,4493.0,3818328.3,-1,1
2025-06-11,850.0,865.0,834.0,854.62,0.57,3193.0,2711023.6,1,1
2025-06-10,875.1,892.6,841.1,849.81,-0.95,1613.0,1376698.9,-1,1
2025-06-09,831.6,870.9,831.6,857.98,1.3,1319.0,1121512.2,1,1
2025-06-08,835.1,850.0,830.5,847.0,0.53,4154.0,3470816.3,1,1
2025-06-05,873.0,889.9,840.0,842.53,-1.57,1580.0,1335876.5,-1,1
2025-06-04,855.0,878.0,854.0,855.96,-0.63,1375.0,1183577.9,-1,1
2025-06-03,875.0,892.5,850.5,861.38,-1.56,2908.0,2523076.8,-1,2
2025-06-02,896.9,905.0,874.1,875.0,-0.5,2034.0,1799539.6,-1,1
2025-05-28,880.0,890.0,877.0,879.37,-1.79,1885.0,1658479.5,-1,1
2025-05-27,885.0,904.9,876.0,895.4,-0.44,933.0,827981.5,-1,2
2025-05-26,930.0,945.0,890.0,899.32,-1.59,5696.0,5168378.7,-1,1
2025-05-25,899.8,930.0,883.5,913.86,2.54,9945.0,9083083.9,1,2
2025-05-22,886.0,900.0,860.0,891.18,2.5,13042.0,11588168.1,1,3
2025-05-21,888.0,924.0,862.4,869.48,-0.16,3599.0,3150905.6,-1,4
2025-05-20,850.1,875.0,850.1,870.88,0.47,2116.0,1836133.6,1,5
2025-05-19,880.0,883.0,849.3,866.84,0.02,4072.0,3509378.9,1,6
2025-05-18,820.2,870.0,820.2,866.63,4.9,8197.0,7023258.7,1,7
2025-05-15,825.2,849.0,825.0,826.11,-1.05,1711.0,1419378.9,-1,8
2025-05-14,826.0,856.0,826.0,834.88,-0.72,2991.0,2505760.7,-1,9
2025-05-13,855.01,855.01,830.0,840.95,-1.64,4197.0,3508848.6,-1,10
2025-05-11,869.0,869.9,841.5,855.01,-0.33,4661.0,3985418.8,-1,11
2025-05-08,880.9,880.9,853.0,857.83,-1.34,2808.0,2414907.4,-1,12
2025-05-07,855.04,871.0,822.3,869.44,1.68,4913.0,4216004.3,1,13
2025-05-06,825.0,890.0,824.0,855.04,1.77,4783.0,3985923.2,1,14
2025-05-05,842.1,858.0,839.0,840.18,-0.96,3409.0,2867998.6,-1,15
2025-05-04,883.0,883.0,847.0,848.31,-2.05,2968.0,2533032.1,-1,16
2025-04-30,890.0,890.0,860.0,866.1,-0.85,1241.0,1076337.3,-1,17
2025-04-29,873.0,879.0,863.2,873.5,-0.49,4553.0,3961123.4,-1,18
2025-04-28,890.0,905.0,875.2,877.83,-0.91,2361.0,2089409.8,-1,19
2025-04-27,900.1,900.1,885.0,885.93,-1.68,3124.0,2774833.5,-1,20
2025-04-24,902.3,913.0,885.0,901.03,-0.14,2412.0,2157523.9,-1,21
2025-04-23,902.0,920.0,897.0,902.3,-0.68,2689.0,2425170.6,-1,22
2025-04-22,915.8,930.0,905.1,908.47,-0.8,1864.0,1696994.9,-1,23
2025-04-21,910.1,928.0,910.1,915.83,-0.97,1710.0,1565314.4,-1,24
2025-04-20,935.5,935.5,918.0,924.82,-1.14,2672.0,2468106.3,-1,25
2025-04-17,920.0,945.0,920.0,935.52,1.14,4262.0,3970763.8,1,26
2025-04-16,917.0,935.0,915.0,925.0,-1.03,2539.0,2335398.5,-1,27
2025-04-15,910.0,945.0,910.0,934.59,2.41,1647.0,1533572.9,1,28
2025-04-13,907.0,936.9,907.0,912.64,-1.02,2820.0,2569224.8,-1,29
2025-04-10,901.3,948.9,901.3,922.04,1.04,2219.0,2043952.9,1,30
2025-04-09,922.0,922.0,905.0,912.58,0.54,3720.0,3390989.1,1,31
2025-04-08,900.1,929.9,883.0,907.7,-0.83,5865.0,5258667.3,-1,32
2025-04-07,916.0,920.0,886.9,915.26,-0.88,2876.0,2615190.5,-1,33
2025-04-03,940.0,949.4,922.0,923.38,-1.76,3336.0,3091275.3,-1,34
2025-04-02,930.0,944.0,929.0,939.9,0.69,1700.0,1595371.9,1,35
2025-04-01,954.0,954.0,918.1,933.45,-0.61,2320.0,2140737.4,-1,36
2025-03-30,932.0,950.0,923.2,939.21,0.74,3356.0,3151166.8,1,37
2025-03-27,932.5,950.0,914.0,932.29,1.97,3722.0,3484605.9,1,38
2025-03-26,920.0,933.0,908.0,914.26,-0.09,3230.0,2963871.7,-1,39
2025-03-25,935.0,952.0,915.0,915.06,-3.63,4254.0,3911410.9,-1,40
2025-03-24,935.91,958.0,926.6,949.52,1.45,1239.0,1175165.5,1,41
2025-03-23,976.0,976.0,930.1,935.91,-2.23,2449.0,2304095.8,-1,42
2025-03-20,970.0,970.0,950.7,957.23,-1.21,3779.0,3630304.9,-1,43
2025-03-19,996.5,996.5,962.3,969.0,-0.82,3183.0,3088596.5,-1,44
2025-03-18,989.9,990.4,971.0,977.0,-0.61,1043.0,1016721.9,-1,45
2025-03-17,972.1,999.8,960.3,983.0,-0.71,3877.0,3782585.6,-1,46
2025-03-16,990.0,1004.0,976.0,990.0,-0.5,4279.0,4226526.7,-1,47
2025-03-12,1019.0,1019.0,991.1,995.0,-2.36,3268.0,3262960.6,-1,48
2025-03-11,1053.0,1053.0,995.0,1019.0,-1.44,6713.0,6915884.8,-1,49
2025-03-10,1070.0,1070.0,1015.0,1033.9,-1.53,17010.0,17855335.0,-1,50
2024-12-12,978.1,1009.0,961.1,990.0,-0.7,2809.0,2761682.7,-1,1
2024-12-11,960.0,997.0,955.3,997.0,2.78,1023.0,996390.7,1,1
2024-12-10,980.0,997.2,960.0,970.0,0.0,1880.0,1824561.5,0,1
2024-12-09,1003.0,1004.0,970.0,970.0,-3.39,4082.0,3997727.7,-1,2
2024-12-08,1007.0,1045.0,990.0,1004.0,-2.23,3707.0,3690393.0,-1,3
2024-12-05,1015.2,1034.0,1015.1,1026.9,-0.78,5102.0,5196908.0,-1,4
2024-12-04,1010.0,1040.0,1010.0,1035.0,2.56,5672.0,5816485.2,1,5
2024-12-03,1039.0,1040.0,1004.0,1009.2,-0.96,3094.0,3139360.9,-1,6
2024-12-02,1033.0,1040.0,1017.0,1019.0,-1.26,4979.0,5108256.0,-1,7
2024-12-01,1057.0,1057.0,1020.2,1032.0,-2.37,6093.0,6313983.9,-1,8
2024-11-28,1048.0,1068.9,1048.0,1057.0,0.86,12697.0,13450486.4,1,9
2024-11-27,1027.0,1070.0,1027.0,1048.0,0.29,3347.0,3512888.9,1,10
2024-11-26,1059.0,1060.8,1020.0,1045.0,0.48,3221.0,3337163.6,1,11
2024-11-25,1022.0,1074.9,1022.0,1040.0,0.1,5676.0,5859041.5,1,12
2024-11-24,1099.9,1099.9,1039.0,1039.0,-3.8,4022.0,4247260.7,-1,13
2024-11-21,1068.0,1104.0,1041.8,1080.0,-0.82,16151.0,17344312.3,-1,14
2024-11-20,1111.0,1120.0,1066.0,1088.9,-0.1,2470.0,2693154.6,-1,15
2024-11-19,1045.0,1145.0,1035.0,1090.0,3.51,33534.0,36675063.1,1,16
2024-11-17,1057.0,1070.0,1041.0,1053.0,-0.44,10693.0,11246349.0,-1,17
2024-11-14,1040.0,1080.0,1022.1,1057.7,-0.22,9596.0,10032009.3,-1,18
2024-11-13,1060.0,1091.0,1052.1,1060.0,-0.93,3597.0,3839219.3,-1,19
2024-11-12,1111.0,1111.0,1066.3,1070.0,-2.28,7572.0,8280101.0,-1,20
2024-11-11,1049.0,1105.0,1049.0,1095.0,4.39,11561.0,12611248.7,1,21
2024-11-10,1015.0,1049.0,1000.0,1049.0,3.35,4549.0,4667675.3,1,22
2024-11-06,990.0,1019.9,990.0,1015.0,0.59,1505.0,1517944.1,1,23
2024-11-05,991.1,1010.0,991.1,1009.0,0.89,314.0,313343.6,1,24
2024-10-30,1000.0,1019.0,980.0,1000.1,-0.91,1682.0,1683379.6,-1,25
2024-10-29,990.0,1009.3,974.1,1009.3,1.64,3657.0,3641657.1,1,26
2024-10-28,969.0,997.0,965.0,993.0,1.33,858.0,842135.9,1,27
2024-10-27,977.0,994.9,961.5,980.0,0.31,1429.0,1382302.1,1,28
2024-10-24,970.5,984.0,970.0,977.0,-0.31,2232.0,2175145.7,-1,29
2024-10-23,986.0,1004.9,980.0,980.0,-2.15,2962.0,2928012.9,-1,30
2024-10-22,1000.0,1012.8,980.0,1001.5,0.86,2654.0,2644955.4,1,31
2024-10-21,999.0,999.0,988.0,993.0,-0.6,2354.0,2336029.7,-1,32
2024-10-20,1025.0,1035.0,999.0,999.0,-3.94,4114.0,4164310.4,-1,33
2024-10-17,1040.0,1060.0,1038.0,1040.0,0.0,4818.0,5042742.2,0,34
2024-10-16,1006.2,1045.0,1006.2,1040.0,1.47,1443.0,1492150.2,1,35
2024-10-15,995.0,1024.9,977.1,1024.9,2.9,644.0,645047.4,1,36
2024-10-09,1011.3,1011.3,992.0,996.0,0.45,1361.0,1357221.1,1,37
2024-10-08,1010.0,1025.0,985.1,991.5,-3.64,3307.0,3309283.3,-1,38
