published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2016-06-22,405.00,418.00,410.00,418.00,0.00,722.00,300996.00,0,1
2016-06-21,408.00,410.00,405.00,405.00,0.00,1200.00,487500.00,0,2
2016-06-19,400.00,408.00,408.00,408.00,0.00,10.00,4080.00,0,3
2016-06-16,379.00,400.00,386.00,400.00,0.00,180.00,70390.00,0,4
2016-06-15,365.00,379.00,372.00,379.00,0.00,150.00,56780.00,0,5
2016-06-13,364.00,365.00,365.00,365.00,0.00,10.00,3650.00,0,6
2016-06-12,371.00,364.00,364.00,364.00,0.00,100.00,36400.00,0,7
2016-06-09,379.00,372.00,371.00,371.00,0.00,442.00,164324.00,0,8
2016-06-06,386.00,380.00,379.00,379.00,0.00,300.00,113800.00,0,9
2016-06-05,397.00,390.00,386.00,386.00,0.00,500.00,193800.00,0,10
2016-06-01,405.00,405.00,397.00,397.00,0.00,521.00,207005.00,0,11
2016-05-31,406.00,405.00,398.00,405.00,0.00,400.00,160600.00,0,12
2016-05-30,430.00,422.00,406.00,406.00,0.00,1160.00,472640.00,0,13
2016-05-19,435.00,430.00,430.00,430.00,0.00,60.00,25800.00,0,14
2016-05-08,435.00,435.00,434.00,435.00,0.00,230.00,100020.00,0,15
2016-05-02,432.00,435.00,427.00,435.00,0.00,1100.00,470500.00,0,16
2016-04-27,440.00,432.00,432.00,432.00,0.00,180.00,77760.00,0,17
2016-04-26,441.00,440.00,440.00,440.00,0.00,200.00,88000.00,0,18
2016-04-25,415.00,441.00,420.00,441.00,0.00,1591.00,681447.00,0,19
2016-04-24,412.00,416.00,415.00,415.00,0.00,529.00,219704.00,0,20
2016-04-21,420.00,412.00,412.00,412.00,0.00,200.00,82400.00,0,21
2016-04-20,415.00,420.00,412.00,420.00,0.00,1200.00,502760.00,0,22
2016-04-19,415.00,415.00,411.00,415.00,0.00,202.00,83646.00,0,23
2016-04-18,415.00,415.00,415.00,415.00,0.00,400.00,166000.00,0,24
2016-04-17,418.00,424.00,415.00,415.00,0.00,5192.00,2170085.00,0,25
2016-04-14,420.00,418.00,418.00,418.00,0.00,83.00,34694.00,0,26
2016-04-11,421.00,420.00,420.00,420.00,0.00,200.00,84000.00,0,27
2016-04-06,422.00,421.00,421.00,421.00,0.00,100.00,42100.00,0,28
2016-04-05,410.00,422.00,410.00,422.00,0.00,1100.00,451960.00,0,29
2016-04-04,410.00,418.00,410.00,410.00,0.00,688.00,285904.00,0,30
2016-04-03,432.00,424.00,410.00,410.00,0.00,1256.00,526256.00,0,31
2016-03-31,443.00,440.00,432.00,432.00,0.00,682.00,299600.00,0,32
2016-03-30,425.00,443.00,433.00,443.00,0.00,3652.00,1599413.00,0,33
2016-03-29,415.00,444.00,420.00,425.00,0.00,4175.00,1795069.00,0,34
2016-03-28,385.00,415.00,392.00,415.00,0.00,3899.00,1599252.00,0,35
2016-03-27,350.00,385.00,357.00,385.00,0.00,1694.00,632275.00,0,36
2016-03-24,328.00,352.00,334.00,350.00,0.00,698.00,239960.00,0,37
2016-03-23,358.00,351.00,328.00,328.00,0.00,936.00,315430.00,0,38
2016-03-16,366.00,373.00,358.00,358.00,0.00,440.00,159120.00,0,39
2016-03-06,488.00,480.00,462.00,465.00,0.00,988.00,459320.00,0,40
2016-03-03,491.00,510.00,488.00,488.00,0.00,4703.00,2336411.00,0,41
2016-03-02,447.00,491.00,455.00,491.00,0.00,5086.00,2434501.00,0,42
2016-03-01,407.00,447.00,415.00,447.00,0.00,5937.00,2611606.00,0,43
2016-02-29,422.00,414.00,407.00,407.00,0.00,272.00,111665.00,0,44
2016-02-28,408.00,422.00,402.00,422.00,0.00,203.00,84210.00,0,45
2016-02-25,416.00,408.00,408.00,408.00,0.00,10.00,4080.00,0,46
2016-02-24,435.00,427.00,416.00,416.00,0.00,250.00,104230.00,0,47
2016-02-23,436.00,435.00,429.00,435.00,0.00,500.00,216300.00,0,48
