published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-12-09,1064.00,1064.00,1064.00,1064.00,0.28,25.00,26600.00,1,1
2024-12-08,1061.00,1061.00,1061.00,1061.00,0.18,25.00,26525.00,1,2
2024-12-05,1059.10,1059.10,1059.10,1059.10,0.01,25.00,26477.50,1,3
2024-12-04,1059.00,1059.00,1059.00,1059.00,0.38,100.00,105900.00,1,4
2024-12-02,1055.00,1055.00,1055.00,1055.00,-0.66,25.00,26375.00,-1,5
2024-11-27,1061.00,1062.00,1061.00,1062.00,0.75,50.00,53075.00,1,6
2024-11-24,1054.10,1054.10,1054.10,1054.10,-1.67,25.00,26352.50,-1,7
2024-11-17,1041.10,1072.00,1041.10,1072.00,-2.55,764.00,817227.90,-1,8
2024-11-14,1084.70,1100.00,1084.70,1100.00,5.16,2316.00,2546432.50,1,9
2024-11-13,1046.00,1046.00,1046.00,1046.00,0.29,25.00,26150.00,1,10
2024-11-12,1043.00,1043.00,1043.00,1043.00,-0.19,25.00,26075.00,-1,11
2024-11-11,1041.00,1060.00,1041.00,1045.00,1.16,580.00,613400.00,1,12
2024-10-30,1033.00,1033.00,1033.00,1033.00,-1.62,50.00,51650.00,-1,13
2024-10-29,1050.00,1050.00,1050.00,1050.00,1.68,25.00,26250.00,1,14
2024-10-27,1032.70,1032.70,1032.70,1032.70,-3.67,25.00,25817.50,-1,15
2024-10-16,1072.00,1072.00,1072.00,1072.00,0.00,25.00,26800.00,0,16
2024-09-30,1070.00,1072.00,1070.00,1072.00,3.57,175.00,187550.00,1,17
2024-09-29,1035.00,1035.00,1035.00,1035.00,0.49,25.00,25875.00,1,18
2024-09-25,1030.00,1030.00,1030.00,1030.00,0.18,26.00,26822.00,1,19
2024-09-24,1022.00,1028.10,1022.00,1028.10,-4.10,76.00,77955.00,-1,20
2024-09-23,1022.00,1072.00,1022.00,1072.00,4.38,615.00,657530.00,1,21
2024-09-22,1027.00,1027.00,1027.00,1027.00,0.10,100.00,102700.00,1,22
2024-09-18,1026.00,1026.00,1026.00,1026.00,1.08,50.00,51300.00,1,23
2024-09-16,1036.00,1036.00,1015.00,1015.00,-2.12,105.00,107730.00,-1,24
2024-09-15,1037.00,1037.00,1037.00,1037.00,-1.24,100.00,103700.00,-1,25
2024-09-10,1045.00,1050.00,1045.00,1050.00,0.48,75.00,78622.50,1,26
2024-09-09,1040.40,1067.00,1040.40,1045.00,2.45,560.00,596046.50,1,27
2024-09-08,1020.00,1020.00,1020.00,1020.00,0.29,75.00,76500.00,1,28
2024-09-04,1017.10,1017.10,1017.10,1017.10,-0.10,25.00,25427.50,-1,29
2024-09-03,1015.00,1018.10,1015.00,1018.10,0.31,85.00,86406.00,1,30
2024-09-02,1010.10,1061.00,1010.00,1015.00,0.50,1777.00,1868300.00,1,31
2024-09-01,1010.00,1010.00,1010.00,1010.00,-0.49,70.00,70700.00,-1,32
2024-08-29,1015.00,1015.00,1015.00,1015.00,-0.39,50.00,50750.00,-1,33
2024-08-28,997.00,1019.00,997.00,1019.00,2.00,1055.00,1074360.00,1,34
2024-08-27,995.20,1005.00,995.20,999.00,-0.10,100.00,99980.00,-1,35
2024-08-25,992.10,1000.00,992.10,1000.00,-2.44,77.00,76802.50,-1,36
2024-08-22,985.60,1025.00,985.50,1025.00,3.52,355.00,355943.50,1,37
2024-08-21,977.00,991.00,977.00,990.10,0.99,690.00,682065.60,1,38
2024-08-18,980.40,980.40,980.40,980.40,-0.38,50.00,49020.00,-1,39
2024-08-15,984.10,984.10,984.10,984.10,0.09,50.00,49205.00,1,40
2024-08-14,980.50,983.30,980.50,983.20,-2.17,75.00,73675.00,-1,41
2024-08-13,975.00,1005.00,975.00,1005.00,2.24,175.00,172455.00,1,42
2024-08-12,976.20,983.00,976.10,983.00,-0.31,125.00,122187.50,-1,43
2024-08-11,978.00,986.10,978.00,986.10,0.51,75.00,73637.50,1,44
2024-08-08,975.60,981.10,975.00,981.10,0.53,160.00,156240.50,1,45
2024-08-07,975.90,975.90,975.90,975.90,0.56,20.00,19518.00,1,46
2024-08-06,977.50,977.50,970.50,970.50,-0.61,350.00,341452.50,-1,47
2024-08-01,976.50,976.50,976.50,976.50,0.10,50.00,48825.00,1,48
2024-07-30,975.50,975.50,975.50,975.50,0.57,50.00,48775.00,1,49
2024-07-29,970.00,970.00,970.00,970.00,0.31,25.00,24250.00,1,50
2024-07-24,967.00,967.00,967.00,967.00,-1.33,25.00,24175.00,-1,51
2024-07-23,980.00,980.00,980.00,980.00,0.00,25.00,24500.00,0,52
2024-07-22,980.00,980.00,980.00,980.00,1.40,20.00,19600.00,1,53
2024-07-21,988.00,988.00,966.50,966.50,-1.63,83.00,81466.50,-1,54
2024-07-16,973.10,987.00,973.10,982.50,0.97,327.00,319611.50,1,55
2024-07-15,973.10,973.10,973.10,973.10,0.01,30.00,29193.00,1,56
2024-07-14,973.00,973.00,973.00,973.00,-1.72,25.00,24325.00,-1,57
2024-07-10,990.00,990.00,990.00,990.00,0.76,100.00,99000.00,1,58
2024-07-08,981.50,983.00,981.50,982.50,-0.35,65.00,63850.00,-1,59
2024-07-07,988.00,988.00,986.00,986.00,-1.40,75.00,74002.50,-1,60
2024-07-04,1000.00,1000.00,1000.00,1000.00,0.00,25.00,25000.00,0,61
2024-07-03,1000.00,1000.00,1000.00,1000.00,0.00,50.00,50000.00,0,62
2024-07-02,1000.00,1000.00,1000.00,1000.00,-1.96,25.00,25000.00,-1,63
2024-06-27,1007.00,1020.00,1007.00,1020.00,3.53,350.00,356042.50,1,64
2024-06-26,985.30,985.30,985.20,985.20,-1.48,50.00,49261.00,-1,65
2024-06-25,1000.00,1000.00,1000.00,1000.00,1.42,50.00,50000.00,1,66
2024-06-24,986.00,986.00,986.00,986.00,0.40,250.00,246500.00,1,67
2024-06-16,982.10,982.10,982.10,982.10,0.00,25.00,24552.50,0,68
2024-06-13,985.00,985.00,982.10,982.10,0.31,75.00,73730.00,1,69
2024-06-12,979.10,979.10,979.10,979.10,-0.20,25.00,24477.50,-1,70
2024-06-11,982.00,982.00,981.10,981.10,-0.09,50.00,49077.50,-1,71
2024-06-06,982.00,982.00,982.00,982.00,-5.53,100.00,98200.00,-1,72
2024-06-03,1007.00,1040.00,1007.00,1039.50,6.04,250.00,255685.00,1,73
2024-06-02,981.00,981.00,980.30,980.30,-0.28,100.00,98065.00,-1,74
2024-05-29,983.20,983.20,983.10,983.10,0.29,25.00,24579.00,1,75
2024-05-22,980.30,980.30,980.30,980.30,-1.18,25.00,24507.50,-1,76
2024-05-21,970.00,993.00,970.00,992.00,2.80,175.00,173100.00,1,77
2024-05-20,965.00,965.00,965.00,965.00,-3.50,25.00,24125.00,-1,78
2024-05-16,988.10,1000.00,988.00,1000.00,-0.40,125.00,123802.50,-1,79
