published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-06-16,1282.10,1298.00,1282.00,1284.45,0.13,4532.00,5836339.20,1,1
2025-06-15,1299.0,1299.0,1280.0,1282.8,-0.83,5203.0,6695577.9,-1,1
2025-06-12,1291.0,1300.0,1290.0,1293.56,-0.18,5107.0,6610521.3,-1,1
2025-06-11,1316.0,1316.0,1294.0,1295.94,0.15,3526.0,4574967.5,1,1
2025-06-10,1291.1,1315.0,1291.0,1294.06,0.16,4133.0,5351682.1,1,1
2025-06-09,1291.1,1299.9,1290.0,1291.97,0.09,3291.0,4254876.5,1,1
2025-06-08,1287.0,1295.0,1286.0,1290.75,-0.08,3789.0,4888154.8,-1,1
2025-06-05,1290.0,1315.0,1290.0,1291.73,-0.43,4799.0,6213671.3,-1,1
2025-06-04,1296.5,1305.0,1296.0,1297.33,-0.28,4235.0,5498734.1,-1,1
2025-06-03,1300.0,1310.0,1300.0,1301.02,-0.32,4528.0,5903778.2,-1,2
2025-06-02,1306.0,1341.0,1302.0,1305.18,-0.08,6143.0,8046287.3,-1,1
2025-05-28,1320.0,1325.0,1302.0,1306.2,-0.87,3743.0,4891318.1,-1,1
2025-05-27,1330.0,1330.0,1304.0,1317.71,-0.95,3488.0,4609842.8,-1,2
2025-05-26,1363.8,1363.8,1330.0,1330.38,-0.5,7600.0,10181907.8,-1,1
2025-05-25,1318.0,1343.0,1318.0,1337.06,1.57,10235.0,13643089.0,1,2
2025-05-22,1301.0,1324.0,1291.1,1316.44,1.33,9203.0,12083021.3,1,3
2025-05-21,1323.7,1335.0,1299.0,1299.17,0.11,5432.0,7094383.2,1,4
2025-05-20,1272.0,1300.0,1272.0,1297.77,0.27,3005.0,3890789.4,1,5
2025-05-19,1310.0,1310.0,1274.0,1294.32,-0.5,11991.0,15456779.7,-1,6
2025-05-18,1288.1,1309.0,1288.0,1300.84,0.27,3873.0,5039872.8,1,7
2025-05-15,1290.0,1301.0,1285.1,1297.33,0.45,4875.0,6319434.9,1,8
2025-05-14,1316.0,1316.0,1284.1,1291.54,0.04,5907.0,7625815.7,1,9
2025-05-13,1300.0,1306.0,1290.0,1290.98,-0.64,5494.0,7115707.1,-1,10
