published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-09-10,349.00,349.00,349.00,349.00,0.00,3000.00,1047000.00,0,1
2024-06-27,305.00,305.00,305.00,305.00,0.00,25000.00,7625000.00,0,2
2024-04-10,200.00,200.00,200.00,200.00,-0.99,21000.00,4200000.00,-1,3
2024-03-10,202.00,202.00,202.00,202.00,2.02,4000.00,808000.00,1,4
2023-08-24,198.00,198.00,198.00,198.00,0.00,58000.00,11484000.00,0,5
2023-02-01,237.00,237.00,237.00,237.00,0.00,1500.00,355500.00,0,6
2022-04-13,253.00,253.00,253.00,253.00,0.00,10000.00,2530000.00,0,7
2021-11-17,352.00,352.00,352.00,352.00,0.00,100000.00,35200000.00,0,8
2021-11-03,352.00,352.00,352.00,352.00,0.00,11264.00,3964928.00,0,9
2013-09-29,222.00,222.00,222.00,222.00,0.00,5625.00,1248750.00,0,10
2012-08-07,222.00,222.00,222.00,222.00,0.00,5000.00,1110000.00,0,11
2011-04-10,226.00,222.00,222.00,222.00,0.00,2775.00,616050.00,0,12
2011-03-24,130.00,226.00,226.00,226.00,0.00,2000.00,452000.00,0,13
