published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2016-01-14,377.00,384.00,384.00,384.00,0.00,45.00,17280.00,0,1
2016-01-13,370.00,377.00,377.00,377.00,0.00,90.00,33930.00,0,2
2016-01-06,370.00,370.00,370.00,370.00,0.00,519.00,192030.00,0,3
2015-12-20,448.00,448.00,448.00,448.00,0.00,455.00,203840.00,0,4
2015-10-28,448.00,448.00,440.00,448.00,0.00,120.00,53160.00,0,5
2015-09-15,440.00,448.00,448.00,448.00,0.00,234.00,104832.00,0,6
2015-07-29,440.00,440.00,440.00,440.00,0.00,107.00,47080.00,0,7
2015-07-23,408.00,440.00,416.00,440.00,0.00,1001.00,432048.00,0,8
2015-07-22,400.00,408.00,408.00,408.00,0.00,10.00,4080.00,0,9
2015-07-16,400.00,402.00,400.00,400.00,0.00,725.00,290188.00,0,10
2015-07-15,432.00,424.00,392.00,400.00,0.00,871.00,348129.00,0,11
2015-07-13,448.00,440.00,432.00,432.00,0.00,40.00,17440.00,0,12
2015-03-30,445.00,448.00,448.00,448.00,0.00,275.00,123200.00,0,13
2015-03-16,454.00,445.00,445.00,445.00,0.00,300.00,133500.00,0,14
2015-03-15,424.00,454.00,430.00,454.00,0.00,140.00,62840.00,0,15
2015-03-12,395.00,424.00,400.00,424.00,0.00,1088.00,450962.00,0,16
2015-03-11,397.00,395.00,395.00,395.00,0.00,91.00,35945.00,0,17
2015-03-09,390.00,397.00,397.00,397.00,0.00,10.00,3970.00,0,18
2015-03-04,395.00,390.00,390.00,390.00,0.00,500.00,195000.00,0,19
2015-02-24,403.00,395.00,395.00,395.00,0.00,10.00,3950.00,0,20
2015-02-22,402.00,403.00,403.00,403.00,0.00,200.00,80600.00,0,21
2015-02-18,413.00,410.00,402.00,402.00,0.00,55.00,22470.00,0,22
2015-02-16,421.00,421.00,413.00,413.00,0.00,175.00,73355.00,0,23
2015-02-12,437.00,429.00,421.00,421.00,0.00,65.00,27525.00,0,24
2015-02-11,399.00,437.00,403.00,437.00,0.00,240.00,100860.00,0,25
2015-02-03,392.00,399.00,399.00,399.00,0.00,20.00,7980.00,0,26
2015-02-02,378.00,392.00,385.00,392.00,0.00,20.00,7770.00,0,27
2015-01-29,357.00,378.00,364.00,378.00,0.00,30.00,11130.00,0,28
2015-01-28,326.00,357.00,332.00,357.00,0.00,50.00,17210.00,0,29
2015-01-27,297.00,326.00,302.00,326.00,0.00,464.00,150556.00,0,30
2015-01-25,277.00,297.00,282.00,297.00,0.00,75.00,21975.00,0,31
2015-01-22,272.00,277.00,277.00,277.00,0.00,363.00,100551.00,0,32
2015-01-19,257.00,272.00,262.00,272.00,0.00,30.00,8010.00,0,33
2014-12-22,305.00,300.00,300.00,300.00,0.00,1088.00,326400.00,0,34
2014-10-20,311.00,305.00,305.00,305.00,0.00,774.00,236070.00,0,35
2014-10-16,317.00,311.00,311.00,311.00,0.00,180.00,55980.00,0,36
2014-09-14,347.00,341.00,317.00,317.00,0.00,50.00,16450.00,0,37
2014-09-04,354.00,347.00,347.00,347.00,0.00,10.00,3470.00,0,38
2014-08-06,342.00,354.00,348.00,354.00,0.00,120.00,42420.00,0,39
2014-08-05,344.00,348.00,342.00,342.00,0.00,753.00,261453.00,0,40
2014-08-04,314.00,344.00,320.00,344.00,0.00,1188.00,405924.00,0,41
2014-08-03,287.00,314.00,292.00,314.00,0.00,150.00,46530.00,0,42
2014-07-31,267.00,287.00,272.00,287.00,0.00,414.00,115713.00,0,43
2014-07-30,245.00,267.00,257.00,267.00,0.00,40.00,10430.00,0,44
2014-07-28,233.00,245.00,237.00,245.00,0.00,30.00,7230.00,0,45
2014-07-27,213.00,233.00,217.00,233.00,0.00,50.00,11250.00,0,46
2014-07-24,205.00,213.00,209.00,213.00,0.00,244.00,51916.00,0,47
2014-07-23,187.00,205.00,196.00,205.00,0.00,49.00,9838.00,0,48
2014-07-21,178.00,187.00,181.00,187.00,0.00,30.00,5520.00,0,49
2014-07-20,163.00,178.00,166.00,178.00,0.00,50.00,8600.00,0,50
2014-07-17,160.00,163.00,163.00,163.00,0.00,10.00,1630.00,0,51
2014-07-16,151.00,160.00,154.00,160.00,0.00,30.00,4710.00,0,52
2014-07-15,141.00,151.00,143.00,151.00,0.00,50.00,7350.00,0,53
2014-07-13,129.00,141.00,131.00,141.00,0.00,60.00,8160.00,0,54
2014-07-10,123.00,129.00,125.00,129.00,0.00,30.00,3810.00,0,55
2014-07-09,118.00,123.00,123.00,123.00,0.00,10.00,1230.00,0,56
2014-07-08,113.00,118.00,118.00,118.00,0.00,10.00,1180.00,0,57
2014-07-06,111.00,113.00,113.00,113.00,0.00,888.00,100344.00,0,58
2014-04-28,109.00,111.00,111.00,111.00,0.00,135.00,14985.00,0,59
2014-04-06,107.00,109.00,109.00,109.00,0.00,99.00,10791.00,0,60
2014-03-31,105.00,107.00,107.00,107.00,0.00,372.00,39804.00,0,61
2014-03-05,105.00,105.00,105.00,105.00,0.00,3361.00,352905.00,0,62
2014-02-18,101.00,105.00,103.00,105.00,0.00,744.00,77376.00,0,63
2013-10-29,105.00,105.00,105.00,105.00,0.00,64.00,6720.00,0,64
2013-10-27,105.00,105.00,105.00,105.00,0.00,45.00,4725.00,0,65
2013-10-17,100.00,105.00,105.00,105.00,0.00,1188.00,124740.00,0,66
