published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2015-08-02,271.00,283.00,271.00,277.00,0.00,3019.00,842343.00,0,1
2015-07-30,277.00,273.00,268.00,271.00,0.00,775.00,209755.00,0,2
2015-07-29,280.00,282.00,270.00,277.00,0.00,1687.00,466126.00,0,3
2015-07-28,294.00,290.00,280.00,280.00,0.00,410.00,117345.00,0,4
2015-07-27,300.00,312.00,294.00,294.00,0.00,1784.00,534832.00,0,5
2015-07-26,285.00,300.00,290.00,300.00,0.00,30.00,8850.00,0,6
2015-07-23,271.00,290.00,276.00,285.00,0.00,5541.00,1572746.00,0,7
2015-07-22,247.00,271.00,244.00,271.00,0.00,3907.00,1031529.00,0,8
2015-07-16,252.00,247.00,247.00,247.00,0.00,100.00,24700.00,0,9
2015-07-15,244.00,257.00,248.00,252.00,0.00,703.00,176600.00,0,10
2015-07-14,240.00,244.00,237.00,244.00,0.00,311.00,75137.00,0,11
2015-07-13,245.00,244.00,237.00,240.00,0.00,416.00,100006.00,0,12
2015-07-12,241.00,245.00,237.00,245.00,0.00,1317.00,320471.00,0,13
2015-07-09,234.00,242.00,237.00,241.00,0.00,640.00,153720.00,0,14
2015-07-08,229.00,234.00,230.00,234.00,0.00,987.00,230050.00,0,15
2015-07-07,230.00,230.00,229.00,229.00,0.00,308.00,70783.00,0,16
2015-07-06,230.00,233.00,226.00,230.00,0.00,1257.00,290515.00,0,17
2015-07-05,233.00,230.00,230.00,230.00,0.00,60.00,13800.00,0,18
2015-07-02,236.00,238.00,233.00,233.00,0.00,1006.00,235466.00,0,19
2015-07-01,243.00,240.00,232.00,236.00,0.00,2953.00,701525.00,0,20
2015-06-30,243.00,243.00,243.00,243.00,0.00,226.00,54918.00,0,21
2015-06-29,243.00,247.00,243.00,243.00,0.00,1093.00,266871.00,0,22
2015-06-28,233.00,243.00,231.00,243.00,0.00,2621.00,626464.00,0,23
2015-06-25,233.00,237.00,233.00,233.00,0.00,879.00,207711.00,0,24
2015-06-24,234.00,235.00,233.00,233.00,0.00,356.00,83140.00,0,25
2015-06-23,230.00,234.00,230.00,234.00,0.00,141.00,32672.00,0,26
2015-06-22,230.00,230.00,226.00,230.00,0.00,48.00,10928.00,0,27
2015-06-21,223.00,230.00,224.00,230.00,0.00,1346.00,304611.00,0,28
2015-06-18,220.00,227.00,223.00,223.00,0.00,797.00,180571.00,0,29
2015-06-17,222.00,220.00,218.00,220.00,0.00,214.00,46942.00,0,30
2015-06-16,231.00,235.00,222.00,222.00,0.00,561.00,126195.00,0,31
2015-06-15,235.00,231.00,231.00,231.00,0.00,117.00,27027.00,0,32
2015-06-11,239.00,235.00,235.00,235.00,0.00,20.00,4700.00,0,33
2015-06-10,239.00,243.00,239.00,239.00,0.00,389.00,93327.00,0,34
2015-06-09,227.00,247.00,231.00,239.00,0.00,560.00,135112.00,0,35
2015-06-08,222.00,235.00,226.00,227.00,0.00,625.00,145340.00,0,36
2015-06-07,223.00,222.00,220.00,222.00,0.00,317.00,70340.00,0,37
2015-06-04,224.00,226.00,222.00,223.00,0.00,934.00,209719.00,0,38
2015-06-03,214.00,224.00,217.00,224.00,0.00,206.00,45350.00,0,39
2015-06-02,213.00,214.00,213.00,214.00,0.00,97.00,20718.00,0,40
2015-06-01,212.00,214.00,209.00,213.00,0.00,1871.00,395774.00,0,41
2015-05-31,228.00,224.00,212.00,212.00,0.00,1054.00,228584.00,0,42
2015-04-23,224.00,228.00,222.00,228.00,0.00,609.00,137946.00,0,43
2015-04-22,220.00,224.00,217.00,224.00,0.00,601.00,131391.00,0,44
2015-04-21,226.00,222.00,220.00,220.00,0.00,157.00,34654.00,0,45
2015-04-20,222.00,226.00,225.00,226.00,0.00,331.00,74635.00,0,46
2015-04-19,226.00,224.00,220.00,222.00,0.00,861.00,190852.00,0,47
2015-04-16,222.00,226.00,218.00,226.00,0.00,1006.00,223904.00,0,48
2015-04-15,226.00,222.00,222.00,222.00,0.00,228.00,50616.00,0,49
2015-04-13,225.00,226.00,221.00,226.00,0.00,207.00,46149.00,0,50
2015-04-12,227.00,225.00,225.00,225.00,0.00,118.00,26550.00,0,51
2015-04-09,233.00,230.00,227.00,227.00,0.00,65.00,14806.00,0,52
2015-04-08,229.00,233.00,232.00,233.00,0.00,991.00,230343.00,0,53
2015-04-06,221.00,229.00,225.00,229.00,0.00,224.00,50840.00,0,54
2015-04-05,225.00,221.00,221.00,221.00,0.00,300.00,66300.00,0,55
2015-04-02,222.00,230.00,222.00,225.00,0.00,616.00,139383.00,0,56
2015-04-01,226.00,222.00,222.00,222.00,0.00,476.00,105672.00,0,57
2015-03-31,226.00,230.00,222.00,226.00,0.00,1272.00,289300.00,0,58
2015-03-30,230.00,226.00,226.00,226.00,0.00,3371.00,761846.00,0,59
2015-03-29,235.00,231.00,230.00,230.00,0.00,237.00,54710.00,0,60
2015-03-26,237.00,235.00,235.00,235.00,0.00,500.00,117500.00,0,61
2015-03-24,233.00,237.00,237.00,237.00,0.00,10.00,2370.00,0,62
2015-03-23,235.00,233.00,233.00,233.00,0.00,340.00,79220.00,0,63
2015-03-22,228.00,237.00,229.00,235.00,0.00,2600.00,610845.00,0,64
2015-03-19,228.00,228.00,228.00,228.00,0.00,40.00,9120.00,0,65
2015-03-18,229.00,229.00,228.00,228.00,0.00,75.00,17157.00,0,66
2015-03-17,227.00,230.00,228.00,229.00,0.00,759.00,173835.00,0,67
2015-03-16,235.00,231.00,225.00,227.00,0.00,2301.00,524348.00,0,68
2015-03-15,240.00,240.00,235.00,235.00,0.00,1492.00,355156.00,0,69
2015-03-12,240.00,244.00,240.00,240.00,0.00,641.00,154524.00,0,70
2015-03-11,237.00,244.00,238.00,240.00,0.00,789.00,190474.00,0,71
2015-03-10,237.00,237.00,237.00,237.00,0.00,304.00,72048.00,0,72
2015-03-09,233.00,237.00,236.00,237.00,0.00,431.00,101937.00,0,73
2015-03-04,230.00,234.00,230.00,233.00,0.00,1468.00,340520.00,0,74
2015-03-03,230.00,230.00,230.00,230.00,0.00,114.00,26220.00,0,75
2015-03-01,234.00,230.00,230.00,230.00,0.00,158.00,36340.00,0,76
2015-02-23,238.00,235.00,230.00,234.00,0.00,211.00,48824.00,0,77
2015-02-22,235.00,238.00,231.00,238.00,0.00,1741.00,411322.00,0,78
2015-02-18,239.00,235.00,235.00,235.00,0.00,718.00,168730.00,0,79
2015-02-16,231.00,243.00,232.00,239.00,0.00,2089.00,492871.00,0,80
2015-02-15,233.00,232.00,227.00,231.00,0.00,986.00,227516.00,0,81
2015-02-12,225.00,233.00,229.00,233.00,0.00,375.00,86595.00,0,82
2015-02-11,225.00,226.00,225.00,225.00,0.00,311.00,70045.00,0,83
2015-02-10,226.00,225.00,222.00,225.00,0.00,456.00,102366.00,0,84
2015-02-09,230.00,230.00,226.00,226.00,0.00,114.00,25992.00,0,85
2015-02-08,230.00,230.00,230.00,230.00,0.00,26.00,5980.00,0,86
2015-02-05,230.00,230.00,230.00,230.00,0.00,272.00,62560.00,0,87
2015-02-04,232.00,230.00,230.00,230.00,0.00,404.00,92920.00,0,88
2015-02-03,236.00,236.00,232.00,232.00,0.00,246.00,57736.00,0,89
2015-02-02,240.00,239.00,232.00,236.00,0.00,732.00,172683.00,0,90
2015-02-01,236.00,240.00,240.00,240.00,0.00,290.00,69600.00,0,91
2015-01-29,234.00,239.00,235.00,236.00,0.00,1796.00,422744.00,0,92
2015-01-28,227.00,234.00,230.00,234.00,0.00,960.00,223352.00,0,93
2015-01-26,227.00,238.00,227.00,227.00,0.00,978.00,228224.00,0,94
2015-01-25,226.00,227.00,223.00,227.00,0.00,101.00,22707.00,0,95
2015-01-22,215.00,226.00,215.00,226.00,0.00,1768.00,386181.00,0,96
2015-01-20,212.00,215.00,215.00,215.00,0.00,424.00,91160.00,0,97
2015-01-19,214.00,213.00,212.00,212.00,0.00,96.00,20400.00,0,98
2015-01-18,210.00,214.00,212.00,214.00,0.00,159.00,33998.00,0,99
2015-01-14,208.00,210.00,210.00,210.00,0.00,28.00,5880.00,0,100
2015-01-13,212.00,208.00,200.00,208.00,0.00,628.00,128674.00,0,101
2015-01-12,214.00,212.00,210.00,212.00,0.00,548.00,116080.00,0,102
2015-01-11,217.00,214.00,214.00,214.00,0.00,46.00,9844.00,0,103
2015-01-08,213.00,218.00,215.00,217.00,0.00,638.00,138104.00,0,104
2015-01-07,207.00,213.00,203.00,213.00,0.00,1059.00,221294.00,0,105
2015-01-06,214.00,215.00,207.00,207.00,0.00,1727.00,362679.00,0,106
2014-12-31,210.00,214.00,211.00,214.00,0.00,320.00,68420.00,0,107
2014-12-29,212.00,211.00,210.00,210.00,0.00,479.00,100782.00,0,108
2014-12-28,201.00,213.00,201.00,212.00,0.00,607.00,124899.00,0,109
