published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2019-01-17,186.00,186.00,180.00,180.00,-4.76,2200.00,402873.00,-1,1
2019-01-16,195.00,195.00,189.00,189.00,-3.08,1727.00,328979.00,-1,2
2019-01-15,197.00,197.00,195.00,195.00,-1.02,740.00,144370.00,-1,3
2019-01-14,198.00,198.00,197.00,197.00,-1.50,185.00,36495.00,-1,4
2019-01-13,200.00,201.00,200.00,200.00,-1.48,345.00,69100.00,-1,5
2019-01-09,209.00,209.00,203.00,203.00,-1.93,452.00,92540.00,-1,6
2019-01-08,204.00,207.00,203.00,207.00,0.00,266.00,54174.00,0,7
2019-01-07,206.00,207.00,206.00,207.00,-0.48,378.00,77986.00,-1,8
2019-01-06,212.00,212.00,208.00,208.00,-1.89,2978.00,630136.00,-1,9
2019-01-03,215.00,215.00,209.00,212.00,-2.75,1095.00,231895.00,-1,10
2019-01-01,213.00,218.00,213.00,218.00,0.46,231.00,49853.00,1,11
2018-12-31,219.00,219.00,217.00,217.00,-0.46,830.00,181370.00,-1,12
2018-12-30,236.00,236.00,218.00,218.00,-9.45,460.00,104180.00,-1,13
2018-12-27,323.00,328.00,320.00,325.00,2.20,21727.00,7024025.00,1,14
2018-12-26,314.00,318.00,308.00,318.00,1.60,4413.00,1389924.00,1,15
2018-12-25,318.00,318.00,312.00,313.00,0.00,3446.00,1087943.00,0,16
2018-12-24,319.00,319.00,312.00,313.00,-1.57,6340.00,1998441.00,-1,17
2018-12-23,321.00,333.00,314.00,318.00,0.95,8970.00,2870738.00,1,18
2018-12-20,304.00,324.00,304.00,315.00,5.35,12752.00,4037520.00,1,19
2018-12-19,277.00,299.00,275.00,299.00,9.93,16715.00,4872698.00,1,20
2018-12-18,272.00,272.00,270.00,272.00,-0.37,2111.00,572170.00,-1,21
2018-12-17,274.00,278.00,273.00,273.00,-1.44,1135.00,311030.00,-1,22
2018-12-16,280.00,280.00,273.00,277.00,-1.07,3834.00,1060193.00,-1,23
2018-12-13,270.00,280.00,270.00,280.00,4.09,5259.00,1421955.00,1,24
2018-12-12,275.00,275.00,269.00,269.00,-0.37,172.00,46548.00,-1,25
2018-12-11,270.00,270.00,270.00,270.00,-0.74,104.00,28080.00,-1,26
2018-12-10,270.00,276.00,270.00,272.00,0.37,227.00,62097.00,1,27
2018-12-09,260.00,271.00,256.00,271.00,4.63,3313.00,869466.00,1,28
2018-12-06,268.00,268.00,256.00,259.00,-4.43,2034.00,529734.00,-1,29
2018-12-05,269.00,271.00,266.00,271.00,0.00,1141.00,304559.00,0,30
2018-12-04,271.00,272.00,266.00,271.00,-0.73,2089.00,561999.00,-1,31
2018-12-03,275.00,281.00,273.00,273.00,0.74,3386.00,926910.00,1,32
2018-12-02,286.00,286.00,271.00,271.00,-5.24,1916.00,529426.00,-1,33
2018-11-29,293.00,295.00,286.00,286.00,-2.05,590.00,170664.00,-1,34
2018-11-28,292.00,292.00,290.00,292.00,0.34,390.00,113700.00,1,35
2018-11-27,296.00,296.00,291.00,291.00,-1.69,1361.00,397331.00,-1,36
2018-11-26,293.00,296.00,293.00,296.00,-0.67,1965.00,576815.00,-1,37
2018-11-25,294.00,298.00,294.00,298.00,-0.33,231.00,68098.00,-1,38
2018-11-21,299.00,299.00,299.00,299.00,1.70,20.00,5980.00,1,39
2018-11-20,290.00,299.00,290.00,294.00,0.00,6908.00,2051007.00,0,40
2018-11-18,295.00,295.00,294.00,294.00,-2.00,412.00,121478.00,-1,41
2018-11-15,301.00,301.00,300.00,300.00,0.33,129.00,38800.00,1,42
2018-11-14,300.00,300.00,299.00,299.00,0.00,200.00,59900.00,0,43
2018-11-13,295.00,305.00,295.00,299.00,1.36,2846.00,856370.00,1,44
2018-11-04,301.00,301.00,295.00,295.00,-1.67,1078.00,319278.00,-1,45
2018-11-01,302.00,302.00,300.00,300.00,-0.33,54.00,16228.00,-1,46
2018-10-31,301.00,301.00,301.00,301.00,0.00,94.00,28294.00,0,47
2018-10-30,300.00,301.00,296.00,301.00,-0.33,113.00,33815.00,-1,48
2018-10-29,299.00,302.00,299.00,302.00,0.00,832.00,250994.00,0,49
2018-10-28,303.00,304.00,302.00,302.00,-1.31,547.00,165441.00,-1,50
2018-10-25,308.00,308.00,305.00,306.00,-0.33,577.00,176662.00,-1,51
2018-10-24,307.00,307.00,307.00,307.00,0.00,139.00,42673.00,0,52
2018-10-23,307.00,307.00,306.00,307.00,0.33,584.00,178936.00,1,53
2018-10-22,316.00,316.00,306.00,306.00,-2.55,225.00,69848.00,-1,54
2018-10-21,314.00,316.00,314.00,314.00,1.95,141.00,44368.00,1,55
2018-10-15,307.00,308.00,307.00,308.00,-1.60,1300.00,399300.00,-1,56
2018-10-14,313.00,313.00,313.00,313.00,1.62,10.00,3130.00,1,57
2018-10-11,304.00,314.00,304.00,308.00,3.01,1204.00,370852.00,1,58
2018-10-10,300.00,300.00,294.00,299.00,0.34,636.00,189895.00,1,59
2018-10-09,300.00,300.00,298.00,298.00,0.34,93.00,27808.00,1,60
2018-10-08,304.00,306.00,294.00,297.00,-1.66,8073.00,2415243.00,-1,61
2018-10-07,320.00,320.00,302.00,302.00,-3.82,304.00,93202.00,-1,62
2018-10-04,308.00,314.00,302.00,314.00,2.95,1546.00,471421.00,1,63
2018-10-03,306.00,306.00,305.00,305.00,-0.33,412.00,125750.00,-1,64
2018-10-02,312.00,312.00,306.00,306.00,-1.29,1018.00,312812.00,-1,65
2018-10-01,310.00,312.00,305.00,310.00,-0.64,5354.00,1648333.00,-1,66
2018-09-30,318.00,318.00,306.00,312.00,-3.41,1346.00,419630.00,-1,67
2018-09-27,326.00,330.00,323.00,323.00,-2.71,1677.00,545542.00,-1,68
2018-09-26,330.00,332.00,323.00,332.00,1.22,698.00,227964.00,1,69
2018-09-25,334.00,336.00,328.00,328.00,0.00,2675.00,886664.00,0,70
2018-09-23,313.00,334.00,313.00,328.00,5.13,2236.00,708320.00,1,71
2018-09-20,315.00,315.00,310.00,312.00,-0.95,1292.00,403753.00,-1,72
2018-09-18,316.00,316.00,311.00,315.00,1.61,919.00,287733.00,1,73
2018-09-17,305.00,311.00,305.00,310.00,1.64,1618.00,500468.00,1,74
2018-09-16,310.00,314.00,305.00,305.00,0.33,3269.00,1004971.00,1,75
2018-09-13,296.00,307.00,294.00,304.00,1.67,2745.00,823480.00,1,76
2018-09-12,300.00,300.00,296.00,299.00,1.36,2413.00,721923.00,1,77
2018-09-11,292.00,301.00,292.00,295.00,0.34,2948.00,869952.00,1,78
2018-09-10,303.00,303.00,294.00,294.00,-1.34,914.00,272099.00,-1,79
2018-09-09,289.00,312.00,289.00,298.00,4.93,9290.00,2787998.00,1,80
2018-09-06,264.00,284.00,264.00,284.00,9.65,949.00,264336.00,1,81
2018-09-05,240.00,259.00,240.00,259.00,9.75,68.00,16968.00,1,82
2018-09-04,220.00,236.00,220.00,236.00,9.26,60.00,13750.00,1,83
2018-09-03,200.00,216.00,200.00,216.00,9.64,50.00,10400.00,1,84
2018-09-02,198.00,202.00,196.00,197.00,-1.00,959.00,190923.00,-1,85
2018-08-30,193.00,199.00,190.00,199.00,1.53,1347.00,259540.00,1,86
2018-08-29,197.00,197.00,196.00,196.00,-2.00,89.00,17464.00,-1,87
2018-08-28,204.00,204.00,200.00,200.00,-1.96,101.00,20560.00,-1,88
2018-08-26,206.00,206.00,203.00,204.00,-0.97,1794.00,367626.00,-1,89
2018-08-23,206.00,206.00,206.00,206.00,-0.48,162.00,33372.00,-1,90
2018-08-22,210.00,210.00,207.00,207.00,-1.90,314.00,65058.00,-1,91
2018-08-20,214.00,214.00,211.00,211.00,-1.86,330.00,69720.00,-1,92
2018-08-15,211.00,211.00,211.00,211.00,-1.86,7.00,1477.00,-1,93
2018-08-14,215.00,215.00,215.00,215.00,1.90,115.00,24725.00,1,94
2018-08-12,211.00,211.00,211.00,211.00,0.00,13.00,2743.00,0,95
2018-08-08,210.00,211.00,209.00,211.00,-0.94,591.00,124169.00,-1,96
2018-08-07,213.00,213.00,213.00,213.00,-1.84,50.00,10650.00,-1,97
2018-08-05,217.00,217.00,217.00,217.00,1.88,20.00,4340.00,1,98
2018-08-02,209.00,213.00,209.00,213.00,1.91,85.00,17965.00,1,99
2018-08-01,213.00,213.00,209.00,209.00,-3.69,50.00,10530.00,-1,100
2018-07-31,217.00,217.00,217.00,217.00,-1.81,68.00,14756.00,-1,101
2018-07-30,225.00,225.00,221.00,221.00,-1.78,130.00,28766.00,-1,102
2018-07-29,225.00,225.00,225.00,225.00,0.00,27.00,6075.00,0,103
2018-07-26,225.00,225.00,225.00,225.00,-0.44,10.00,2250.00,-1,104
2018-07-22,0.00,0.00,0.00,0.00,0.00,6.00,1356.00,0,105
2018-07-19,230.00,230.00,226.00,226.00,-2.59,297.00,67650.00,-1,106
2018-07-17,232.00,232.00,232.00,232.00,-1.69,168.00,38976.00,-1,107
2018-07-16,228.00,236.00,228.00,236.00,3.51,38.00,8816.00,1,108
2018-07-15,222.00,228.00,220.00,228.00,3.64,419.00,93696.00,1,109
2018-07-11,228.00,228.00,220.00,220.00,-1.79,46.00,10264.00,-1,110
2018-07-10,216.00,224.00,216.00,224.00,3.70,112.00,24328.00,1,111
2018-07-09,208.00,216.00,208.00,216.00,1.89,381.00,79368.00,1,112
2018-07-08,211.00,212.00,208.00,212.00,-1.40,108.00,22739.00,-1,113
2018-07-05,215.00,215.00,214.00,215.00,-1.83,113.00,24256.00,-1,114
2018-07-04,219.00,219.00,219.00,219.00,1.86,18.00,3942.00,1,115
2018-07-03,219.00,219.00,215.00,215.00,-3.59,36.00,7780.00,-1,116
2018-07-02,223.00,223.00,223.00,223.00,0.00,62.00,13826.00,0,117
2018-06-26,223.00,223.00,223.00,223.00,0.00,29.00,6467.00,0,118
2018-06-25,223.00,223.00,223.00,223.00,-1.76,20.00,4452.00,-1,119
2018-06-24,223.00,227.00,223.00,227.00,1.79,136.00,30788.00,1,120
2018-06-20,223.00,223.00,223.00,223.00,0.45,10.00,2230.00,1,121
2018-06-19,222.00,222.00,222.00,222.00,-1.77,105.00,23325.00,-1,122
2018-06-17,234.00,234.00,226.00,226.00,-3.42,330.00,75992.00,-1,123
2018-06-14,234.00,234.00,234.00,234.00,1.74,10.00,2340.00,1,124
2018-06-13,234.00,234.00,230.00,230.00,0.00,154.00,35520.00,0,125
2018-06-12,241.00,241.00,230.00,230.00,-6.12,214.00,50329.00,-1,126
2018-06-11,249.00,249.00,245.00,245.00,0.00,523.00,128227.00,0,127
2018-05-31,241.00,241.00,241.00,241.00,-1.63,1.00,241.00,-1,128
2018-05-30,245.00,245.00,245.00,245.00,1.24,245.00,60025.00,1,129
2018-05-29,256.00,256.00,242.00,242.00,-7.28,489.00,122043.00,-1,130
2018-05-27,261.00,261.00,261.00,261.00,0.00,2.00,522.00,0,131
2018-05-24,266.00,270.00,261.00,261.00,-3.33,572.00,150375.00,-1,132
2018-05-21,270.00,270.00,270.00,270.00,-1.82,17.00,4590.00,-1,133
2018-05-10,275.00,275.00,275.00,275.00,0.00,59.00,16225.00,0,134
2018-05-09,275.00,275.00,275.00,275.00,-1.79,17.00,4675.00,-1,135
2018-05-07,275.00,275.00,275.00,275.00,-1.78,1.00,275.00,-1,136
2018-05-03,273.00,280.00,273.00,280.00,0.72,481.00,131780.00,1,137
2018-05-02,278.00,278.00,278.00,278.00,-1.77,25.00,6950.00,-1,138
2018-04-29,283.00,283.00,283.00,283.00,-1.74,10.00,2830.00,-1,139
2018-04-24,295.00,295.00,288.00,288.00,-1.71,90.00,26160.00,-1,140
2018-04-22,272.00,293.00,272.00,293.00,9.74,546.00,158059.00,1,141
2018-04-18,267.00,267.00,267.00,267.00,1.91,34.00,9078.00,1,142
2018-04-17,262.00,262.00,262.00,262.00,0.77,20.00,5240.00,1,143
2018-04-16,258.00,260.00,258.00,260.00,1.17,89.00,23096.00,1,144
2018-04-15,257.00,257.00,257.00,257.00,-1.91,504.00,129508.00,-1,145
2018-04-12,267.00,268.00,260.00,262.00,-3.68,535.00,140642.00,-1,146
2018-04-11,272.00,272.00,272.00,272.00,-1.81,15.00,4080.00,-1,147
2018-04-10,277.00,287.00,277.00,277.00,1.84,295.00,83109.00,1,148
