published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2016-06-02,412.00,411.00,411.00,411.00,0.00,122.00,50142.00,0,1
2016-06-01,377.00,412.00,384.00,412.00,0.00,490.00,194950.00,0,2
2016-05-31,370.00,377.00,377.00,377.00,0.00,64.00,24128.00,0,3
2016-05-30,374.00,370.00,367.00,370.00,0.00,184.00,67804.00,0,4
2016-05-19,381.00,374.00,374.00,374.00,0.00,27.00,10098.00,0,5
2016-05-18,388.00,381.00,381.00,381.00,0.00,102.00,38862.00,0,6
2016-05-16,403.00,400.00,388.00,388.00,0.00,1150.00,448370.00,0,7
2016-05-12,389.00,403.00,396.00,403.00,0.00,376.00,149386.00,0,8
2016-05-11,396.00,435.00,389.00,389.00,0.00,3327.00,1354853.00,0,9
2016-05-10,360.00,396.00,367.00,396.00,0.00,1597.00,630712.00,0,10
2016-05-09,328.00,360.00,334.00,360.00,0.00,910.00,325260.00,0,11
2016-05-08,299.00,328.00,304.00,328.00,0.00,50.00,15800.00,0,12
2016-05-05,274.00,299.00,279.00,299.00,0.00,50.00,14450.00,0,13
2016-05-04,254.00,274.00,259.00,274.00,0.00,805.00,212995.00,0,14
2015-12-27,287.00,292.00,292.00,292.00,0.00,10.00,2920.00,0,15
2015-10-11,378.00,380.00,380.00,380.00,0.00,112.00,42560.00,0,16
2015-10-08,392.00,385.00,378.00,378.00,0.00,1263.00,478415.00,0,17
2015-10-06,385.00,392.00,392.00,392.00,0.00,204.00,79968.00,0,18
2015-10-05,392.00,385.00,385.00,385.00,0.00,186.00,71610.00,0,19
2015-09-23,400.00,392.00,392.00,392.00,0.00,500.00,196000.00,0,20
2015-09-17,412.00,404.00,396.00,400.00,0.00,316.00,126319.00,0,21
2015-09-16,436.00,428.00,412.00,412.00,0.00,646.00,271992.00,0,22
2015-08-23,436.00,436.00,436.00,436.00,0.00,224.00,97664.00,0,23
2015-08-20,444.00,436.00,436.00,436.00,0.00,936.00,408096.00,0,24
2015-07-28,428.00,444.00,420.00,444.00,0.00,810.00,345160.00,0,25
2015-07-27,390.00,428.00,397.00,428.00,0.00,171.00,69494.00,0,26
2015-07-23,355.00,390.00,362.00,390.00,0.00,60.00,22700.00,0,27
2015-06-30,354.00,355.00,355.00,355.00,0.00,30.00,10650.00,0,28
2015-06-25,361.00,354.00,354.00,354.00,0.00,100.00,35400.00,0,29
2015-06-24,368.00,361.00,361.00,361.00,0.00,25.00,9025.00,0,30
2015-06-22,389.00,382.00,368.00,368.00,0.00,40.00,15000.00,0,31
2015-06-18,404.00,396.00,389.00,389.00,0.00,43.00,16958.00,0,32
2015-04-09,412.00,404.00,404.00,404.00,0.00,50.00,20200.00,0,33
2015-04-08,397.00,412.00,400.00,412.00,0.00,73.00,29460.00,0,34
2015-03-29,390.00,397.00,390.00,397.00,0.00,57.00,22433.00,0,35
2015-03-26,397.00,390.00,390.00,390.00,0.00,599.00,233610.00,0,36
2015-03-25,396.00,397.00,396.00,397.00,0.00,162.00,64264.00,0,37
2015-03-23,410.00,405.00,396.00,396.00,0.00,395.00,158853.00,0,38
2015-03-17,412.00,410.00,410.00,410.00,0.00,44.00,18040.00,0,39
2015-03-16,420.00,412.00,412.00,412.00,0.00,93.00,38316.00,0,40
2015-03-15,412.00,420.00,420.00,420.00,0.00,224.00,94080.00,0,41
2015-03-12,375.00,412.00,382.00,412.00,0.00,4224.00,1739218.00,0,42
2015-03-11,370.00,377.00,375.00,375.00,0.00,584.00,219168.00,0,43
2015-03-10,368.00,370.00,370.00,370.00,0.00,275.00,101750.00,0,44
2015-03-09,373.00,375.00,368.00,368.00,0.00,1050.00,390250.00,0,45
2015-03-04,380.00,373.00,373.00,373.00,0.00,100.00,37300.00,0,46
2015-03-01,380.00,380.00,380.00,380.00,0.00,231.00,87780.00,0,47
2015-02-26,387.00,380.00,380.00,380.00,0.00,84.00,31920.00,0,48
2015-02-18,388.00,387.00,374.00,387.00,0.00,394.00,148173.00,0,49
2015-02-16,403.00,407.00,388.00,388.00,0.00,1162.00,462305.00,0,50
2015-02-15,403.00,415.00,403.00,403.00,0.00,1192.00,484220.00,0,51
2015-02-12,367.00,403.00,374.00,403.00,0.00,3718.00,1490594.00,0,52
2015-02-11,335.00,367.00,341.00,367.00,0.00,78.00,27886.00,0,53
2015-02-10,306.00,335.00,300.00,335.00,0.00,2348.00,730269.00,0,54
2015-02-04,306.00,318.00,306.00,306.00,0.00,398.00,123552.00,0,55
2015-01-26,279.00,306.00,284.00,306.00,0.00,60.00,17760.00,0,56
2014-12-10,313.00,307.00,307.00,307.00,0.00,10.00,3070.00,0,57
2014-12-09,319.00,313.00,313.00,313.00,0.00,10.00,3130.00,0,58
