published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-07-10,1051.50,1113.10,1051.50,1070.00,3.78,3998.00,4275155.00,1,1
2024-07-09,990.10,1040.00,988.00,1031.00,2.28,4901.00,5010920.20,1,2
2024-07-08,972.00,1010.80,972.00,1008.00,1.72,1276.00,1281881.20,1,3
2024-07-07,986.00,1000.00,985.00,991.00,0.50,1509.00,1495983.00,1,4
2024-07-04,980.00,987.00,980.00,986.10,-0.39,191.00,188011.40,-1,5
2024-07-03,980.00,990.00,972.00,990.00,1.02,845.00,828132.00,1,6
2024-07-02,999.60,999.60,980.00,980.00,0.00,894.00,887358.90,0,7
2024-07-01,980.00,989.90,976.00,980.00,-2.00,558.00,547001.50,-1,8
2024-06-30,1020.00,1024.00,966.10,1000.00,-0.40,832.00,815827.40,-1,9
2024-06-27,985.00,1004.00,985.00,1004.00,0.40,896.00,892433.00,1,10
2024-06-26,1010.00,1035.00,994.10,1000.00,0.50,1484.00,1492427.70,1,11
2024-06-25,1000.00,1007.80,990.00,995.00,-1.29,1501.00,1492051.00,-1,12
2024-06-24,990.00,1026.80,990.00,1008.00,1.92,5192.00,5263818.90,1,13
2024-06-23,968.00,989.00,963.50,989.00,1.33,1644.00,1593220.00,1,14
2024-06-20,1004.00,1004.00,976.00,976.00,-2.69,1382.00,1366744.00,-1,15
2024-06-19,1010.80,1025.00,990.00,1003.00,1.21,1522.00,1531151.00,1,16
2024-06-18,999.00,1019.00,991.00,991.00,1.12,1854.00,1862296.40,1,17
2024-06-16,1030.00,1040.00,980.00,980.00,-3.92,3141.00,3134733.40,-1,18
2024-06-13,1011.70,1089.00,1011.70,1020.00,2.82,10462.00,10916689.20,1,19
2024-06-12,995.90,996.50,977.10,992.00,1.54,1846.00,1824629.50,1,20
2024-06-11,966.00,985.30,966.00,977.00,-0.50,2500.00,2446665.90,-1,21
2024-06-10,959.20,989.90,959.20,981.90,0.50,767.00,749412.00,1,22
2024-06-09,978.00,978.00,960.50,977.00,-0.11,420.00,403974.00,-1,23
2024-06-06,985.00,998.00,978.10,978.10,-0.52,3289.00,3255268.50,-1,24
2024-06-05,1000.00,1000.00,980.00,983.20,-0.79,1893.00,1877984.40,-1,25
2024-06-04,997.80,1000.00,979.00,991.00,0.81,2221.00,2203916.90,1,26
2024-06-03,945.00,983.00,933.20,983.00,4.02,1105.00,1064843.60,1,27
2024-06-02,945.00,956.00,940.00,945.00,-0.11,386.00,366932.00,-1,28
2024-05-30,960.10,978.00,945.00,946.00,-3.37,1791.00,1710083.10,-1,29
2024-05-29,980.00,1008.00,960.00,979.00,-1.31,4986.00,4869511.00,-1,30
2024-05-27,966.10,996.00,966.10,992.00,0.71,2146.00,2110647.70,1,31
2024-05-26,980.00,985.00,950.00,985.00,-0.40,2283.00,2202606.60,-1,32
2024-05-22,1017.00,1017.00,982.30,989.00,-2.85,2357.00,2338994.00,-1,33
2024-05-21,987.00,1020.00,987.00,1018.00,1.09,3092.00,3112589.70,1,34
2024-05-20,1025.00,1035.00,994.90,1007.00,-1.27,5122.00,5156848.20,-1,35
2024-05-19,1020.00,1045.00,967.00,1020.00,2.00,5732.00,5725408.40,1,36
2024-05-16,950.00,1036.00,950.00,1000.00,6.04,10058.00,10094621.20,1,37
2024-05-15,930.00,956.60,922.00,943.00,2.50,7449.00,7004103.80,1,38
2024-05-14,900.00,958.00,883.00,920.00,1.32,8660.00,7909189.90,1,39
