published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-06-30,545.00,545.00,545.00,545.00,0.00,2000.00,1090000.00,0,1
2024-06-24,545.00,545.00,545.00,545.00,0.00,2848.00,1552160.00,0,2
2024-06-20,545.00,545.00,545.00,545.00,0.00,19260.00,10496700.00,0,3
2024-01-02,446.00,446.00,446.00,446.00,0.00,1605.00,715830.00,0,4
2023-07-20,384.00,384.00,384.00,384.00,-1.79,1900.00,729600.00,-1,5
2023-04-30,391.00,391.00,391.00,391.00,0.00,2400.00,938400.00,0,6
2023-04-24,391.00,391.00,391.00,391.00,0.00,1200.00,469200.00,0,7
2023-03-22,391.00,391.00,391.00,391.00,0.00,1200.00,469200.00,0,8
2022-08-10,671.00,671.00,671.00,671.00,0.00,2000.00,1342000.00,0,9
2022-08-05,671.00,671.00,671.00,671.00,0.00,23700.00,15902700.00,0,10
2022-07-17,671.00,671.00,671.00,671.00,0.00,9000.00,6039000.00,0,11
2022-07-15,671.00,671.00,671.00,671.00,0.00,83200.00,55827200.00,0,12
2022-07-14,671.00,671.00,671.00,671.00,0.00,22000.00,14762000.00,0,13
2022-07-13,671.00,671.00,671.00,671.00,0.00,22331.00,14984101.00,0,14
2022-07-12,671.00,671.00,671.00,671.00,0.00,3000.00,2013000.00,0,15
2022-07-07,671.00,671.00,671.00,671.00,0.00,60400.00,40528400.00,0,16
2022-07-05,671.00,671.00,671.00,671.00,0.00,13700.00,9192700.00,0,17
2022-07-04,671.00,671.00,671.00,671.00,0.00,40997.00,27508987.00,0,18
2022-07-03,671.00,671.00,671.00,671.00,0.00,2500.00,1677500.00,0,19
2022-06-23,671.00,671.00,671.00,671.00,0.00,2000.00,1342000.00,0,20
2022-06-22,671.00,671.00,671.00,671.00,0.00,5000.00,3355000.00,0,21
2022-06-19,671.00,671.00,671.00,671.00,0.00,5940.00,3985740.00,0,22
2022-06-14,671.00,671.00,671.00,671.00,0.00,4000.00,2684000.00,0,23
2022-06-10,671.00,671.00,671.00,671.00,0.00,1770.00,1187670.00,0,24
2022-06-08,671.00,671.00,671.00,671.00,0.00,6396.00,4291716.00,0,25
2022-06-02,671.00,671.00,671.00,671.00,0.00,32000.00,21472000.00,0,26
2021-12-21,875.00,875.00,875.00,875.00,0.00,4486.00,3925250.00,0,27
2021-12-13,875.00,875.00,875.00,875.00,0.00,1775.00,1553125.00,0,28
2021-10-17,875.00,875.00,875.00,875.00,-1.69,1500.00,1312500.00,-1,29
2021-09-16,890.00,890.00,890.00,890.00,0.00,10660.00,9487400.00,0,30
2021-08-24,890.00,890.00,890.00,890.00,0.00,1500.00,1335000.00,0,31
2021-08-19,890.00,890.00,890.00,890.00,0.11,3479.00,3096310.00,1,32
2021-07-19,889.00,889.00,889.00,889.00,0.00,1859.00,1652651.00,0,33
2021-07-12,889.00,889.00,889.00,889.00,0.00,1240.00,1102360.00,0,34
