published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2016-11-24,357.00,371.00,350.00,355.00,0.00,10535.00,3735006.00,0,1
2016-11-23,372.00,370.00,349.00,357.00,0.00,6733.00,2391367.00,0,2
2016-11-22,388.00,390.00,372.00,372.00,0.00,5671.00,2137511.00,0,3
2016-11-21,395.00,388.00,371.00,388.00,0.00,7002.00,2673788.00,0,4
2016-11-20,391.00,395.00,357.00,395.00,0.00,8076.00,2949730.00,0,5
2016-11-17,406.00,398.00,388.00,391.00,0.00,5202.00,2039444.00,0,6
2016-11-16,416.00,418.00,400.00,406.00,0.00,11454.00,4637471.00,0,7
2016-11-15,420.00,420.00,414.00,416.00,0.00,2446.00,1016101.00,0,8
2016-11-14,414.00,420.00,415.00,420.00,0.00,4344.00,1811174.00,0,9
2016-11-13,411.00,427.00,405.00,414.00,0.00,3555.00,1481905.00,0,10
2016-11-10,421.00,429.00,409.00,411.00,0.00,8447.00,3492380.00,0,11
2016-11-09,432.00,433.00,418.00,421.00,0.00,10888.00,4602162.00,0,12
2016-11-08,448.00,453.00,430.00,432.00,0.00,19721.00,8631133.00,0,13
2016-11-07,451.00,458.00,445.00,448.00,0.00,5632.00,2531577.00,0,14
2016-11-03,467.00,459.00,450.00,451.00,0.00,3305.00,1501053.00,0,15
2016-10-27,470.00,472.00,456.00,467.00,0.00,3741.00,1741999.00,0,16
2016-10-26,475.00,479.00,451.00,470.00,0.00,13896.00,6421861.00,0,17
2016-10-25,500.00,490.00,473.00,475.00,0.00,26999.00,12914554.00,0,18
2016-10-24,475.00,522.00,476.00,500.00,0.00,46084.00,23106628.00,0,19
2016-10-23,433.00,475.00,441.00,475.00,0.00,140.00,63290.00,0,20
2016-10-20,394.00,433.00,401.00,433.00,0.00,50.00,20850.00,0,21
2016-10-19,359.00,394.00,366.00,394.00,0.00,140.00,52570.00,0,22
2016-10-18,328.00,359.00,334.00,359.00,0.00,140.00,48450.00,0,23
2016-10-17,310.00,328.00,316.00,328.00,0.00,120.00,39180.00,0,24
2016-10-16,289.00,310.00,294.00,310.00,0.00,40.00,12070.00,0,25
2015-08-02,349.00,355.00,330.00,330.00,0.00,2760.00,929700.00,0,26
2015-07-30,344.00,355.00,345.00,349.00,0.00,1647.00,574003.00,0,27
2015-07-29,350.00,357.00,344.00,344.00,0.00,2842.00,995018.00,0,28
2015-07-28,350.00,357.00,343.00,350.00,0.00,4312.00,1507503.00,0,29
2015-07-27,381.00,388.00,350.00,350.00,0.00,4931.00,1801688.00,0,30
2015-07-26,360.00,381.00,367.00,381.00,0.00,81.00,30511.00,0,31
2015-07-23,349.00,361.00,354.00,360.00,0.00,2672.00,952479.00,0,32
2015-07-22,337.00,351.00,341.00,349.00,0.00,3417.00,1180065.00,0,33
2015-07-16,330.00,337.00,330.00,337.00,0.00,397.00,131360.00,0,34
2015-07-15,336.00,332.00,330.00,330.00,0.00,1480.00,489500.00,0,35
2015-07-14,336.00,336.00,334.00,336.00,0.00,1165.00,390440.00,0,36
2015-07-13,336.00,340.00,336.00,336.00,0.00,1083.00,367311.00,0,37
2015-07-12,330.00,340.00,336.00,336.00,0.00,623.00,211524.00,0,38
2015-07-09,330.00,331.00,330.00,330.00,0.00,1487.00,491462.00,0,39
2015-07-08,336.00,335.00,330.00,330.00,0.00,1433.00,473250.00,0,40
2015-07-07,325.00,337.00,315.00,336.00,0.00,2342.00,773780.00,0,41
2015-07-06,327.00,330.00,325.00,325.00,0.00,264.00,86051.00,0,42
2015-07-05,331.00,327.00,327.00,327.00,0.00,114.00,37278.00,0,43
2015-07-02,325.00,331.00,319.00,331.00,0.00,6422.00,2079087.00,0,44
2015-07-01,334.00,335.00,325.00,325.00,0.00,1612.00,534070.00,0,45
2015-06-30,336.00,334.00,330.00,334.00,0.00,138.00,45724.00,0,46
2015-06-29,325.00,336.00,321.00,336.00,0.00,489.00,160125.00,0,47
2015-06-28,329.00,325.00,318.00,325.00,0.00,2692.00,860952.00,0,48
2015-06-25,329.00,330.00,320.00,329.00,0.00,3183.00,1039478.00,0,49
2015-06-24,325.00,331.00,317.00,329.00,0.00,27649.00,8784957.00,0,50
2015-06-23,318.00,329.00,321.00,325.00,0.00,1004.00,326240.00,0,51
2015-06-22,317.00,319.00,318.00,318.00,0.00,170.00,54150.00,0,52
2015-06-21,320.00,317.00,311.00,317.00,0.00,2734.00,856662.00,0,53
2015-06-18,322.00,322.00,318.00,320.00,0.00,875.00,280910.00,0,54
2015-06-17,323.00,325.00,315.00,322.00,0.00,3153.00,1008300.00,0,55
2015-06-16,326.00,325.00,319.00,323.00,0.00,1784.00,578587.00,0,56
2015-06-15,320.00,326.00,318.00,326.00,0.00,2581.00,833679.00,0,57
2015-06-14,318.00,323.00,320.00,320.00,0.00,878.00,281519.00,0,58
2015-06-11,320.00,321.00,317.00,318.00,0.00,922.00,293868.00,0,59
2015-06-10,337.00,331.00,320.00,320.00,0.00,330.00,107530.00,0,60
2015-06-09,325.00,343.00,331.00,337.00,0.00,2323.00,778499.00,0,61
2015-06-08,312.00,328.00,318.00,325.00,0.00,3899.00,1261003.00,0,62
2015-06-07,310.00,315.00,310.00,312.00,0.00,2637.00,824761.00,0,63
2015-06-04,315.00,315.00,309.00,310.00,0.00,718.00,223115.00,0,64
2015-06-03,310.00,320.00,305.00,315.00,0.00,1157.00,361418.00,0,65
2015-06-02,305.00,310.00,297.00,310.00,0.00,4799.00,1442075.00,0,66
2015-06-01,300.00,312.00,297.00,305.00,0.00,3200.00,968596.00,0,67
2015-05-31,319.00,313.00,295.00,300.00,0.00,3684.00,1105803.00,0,68
2015-05-27,331.00,325.00,319.00,319.00,0.00,44.00,14162.00,0,69
2015-04-23,330.00,335.00,324.00,331.00,0.00,491.00,162542.00,0,70
2015-04-22,332.00,333.00,326.00,330.00,0.00,1928.00,636398.00,0,71
2015-04-21,335.00,340.00,332.00,332.00,0.00,930.00,313166.00,0,72
2015-04-20,338.00,348.00,335.00,335.00,0.00,1517.00,512485.00,0,73
2015-04-16,335.00,340.00,326.00,338.00,0.00,2288.00,763585.00,0,74
2015-04-15,335.00,335.00,329.00,335.00,0.00,1550.00,514359.00,0,75
2015-04-13,344.00,345.00,334.00,335.00,0.00,1071.00,361539.00,0,76
2015-04-12,340.00,344.00,334.00,344.00,0.00,3357.00,1136598.00,0,77
2015-04-09,323.00,343.00,325.00,340.00,0.00,8236.00,2777134.00,0,78
2015-04-08,313.00,325.00,313.00,323.00,0.00,3368.00,1080268.00,0,79
2015-04-07,318.00,316.00,312.00,313.00,0.00,2377.00,745511.00,0,80
2015-04-06,318.00,318.00,300.00,318.00,0.00,1859.00,584690.00,0,81
2015-04-05,318.00,319.00,315.00,318.00,0.00,4622.00,1461234.00,0,82
2015-04-02,313.00,321.00,315.00,318.00,0.00,2121.00,669002.00,0,83
2015-04-01,307.00,313.00,301.00,313.00,0.00,1309.00,401779.00,0,84
2015-03-31,303.00,327.00,303.00,307.00,0.00,1070.00,332630.00,0,85
2015-03-30,316.00,313.00,303.00,303.00,0.00,4057.00,1244932.00,0,86
2015-03-29,330.00,324.00,313.00,316.00,0.00,1459.00,463184.00,0,87
2015-03-26,340.00,371.00,311.00,330.00,0.00,6695.00,2270984.00,0,88
2014-07-13,334.00,340.00,340.00,340.00,0.00,34.00,11560.00,0,89
2014-07-10,343.00,340.00,334.00,334.00,0.00,2164.00,726316.00,0,90
2014-07-09,324.00,343.00,320.00,343.00,0.00,701.00,234663.00,0,91
2014-07-08,306.00,324.00,312.00,324.00,0.00,640.00,203660.00,0,92
2014-07-07,306.00,306.00,306.00,306.00,0.00,220.00,67320.00,0,93
2014-07-03,312.00,310.00,305.00,306.00,0.00,5760.00,1759200.00,0,94
2014-07-02,310.00,312.00,312.00,312.00,0.00,220.00,68640.00,0,95
2014-07-01,307.00,310.00,310.00,310.00,0.00,50.00,15500.00,0,96
2014-06-30,301.00,313.00,307.00,307.00,0.00,1940.00,596150.00,0,97
2014-06-26,301.00,307.00,301.00,301.00,0.00,1070.00,322610.00,0,98
2014-06-25,290.00,301.00,295.00,301.00,0.00,880.00,261270.00,0,99
2014-06-24,300.00,300.00,290.00,290.00,0.00,470.00,138730.00,0,100
2014-06-23,298.00,303.00,300.00,300.00,0.00,770.00,232650.00,0,101
2014-06-18,300.00,299.00,298.00,298.00,0.00,192.00,57262.00,0,102
2014-06-17,295.00,300.00,300.00,300.00,0.00,40.00,12000.00,0,103
2014-06-16,282.00,295.00,287.00,295.00,0.00,138.00,40112.00,0,104
2014-06-15,286.00,282.00,282.00,282.00,0.00,20.00,5640.00,0,105
2014-06-12,286.00,286.00,281.00,286.00,0.00,2048.00,582558.00,0,106
2014-06-11,296.00,291.00,286.00,286.00,0.00,80.00,23040.00,0,107
2014-06-09,300.00,296.00,296.00,296.00,0.00,1000.00,296000.00,0,108
2014-06-08,302.00,303.00,300.00,300.00,0.00,2526.00,761150.00,0,109
2014-06-05,305.00,305.00,300.00,302.00,0.00,1671.00,505450.00,0,110
2014-06-04,320.00,319.00,305.00,305.00,0.00,5745.00,1808445.00,0,111
2014-06-03,306.00,324.00,296.00,320.00,0.00,4003.00,1218400.00,0,112
2014-06-02,313.00,318.00,300.00,306.00,0.00,5840.00,1788810.00,0,113
2014-06-01,285.00,313.00,290.00,313.00,0.00,9106.00,2806582.00,0,114
2014-05-28,280.00,286.00,277.00,285.00,0.00,2153.00,610582.00,0,115
2014-05-27,280.00,280.00,280.00,280.00,0.00,40.00,11200.00,0,116
2014-05-26,275.00,280.00,272.00,280.00,0.00,550.00,153800.00,0,117
