published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-10-16,942.00,1015.00,942.00,1015.00,5.69,4287.00,4119537.50,1,1
2025-10-15,956.0,1004.0,956.0,960.4,-1.07,3866.0,3791099.7,-1,1
2025-10-14,965.0,1001.9,965.0,970.8,-0.43,1716.0,1692569.0,-1,1
2025-10-13,942.0,1004.0,942.0,975.0,2.03,2604.0,2508422.7,1,1
2025-10-12,990.0,1008.0,955.6,955.6,-5.39,4526.0,4402441.6,-1,1
2025-10-09,1029.0,1109.9,1010.0,1010.0,0.1,2228.0,2317032.2,1,1
2025-10-08,1035.0,1035.0,996.0,1009.0,-2.61,4014.0,4048489.5,-1,1
2025-10-07,1057.0,1057.0,1016.0,1036.0,-1.99,3606.0,3714700.4,-1,1
2025-09-28,1044.0,1120.0,1026.0,1057.0,2.62,3515.0,3710752.3,1,1
2025-09-25,1040.0,1040.0,1025.0,1030.0,0.19,1183.0,1218015.0,1,1
2025-09-24,1030.0,1035.0,1014.0,1028.0,-0.17,3226.0,3285442.8,-1,1
2025-09-23,1050.0,1050.0,1020.2,1029.7,-0.55,3615.0,3726019.7,-1,1
2025-09-21,981.0,1076.0,981.0,1035.42,4.08,4335.0,4442711.7,1,1
2025-09-18,1020.7,1020.7,994.8,994.8,-4.48,110.0,111056.0,-1,1
2025-09-08,1040.0,1059.0,1035.2,1041.48,-1.71,3037.0,3169854.5,-1,1
2025-09-07,1041.0,1080.0,1041.0,1059.6,0.03,3329.0,3531195.8,1,1
2025-09-04,1065.0,1073.0,1055.0,1059.3,-0.89,2388.0,2533360.0,-1,1
2025-09-03,1046.9,1084.0,1046.9,1068.76,0.05,6824.0,7317696.4,1,1
2025-09-02,1076.8,1097.8,1065.0,1068.2,-0.8,4193.0,4517437.6,-1,1
2025-09-01,1049.0,1080.9,1049.0,1076.8,1.11,1011.0,1084418.5,1,1
2025-08-31,1061.0,1089.0,1049.0,1064.98,-0.26,2777.0,2972654.0,-1,1
2025-08-28,1086.3,1098.0,1060.0,1067.76,-2.75,8838.0,9495856.7,-1,1
2025-08-27,1088.0,1105.0,1081.0,1097.92,0.96,5542.0,6030734.6,1,1
2025-08-26,1079.29,1106.5,1076.1,1087.43,0.75,3238.0,3544737.8,1,1
2025-08-25,1078.0,1093.0,1072.0,1079.29,1.6,3267.0,3526461.9,1,1
2025-08-24,1057.0,1090.0,1057.0,1062.32,-1.4,3343.0,3564200.5,-1,1
2025-08-21,1065.0,1093.0,1065.0,1077.35,-0.17,5984.0,6430116.9,-1,1
2025-08-20,1078.0,1108.0,1076.0,1079.18,-1.86,5312.0,5747426.2,-1,1
2025-08-19,1062.0,1118.0,1062.0,1099.58,1.9,8616.0,9471080.2,1,1
2025-08-18,1100.0,1126.0,1073.0,1079.03,-2.37,7961.0,8639389.8,-1,1
2025-08-17,1119.8,1149.0,1100.0,1105.25,-3.27,7119.0,7968228.8,-1,1
2025-08-14,1117.0,1170.0,1117.0,1142.62,1.19,10870.0,12456636.0,1,1
2025-08-13,1108.6,1138.0,1108.6,1129.18,-0.18,19378.0,21722144.8,-1,1
2025-08-12,1091.2,1139.0,1086.0,1131.17,2.18,14898.0,16705428.0,1,1
2025-08-11,1082.9,1126.5,1082.9,1107.09,0.19,12647.0,14035024.3,1,1
2025-08-07,1090.0,1121.0,1087.0,1104.99,2.32,11062.0,12234912.2,1,1
2025-08-06,1059.2,1124.0,1045.0,1079.96,-0.07,7857.0,8590612.0,-1,1
