published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-12-24,792.0,834.0,780.0,810.0,4.27,92332.0,74624663.1,1,1
2024-12-23,762.5,792.5,762.5,776.8,-0.15,21582.0,16726223.3,-1,2
2024-12-22,796.6,796.6,767.5,777.99,-0.39,22982.0,17800715.98,-1,3
2024-12-19,804.0,804.0,768.6,781.0,-1.14,147038.0,114505731.5,-1,4
2024-12-18,795.0,816.0,775.0,790.0,1.3,45717.0,36394676.8,1,5
2024-12-17,791.7,791.7,746.0,779.9,0.46,20910.0,16272321.6,1,6
2024-12-16,799.0,815.0,775.0,776.3,-4.4,56049.0,44484535.7,-1,7
2024-12-12,820.0,860.0,806.6,812.0,-1.8,81169.0,66628940.5,-1,1
2024-12-11,817.0,828.0,817.0,826.9,1.21,50779.0,41748960.3,1,1
2024-12-10,848.0,848.0,808.0,817.0,-1.8,49467.0,40780520.82,-1,1
2024-12-09,829.3,845.0,819.0,832.0,0.6,52980.0,44108016.7,1,2
2024-12-08,815.0,863.0,808.1,827.0,1.97,125668.0,104855541.2,1,3
2024-12-05,796.3,824.9,796.2,811.0,0.62,65697.0,53446604.0,1,4
2024-12-04,828.7,841.5,800.2,806.0,-2.07,58342.0,47780244.2,-1,5
2024-12-03,790.0,841.0,785.0,823.0,4.83,93253.0,75757921.3,1,6
2024-12-02,810.1,854.0,785.0,785.1,-3.55,128034.0,104323704.8,-1,7
2024-12-01,772.3,846.6,772.3,814.0,3.3,250665.0,200515895.9,1,8
2024-11-28,845.9,865.0,785.1,788.0,-6.84,140129.0,114628930.6,-1,9
2024-11-27,753.7,845.9,728.0,845.9,10.0,250439.0,201338330.4,1,10
2024-11-26,823.2,823.2,756.0,769.0,-8.45,332475.0,256782567.4,-1,11
2024-11-25,785.1,870.0,785.1,840.0,5.66,123622.0,102785064.9,1,12
2024-11-24,800.0,813.9,786.5,795.0,-1.98,91036.0,72882321.5,-1,13
2024-11-21,799.7,838.0,799.7,811.1,3.44,201405.0,165086622.2,1,14
2024-11-20,715.0,784.1,703.5,784.1,9.99,164976.0,126895618.9,1,15
2024-11-19,724.3,750.0,710.0,712.9,-3.53,70113.0,50914732.5,-1,16
2024-11-17,725.2,780.0,702.1,739.0,-0.14,103925.0,76393607.7,-1,17
2024-11-14,745.0,770.0,735.0,740.0,-0.67,77798.0,58576874.7,-1,18
2024-11-13,708.0,764.0,694.0,745.0,7.13,113395.0,82272329.4,1,19
2024-11-12,683.0,719.0,683.0,695.4,2.26,80113.0,56428437.0,1,20
2024-11-11,701.1,710.0,670.0,680.0,-3.29,49635.0,33958397.2,-1,21
2024-11-10,701.9,711.0,688.0,703.1,2.08,47911.0,33651736.5,1,22
2024-11-06,660.1,703.0,660.0,688.8,4.06,54372.0,36947250.6,1,23
2024-11-05,651.0,670.0,651.0,661.9,1.91,29162.0,19304363.7,1,24
2024-10-30,658.2,670.0,637.0,649.5,-0.84,40609.0,26765122.8,-1,25
2024-10-29,635.0,665.0,631.0,655.0,3.89,41817.0,26928112.2,1,26
2024-10-28,614.9,637.0,614.9,630.5,2.35,53455.0,33430445.5,1,27
2024-10-27,597.0,619.1,597.0,616.0,1.65,16564.0,10072316.1,1,28
2024-10-24,621.0,621.8,595.0,606.0,-1.14,14724.0,8851517.0,-1,29
2024-10-23,620.0,624.8,601.0,613.0,0.0,13375.0,8128295.1,0,30
2024-10-22,601.0,630.0,601.0,613.0,0.66,13771.0,8469997.0,1,31
2024-10-21,606.0,624.0,600.0,609.0,-1.28,30662.0,18674712.5,-1,32
2024-10-20,620.4,638.9,605.0,616.9,-2.54,31718.0,19534048.4,-1,33
2024-10-17,645.0,646.0,625.0,633.0,-0.31,33318.0,21077430.8,-1,34
2024-10-16,637.9,648.0,617.0,635.0,0.95,17029.0,10833038.1,1,35
2024-10-15,615.0,631.0,610.0,629.0,4.14,14171.0,8873252.0,1,36
2024-10-09,598.0,605.0,586.1,604.0,1.02,3365.0,2008704.1,1,37
2024-10-08,613.0,622.8,595.0,597.9,-0.52,26290.0,15912675.2,-1,38
2024-10-07,627.0,639.5,597.2,601.0,-2.28,36783.0,22717330.6,-1,39
2024-10-06,604.0,616.0,590.0,615.0,3.73,29022.0,17643540.2,1,40
2024-10-02,601.0,606.7,583.0,592.9,-0.34,28766.0,17160037.3,-1,41
2024-10-01,556.9,595.0,554.0,594.9,8.96,33552.0,19401301.3,1,42
2024-09-30,545.8,555.0,538.2,546.0,1.87,14244.0,7777074.6,1,43
2024-09-29,558.9,565.0,526.0,536.0,-3.25,10120.0,5482971.6,-1,44
2024-09-26,578.0,578.0,540.1,554.0,-2.81,13769.0,7727795.0,-1,45
2024-09-25,545.0,572.2,532.3,570.0,4.97,18706.0,10369288.1,1,46
2024-09-24,555.1,571.0,531.0,543.0,-3.89,25679.0,14038014.3,-1,47
2024-09-23,586.1,595.0,555.2,565.0,-5.52,22978.0,13133694.5,-1,48
2024-09-22,597.9,634.0,580.0,598.0,-1.97,26211.0,15660022.5,-1,49
2024-09-18,603.0,615.1,588.0,610.0,-0.49,35103.0,21062042.7,-1,50
2024-09-16,663.0,667.0,605.0,613.0,-5.69,37201.0,23525587.1,-1,51
2024-09-15,665.4,671.0,637.2,650.0,-2.11,44113.0,29014494.8,-1,52
2024-09-12,654.7,665.0,645.0,664.0,2.31,36290.0,23852192.8,1,53
2024-09-11,652.0,665.0,635.2,649.0,-0.61,29715.0,19294492.0,-1,54
2024-09-10,660.0,683.9,640.0,653.0,-2.13,61846.0,40842092.0,-1,55
2024-09-09,705.0,705.0,667.1,667.2,-4.4,41011.0,27910994.5,-1,56
2024-09-08,717.0,729.0,692.0,697.9,-0.73,84032.0,59229222.5,-1,57
2024-09-05,710.0,720.0,700.1,703.0,-2.36,58364.0,41329916.6,-1,58
2024-09-04,734.9,763.0,717.1,720.0,-0.07,149125.0,110449425.7,-1,59
2024-09-03,700.0,751.1,677.1,720.5,4.57,201463.0,145372218.4,1,60
2024-09-02,674.7,693.0,656.1,689.0,4.08,33012.0,22472223.5,1,61
2024-09-01,668.0,710.0,660.6,662.0,-1.34,30817.0,20700848.1,-1,62
2024-08-29,676.2,741.0,662.0,671.0,-2.75,58566.0,40129432.1,-1,63
