published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-10-27,261.00,261.00,261.00,261.00,0.00,15000.00,3915000.00,0,1
2024-03-14,216.00,216.00,216.00,216.00,0.00,146748.00,31697568.00,0,2
2023-06-04,182.00,182.00,182.00,182.00,0.00,4800.00,873600.00,0,3
2022-12-21,248.00,248.00,248.00,248.00,0.00,1500.00,372000.00,0,4
2022-12-20,248.00,248.00,248.00,248.00,0.00,82000.00,20336000.00,0,5
2022-12-01,248.00,248.00,248.00,248.00,0.00,11407.00,2828936.00,0,6
2022-09-22,248.00,248.00,248.00,248.00,0.00,11800.00,2926400.00,0,7
2022-07-24,248.00,248.00,248.00,248.00,0.00,28626.00,7099248.00,0,8
2022-06-14,248.00,248.00,248.00,248.00,0.00,9170.00,2274160.00,0,9
2022-05-18,248.00,248.00,248.00,248.00,0.00,12487.00,3096776.00,0,10
2022-05-11,248.00,248.00,248.00,248.00,0.00,15000.00,3720000.00,0,11
2022-04-11,248.00,248.00,248.00,248.00,0.00,12491.00,3097768.00,0,12
2022-03-15,248.00,248.00,248.00,248.00,0.00,40000.00,9920000.00,0,13
2021-11-03,262.00,262.00,262.00,262.00,0.00,10522.00,2756764.00,0,14
2021-11-01,262.00,262.00,262.00,262.00,0.00,247943.00,64961066.00,0,15
2021-10-27,262.00,262.00,262.00,262.00,0.00,247943.00,64961066.00,0,16
2021-10-26,262.00,262.00,262.00,262.00,0.00,19070.00,4996340.00,0,17
2021-07-20,324.00,324.00,324.00,324.00,0.00,25000.00,8100000.00,0,18
2021-07-15,324.00,324.00,324.00,324.00,0.00,3930.00,1273320.00,0,19
2021-02-09,110.00,118.00,110.00,118.00,9.26,56152.00,6625736.00,1,20
2020-08-13,106.00,106.00,106.00,106.00,0.00,39553.00,4192620.00,0,21
2020-02-27,113.00,113.00,113.00,113.00,0.00,1000.00,113000.00,0,22
2020-01-13,113.00,113.00,113.00,113.00,0.00,149145.00,16853384.00,0,23
2019-11-21,113.00,113.00,113.00,113.00,0.00,71000.00,8023000.00,0,24
2019-08-05,113.00,113.00,113.00,113.00,0.00,46000.00,5198000.00,0,25
2019-06-20,113.00,113.00,113.00,113.00,0.00,3000.00,339000.00,0,26
2019-02-06,113.00,113.00,113.00,113.00,-1.74,6000.00,678000.00,-1,27
2019-01-10,115.00,115.00,115.00,115.00,0.00,43070.00,4953050.00,0,28
2019-01-06,115.00,115.00,115.00,115.00,0.00,14000.00,1610000.00,0,29
2018-12-19,115.00,115.00,115.00,115.00,4.55,71506.00,8223190.00,1,30
2018-09-30,110.00,110.00,110.00,110.00,0.00,76078.00,8368580.00,0,31
2018-07-09,110.00,110.00,110.00,110.00,0.00,40000.00,4400000.00,0,32
2018-03-05,105.00,105.00,105.00,105.00,0.00,11000.00,1155000.00,0,33
