published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-12-09,1134.00,1134.00,1134.00,1134.00,2.00,20.00,22680.00,1,1
2024-11-27,1111.80,1111.80,1111.80,1111.80,2.00,10.00,11118.00,1,2
2024-11-20,1090.10,1090.10,1090.00,1090.00,0.83,45.00,49053.00,1,3
2024-10-23,1081.00,1081.00,1081.00,1081.00,-0.02,25.00,27025.00,-1,4
2024-09-24,1081.20,1081.20,1081.20,1081.20,2.00,10.00,10812.00,1,5
2024-09-12,1060.00,1060.00,1060.00,1060.00,0.47,25.00,26500.00,1,6
2024-09-02,1055.00,1055.00,1055.00,1055.00,0.95,25.00,26375.00,1,7
2024-08-14,1045.10,1045.10,1045.10,1045.10,0.49,25.00,26127.50,1,8
2024-08-08,1040.00,1040.00,1040.00,1040.00,0.00,25.00,26000.00,0,9
2024-08-07,1040.00,1040.00,1040.00,1040.00,0.00,25.00,26000.00,0,10
2024-08-05,1040.00,1040.00,1040.00,1040.00,0.48,75.00,78000.00,1,11
2024-07-30,1035.00,1035.00,1035.00,1035.00,0.98,25.00,25875.00,1,12
2024-07-23,1025.00,1025.00,1025.00,1025.00,1.78,25.00,25625.00,1,13
2024-07-17,1007.10,1007.10,1007.10,1007.10,-1.99,35.00,35248.50,-1,14
2024-07-16,1027.60,1027.60,1027.60,1027.60,-1.99,125.00,128450.00,-1,15
2024-07-15,1048.00,1048.50,1048.00,1048.50,1.99,75.00,78625.00,1,16
2024-07-14,1028.00,1028.00,1028.00,1028.00,-1.81,31.00,31868.00,-1,17
2024-07-08,1068.20,1068.20,1046.90,1046.90,-3.95,5550.00,5810508.00,-1,18
2024-07-03,1071.00,1090.00,1071.00,1090.00,3.81,4000.00,4359810.00,1,19
2024-07-02,1040.00,1050.00,1040.00,1050.00,0.86,5575.00,5798250.00,1,20
2024-06-30,1040.00,1041.00,1040.00,1041.00,0.10,4450.00,4628450.00,1,21
2024-06-16,1040.00,1040.00,1040.00,1040.00,0.00,15.00,15600.00,0,22
2024-06-11,1040.00,1040.00,1040.00,1040.00,0.00,25.00,26000.00,0,23
2024-06-03,1040.00,1040.00,1040.00,1040.00,0.48,30.00,31200.00,1,24
2024-05-21,1035.00,1035.00,1035.00,1035.00,-0.48,40.00,41400.00,-1,25
2024-05-20,1040.00,1040.00,1040.00,1040.00,-0.48,25.00,26000.00,-1,26
2024-05-15,1045.00,1045.00,1045.00,1045.00,1.94,25.00,26125.00,1,27
2024-05-13,1025.10,1025.10,1025.10,1025.10,-1.90,30.00,30753.00,-1,28
2024-04-22,1045.00,1045.00,1045.00,1045.00,1.95,10.00,10450.00,1,29
2024-04-21,1025.00,1025.00,1025.00,1025.00,1.98,50.00,51250.00,1,30
2024-04-14,1005.10,1005.10,1005.10,1005.10,2.00,30.00,30153.00,1,31
2024-04-03,985.40,985.40,985.40,985.40,-0.77,30.00,29562.00,-1,32
2024-03-06,993.00,993.00,993.00,993.00,0.00,25.00,24825.00,0,33
2024-01-29,993.00,993.00,993.00,993.00,1.85,25.00,24825.00,1,34
2024-01-18,975.00,975.00,975.00,975.00,0.21,25.00,24375.00,1,35
2023-12-21,973.00,973.00,973.00,973.00,-0.71,25.00,24325.00,-1,36
2023-12-19,980.00,980.00,980.00,980.00,2.73,20970.00,20550600.00,1,37
2023-11-23,954.00,954.00,954.00,954.00,-1.92,25.00,23850.00,-1,38
2023-07-16,972.70,972.70,972.70,972.70,1.99,10.00,9727.00,1,39
2023-07-13,953.70,953.70,953.70,953.70,2.00,25.00,23842.50,1,40
2023-07-10,935.00,935.00,935.00,935.00,0.26,50.00,46750.00,1,41
2023-05-28,932.60,932.60,932.60,932.60,-2.00,50.00,46630.00,-1,42
2022-07-03,951.60,951.60,951.60,951.60,-2.00,25.00,23790.00,-1,43
2022-04-24,971.00,971.00,971.00,971.00,-2.00,50.00,48550.00,-1,44
