published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2023-06-05,100.00,100.00,100.00,100.00,0.00,79401.00,7940100.00,0,1
2022-08-16,109.00,109.00,109.00,109.00,0.00,45599.00,4970291.00,0,2
2021-12-09,163.00,163.00,163.00,163.00,0.00,30203.00,4923089.00,0,3
2021-06-09,211.00,211.00,211.00,211.00,-1.86,66968.00,14130248.00,-1,4
2020-12-31,137.00,137.00,137.00,137.00,0.00,3525.00,482925.00,0,5
2020-10-21,137.00,137.00,137.00,137.00,0.00,266431.00,36501047.00,0,6
2019-10-23,112.00,112.00,112.00,112.00,0.00,2561.00,286832.00,0,7
2019-09-12,112.00,112.00,112.00,112.00,-1.75,419717.00,47008304.00,-1,8
2019-09-11,114.00,114.00,114.00,114.00,-21.38,167032.00,19041648.00,-1,9
2018-02-28,145.00,145.00,145.00,145.00,1.40,2280.00,330600.00,1,10
2017-06-13,270.00,265.00,265.00,265.00,0.00,250.00,66250.00,0,11
2017-02-22,440.00,440.00,440.00,440.00,0.00,750.00,330000.00,0,12
2016-09-21,445.00,440.00,440.00,440.00,0.00,7000.00,3080000.00,0,13
2016-09-12,451.00,445.00,445.00,445.00,0.00,61000.00,27145000.00,0,14
2016-09-08,460.00,451.00,451.00,451.00,0.00,62000.00,27962000.00,0,15
2016-04-10,326.00,320.00,320.00,320.00,0.00,18471.00,5910720.00,0,16
2015-11-08,245.00,245.00,245.00,245.00,0.00,60000.00,14700000.00,0,17
2015-10-08,250.00,245.00,245.00,245.00,0.00,324068.00,79396656.00,0,18
2015-07-15,255.00,250.00,250.00,250.00,0.00,138607.00,34651752.00,0,19
2015-06-16,260.00,255.00,255.00,255.00,0.00,137557.00,35077036.00,0,20
2013-10-02,128.00,128.00,128.00,128.00,0.00,6945.00,888960.00,0,21
2013-10-01,128.00,128.00,128.00,128.00,0.00,13891.00,1778048.00,0,22
2013-09-29,128.00,128.00,128.00,128.00,0.00,74000.00,9472000.00,0,23
2013-09-22,128.00,128.00,128.00,128.00,0.00,70992.00,9086976.00,0,24
2011-11-22,128.00,128.00,128.00,128.00,0.00,52920.00,6773760.00,0,25
2011-11-17,450.00,128.00,128.00,128.00,0.00,783405.00,100275840.00,0,26
