published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-06-09,9.60,9.76,9.47,9.47,-3.27,205516.00,1953547.52,-1,1
2024-06-06,9.70,9.79,9.51,9.79,-0.10,173150.00,1663642.00,-1,2
2024-06-05,9.83,9.83,9.80,9.80,0.31,15700.00,154031.00,1,3
2024-06-04,9.59,9.77,9.59,9.77,0.72,60100.00,584260.00,1,4
2024-06-03,9.70,9.70,9.70,9.70,-1.92,9500.00,92150.00,-1,5
2024-06-02,9.89,9.90,9.71,9.89,1.85,4689.00,46359.10,1,6
2024-05-30,9.71,9.71,9.53,9.71,0.21,14570.00,140384.90,1,7
2024-05-27,9.50,9.69,9.50,9.69,0.10,13500.00,130720.00,1,8
2024-05-26,9.51,9.68,9.50,9.68,0.31,36913.00,355530.65,1,9
2024-05-22,9.63,9.65,9.63,9.65,0.42,40404.00,389175.30,1,10
2024-05-21,9.55,9.67,9.54,9.61,-0.93,20184.00,192861.40,-1,11
2024-05-20,9.62,9.70,9.62,9.70,0.41,36900.00,357426.00,1,12
2024-05-19,9.60,9.66,9.60,9.66,1.68,106900.00,1029585.00,1,13
2024-05-16,9.50,9.69,9.50,9.50,-1.96,20100.00,190969.00,-1,14
2024-05-14,9.49,9.69,9.42,9.69,3.53,294985.00,2857397.50,1,15
2024-05-13,9.35,9.36,9.35,9.36,0.00,5900.00,55199.00,0,16
2024-05-09,9.40,9.40,9.35,9.36,-0.32,16767.00,156904.12,-1,17
2024-05-07,9.36,9.40,9.36,9.39,-1.68,35000.00,328600.00,-1,18
2024-05-06,9.55,9.55,9.55,9.55,1.49,520.00,4966.00,1,19
2024-05-05,9.42,9.42,9.30,9.41,-0.74,39450.00,370036.00,-1,20
2024-05-02,9.46,9.48,9.46,9.48,-1.25,3000.00,28430.00,-1,21
2024-04-30,9.60,9.60,9.60,9.60,0.00,6527.00,62659.20,0,22
2024-04-28,9.45,9.60,9.45,9.60,1.59,14200.00,134309.00,1,23
2024-04-25,9.46,9.46,9.45,9.45,1.07,2500.00,23626.22,1,24
2024-04-24,9.35,9.35,9.35,9.35,-1.58,1600.00,14960.00,-1,25
2024-04-22,9.60,9.60,9.50,9.50,0.00,11667.00,111086.50,0,26
2024-04-18,9.46,9.50,9.46,9.50,-1.45,21758.00,206449.00,-1,27
2024-04-16,9.50,9.64,9.50,9.64,1.69,42960.00,408400.00,1,28
2024-04-14,9.50,9.50,9.46,9.48,-0.21,34500.00,327598.00,-1,29
2024-04-10,9.51,9.55,9.50,9.50,-0.52,22486.00,214010.88,-1,30
2024-04-09,9.52,9.55,9.52,9.55,0.32,17000.00,162010.00,1,31
2024-04-07,9.51,9.60,9.51,9.52,0.21,12483.00,118742.33,1,32
2024-04-04,9.51,9.51,9.50,9.50,-0.84,16400.00,155900.00,-1,33
2024-04-03,9.55,9.64,9.49,9.58,0.31,21277.00,202073.23,1,34
2024-04-02,9.51,9.63,9.51,9.55,-0.93,2200.00,21029.60,-1,35
2024-04-01,9.51,9.64,9.51,9.64,0.42,20100.00,191288.47,1,36
2024-03-31,9.51,9.60,9.48,9.60,1.05,85713.00,817025.99,1,37
2024-03-28,9.47,9.65,9.47,9.50,0.00,30418.00,288978.50,0,38
2024-03-27,9.55,9.55,9.50,9.50,0.53,41616.00,395882.00,1,39
2024-03-26,9.40,9.50,9.40,9.45,0.21,42383.00,398739.80,1,40
2024-03-25,9.46,9.46,9.43,9.43,-0.74,57850.00,546565.50,-1,41
2024-03-21,9.50,9.50,9.50,9.50,0.42,3300.00,31350.00,1,42
2024-03-20,9.46,9.50,9.33,9.46,-1.46,752321.00,7131053.42,-1,43
2024-03-19,9.27,9.60,9.27,9.60,2.45,699642.00,6672780.20,1,44
2024-03-18,9.41,9.41,9.34,9.37,-1.37,3000.00,28071.20,-1,45
2024-03-17,9.24,9.60,9.24,9.50,0.85,15982.00,150524.80,1,46
2024-03-14,9.42,9.42,9.42,9.42,-1.88,500.00,4710.00,-1,47
2024-03-13,9.60,9.60,9.55,9.60,0.21,19589.00,187840.62,1,48
2024-03-12,9.36,9.58,9.36,9.58,1.91,18145.00,171909.95,1,49
2024-03-10,9.36,9.50,9.36,9.40,0.00,3312.00,31212.12,0,50
2024-03-07,9.34,9.40,9.33,9.40,0.21,41101.00,383729.81,1,51
2024-03-06,9.27,9.44,9.27,9.38,-0.74,7588.00,70746.84,-1,52
2024-03-05,9.30,9.60,9.30,9.45,0.11,8282.00,77738.20,1,53
2024-03-03,9.26,9.44,9.26,9.44,0.43,9439.00,87658.03,1,54
2024-02-29,9.42,9.50,9.40,9.40,-1.05,45285.00,426187.50,-1,55
2024-02-28,9.36,9.53,9.36,9.50,1.60,43500.00,412210.00,1,56
2024-02-27,9.28,9.35,9.28,9.35,0.21,15100.00,141019.00,1,57
2024-02-26,9.35,9.35,9.33,9.33,-0.32,1240.00,11589.20,-1,58
2024-02-25,9.53,9.53,9.36,9.36,-1.99,30411.00,285212.88,-1,59
2024-02-22,9.64,9.69,9.55,9.55,0.53,114500.00,1104235.00,1,60
2024-02-21,9.31,9.50,9.31,9.50,0.00,31885.00,300921.00,0,61
2024-02-20,9.61,9.61,9.24,9.50,-3.06,13050.00,122998.00,-1,62
2024-02-18,9.80,9.80,9.80,9.80,0.72,100.00,980.00,1,63
2024-02-15,9.45,9.73,9.44,9.73,1.78,19950.00,191788.00,1,64
2024-02-14,9.56,9.56,9.56,9.56,-1.75,100.00,956.00,-1,65
2024-02-13,9.55,9.73,9.54,9.73,0.21,11200.00,107740.00,1,66
2024-02-12,9.65,9.71,9.51,9.71,2.53,113900.00,1104162.00,1,67
2024-02-11,9.42,9.47,9.42,9.47,-0.42,10950.00,103256.50,-1,68
2024-02-08,9.47,9.55,9.47,9.51,-0.31,22514.00,213858.72,-1,69
2024-02-07,9.57,9.57,9.42,9.54,1.49,45590.00,435105.17,1,70
2024-02-06,9.36,9.50,9.36,9.40,-1.26,72105.00,677787.50,-1,71
2024-02-05,9.40,9.57,9.39,9.52,0.21,128307.00,1212101.66,1,72
2024-02-04,9.32,9.50,9.32,9.50,0.85,77940.00,733671.80,1,73
2024-02-01,9.45,9.45,9.42,9.42,-0.84,8000.00,75548.07,-1,74
2024-01-31,9.41,9.54,9.41,9.50,1.39,133769.00,1267662.86,1,75
2024-01-30,9.28,9.50,9.28,9.37,0.97,31091.00,291478.33,1,76
2024-01-29,9.28,9.44,9.28,9.28,1.98,59245.00,549969.12,1,77
2024-01-28,9.25,9.25,9.10,9.10,0.33,300.00,2760.00,1,78
2024-01-25,9.12,9.14,8.97,9.07,-0.55,14750.00,133841.50,-1,79
2024-01-24,9.11,9.12,9.10,9.12,0.33,10550.00,96041.00,1,80
2024-01-23,9.32,9.32,9.09,9.09,-4.32,11479.00,104650.33,-1,81
2024-01-22,9.56,9.56,9.37,9.50,1.28,1900.00,17946.99,1,82
2024-01-21,9.20,9.38,9.20,9.38,1.96,3139.00,28903.82,1,83
2024-01-18,9.02,9.20,9.02,9.20,0.77,17700.00,162604.00,1,84
2024-01-17,9.50,9.50,9.13,9.13,-3.89,19350.00,179798.50,-1,85
2024-01-16,8.90,9.50,8.90,9.50,5.56,15070.00,137467.50,1,86
2024-01-14,8.87,9.00,8.87,9.00,0.45,7580.00,68064.00,1,87
2024-01-11,8.82,8.96,8.79,8.96,0.00,65475.00,579183.88,0,88
2024-01-10,8.97,8.97,8.96,8.96,-0.11,7800.00,69958.00,-1,89
2024-01-09,8.80,8.97,8.80,8.97,0.90,12250.00,109797.50,1,90
2024-01-08,8.89,8.89,8.89,8.89,0.00,100.00,889.00,0,91
2024-01-07,8.73,8.91,8.73,8.89,-0.11,92799.00,824111.27,-1,92
2024-01-04,9.00,9.00,8.89,8.90,0.00,15000.00,134331.50,0,93
2024-01-03,9.00,9.00,8.90,8.90,-0.67,5747.00,51158.30,-1,94
2024-01-02,8.96,8.96,8.96,8.96,-0.22,4600.00,41216.00,-1,95
2024-01-01,9.00,9.00,8.98,8.98,-0.22,2600.00,23380.00,-1,96
2023-12-28,9.00,9.18,9.00,9.00,0.00,21755.00,195885.90,0,97
2023-12-27,8.89,9.00,8.89,9.00,0.67,5920.00,53123.80,1,98
2023-12-24,9.10,9.10,8.94,8.94,-1.11,48449.00,437436.05,-1,99
2023-12-21,9.01,9.09,9.01,9.04,-0.66,21703.00,196292.62,-1,100
2023-12-20,9.05,9.20,9.05,9.10,1.00,120350.00,1101870.00,1,101
2023-12-19,9.01,9.01,9.01,9.01,0.00,10000.00,90100.00,0,102
2023-12-18,9.01,9.02,9.01,9.01,1.69,20500.00,184760.00,1,103
2023-12-17,8.77,8.94,8.77,8.86,-0.89,89550.00,792489.00,-1,104
2023-12-14,8.94,8.94,8.94,8.94,0.34,31950.00,285633.00,1,105
2023-12-13,8.95,8.95,8.91,8.91,-2.41,12000.00,107000.00,-1,106
2023-12-11,8.62,9.13,8.62,9.13,6.16,68957.00,607777.03,1,107
2023-12-07,8.60,8.60,8.60,8.60,0.82,1000.00,8600.00,1,108
2023-12-04,8.27,8.53,8.27,8.53,1.43,18950.00,159781.00,1,109
2023-12-03,8.41,8.41,8.41,8.41,-1.64,1000.00,8410.00,-1,110
2023-11-30,8.49,8.65,8.49,8.55,0.83,6650.00,56832.50,1,111
2023-11-29,8.49,8.49,8.48,8.48,0.24,14000.00,118730.00,1,112
2023-11-28,8.46,8.46,8.46,8.46,0.00,2000.00,16920.00,0,113
2023-11-27,8.44,8.46,8.44,8.46,0.36,9400.00,79436.00,1,114
2023-11-26,8.43,8.43,8.43,8.43,-1.98,2000.00,16860.00,-1,115
2023-11-23,8.60,8.60,8.60,8.60,1.78,1000.00,8600.00,1,116
2023-11-21,8.70,8.77,8.43,8.45,-2.76,209760.00,1828953.80,-1,117
2023-11-20,8.59,8.69,8.59,8.69,1.16,5100.00,43819.00,1,118
2023-11-09,8.50,8.59,8.50,8.59,-0.46,51000.00,433590.00,-1,119
2023-11-08,8.50,8.63,8.50,8.63,0.94,24000.00,204451.39,1,120
2023-11-07,8.56,8.56,8.39,8.55,-0.12,4200.00,35452.00,-1,121
2023-11-06,8.41,8.56,8.41,8.56,3.76,110482.00,930650.92,1,122
2023-11-05,8.17,8.25,8.17,8.25,0.00,7600.00,62100.00,0,123
2023-11-01,8.26,8.26,8.25,8.25,-0.72,3000.00,24760.00,-1,124
2023-10-31,8.31,8.31,8.31,8.31,-1.07,1000.00,8310.00,-1,125
2023-10-30,8.40,8.40,8.40,8.40,0.36,5000.00,42000.00,1,126
2023-10-29,8.50,8.50,8.37,8.37,0.00,83508.00,699074.96,0,127
2023-10-19,8.70,8.70,8.37,8.37,-3.79,55100.00,478220.00,-1,128
2023-10-18,8.49,8.87,8.26,8.70,3.82,105587.00,894424.63,1,129
2023-10-17,8.30,8.38,8.30,8.38,1.58,3350.00,27833.00,1,130
2023-10-16,8.25,8.25,8.25,8.25,-1.32,114.00,940.50,-1,131
2023-10-12,8.36,8.36,8.36,8.36,1.95,100.00,836.00,1,132
2023-10-11,8.20,8.25,8.20,8.20,0.12,7000.00,57450.00,1,133
2023-10-10,8.35,8.35,8.19,8.19,0.00,15117.00,124628.23,0,134
2023-10-09,8.21,8.21,8.19,8.19,-0.97,5500.00,45119.00,-1,135
2023-10-08,8.27,8.27,8.27,8.27,-1.19,1000.00,8270.00,-1,136
2023-10-05,8.38,8.38,8.37,8.37,-1.41,2500.00,20935.00,-1,137
2023-10-04,8.33,8.49,8.33,8.49,1.92,51000.00,431048.00,1,138
2023-10-03,8.40,8.47,8.33,8.33,0.24,61443.00,519540.21,1,139
2023-10-02,8.31,8.31,8.31,8.31,0.61,5000.00,41550.00,1,140
2023-10-01,8.25,8.40,8.24,8.26,-1.08,64600.00,541926.00,-1,141
2023-09-27,8.35,8.35,8.34,8.35,-0.36,6000.00,50085.00,-1,142
2023-09-26,8.45,8.45,8.29,8.38,0.00,1954.00,16255.52,0,143
2023-09-25,8.53,8.53,8.38,8.38,-1.76,20500.00,172529.36,-1,144
2023-09-24,8.55,8.55,8.53,8.53,-1.95,22300.00,190539.00,-1,145
2023-09-21,8.35,8.70,8.35,8.70,5.84,112200.00,969835.00,1,146
2023-09-18,8.05,8.22,8.04,8.22,1.99,11020.00,88870.80,1,147
2023-09-17,8.06,8.06,8.06,8.06,-0.49,2900.00,23374.00,-1,148
2023-09-13,8.10,8.10,8.10,8.10,1.25,25000.00,202500.00,1,149
2023-09-12,8.08,8.20,8.00,8.00,-1.11,60400.00,486845.00,-1,150
2023-09-11,8.00,8.09,8.00,8.09,1.13,30100.00,242600.00,1,151
2023-09-10,8.00,8.00,8.00,8.00,0.00,7200.00,57600.00,0,152
2023-09-07,8.10,8.10,8.00,8.00,-1.72,1950.00,15625.00,-1,153
2023-09-05,8.01,8.14,7.92,8.14,0.74,22500.00,180145.00,1,154
2023-09-04,8.04,8.08,8.04,8.08,-1.46,13400.00,108156.00,-1,155
2023-09-03,8.22,8.22,8.20,8.20,-1.80,10595.00,86969.00,-1,156
2023-08-30,8.34,8.45,8.34,8.35,0.24,5800.00,48393.00,1,157
2023-08-29,8.29,8.33,8.29,8.33,0.48,4391.00,36432.71,1,158
2023-08-28,8.30,8.38,8.28,8.29,-0.48,79265.00,659489.06,-1,159
2023-08-27,8.30,8.33,8.30,8.33,0.36,18587.00,154478.84,1,160
2023-08-24,8.46,8.62,8.29,8.30,0.00,56887.00,472588.23,0,161
2023-08-23,8.30,8.30,8.30,8.30,1.22,5200.00,43160.00,1,162
2023-08-22,8.13,8.24,8.13,8.20,-0.85,36100.00,295364.00,-1,163
2023-08-21,8.22,8.27,8.21,8.27,-0.12,30060.00,248252.60,-1,164
2023-08-20,8.20,8.30,8.19,8.28,-0.84,29100.00,239304.00,-1,165
2023-08-17,8.84,8.84,8.35,8.35,-7.43,43078.00,365905.00,-1,166
2023-08-16,9.30,9.30,9.02,9.02,-2.28,125075.00,1138858.75,-1,167
2023-08-14,9.56,9.56,9.23,9.23,-1.81,33972.00,315254.06,-1,168
2023-08-13,9.38,9.42,9.25,9.40,0.21,13200.00,123047.50,1,169
2023-08-10,9.36,9.57,9.36,9.38,2.18,15100.00,142378.00,1,170
2023-08-09,9.13,9.18,9.00,9.18,2.46,13089.00,119114.57,1,171
2023-08-08,8.85,9.00,8.85,8.96,-0.44,4525.00,40581.25,-1,172
2023-08-07,9.20,9.20,9.00,9.00,-2.07,11300.00,102163.00,-1,173
2023-08-03,9.02,9.20,9.02,9.19,-0.11,8906.00,81904.56,-1,174
2023-08-02,9.40,9.40,9.20,9.20,-0.33,30232.00,278683.04,-1,175
2023-08-01,9.27,9.30,9.20,9.23,-0.32,31510.00,291936.30,-1,176
2023-07-31,9.41,9.56,9.23,9.26,-1.59,85710.00,797727.10,-1,177
2023-07-27,9.41,9.41,9.41,9.41,1.95,250.00,2352.50,1,178
2023-07-26,9.38,9.38,9.23,9.23,0.33,50000.00,463270.00,1,179
2023-07-25,9.18,9.20,9.15,9.20,-1.71,47100.00,432700.00,-1,180
2023-07-24,9.70,9.70,9.36,9.36,-1.99,351825.00,3343331.75,-1,181
2023-07-23,9.37,9.55,9.37,9.55,0.00,49300.00,466960.00,0,182
2023-07-20,9.40,9.55,9.40,9.55,0.84,2200.00,20851.00,1,183
2023-07-19,9.27,9.47,9.27,9.47,0.21,17500.00,164253.50,1,184
2023-07-18,9.75,9.75,9.45,9.45,-1.77,19725.00,187638.74,-1,185
2023-07-17,9.63,9.63,9.49,9.62,0.31,40235.00,383317.00,1,186
2023-07-16,9.62,9.62,9.43,9.59,1.59,11700.00,111094.13,1,187
2023-07-13,10.00,10.00,9.13,9.44,-4.74,92301.00,859108.44,-1,188
2023-07-12,9.18,9.91,9.18,9.91,9.99,2400.00,22389.00,1,189
2023-07-11,9.16,9.16,9.01,9.01,0.22,2600.00,23441.00,1,190
2023-07-10,9.19,9.19,8.99,8.99,-0.22,41010.00,369929.90,-1,191
2023-07-09,9.18,9.18,9.01,9.01,0.11,3400.00,31127.00,1,192
2023-07-05,9.07,9.10,9.00,9.00,1.12,71000.00,641350.00,1,193
2023-07-04,8.82,8.90,8.82,8.90,2.89,11699.00,104041.10,1,194
2023-07-03,9.31,9.31,8.65,8.65,-8.95,7500.00,66172.00,-1,195
2023-07-02,9.18,9.50,8.85,9.50,5.56,44100.00,405095.00,1,196
2023-06-28,8.97,9.00,8.80,9.00,-1.64,11600.00,102860.00,-1,197
2023-06-27,9.16,9.16,8.98,9.15,1.78,2000.00,18166.00,1,198
2023-06-26,8.97,9.00,8.97,8.99,2.16,5600.00,50344.00,1,199
2023-06-25,8.76,8.80,8.75,8.80,-0.56,5190.00,45549.00,-1,200
