published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2017-02-06,233.00,241.00,237.00,241.00,0.00,352.00,84792.00,0,1
2017-02-02,229.00,233.00,229.00,233.00,0.00,627.00,146035.00,0,2
2017-02-01,230.00,229.00,229.00,229.00,0.00,40.00,9160.00,0,3
2017-01-31,237.00,233.00,230.00,230.00,0.00,850.00,195950.00,0,4
2017-01-26,245.00,241.00,237.00,237.00,0.00,613.00,146133.00,0,5
2017-01-25,260.00,255.00,245.00,245.00,0.00,773.00,193665.00,0,6
2017-01-24,285.00,280.00,260.00,260.00,0.00,300.00,80500.00,0,7
2017-01-19,285.00,285.00,285.00,285.00,0.00,137.00,39045.00,0,8
2017-01-16,265.00,285.00,262.00,285.00,0.00,200.00,55370.00,0,9
2017-01-15,260.00,265.00,265.00,265.00,0.00,20.00,5300.00,0,10
2017-01-12,253.00,260.00,255.00,260.00,0.00,231.00,58990.00,0,11
2017-01-10,258.00,254.00,253.00,253.00,0.00,500.00,126700.00,0,12
2017-01-09,262.00,262.00,258.00,258.00,0.00,1100.00,285600.00,0,13
2017-01-08,272.00,267.00,262.00,262.00,0.00,670.00,178140.00,0,14
2017-01-05,271.00,272.00,272.00,272.00,0.00,274.00,74528.00,0,15
2017-01-04,276.00,271.00,271.00,271.00,0.00,57.00,15447.00,0,16
2017-01-03,281.00,276.00,276.00,276.00,0.00,200.00,55200.00,0,17
2017-01-02,370.00,391.00,365.00,380.00,0.00,4802.00,1823968.00,0,18
2017-01-01,363.00,370.00,370.00,370.00,0.00,198.00,73260.00,0,19
2016-12-29,360.00,375.00,362.00,363.00,0.00,3724.00,1368048.00,0,20
2016-12-28,353.00,360.00,355.00,360.00,0.00,2897.00,1035829.00,0,21
2016-12-27,361.00,365.00,353.00,353.00,0.00,1530.00,546058.00,0,22
2016-12-26,378.00,371.00,360.00,361.00,0.00,695.00,252501.00,0,23
2016-12-22,370.00,378.00,364.00,378.00,0.00,321.00,119248.00,0,24
2016-12-21,384.00,378.00,370.00,370.00,0.00,1308.00,487676.00,0,25
2016-12-20,391.00,398.00,384.00,384.00,0.00,668.00,256988.00,0,26
2016-12-19,401.00,398.00,391.00,391.00,0.00,904.00,356478.00,0,27
2016-12-18,377.00,405.00,383.00,401.00,0.00,2473.00,970671.00,0,28
2016-12-15,370.00,377.00,377.00,377.00,0.00,50.00,18850.00,0,29
2016-12-14,370.00,377.00,370.00,370.00,0.00,352.00,130373.00,0,30
2016-12-12,368.00,377.00,357.00,370.00,0.00,2662.00,969794.00,0,31
2016-12-11,388.00,388.00,368.00,368.00,0.00,1603.00,611031.00,0,32
2016-12-08,388.00,390.00,383.00,388.00,0.00,903.00,349879.00,0,33
2016-12-07,395.00,402.00,388.00,388.00,0.00,610.00,239020.00,0,34
2016-12-06,415.00,410.00,395.00,395.00,0.00,5038.00,2014270.00,0,35
2016-12-05,426.00,418.00,407.00,415.00,0.00,1620.00,667910.00,0,36
2016-12-04,426.00,426.00,418.00,426.00,0.00,2684.00,1134793.00,0,37
2016-12-01,426.00,439.00,417.00,426.00,0.00,9251.00,3978809.00,0,38
2016-11-30,388.00,426.00,395.00,426.00,0.00,2820.00,1189376.00,0,39
