published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-08-24,850.20,874.90,850.20,859.81,-0.42,7902.00,6794383.70,-1,1
2025-08-21,866.0,870.0,848.7,863.46,-0.31,16610.0,14210860.7,-1,1
2025-08-20,867.0,875.0,866.0,866.11,0.02,4674.0,4054947.4,1,1
2025-08-19,871.9,875.0,865.0,865.97,-0.16,6723.0,5836281.7,-1,1
2025-08-18,855.3,870.9,855.1,867.34,-0.02,7477.0,6479640.4,-1,1
2025-08-17,870.0,874.0,866.5,867.48,0.01,12066.0,10493562.3,1,1
2025-08-14,868.6,878.9,866.0,867.41,-0.14,12051.0,10476841.4,-1,1
2025-08-13,865.2,880.0,860.1,868.66,-0.14,8826.0,7698485.9,-1,1
2025-08-12,873.0,890.0,868.0,869.85,-1.71,19009.0,16571515.8,-1,1
2025-08-11,908.0,909.0,876.0,884.96,-0.77,10882.0,9661106.5,-1,1
2025-08-07,900.0,900.0,885.1,891.86,0.04,11459.0,10207165.9,1,1
2025-08-06,890.0,909.9,888.0,891.51,-0.45,15389.0,13744571.0,-1,1
2025-08-05,919.0,920.0,895.0,895.57,-0.89,17668.0,15917229.2,-1,1
2025-08-04,924.0,924.0,900.0,903.62,-0.36,17156.0,15556088.1,-1,1
2025-08-03,938.0,938.0,903.0,906.88,-1.48,17692.0,16114945.2,-1,1
2025-07-31,947.0,947.0,911.1,920.49,-0.95,21484.0,19915951.7,-1,1
2025-07-30,955.0,966.0,925.0,929.3,-1.97,42637.0,39929937.3,-1,1
2025-07-29,936.0,980.8,936.0,948.01,0.56,40199.0,38246420.9,1,1
2025-07-28,949.0,949.0,931.0,942.75,-0.7,22453.0,21058104.4,-1,1
2025-07-27,984.0,984.0,946.0,949.43,-1.73,28532.0,27287843.2,-1,1
2025-07-24,972.0,980.0,955.0,966.1,-0.56,25346.0,24458098.8,-1,1
2025-07-23,988.2,990.0,960.0,971.52,-0.76,58682.0,57145845.6,-1,1
2025-07-22,933.0,979.2,931.6,978.97,5.08,89346.0,86291119.4,1,1
2025-07-21,935.0,945.5,912.0,931.6,0.46,25542.0,23794221.6,1,1
2025-07-20,918.8,960.0,900.5,927.3,1.4,59736.0,55836321.6,1,1
2025-07-17,901.0,918.0,899.0,914.46,2.84,33630.0,30631475.9,1,1
2025-07-16,899.9,899.9,882.1,889.23,0.76,69689.0,61977953.7,1,1
2025-07-15,883.0,899.2,870.0,882.53,1.89,13616.0,11967566.0,1,1
