published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-06-19,1099.9,1099.9,1015.3,1047.67,-2.95,640.0,665611.0,-1,1
2025-06-18,1107.0,1128.0,1079.0,1079.52,-0.54,2074.0,2279716.6,-1,1
2025-06-17,1080.3,1109.0,1059.0,1085.37,2.47,6618.0,7175286.4,1,1
2025-06-16,1022.1,1080.0,1022.1,1059.2,1.85,4401.0,4650451.5,1,1
2025-06-15,1030.0,1040.0,1018.0,1040.0,1.89,1795.0,1843505.0,1,1
2025-06-12,1040.0,1040.0,1020.0,1020.72,-0.01,2376.0,2444136.4,-1,1
2025-06-11,1069.4,1072.0,1020.0,1020.86,-2.64,2426.0,2500656.9,-1,1
2025-06-10,1065.0,1065.0,1015.0,1048.5,-0.62,4352.0,4471363.9,-1,1
2025-06-09,1055.0,1055.0,1015.0,1055.0,1.99,1264.0,1302350.1,1,1
2025-06-08,1060.0,1060.0,1005.6,1034.37,-1.11,1434.0,1475302.6,-1,1
2025-06-05,1046.0,1055.3,1045.0,1046.0,-0.1,750.0,785262.5,-1,1
2025-06-04,1046.0,1053.9,1045.1,1047.0,-1.86,1742.0,1825522.5,-1,1
2025-06-03,1081.0,1081.0,1066.1,1066.85,-2.39,926.0,993729.0,-1,2
2025-06-02,1104.0,1126.0,1089.0,1093.0,-1.05,1028.0,1131079.0,-1,1
2025-05-28,1103.0,1122.0,1082.2,1104.58,2.08,1311.0,1439941.7,1,1
2025-05-27,1081.1,1100.0,1080.0,1082.04,-1.91,1378.0,1493161.8,-1,2
2025-05-26,1145.0,1145.0,1103.0,1103.16,-2.05,3218.0,3604117.0,-1,1
2025-05-25,1062.0,1142.0,1062.0,1126.25,6.28,10714.0,12016867.1,1,2
2025-05-22,1073.0,1093.9,1058.1,1059.7,-1.24,5072.0,5465428.6,-1,3
2025-05-21,1090.0,1111.0,1052.0,1073.0,0.28,378.0,402599.0,1,4
2025-05-20,1045.6,1070.0,1040.0,1070.0,0.3,265.0,278245.0,1,5
2025-05-19,1070.0,1073.2,1032.0,1066.85,1.39,4375.0,4533562.1,1,6
2025-05-18,1027.2,1070.0,1027.1,1052.2,0.4,2501.0,2622605.6,1,7
2025-05-15,1069.0,1069.0,1048.0,1048.0,-0.66,20.0,21170.0,-1,8
2025-05-14,1038.0,1058.9,1018.0,1055.0,-0.37,300.0,310497.7,-1,9
2025-05-13,1058.9,1058.9,1025.0,1058.9,1.92,481.0,498015.2,1,10
2025-05-11,1040.0,1040.1,1020.0,1039.0,-1.83,798.0,826664.0,-1,11
2025-05-08,1040.0,1080.0,1019.0,1058.33,-0.16,584.0,617919.0,-1,12
2025-05-07,1014.0,1074.0,1000.0,1060.0,6.59,1455.0,1500864.6,1,13
2025-05-06,1040.0,1040.0,993.0,994.46,-3.54,1461.0,1463858.0,-1,14
2025-05-05,1033.0,1035.0,993.8,1031.0,1.77,1948.0,2006517.2,1,15
2025-05-04,1020.0,1028.0,1005.0,1013.03,0.33,1834.0,1852443.7,1,16
2025-04-30,1025.0,1028.0,1005.0,1009.73,-3.38,2393.0,2422865.1,-1,17
2025-04-29,1017.0,1045.0,1017.0,1045.0,1.99,206.0,212772.6,1,18
