published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-09-08,228.5,233.8,228.5,230.57,-1.11,73409.0,16936838.1,-1,1
2025-09-07,230.0,235.0,230.0,233.15,-0.64,414413.0,96843102.6,-1,1
2025-09-04,228.6,235.0,228.6,234.64,0.6,84449.0,19722697.4,1,1
2025-09-03,227.7,237.5,227.7,233.25,0.42,98326.0,23044862.6,1,1
2025-09-02,238.8,238.8,231.0,232.28,-0.79,122501.0,28655039.9,-1,1
2025-09-01,236.9,236.9,230.0,234.12,0.76,206207.0,47921362.8,1,1
2025-08-31,236.9,237.0,232.0,232.35,-1.02,104250.0,24424784.7,-1,1
2025-08-28,235.0,238.5,234.5,234.75,-1.36,73425.0,17355499.8,-1,1
2025-08-27,240.2,240.2,233.0,237.99,1.03,105756.0,25107999.8,1,1
2025-08-26,232.1,236.9,232.1,235.56,0.05,66292.0,15567750.0,1,1
2025-08-25,231.7,236.0,230.0,235.44,0.92,63273.0,14708435.9,1,1
2025-08-24,236.0,239.0,232.1,233.3,-1.47,78665.0,18415526.4,-1,1
2025-08-21,235.0,238.4,234.5,236.77,0.03,425259.0,100619575.3,1,1
2025-08-20,232.2,238.0,232.2,236.7,0.77,104809.0,24806922.0,1,1
2025-08-19,240.0,240.0,232.2,234.88,-0.42,61687.0,14522017.6,-1,1
2025-08-18,231.2,238.0,231.2,235.88,0.72,86563.0,20363559.3,1,1
2025-08-17,234.0,240.0,233.1,234.2,0.18,142929.0,33733749.4,1,1
2025-08-14,232.9,236.5,232.0,233.78,1.9,764681.0,178823213.6,1,1
2025-08-13,233.6,236.1,228.6,229.41,-2.02,107992.0,24949414.1,-1,1
2025-08-12,236.0,237.0,233.1,234.15,-0.9,65928.0,15446140.7,-1,1
2025-08-11,241.4,241.4,235.5,236.27,-0.2,162799.0,38515743.5,-1,1
2025-08-07,238.6,238.6,235.1,236.74,0.34,92971.0,21965005.0,1,1
2025-08-06,235.0,238.9,235.0,235.94,-0.25,60661.0,14333371.9,-1,1
2025-08-05,242.0,242.0,236.0,236.53,-1.26,165279.0,39269778.8,-1,1
2025-08-04,236.9,250.0,231.3,239.54,2.35,140323.0,33122265.5,1,1
2025-08-03,238.5,239.0,233.5,234.03,-1.87,141886.0,33571400.8,-1,1
2025-07-31,247.0,247.0,237.0,238.5,-1.57,214003.0,51535409.4,-1,1
2025-07-30,250.0,251.9,242.1,242.31,-1.26,177331.0,43467296.7,-1,1
2025-07-29,248.0,252.0,244.0,245.4,0.17,452745.0,112126920.3,1,1
2025-07-28,241.0,245.8,236.2,240.62,0.4,336609.0,80995493.2,1,1
2025-07-27,242.0,246.0,238.0,239.65,-1.93,325368.0,78766209.3,-1,1
2025-07-24,247.0,247.0,241.1,244.37,-0.42,162378.0,39626020.2,-1,1
2025-07-23,239.1,249.9,239.1,245.39,0.59,464715.0,113950664.5,1,1
2025-07-22,243.8,247.0,240.3,243.96,1.94,427655.0,104016202.4,1,1
2025-07-21,235.0,242.9,233.0,239.31,1.28,318144.0,75940422.5,1,1
2025-07-20,237.1,244.7,235.2,236.28,-2.32,380216.0,91697211.9,-1,1
2025-07-17,241.0,244.2,238.0,241.88,1.32,415163.0,100377855.3,1,1
2025-07-16,237.5,244.5,234.0,238.74,2.42,481933.0,115907610.7,1,1
2025-07-15,229.0,235.4,227.0,233.1,2.74,340104.0,79152182.4,1,1
2025-07-14,237.0,237.0,225.7,226.88,-3.86,404574.0,93186294.2,-1,1
2025-07-13,237.8,242.0,234.5,236.0,1.21,582327.0,137938253.1,1,1
2025-07-10,225.0,235.5,225.0,233.17,4.48,564729.0,130609303.0,1,1
2025-07-09,216.1,225.0,216.0,223.17,2.75,151506.0,33303238.6,1,1
2025-07-08,216.5,220.0,216.5,217.2,-1.05,33553.0,7313827.2,-1,1
2025-07-07,225.1,225.1,219.0,219.51,-0.55,110007.0,24268229.8,-1,1
2025-07-06,218.1,224.3,218.1,220.73,-0.79,72146.0,16004797.5,-1,1
2025-07-03,227.1,227.1,218.0,222.49,-0.1,105381.0,23379655.1,-1,1
2025-07-02,220.0,224.0,216.7,222.72,2.0,196530.0,43330946.3,1,1
2025-07-01,215.1,219.0,213.0,218.35,0.79,64150.0,13866817.8,1,1
2025-06-30,217.2,218.0,211.0,216.63,1.69,112386.0,24252754.9,1,1
2025-06-29,208.0,216.0,208.0,213.02,1.98,132930.0,28107746.6,1,1
2025-06-26,206.7,211.6,206.7,208.89,-0.65,55712.0,11653965.5,-1,1
2025-06-25,212.0,215.9,205.9,210.25,-0.68,142492.0,29633173.8,-1,1
2025-06-24,210.0,213.1,208.0,211.69,1.67,131562.0,27663058.9,1,1
2025-06-23,206.0,209.9,206.0,208.21,-0.11,19613.0,4082565.2,-1,1
2025-06-22,210.0,214.3,208.1,208.44,-1.68,92452.0,19370421.8,-1,1
2025-06-19,217.8,217.8,210.3,212.01,-0.73,65999.0,13961569.9,-1,1
2025-06-18,212.0,215.0,212.0,213.57,1.42,39056.0,8337498.0,1,1
2025-06-17,212.1,213.0,209.6,210.57,-1.25,115123.0,24230881.0,-1,1
2025-06-16,210.1,216.5,210.1,213.23,0.76,69304.0,14804399.4,1,1
2025-06-15,216.0,216.0,211.3,211.63,-1.12,60412.0,12837074.5,-1,1
2025-06-12,215.3,217.0,213.1,214.02,-1.41,69252.0,14842596.0,-1,1
2025-06-11,220.0,220.0,215.0,217.07,-1.27,99644.0,21541046.0,-1,1
2025-06-10,215.0,221.0,215.0,219.86,1.61,97147.0,21150918.0,1,1
2025-06-09,214.0,218.0,211.6,216.37,0.87,83690.0,17970856.1,1,1
2025-06-08,220.0,220.0,213.0,214.51,-1.89,67185.0,14452636.1,-1,1
2025-06-05,217.0,222.0,216.1,218.64,-0.15,152971.0,33631088.3,-1,1
2025-06-04,215.0,220.4,215.0,218.97,-0.15,149495.0,32481894.8,-1,1
2025-06-03,231.0,231.0,218.6,219.29,-3.88,153478.0,34038182.2,-1,2
2025-06-02,235.0,235.6,227.0,228.15,-1.93,274233.0,62952432.8,-1,1
2025-05-28,229.0,235.0,223.3,232.63,2.77,297417.0,68086922.8,1,1
2025-05-27,223.0,227.2,218.8,226.37,1.39,210967.0,46914876.1,1,2
2025-05-26,225.0,231.0,220.0,223.26,0.18,193714.0,43304276.2,1,1
2025-05-25,225.0,229.0,218.5,222.86,-0.58,288762.0,64478473.5,-1,2
2025-05-22,210.0,226.0,210.0,224.16,4.94,428568.0,95152654.7,1,3
2025-05-21,218.1,226.8,213.3,213.61,-0.12,213965.0,46762607.8,-1,4
2025-05-20,208.0,214.2,205.0,213.87,2.94,189153.0,39389280.7,1,5
2025-05-19,206.0,208.8,204.1,207.77,1.98,48845.0,10077620.1,1,6
2025-05-18,202.1,207.9,202.1,203.73,-0.77,83156.0,16945597.0,-1,7
2025-05-15,204.0,207.3,202.0,205.31,0.39,71921.0,14646562.0,1,8
2025-05-14,205.0,207.0,203.0,204.52,-1.22,57086.0,11705769.8,-1,9
2025-05-13,209.9,209.9,205.3,207.05,0.12,79656.0,16435503.8,1,10
2025-05-11,206.1,214.3,206.1,206.81,-1.65,48216.0,10045745.3,-1,11
2025-05-08,213.4,213.4,207.2,210.28,-0.47,138333.0,28873997.1,-1,12
2025-05-07,205.0,214.2,201.0,211.27,2.98,102229.0,21202116.7,1,13
2025-05-06,205.0,208.0,204.3,205.15,-0.38,64522.0,13272579.2,-1,14
2025-05-05,205.0,210.0,202.0,205.93,0.37,121080.0,24877875.9,1,15
2025-05-04,209.0,210.0,204.1,205.17,-0.89,96315.0,19866778.9,-1,16
2025-04-30,211.7,211.7,204.9,207.01,-1.21,200727.0,41409802.2,-1,17
2025-04-29,209.0,215.2,208.0,209.54,0.3,54991.0,11591872.9,1,18
2025-04-28,218.0,218.0,207.8,208.91,-3.43,149774.0,31620371.2,-1,19
2025-04-27,210.0,222.3,208.1,216.32,3.38,472700.0,101868671.3,1,20
2025-04-24,210.1,213.0,205.8,209.24,-0.41,137774.0,28579844.0,-1,21
2025-04-23,211.0,215.0,208.0,210.1,-1.7,143319.0,30087614.1,-1,22
2025-04-22,215.0,216.0,212.0,213.73,-0.64,54869.0,11718366.2,-1,23
2025-04-21,218.6,218.6,214.7,215.11,-0.55,80096.0,17258233.9,-1,24
2025-04-20,226.0,226.0,215.0,216.31,-3.28,161304.0,35312297.6,-1,25
2025-04-17,224.9,225.0,220.3,223.65,0.52,88322.0,19697526.1,1,26
2025-04-16,222.8,223.0,216.7,222.49,1.84,126738.0,27868588.9,1,27
