published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2020-03-19,9.46,9.64,9.46,9.64,0.94,25310.00,241828.00,1,1
2020-03-18,9.55,9.55,9.55,9.55,-1.14,8100.00,77355.00,-1,2
2020-03-17,9.68,9.68,9.66,9.66,-1.73,10000.00,96670.00,-1,3
2020-03-16,9.46,9.83,9.46,9.83,1.87,61806.00,597278.00,1,4
2020-03-15,9.65,9.65,9.65,9.65,-0.21,16000.00,154400.00,-1,5
2020-03-12,9.66,9.67,9.66,9.67,-0.21,20500.00,198230.00,-1,6
2020-03-11,9.62,9.69,9.62,9.69,2.00,46016.00,445439.00,1,7
2020-03-10,9.60,9.60,9.50,9.50,-1.35,21000.00,201500.00,-1,8
2020-03-05,9.65,9.65,9.63,9.63,-0.10,120620.00,1162391.00,-1,9
2020-03-04,9.64,9.64,9.64,9.64,1.90,10000.00,96400.00,1,10
2020-03-03,9.60,9.65,9.46,9.46,-3.07,26000.00,248820.00,-1,11
2020-03-02,9.60,9.79,9.60,9.76,-0.20,23000.00,223020.00,-1,12
2020-03-01,9.90,9.90,9.66,9.78,-3.17,114000.00,1112785.00,-1,13
2020-02-27,10.08,10.10,10.08,10.10,0.20,26000.00,262265.00,1,14
2020-02-26,9.89,10.09,9.89,10.08,3.92,112700.00,1128630.00,1,15
2020-02-25,9.80,9.80,9.64,9.70,0.94,18500.00,178690.00,1,16
2020-02-24,9.82,9.82,9.61,9.61,-1.23,75500.00,735110.00,-1,17
2020-02-20,9.60,9.73,9.60,9.73,1.04,25638.00,247351.00,1,18
2020-02-19,9.62,9.65,9.62,9.63,0.21,21500.00,207045.00,1,19
2020-02-18,9.53,9.80,9.53,9.61,-0.41,18132.00,176108.00,-1,20
2020-02-17,9.60,9.65,9.60,9.65,1.47,30900.00,298135.00,1,21
2020-02-16,9.60,9.70,9.51,9.51,-0.94,23300.00,223863.00,-1,22
2020-02-12,9.60,9.60,9.60,9.60,0.00,28945.00,277872.00,0,23
2020-02-11,9.60,9.60,9.60,9.60,0.00,3000.00,28800.00,0,24
2020-02-06,9.42,9.60,9.36,9.60,1.91,33030.00,314381.00,1,25
2020-02-05,9.60,9.60,9.42,9.42,-2.59,34241.00,328660.00,-1,26
2020-02-03,9.67,9.67,9.67,9.67,0.52,1000.00,9670.00,1,27
2020-02-02,9.55,9.62,9.50,9.62,1.26,30500.00,291875.00,1,28
2020-01-30,9.35,9.60,9.35,9.50,0.00,72351.00,689315.00,0,29
2020-01-29,9.46,9.50,9.46,9.50,0.42,2500.00,23710.00,1,30
2020-01-28,9.46,9.46,9.46,9.46,-1.46,500.00,4730.00,-1,31
2020-01-27,9.60,9.60,9.60,9.60,1.59,1000.00,9600.00,1,32
2020-01-23,9.50,9.50,9.45,9.45,0.00,21500.00,203425.00,0,33
2020-01-22,9.49,9.50,9.45,9.45,-0.53,8770.00,83117.00,-1,34
2020-01-21,9.50,9.50,9.50,9.50,0.00,3000.00,28500.00,0,35
2020-01-20,9.66,9.69,9.35,9.50,-1.96,50000.00,476680.00,-1,36
2020-01-19,9.60,9.69,9.59,9.69,2.00,62500.00,600524.00,1,37
2020-01-16,9.55,9.58,9.50,9.50,1.06,12600.00,120598.00,1,38
2020-01-14,9.40,9.40,9.40,9.40,0.75,1000.00,9400.00,1,39
2020-01-13,9.35,9.43,9.33,9.33,-1.06,47500.00,444722.00,-1,40
2020-01-12,9.41,9.43,9.41,9.43,1.62,2200.00,20736.00,1,41
2020-01-09,9.28,9.28,9.28,9.28,1.98,3000.00,27840.00,1,42
2020-01-08,9.12,9.12,9.10,9.10,-1.09,10100.00,91970.00,-1,43
2020-01-07,9.10,9.38,9.10,9.20,0.22,27951.00,258162.00,1,44
2020-01-06,9.16,9.18,9.16,9.18,0.44,20000.00,183400.00,1,45
2020-01-05,9.00,9.14,9.00,9.14,0.44,1000.00,9070.00,1,46
2020-01-02,9.10,9.10,9.10,9.10,1.22,3000.00,27300.00,1,47
2020-01-01,9.00,9.00,8.99,8.99,-0.11,11900.00,107001.00,-1,48
2019-12-31,8.99,9.00,8.99,9.00,1.12,17000.00,152980.00,1,49
2019-12-30,8.97,9.00,8.90,8.90,-0.78,43100.00,385477.00,-1,50
2019-12-29,9.00,9.00,8.96,8.97,-0.33,19500.00,175325.00,-1,51
2019-12-26,9.00,9.00,9.00,9.00,0.00,11000.00,99000.00,0,52
2019-12-25,8.89,9.00,8.83,9.00,0.00,6000.00,53210.00,0,53
2019-12-23,9.00,9.00,9.00,9.00,0.00,1000.00,9000.00,0,54
2019-12-22,9.00,9.00,9.00,9.00,0.45,1000.00,9000.00,1,55
2019-12-19,8.83,9.00,8.83,8.96,-0.44,29700.00,266822.00,-1,56
2019-12-18,9.10,9.10,9.00,9.00,0.00,12000.00,108200.00,0,57
2019-12-17,8.89,9.00,8.89,9.00,1.24,21500.00,192845.00,1,58
2019-12-16,8.89,8.89,8.89,8.89,0.23,10000.00,88900.00,1,59
2019-12-15,8.70,8.87,8.70,8.87,0.34,23527.00,205518.00,1,60
2019-12-11,8.70,8.84,8.70,8.84,1.96,6000.00,52340.00,1,61
