published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-07-31,1220.0,1225.0,1205.8,1216.97,-0.01,1701.0,2065123.1,-1,1
2025-07-30,1279.9,1279.9,1212.9,1217.05,-3.22,7971.0,9877410.7,-1,1
2025-07-29,1235.0,1270.0,1235.0,1257.59,1.82,3407.0,4281181.0,1,1
2025-07-28,1257.9,1257.9,1216.0,1235.14,-0.02,3655.0,4493555.6,-1,1
2025-07-27,1240.0,1265.0,1230.1,1235.44,-0.03,6027.0,7513631.4,-1,1
2025-07-24,1230.0,1274.9,1221.0,1235.78,-0.48,4767.0,5914635.1,-1,1
2025-07-23,1278.5,1278.5,1217.0,1241.69,-1.16,4611.0,5687116.4,-1,1
2025-07-22,1250.0,1290.0,1246.0,1256.28,2.01,5297.0,6697012.9,1,1
2025-07-21,1244.5,1294.6,1225.2,1231.51,-3.02,3038.0,3756536.9,-1,1
2025-07-20,1224.3,1347.0,1224.3,1269.87,1.66,9001.0,11481205.1,1,1
2025-07-17,1180.8,1254.0,1180.8,1249.19,3.68,6717.0,8215917.7,1,1
2025-07-16,1192.0,1212.8,1169.5,1204.85,3.07,7324.0,8753054.9,1,1
2025-07-15,1164.0,1179.0,1160.0,1169.0,0.34,262.0,307540.5,1,1
2025-07-14,1160.0,1175.0,1160.0,1165.0,-1.18,890.0,1037009.8,-1,1
2025-07-13,1186.6,1234.0,1170.0,1178.91,1.33,2760.0,3265326.7,1,1
2025-07-10,1170.0,1170.0,1150.0,1163.42,1.2,1739.0,2009236.8,1,1
2025-07-09,1136.9,1160.0,1136.9,1149.67,0.67,1091.0,1251931.8,1,1
2025-07-08,1163.0,1167.7,1140.0,1141.98,-0.25,2958.0,3401289.4,-1,1
2025-07-07,1137.0,1205.6,1137.0,1144.88,-1.03,2189.0,2507519.0,-1,1
2025-07-06,1157.0,1196.5,1150.0,1156.83,-1.96,2046.0,2374703.9,-1,1
2025-07-03,1198.0,1198.0,1175.0,1179.9,-1.02,906.0,1070285.0,-1,1
2025-07-02,1160.0,1198.9,1160.0,1192.07,1.94,3699.0,4384215.4,1,1
2025-07-01,1161.0,1179.0,1142.0,1169.39,0.78,2186.0,2553714.2,1,1
2025-06-30,1147.1,1185.0,1135.1,1160.3,0.38,1218.0,1398079.0,1,1
2025-06-29,1126.2,1160.0,1126.2,1155.95,1.01,1339.0,1526082.2,1,1
2025-06-26,1150.0,1150.0,1125.0,1144.41,1.22,1641.0,1862732.7,1,1
2025-06-25,1150.0,1157.0,1130.0,1130.59,-1.6,2257.0,2567958.3,-1,1
2025-06-24,1141.0,1150.1,1141.0,1149.01,-0.99,717.0,823228.3,-1,1
2025-06-23,1150.0,1170.0,1138.0,1160.55,0.92,603.0,692139.1,1,1
2025-06-22,1150.0,1166.9,1144.1,1150.0,-0.73,940.0,1082151.6,-1,1
2025-06-19,1185.0,1185.0,1152.0,1158.45,-0.34,1133.0,1313506.4,-1,1
2025-06-18,1156.1,1202.0,1156.1,1162.41,-1.42,1248.0,1459415.9,-1,1
2025-06-17,1176.0,1203.6,1170.0,1179.15,-1.68,1134.0,1341539.1,-1,1
2025-06-16,1170.0,1207.0,1161.1,1199.3,0.94,1862.0,2216422.5,1,1
2025-06-15,1145.0,1192.5,1145.0,1188.12,1.98,1117.0,1314632.7,1,1
2025-06-12,1152.2,1185.0,1152.2,1165.0,-0.83,2427.0,2862278.8,-1,1
