published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2016-06-01,315.00,315.00,304.00,304.00,0.00,1400.00,429400.00,0,1
2016-05-31,295.00,324.00,285.00,315.00,0.00,77936.00,24457896.00,0,2
2016-05-30,301.00,319.00,295.00,295.00,0.00,8812.00,2734816.00,0,3
2016-05-29,321.00,315.00,301.00,301.00,0.00,1743.00,532945.00,0,4
2016-05-25,317.00,327.00,318.00,321.00,0.00,2081.00,672788.00,0,5
2016-05-24,304.00,323.00,293.00,317.00,0.00,5663.00,1716420.00,0,6
2016-05-23,300.00,306.00,294.00,304.00,0.00,420.00,125240.00,0,7
2016-05-22,305.00,300.00,300.00,300.00,0.00,158.00,47400.00,0,8
2016-05-19,307.00,312.00,300.00,305.00,0.00,2635.00,798002.00,0,9
2016-05-18,307.00,313.00,307.00,307.00,0.00,710.00,218830.00,0,10
2016-05-17,286.00,307.00,281.00,307.00,0.00,541.00,153461.00,0,11
2016-05-16,290.00,295.00,286.00,286.00,0.00,163.00,46748.00,0,12
2016-05-15,286.00,290.00,283.00,290.00,0.00,1148.00,328308.00,0,13
2016-05-12,296.00,291.00,286.00,286.00,0.00,348.00,99763.00,0,14
2016-05-11,302.00,296.00,296.00,296.00,0.00,200.00,59200.00,0,15
2016-05-10,300.00,302.00,286.00,302.00,0.00,3099.00,914966.00,0,16
2016-05-09,308.00,304.00,300.00,300.00,0.00,110.00,33040.00,0,17
2016-05-08,308.00,325.00,304.00,308.00,0.00,2395.00,738834.00,0,18
2016-05-05,280.00,308.00,280.00,308.00,0.00,627.00,183453.00,0,19
2016-05-04,287.00,283.00,280.00,280.00,0.00,2490.00,698700.00,0,20
2016-05-03,292.00,287.00,287.00,287.00,0.00,100.00,28700.00,0,21
2016-05-02,297.00,292.00,292.00,292.00,0.00,71.00,20732.00,0,22
2016-04-27,303.00,297.00,297.00,297.00,0.00,208.00,61776.00,0,23
2016-04-26,295.00,303.00,287.00,303.00,0.00,2503.00,739664.00,0,24
2016-04-25,313.00,310.00,294.00,295.00,0.00,2846.00,855874.00,0,25
2016-04-24,301.00,313.00,307.00,313.00,0.00,40.00,12400.00,0,26
2016-04-21,307.00,301.00,301.00,301.00,0.00,1020.00,307020.00,0,27
2016-04-20,319.00,313.00,307.00,307.00,0.00,100.00,31000.00,0,28
2016-04-18,313.00,331.00,319.00,319.00,0.00,5276.00,1690944.00,0,29
2016-04-12,316.00,313.00,313.00,313.00,0.00,200.00,62600.00,0,30
2016-04-11,295.00,316.00,294.00,316.00,0.00,11824.00,3565664.00,0,31
2016-04-10,285.00,295.00,275.00,295.00,0.00,3066.00,865750.00,0,32
2016-04-06,260.00,285.00,260.00,285.00,0.00,5556.00,1539577.00,0,33
2016-04-05,270.00,268.00,260.00,260.00,0.00,10745.00,2851380.00,0,34
2016-04-04,260.00,280.00,265.00,270.00,0.00,2217.00,609357.00,0,35
2016-04-03,250.00,260.00,248.00,260.00,0.00,1292.00,332088.00,0,36
2016-03-31,255.00,251.00,250.00,250.00,0.00,242.00,60671.00,0,37
2016-03-30,270.00,265.00,255.00,255.00,0.00,150.00,39000.00,0,38
2016-03-29,275.00,270.00,270.00,270.00,0.00,50.00,13500.00,0,39
2016-03-28,256.00,275.00,251.00,275.00,0.00,3122.00,824661.00,0,40
2016-03-27,261.00,256.00,256.00,256.00,0.00,11.00,2816.00,0,41
2016-03-24,255.00,261.00,250.00,261.00,0.00,1422.00,362340.00,0,42
2016-03-23,256.00,258.00,253.00,255.00,0.00,1606.00,408378.00,0,43
2016-03-21,255.00,259.00,251.00,256.00,0.00,1127.00,285586.00,0,44
2016-03-20,260.00,255.00,250.00,255.00,0.00,163.00,41315.00,0,45
2016-03-16,265.00,260.00,260.00,260.00,0.00,50.00,13000.00,0,46
2016-03-15,273.00,270.00,265.00,265.00,0.00,402.00,106885.00,0,47
2016-03-14,258.00,273.00,263.00,273.00,0.00,5577.00,1516746.00,0,48
2016-03-13,262.00,258.00,258.00,258.00,0.00,13.00,3354.00,0,49
2016-03-10,265.00,269.00,256.00,262.00,0.00,455.00,119780.00,0,50
2016-03-06,269.00,274.00,265.00,265.00,0.00,3000.00,805500.00,0,51
2016-03-03,272.00,277.00,265.00,269.00,0.00,1841.00,498193.00,0,52
2016-03-02,250.00,272.00,248.00,272.00,0.00,150.00,37900.00,0,53
2016-03-01,250.00,250.00,250.00,250.00,0.00,171.00,42750.00,0,54
2016-02-29,247.00,250.00,250.00,250.00,0.00,710.00,177500.00,0,55
2016-02-28,264.00,260.00,247.00,247.00,0.00,1100.00,278500.00,0,56
2016-02-25,269.00,269.00,264.00,264.00,0.00,220.00,59080.00,0,57
2016-02-24,269.00,276.00,269.00,269.00,0.00,1086.00,294778.00,0,58
2016-02-23,257.00,272.00,259.00,269.00,0.00,17928.00,4818070.00,0,59
2016-02-22,257.00,262.00,252.00,257.00,0.00,2105.00,535263.00,0,60
2016-02-21,255.00,270.00,257.00,257.00,0.00,2110.00,557750.00,0,61
2016-02-18,259.00,256.00,249.00,255.00,0.00,4745.00,1201981.00,0,62
2016-02-17,242.00,262.00,240.00,259.00,0.00,12348.00,3136997.00,0,63
2016-02-16,230.00,242.00,226.00,242.00,0.00,6616.00,1572009.00,0,64
2016-02-15,238.00,234.00,222.00,230.00,0.00,6791.00,1511326.00,0,65
2016-02-14,242.00,238.00,238.00,238.00,0.00,11.00,2618.00,0,66
2016-02-11,241.00,242.00,231.00,242.00,0.00,1859.00,437805.00,0,67
2016-02-08,253.00,255.00,241.00,241.00,0.00,1629.00,401227.00,0,68
2016-02-07,258.00,268.00,253.00,253.00,0.00,943.00,247736.00,0,69
2016-02-04,235.00,258.00,239.00,258.00,0.00,9372.00,2355364.00,0,70
2016-02-03,239.00,244.00,232.00,235.00,0.00,2739.00,650661.00,0,71
2016-02-02,233.00,241.00,229.00,239.00,0.00,2995.00,701818.00,0,72
2016-02-01,212.00,233.00,216.00,233.00,0.00,19923.00,4612295.00,0,73
2016-01-31,216.00,214.00,212.00,212.00,0.00,320.00,68140.00,0,74
2016-01-28,224.00,220.00,216.00,216.00,0.00,358.00,77448.00,0,75
2016-01-27,217.00,224.00,213.00,224.00,0.00,4276.00,939077.00,0,76
2016-01-26,205.00,217.00,205.00,217.00,0.00,2161.00,448888.00,0,77
2016-01-25,195.00,209.00,198.00,205.00,0.00,2037.00,416892.00,0,78
2016-01-24,192.00,195.00,192.00,195.00,0.00,163.00,31356.00,0,79
2016-01-19,193.00,192.00,191.00,192.00,0.00,825.00,158075.00,0,80
2016-01-18,196.00,193.00,193.00,193.00,0.00,71.00,13703.00,0,81
2016-01-17,200.00,196.00,196.00,196.00,0.00,136.00,26656.00,0,82
2016-01-14,200.00,200.00,200.00,200.00,0.00,142.00,28400.00,0,83
2016-01-13,205.00,201.00,200.00,200.00,0.00,391.00,78300.00,0,84
2016-01-12,200.00,205.00,202.00,205.00,0.00,786.00,159822.00,0,85
2016-01-11,200.00,206.00,200.00,200.00,0.00,900.00,180880.00,0,86
2016-01-10,199.00,204.00,198.00,200.00,0.00,4793.00,963933.00,0,87
2016-01-07,195.00,199.00,195.00,199.00,0.00,3788.00,742968.00,0,88
2016-01-06,192.00,201.00,195.00,195.00,0.00,3857.00,760232.00,0,89
2016-01-03,175.00,192.00,178.00,192.00,0.00,470.00,89300.00,0,90
2015-12-31,175.00,175.00,172.00,175.00,0.00,45.00,7770.00,0,91
2015-12-28,175.00,175.00,175.00,175.00,0.00,408.00,71400.00,0,92
2015-12-27,176.00,176.00,174.00,175.00,0.00,642.00,112779.00,0,93
2015-12-24,175.00,176.00,172.00,176.00,0.00,884.00,154188.00,0,94
2015-12-22,174.00,175.00,175.00,175.00,0.00,35.00,6125.00,0,95
2015-12-21,177.00,174.00,174.00,174.00,0.00,100.00,17400.00,0,96
2015-12-20,183.00,180.00,177.00,177.00,0.00,237.00,42018.00,0,97
2015-12-17,180.00,183.00,183.00,183.00,0.00,160.00,29280.00,0,98
2015-12-16,179.00,185.00,180.00,180.00,0.00,1071.00,194909.00,0,99
2015-12-15,212.00,212.00,206.00,210.00,0.00,1307.00,273480.00,0,100
2015-12-14,220.00,216.00,212.00,212.00,0.00,1112.00,237744.00,0,101
2015-12-13,215.00,221.00,215.00,220.00,0.00,996.00,218885.00,0,102
2015-12-10,204.00,215.00,208.00,215.00,0.00,6732.00,1427463.00,0,103
2015-12-09,200.00,204.00,204.00,204.00,0.00,20.00,4080.00,0,104
2015-12-08,199.00,202.00,200.00,200.00,0.00,89.00,17860.00,0,105
2015-12-07,190.00,199.00,193.00,199.00,0.00,56.00,10964.00,0,106
2015-12-02,193.00,190.00,190.00,190.00,0.00,1189.00,225910.00,0,107
2015-12-01,193.00,195.00,190.00,193.00,0.00,1819.00,348130.00,0,108
2015-11-29,196.00,193.00,193.00,193.00,0.00,28.00,5404.00,0,109
2015-11-26,200.00,204.00,196.00,196.00,0.00,668.00,133328.00,0,110
2015-11-23,200.00,204.00,200.00,200.00,0.00,82.00,16444.00,0,111
2015-11-22,198.00,200.00,195.00,200.00,0.00,2253.00,447267.00,0,112
2015-11-19,202.00,202.00,198.00,198.00,0.00,1000.00,200000.00,0,113
2015-11-18,200.00,204.00,200.00,202.00,0.00,1241.00,249404.00,0,114
2015-11-15,204.00,200.00,200.00,200.00,0.00,286.00,57200.00,0,115
2015-11-09,201.00,204.00,200.00,204.00,0.00,1110.00,223440.00,0,116
2015-11-04,205.00,201.00,201.00,201.00,0.00,358.00,71958.00,0,117
2015-11-01,206.00,205.00,202.00,205.00,0.00,1499.00,307085.00,0,118
2015-10-29,221.00,217.00,203.00,206.00,0.00,1300.00,268910.00,0,119
2015-10-19,213.00,221.00,213.00,221.00,0.00,511.00,109003.00,0,120
2015-10-18,217.00,213.00,213.00,213.00,0.00,20.00,4260.00,0,121
2015-10-15,213.00,217.00,216.00,217.00,0.00,643.00,139031.00,0,122
2015-10-14,221.00,221.00,213.00,213.00,0.00,149.00,32289.00,0,123
2015-10-11,225.00,221.00,221.00,221.00,0.00,10.00,2210.00,0,124
2015-10-08,209.00,225.00,213.00,225.00,0.00,130.00,28170.00,0,125
2015-10-05,213.00,209.00,209.00,209.00,0.00,143.00,29887.00,0,126
2015-10-04,212.00,213.00,213.00,213.00,0.00,972.00,207036.00,0,127
2015-10-01,214.00,218.00,212.00,212.00,0.00,370.00,78560.00,0,128
2015-09-30,210.00,214.00,214.00,214.00,0.00,10.00,2140.00,0,129
2015-09-29,196.00,214.00,199.00,210.00,0.00,861.00,180620.00,0,130
2015-09-24,212.00,212.00,196.00,196.00,0.00,290.00,59080.00,0,131
2015-09-22,220.00,216.00,212.00,212.00,0.00,560.00,120720.00,0,132
2015-09-17,216.00,220.00,220.00,220.00,0.00,1271.00,279620.00,0,133
2015-09-16,216.00,216.00,212.00,216.00,0.00,246.00,52296.00,0,134
2015-09-15,220.00,216.00,216.00,216.00,0.00,1240.00,267840.00,0,135
2015-09-10,218.00,220.00,220.00,220.00,0.00,400.00,88000.00,0,136
2015-09-08,218.00,218.00,218.00,218.00,0.00,100.00,21800.00,0,137
2015-09-07,218.00,218.00,214.00,218.00,0.00,560.00,119880.00,0,138
2015-08-27,218.00,218.00,218.00,218.00,0.00,500.00,109000.00,0,139
2015-08-26,221.00,218.00,218.00,218.00,0.00,1740.00,379320.00,0,140
2015-08-25,209.00,221.00,213.00,221.00,0.00,30.00,6510.00,0,141
2015-08-24,190.00,209.00,193.00,209.00,0.00,60.00,12050.00,0,142
2015-08-23,187.00,195.00,176.00,190.00,0.00,7583.00,1400170.00,0,143
2015-08-20,190.00,193.00,187.00,187.00,0.00,2193.00,416923.00,0,144
2015-08-19,203.00,199.00,190.00,190.00,0.00,402.00,77988.00,0,145
2015-08-18,186.00,204.00,189.00,203.00,0.00,2662.00,513725.00,0,146
2015-08-17,179.00,188.00,182.00,186.00,0.00,1004.00,185448.00,0,147
2015-08-16,183.00,182.00,174.00,179.00,0.00,1033.00,184884.00,0,148
2015-08-13,190.00,187.00,176.00,183.00,0.00,345.00,63100.00,0,149
2015-08-12,195.00,195.00,189.00,190.00,0.00,614.00,117630.00,0,150
2015-08-11,190.00,200.00,190.00,195.00,0.00,6168.00,1214617.00,0,151
2015-08-10,189.00,192.00,190.00,190.00,0.00,94.00,17956.00,0,152
2015-08-09,200.00,197.00,189.00,189.00,0.00,200.00,38813.00,0,153
2015-08-06,191.00,205.00,188.00,200.00,0.00,2948.00,571855.00,0,154
2015-08-05,200.00,203.00,189.00,191.00,0.00,1444.00,280406.00,0,155
2015-08-04,206.00,204.00,197.00,200.00,0.00,2174.00,435249.00,0,156
2015-08-03,208.00,206.00,205.00,206.00,0.00,306.00,63015.00,0,157
2015-07-30,220.00,216.00,208.00,208.00,0.00,435.00,91564.00,0,158
2015-07-28,220.00,222.00,215.00,220.00,0.00,743.00,162937.00,0,159
2015-07-27,238.00,242.00,220.00,220.00,0.00,3191.00,725896.00,0,160
2015-07-26,217.00,238.00,221.00,238.00,0.00,403.00,95294.00,0,161
2015-07-23,198.00,217.00,201.00,217.00,0.00,4986.00,1080397.00,0,162
2015-07-22,192.00,198.00,192.00,198.00,0.00,126.00,24432.00,0,163
2015-07-16,187.00,194.00,190.00,192.00,0.00,544.00,104670.00,0,164
2015-07-15,185.00,188.00,183.00,187.00,0.00,215.00,39875.00,0,165
2015-07-14,188.00,185.00,185.00,185.00,0.00,35.00,6475.00,0,166
2015-07-13,188.00,188.00,188.00,188.00,0.00,47.00,8836.00,0,167
2015-07-12,188.00,189.00,185.00,188.00,0.00,168.00,31440.00,0,168
2015-07-09,185.00,188.00,187.00,188.00,0.00,404.00,75672.00,0,169
2015-07-08,187.00,185.00,185.00,185.00,0.00,456.00,84360.00,0,170
2015-07-07,190.00,187.00,184.00,187.00,0.00,1134.00,209625.00,0,171
2015-07-06,191.00,191.00,188.00,190.00,0.00,693.00,131911.00,0,172
2015-07-05,193.00,191.00,191.00,191.00,0.00,48.00,9168.00,0,173
2015-07-02,196.00,193.00,190.00,193.00,0.00,356.00,68174.00,0,174
2015-06-29,187.00,196.00,190.00,196.00,0.00,390.00,74730.00,0,175
2015-06-28,190.00,187.00,187.00,187.00,0.00,924.00,172788.00,0,176
2015-06-25,190.00,190.00,187.00,190.00,0.00,312.00,59053.00,0,177
2015-06-24,189.00,190.00,190.00,190.00,0.00,103.00,19570.00,0,178
2015-06-23,183.00,189.00,186.00,189.00,0.00,262.00,48876.00,0,179
2015-06-22,185.00,185.00,182.00,183.00,0.00,428.00,78395.00,0,180
2015-06-18,190.00,188.00,185.00,185.00,0.00,1502.00,278908.00,0,181
2015-06-17,193.00,190.00,190.00,190.00,0.00,84.00,15960.00,0,182
2015-06-16,196.00,193.00,190.00,193.00,0.00,943.00,180499.00,0,183
2015-06-15,201.00,197.00,195.00,196.00,0.00,959.00,187859.00,0,184
2015-06-14,205.00,201.00,201.00,201.00,0.00,156.00,31356.00,0,185
2015-06-10,207.00,206.00,203.00,205.00,0.00,2198.00,448107.00,0,186
2015-06-09,203.00,211.00,207.00,207.00,0.00,619.00,128533.00,0,187
2015-06-08,199.00,206.00,202.00,203.00,0.00,589.00,119712.00,0,188
2015-06-07,193.00,199.00,196.00,199.00,0.00,451.00,89329.00,0,189
2015-06-04,195.00,198.00,193.00,193.00,0.00,1061.00,204955.00,0,190
2015-06-03,189.00,195.00,192.00,195.00,0.00,165.00,31856.00,0,191
2015-06-02,190.00,189.00,189.00,189.00,0.00,80.00,15120.00,0,192
2015-06-01,209.00,205.00,190.00,190.00,0.00,678.00,130728.00,0,193
2015-04-23,209.00,209.00,205.00,209.00,0.00,666.00,137372.00,0,194
2015-04-22,211.00,213.00,209.00,209.00,0.00,826.00,173140.00,0,195
2015-04-20,210.00,211.00,207.00,211.00,0.00,887.00,185909.00,0,196
2015-04-19,207.00,211.00,207.00,210.00,0.00,2517.00,528262.00,0,197
2015-04-16,210.00,207.00,207.00,207.00,0.00,46.00,9522.00,0,198
2015-04-15,214.00,210.00,210.00,210.00,0.00,465.00,97650.00,0,199
2015-04-13,218.00,226.00,214.00,214.00,0.00,505.00,111303.00,0,200
