published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-05-26,312.10,320.00,311.20,312.12,0.13,33867.00,10611795.00,1,1
2025-05-25,311.00,316.00,310.00,311.70,-0.09,35007.00,10926193.60,-1,2
2025-05-22,311.10,315.00,311.10,311.98,-0.55,54094.00,16909633.00,-1,3
2025-05-21,322.30,327.90,312.50,313.72,-0.72,65430.00,20818566.50,-1,4
2025-05-20,312.00,319.00,306.80,316.00,0.96,57525.00,18002175.90,1,5
2025-05-19,312.00,318.00,311.10,313.01,0.56,28345.00,8892724.40,1,6
2025-05-18,310.00,317.00,310.00,311.27,-1.00,46905.00,14667594.50,-1,7
2025-05-15,314.10,318.00,313.10,314.42,-0.39,60818.00,19151900.10,-1,8
2025-05-14,319.00,320.00,314.00,315.64,-0.98,55603.00,17585117.30,-1,9
2025-05-13,320.00,323.00,317.20,318.77,-0.41,64573.00,20663108.50,-1,10
2025-05-11,320.00,326.00,319.20,320.07,-0.23,53592.00,17217950.00,-1,11
2025-05-08,325.00,327.40,319.10,320.80,-0.06,105423.00,33907082.80,-1,12
2025-05-07,317.00,332.50,316.00,320.99,1.62,105695.00,34218517.50,1,13
2025-05-06,318.00,323.90,314.70,315.86,-0.22,86183.00,27411530.00,-1,14
2025-05-05,313.90,323.00,313.90,316.55,-1.03,52623.00,16738485.80,-1,15
2025-05-04,333.10,333.10,318.50,319.83,-2.09,82378.00,26560661.70,-1,16
2025-04-30,330.00,334.90,326.00,326.65,-1.55,60798.00,20015479.20,-1,17
2025-04-29,360.80,360.80,331.40,331.78,-9.88,408443.00,136814690.60,-1,18
2025-04-28,335.30,371.00,324.10,368.16,7.62,289665.00,98706080.60,1,19
2025-04-27,332.30,359.60,332.30,342.09,0.91,91761.00,31766705.20,1,20
2025-04-24,315.20,344.30,312.00,339.00,6.50,510045.00,163398551.30,1,21
2025-04-23,323.00,325.00,318.00,318.31,-1.48,25448.00,8150125.80,-1,22
2025-04-22,325.00,334.50,321.90,323.09,-2.52,29726.00,9738637.90,-1,23
2025-04-21,318.80,335.00,318.80,331.44,1.89,55496.00,18339137.00,1,24
2025-04-20,329.30,332.00,324.10,325.30,-1.72,35316.00,11563193.10,-1,25
2025-04-17,333.00,336.00,327.50,330.98,-0.73,43694.00,14545385.60,-1,26
2025-04-16,318.00,343.10,318.00,333.41,4.11,68304.00,22562967.70,1,27
2025-04-15,314.20,327.00,314.20,320.26,2.20,32544.00,10455332.10,1,28
2025-04-13,320.00,339.60,313.00,313.38,-0.62,48069.00,15171171.40,-1,29
2025-04-10,315.00,318.00,313.00,315.34,0.06,29497.00,9288588.20,1,30
2025-04-09,320.00,320.00,314.20,315.16,0.17,22609.00,7145937.60,1,31
2025-04-08,315.10,318.00,314.00,314.63,-1.35,41770.00,13160228.40,-1,32
2025-04-07,319.00,326.40,316.40,318.95,-0.64,24649.00,7862682.40,-1,33
2025-04-03,319.00,329.40,318.90,321.02,-0.12,40660.00,13154647.20,-1,34
2025-04-02,316.80,326.00,316.80,321.40,-0.56,21613.00,6977934.70,-1,35
2025-04-01,324.00,330.00,322.00,323.22,-1.28,30187.00,9783463.30,-1,36
2025-03-30,320.00,331.60,317.50,327.42,2.14,37020.00,12151936.10,1,37
2025-03-27,318.00,324.00,315.00,320.57,1.04,28567.00,9109068.10,1,38
2025-03-26,315.00,323.00,313.00,317.27,0.59,28319.00,8997983.60,1,39
2025-03-25,322.00,324.00,314.60,315.41,-3.20,44862.00,14319051.20,-1,40
2025-03-24,325.00,331.00,322.20,325.85,0.20,28008.00,9149588.10,1,41
2025-03-23,329.00,335.00,324.10,325.19,-1.54,40567.00,13283317.20,-1,42
2025-03-20,330.00,332.00,329.00,330.28,-0.52,33640.00,11125820.20,-1,43
2025-03-19,333.00,337.80,331.00,332.00,-0.48,23392.00,7787973.30,-1,44
2025-03-18,331.00,336.90,331.00,333.60,0.45,27073.00,9039331.60,1,45
2025-03-17,331.00,339.70,331.00,332.10,0.03,35095.00,11742417.60,1,46
2025-03-16,332.00,336.00,330.00,332.00,-0.87,36887.00,12248329.90,-1,47
2025-03-12,333.00,335.00,330.10,334.90,0.57,31202.00,10375143.30,1,48
2025-03-11,335.20,338.10,330.00,333.00,-1.19,55513.00,18459433.10,-1,49
2025-03-10,340.00,346.50,335.00,337.00,-0.88,73743.00,24928541.90,-1,50
2024-12-12,359.0,365.0,351.0,352.0,-2.06,37681.0,13446034.3,-1,1
2024-12-11,353.1,360.0,350.0,359.4,1.07,44996.0,15946161.1,1,1
2024-12-10,355.0,362.0,353.0,355.6,-1.22,36857.0,13130963.7,-1,1
2024-12-09,357.2,370.0,355.1,360.0,-0.55,52639.0,18931739.3,-1,2
2024-12-08,367.0,371.0,358.0,362.0,-2.19,93158.0,33730480.8,-1,3
2024-12-05,375.0,381.8,367.1,370.1,-1.83,83257.0,31007098.1,-1,4
2024-12-04,376.0,390.0,371.0,377.0,0.78,194324.0,73741205.6,1,5
2024-12-03,371.2,395.0,370.6,374.1,0.29,110640.0,41436558.5,1,6
2024-12-02,371.8,383.0,369.0,373.0,0.32,84359.0,31664394.2,1,7
2024-12-01,375.5,379.0,368.2,371.8,-2.92,66554.0,24874542.4,-1,8
2024-11-28,390.0,394.0,380.0,383.0,-1.92,86609.0,33258405.1,-1,9
2024-11-27,374.1,410.0,374.1,390.5,2.76,173261.0,67961866.5,1,10
2024-11-26,383.0,383.0,374.1,380.0,1.2,95336.0,36098197.6,1,11
2024-11-25,385.0,392.0,375.0,375.5,-2.9,164437.0,62694633.5,-1,12
2024-11-24,376.4,400.0,376.4,386.7,1.47,220731.0,86678169.7,1,13
2024-11-21,367.0,388.0,361.4,381.1,3.96,285842.0,108108222.7,1,14
2024-11-20,351.0,368.9,351.0,366.6,2.4,87825.0,31793700.6,1,15
2024-11-19,372.5,372.5,357.0,358.0,-1.97,112842.0,41021895.3,-1,16
2024-11-17,372.0,383.0,365.1,365.2,-2.09,143519.0,53879432.0,-1,17
2024-11-14,350.0,387.4,349.0,373.0,5.91,219085.0,81446323.8,1,18
2024-11-13,352.0,357.0,350.2,352.2,-1.18,96800.0,34188749.6,-1,19
2024-11-12,365.0,372.3,356.0,356.4,-2.36,115431.0,42059025.4,-1,20
2024-11-11,356.0,368.2,356.0,365.0,2.76,201260.0,73362249.6,1,21
2024-11-10,337.0,357.0,336.0,355.2,5.4,185820.0,65130144.6,1,22
2024-11-06,341.1,345.0,336.3,337.0,-1.17,65054.0,22097227.2,-1,23
2024-11-05,326.3,347.8,325.6,341.0,2.65,139232.0,47014978.8,1,24
2024-10-30,340.0,340.0,330.1,332.2,-1.42,57270.0,19057482.3,-1,25
2024-10-29,328.0,339.0,322.0,337.0,2.74,89864.0,29937684.2,1,26
2024-10-28,311.7,333.9,293.5,328.0,3.14,203577.0,64749924.9,1,27
2024-10-27,317.6,322.0,313.7,318.0,-1.85,24937.0,7900794.6,-1,28
2024-10-24,321.0,325.0,316.5,324.0,0.93,30172.0,9653043.2,1,29
2024-10-23,326.0,330.0,321.0,321.0,-2.43,25311.0,8235949.0,-1,30
2024-10-22,323.5,335.5,323.0,329.0,-0.3,23362.0,7692805.5,-1,31
2024-10-21,328.1,334.0,326.4,330.0,-1.2,19085.0,6284178.7,-1,32
2024-10-20,335.0,340.0,328.3,334.0,-2.05,29822.0,9971906.8,-1,33
2024-10-17,346.0,352.0,341.0,341.0,-1.45,35515.0,12299967.9,-1,34
2024-10-16,344.0,352.5,335.0,346.0,2.06,34056.0,11715688.8,1,35
2024-10-15,332.3,340.7,332.3,339.0,0.0,5903.0,1999413.8,0,36
2024-10-09,337.0,342.0,332.0,339.0,0.56,19324.0,6535207.0,1,37
2024-10-08,343.0,350.0,336.5,337.1,-3.66,20131.0,6854260.5,-1,38
