published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-11-14,1111.80,1170.00,1111.80,1170.00,7.34,10000.00,11698924.00,1,1
2024-10-29,1090.00,1090.00,1090.00,1090.00,0.46,25.00,27250.00,1,2
2024-10-23,1085.10,1085.10,1085.00,1085.00,0.60,50.00,54252.50,1,3
2024-10-20,1079.00,1079.00,1078.50,1078.50,-1.95,25.00,26970.00,-1,4
2024-09-29,1100.00,1100.00,1100.00,1100.00,1.85,97.00,106700.00,1,5
2024-09-25,1080.00,1080.00,1080.00,1080.00,-1.04,25.00,27000.00,-1,6
2024-09-15,1091.40,1091.40,1091.40,1091.40,0.00,25.00,27285.00,0,7
2024-09-11,1091.40,1091.40,1091.40,1091.40,2.00,323.00,352522.20,1,8
2024-09-10,1070.00,1070.00,1070.00,1070.00,-0.09,25.00,26750.00,-1,9
2024-09-09,1071.00,1071.00,1071.00,1071.00,-1.84,30.00,32130.00,-1,10
2024-09-08,1113.30,1113.30,1091.10,1091.10,-3.95,155.00,172006.50,-1,11
2024-09-01,1136.00,1136.00,1136.00,1136.00,-1.99,50.00,56800.00,-1,12
2024-07-23,1182.68,1182.68,1159.10,1159.10,-3.95,20.00,23417.80,-1,13
2024-07-15,1122.00,1206.80,1122.00,1206.80,8.23,95.00,108909.50,1,14
2024-07-14,1115.00,1115.00,1115.00,1115.00,0.90,10.00,11150.00,1,15
2024-07-09,1085.00,1105.00,1085.00,1105.00,1.84,100.00,108700.00,1,16
2024-07-08,1085.00,1085.00,1085.00,1085.00,-0.09,10.00,10850.00,-1,17
2024-07-07,1086.00,1086.00,1086.00,1086.00,1.99,10.00,10860.00,1,18
2024-06-27,1064.80,1064.80,1064.80,1064.80,1.99,25.00,26620.00,1,19
2024-06-11,1044.00,1044.00,1044.00,1044.00,-1.97,30.00,31320.00,-1,20
2024-06-10,1065.00,1065.00,1065.00,1065.00,1.91,25.00,26625.00,1,21
