published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-05-26,614.30,626.00,600.10,602.49,0.03,14910.00,9014647.80,1,1
2025-05-25,604.10,610.00,600.00,602.31,-0.30,10371.00,6252708.10,-1,2
2025-05-22,610.10,614.00,603.00,604.10,-1.18,19243.00,11685249.50,-1,3
2025-05-21,631.00,641.00,610.10,611.29,-1.34,19649.00,12200217.90,-1,4
2025-05-20,604.00,623.00,600.20,619.59,2.36,15420.00,9472242.60,1,5
2025-05-19,608.90,611.00,604.00,605.32,1.04,16176.00,9812370.50,1,6
2025-05-18,614.90,614.90,593.10,599.09,-0.71,24067.00,14391918.50,-1,7
2025-05-15,620.00,620.00,600.00,603.40,-1.22,19678.00,11945149.00,-1,8
2025-05-14,610.00,619.90,607.10,610.87,0.14,21652.00,13295337.50,1,9
2025-05-13,607.00,619.90,607.00,610.03,0.51,31080.00,19081487.80,1,10
2025-05-11,616.00,616.00,600.00,606.91,-0.55,30980.00,18774752.10,-1,11
2025-05-08,610.10,618.00,607.00,610.26,-0.60,17276.00,10568456.40,-1,12
2025-05-07,585.50,616.00,581.00,613.93,4.29,26657.00,16019590.60,1,13
2025-05-06,600.00,600.00,585.20,588.68,-0.93,23419.00,13783842.70,-1,14
2025-05-05,601.20,608.00,590.00,594.20,-1.00,22593.00,13490364.10,-1,15
2025-05-04,601.10,609.80,600.00,600.19,-0.92,24794.00,14922368.70,-1,16
2025-04-30,604.20,610.00,596.00,605.78,-0.24,24657.00,14896689.80,-1,17
2025-04-29,625.00,625.00,605.00,607.23,-1.46,24844.00,15181978.90,-1,18
2025-04-28,615.30,620.00,613.10,616.21,-0.27,17542.00,10819758.00,-1,19
2025-04-27,619.00,629.00,617.00,617.87,-0.16,22045.00,13676235.10,-1,20
2025-04-24,619.00,624.60,615.00,618.86,0.12,34250.00,21182012.90,1,21
2025-04-23,634.00,634.00,615.10,618.11,-0.99,17169.00,10641414.30,-1,22
2025-04-22,641.00,647.40,622.00,624.32,-2.66,24557.00,15452894.20,-1,23
2025-04-21,652.00,652.00,640.00,641.38,-1.66,33729.00,21692634.60,-1,24
2025-04-20,664.90,674.00,648.00,652.20,-1.32,34670.00,22867657.90,-1,25
2025-04-17,640.00,667.70,637.00,660.93,4.98,73759.00,48414076.10,1,26
2025-04-16,631.00,635.00,623.00,629.55,0.09,22504.00,14150106.80,1,27
2025-04-15,610.00,634.90,608.10,629.01,3.31,28929.00,18067866.30,1,28
2025-04-13,616.00,618.00,606.10,608.87,-1.14,21252.00,12994559.20,-1,29
2025-04-10,623.00,623.00,612.00,615.92,-0.16,16804.00,10352611.10,-1,30
2025-04-09,612.00,626.00,612.00,616.92,0.35,15142.00,9355462.30,1,31
2025-04-08,607.20,620.00,604.00,614.79,-0.04,29166.00,17758729.20,-1,32
2025-04-07,641.80,641.80,614.10,615.01,-2.26,26643.00,16464103.20,-1,33
2025-04-03,625.00,639.60,623.00,629.26,-0.11,23374.00,14704526.70,-1,34
2025-04-02,630.00,637.00,623.10,629.98,-0.17,24020.00,15139013.20,-1,35
2025-04-01,635.00,647.50,627.00,631.06,-2.36,43511.00,27548546.90,-1,36
2025-03-30,617.40,650.00,617.40,646.29,2.59,32854.00,21179766.10,1,37
2025-03-27,616.00,634.00,616.00,629.96,2.31,20910.00,13091823.40,1,38
2025-03-26,605.00,619.40,602.20,615.75,2.41,16702.00,10251251.90,1,39
2025-03-25,623.00,628.00,596.00,601.26,-4.37,43988.00,26702153.70,-1,40
2025-03-24,627.00,635.00,615.00,628.76,1.37,20374.00,12824900.20,1,41
2025-03-23,642.00,642.00,618.00,620.26,-3.37,28292.00,17683288.60,-1,42
2025-03-20,639.00,646.00,633.10,641.89,0.30,16054.00,10278450.10,1,43
2025-03-19,647.00,648.90,635.00,640.00,0.00,16988.00,10885798.40,0,44
2025-03-18,660.00,660.00,640.00,640.00,-1.54,17782.00,11498578.60,-1,45
2025-03-17,660.00,668.00,645.00,650.00,-1.56,35309.00,23060172.60,-1,46
2025-03-16,679.00,683.00,656.00,660.30,-2.35,26872.00,17833130.10,-1,47
2025-03-12,685.00,692.00,675.00,676.20,-0.56,18371.00,12519824.20,-1,48
2025-03-11,685.00,705.00,675.00,680.00,-0.58,57193.00,39431836.50,-1,49
2025-03-10,700.00,705.90,682.10,684.00,-1.58,31248.00,21577614.00,-1,50
2024-12-12,750.0,770.0,740.0,745.0,-1.97,68979.0,51807283.3,-1,1
2024-12-11,737.0,766.0,737.0,760.0,1.06,47810.0,36185494.8,1,1
2024-12-10,760.0,769.9,749.0,752.0,-1.23,51883.0,39179078.3,-1,1
2024-12-09,770.1,775.0,749.3,761.4,0.85,94800.0,71952387.8,1,2
2024-12-08,740.1,791.0,740.1,755.0,0.0,156975.0,120384510.8,0,3
2024-12-05,762.0,781.0,755.0,755.0,-1.05,122006.0,93730656.2,-1,4
2024-12-04,781.0,790.0,760.0,763.0,-1.93,149748.0,115961880.5,-1,5
2024-12-03,799.9,810.0,777.2,778.0,-1.88,137964.0,108800213.2,-1,6
2024-12-02,843.5,843.5,785.0,792.9,-4.12,256723.0,208816070.9,-1,7
2024-12-01,748.3,829.4,731.0,827.0,8.32,346736.0,273032517.2,1,8
2024-11-28,739.0,790.0,726.0,763.5,5.31,364049.0,279424594.3,1,9
2024-11-27,705.8,745.0,698.0,725.0,4.77,201522.0,144784804.6,1,10
2024-11-26,689.9,703.0,685.0,692.0,0.3,70437.0,48789074.2,1,11
2024-11-25,679.1,698.0,674.2,689.9,2.15,54464.0,37347885.9,1,12
2024-11-24,719.1,719.1,675.4,675.4,-4.2,110247.0,76210442.7,-1,13
2024-11-21,705.0,737.0,702.1,705.0,0.17,167150.0,120392953.5,1,14
2024-11-20,670.0,713.0,658.1,703.8,5.04,209515.0,145451136.1,1,15
2024-11-19,691.9,691.9,662.0,670.0,-2.62,97828.0,65872052.6,-1,16
2024-11-17,681.1,707.0,681.1,688.0,-1.01,143607.0,100372293.1,-1,17
2024-11-14,688.2,699.7,675.0,695.0,2.99,177208.0,122013014.6,1,18
2024-11-13,669.0,682.3,641.0,674.8,2.55,156794.0,104205653.5,1,19
2024-11-12,660.0,675.0,654.0,658.0,-0.75,35471.0,23531719.5,-1,20
2024-11-11,682.0,682.0,658.6,663.0,-0.9,64598.0,43144691.9,-1,21
2024-11-10,658.0,669.0,652.1,669.0,3.08,73599.0,48656130.5,1,22
2024-11-06,643.0,663.0,640.0,649.0,0.93,72097.0,46931244.5,1,23
2024-11-05,632.1,657.9,632.1,643.0,0.0,28779.0,18634208.4,0,24
2024-10-30,637.0,713.0,637.0,643.0,-1.08,41610.0,26992270.6,-1,25
2024-10-29,620.5,657.0,620.5,650.0,2.67,40136.0,25785537.3,1,26
2024-10-28,637.2,637.2,612.5,633.1,1.33,18210.0,11406865.4,1,27
2024-10-27,616.4,631.4,616.4,624.8,-0.65,15988.0,9959208.2,-1,28
2024-10-24,617.4,634.0,617.4,628.9,-0.17,26700.0,16672234.1,-1,29
2024-10-23,621.2,655.0,621.2,630.0,-0.6,24597.0,15507569.8,-1,30
2024-10-22,623.3,650.0,623.3,633.8,-0.35,21090.0,13284445.7,-1,31
