published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2016-03-14,351.00,345.00,339.00,339.00,0.00,1710.00,584690.00,0,1
2016-03-13,352.00,355.00,350.00,351.00,0.00,2295.00,806361.00,0,2
2016-03-10,351.00,355.00,342.00,352.00,0.00,2479.00,860952.00,0,3
2016-03-06,336.00,358.00,336.00,351.00,0.00,6618.00,2329274.00,0,4
2016-03-03,334.00,340.00,336.00,336.00,0.00,734.00,248460.00,0,5
2016-03-02,340.00,340.00,334.00,334.00,0.00,1400.00,471200.00,0,6
2016-03-01,335.00,346.00,330.00,340.00,0.00,3418.00,1159828.00,0,7
2016-02-29,345.00,339.00,333.00,335.00,0.00,711.00,237923.00,0,8
2016-02-25,343.00,349.00,343.00,345.00,0.00,1400.00,483300.00,0,9
2016-02-24,350.00,349.00,343.00,343.00,0.00,350.00,120450.00,0,10
2016-02-22,352.00,351.00,350.00,350.00,0.00,700.00,245200.00,0,11
2016-02-21,348.00,355.00,349.00,352.00,0.00,5456.00,1916820.00,0,12
2016-02-18,336.00,355.00,342.00,348.00,0.00,4569.00,1595222.00,0,13
2016-02-17,341.00,350.00,336.00,336.00,0.00,3500.00,1203000.00,0,14
2016-02-16,355.00,352.00,341.00,341.00,0.00,2595.00,902542.00,0,15
2016-02-15,346.00,380.00,345.00,355.00,0.00,31414.00,11226713.00,0,16
2016-02-14,315.00,346.00,321.00,346.00,0.00,4779.00,1652884.00,0,17
2016-02-11,319.00,315.00,313.00,315.00,0.00,1949.00,612935.00,0,18
2016-02-08,317.00,319.00,311.00,319.00,0.00,1105.00,348367.00,0,19
2016-02-07,317.00,320.00,315.00,317.00,0.00,2474.00,785337.00,0,20
2016-02-04,320.00,320.00,314.00,317.00,0.00,3100.00,980915.00,0,21
2016-02-03,311.00,320.00,313.00,320.00,0.00,9517.00,3001626.00,0,22
2016-02-02,309.00,316.00,305.00,311.00,0.00,7895.00,2454074.00,0,23
2016-02-01,285.00,310.00,290.00,309.00,0.00,13184.00,4004030.00,0,24
2016-01-31,285.00,285.00,280.00,285.00,0.00,1038.00,293719.00,0,25
2016-01-28,284.00,285.00,280.00,285.00,0.00,4239.00,1196074.00,0,26
2016-01-27,287.00,284.00,284.00,284.00,0.00,350.00,99400.00,0,27
2016-01-26,292.00,296.00,282.00,287.00,0.00,4950.00,1427750.00,0,28
2016-01-25,293.00,293.00,287.00,292.00,0.00,1110.00,320530.00,0,29
2016-01-24,278.00,293.00,278.00,293.00,0.00,3219.00,920827.00,0,30
2016-01-21,272.00,279.00,274.00,278.00,0.00,3241.00,899115.00,0,31
2016-01-20,272.00,276.00,267.00,272.00,0.00,2540.00,690440.00,0,32
2016-01-19,267.00,272.00,272.00,272.00,0.00,42.00,11424.00,0,33
2016-01-18,269.00,274.00,264.00,267.00,0.00,4400.00,1181200.00,0,34
2016-01-17,249.00,269.00,253.00,269.00,0.00,1540.00,405640.00,0,35
2016-01-14,257.00,260.00,249.00,249.00,0.00,2300.00,583100.00,0,36
2016-01-13,285.00,280.00,257.00,257.00,0.00,2160.00,573840.00,0,37
2016-01-12,299.00,316.00,285.00,285.00,0.00,3163.00,967852.00,0,38
2016-01-11,272.00,299.00,277.00,299.00,0.00,5716.00,1705234.00,0,39
2016-01-10,257.00,272.00,262.00,272.00,0.00,110.00,29420.00,0,40
2016-01-07,238.00,257.00,240.00,257.00,0.00,1326.00,325340.00,0,41
2016-01-06,244.00,246.00,238.00,238.00,0.00,940.00,227720.00,0,42
2016-01-05,245.00,245.00,240.00,244.00,0.00,1791.00,434604.00,0,43
2016-01-04,250.00,247.00,245.00,245.00,0.00,850.00,208350.00,0,44
2015-12-31,252.00,252.00,250.00,250.00,0.00,250.00,62700.00,0,45
2015-12-29,335.00,335.00,325.00,326.00,0.00,6302.00,2081280.00,0,46
2015-12-28,338.00,336.00,330.00,335.00,0.00,2645.00,881820.00,0,47
2015-12-27,336.00,342.00,336.00,338.00,0.00,4764.00,1617340.00,0,48
2015-12-24,330.00,342.00,335.00,336.00,0.00,4614.00,1556791.00,0,49
2015-12-23,335.00,333.00,324.00,330.00,0.00,2397.00,787907.00,0,50
2015-12-22,343.00,345.00,335.00,335.00,0.00,2412.00,824018.00,0,51
2015-12-21,331.00,343.00,331.00,343.00,0.00,1597.00,537689.00,0,52
2015-12-20,335.00,334.00,325.00,331.00,0.00,6138.00,2018234.00,0,53
2015-12-17,355.00,348.00,330.00,335.00,0.00,5265.00,1784925.00,0,54
2015-12-16,337.00,362.00,327.00,355.00,0.00,16389.00,5689595.00,0,55
2015-12-15,307.00,337.00,313.00,337.00,0.00,9437.00,3179669.00,0,56
2015-12-14,300.00,312.00,306.00,307.00,0.00,2018.00,619022.00,0,57
2015-12-13,287.00,306.00,290.00,300.00,0.00,4651.00,1392323.00,0,58
2015-12-10,291.00,287.00,282.00,287.00,0.00,1876.00,535432.00,0,59
2015-12-09,285.00,295.00,290.00,291.00,0.00,150.00,43680.00,0,60
2015-12-07,295.00,300.00,285.00,285.00,0.00,1800.00,528000.00,0,61
2015-12-06,285.00,295.00,286.00,295.00,0.00,2060.00,600640.00,0,62
2015-12-03,285.00,288.00,280.00,285.00,0.00,1704.00,487128.00,0,63
2015-12-02,285.00,287.00,280.00,285.00,0.00,1065.00,302550.00,0,64
2015-12-01,275.00,285.00,280.00,285.00,0.00,1134.00,318190.00,0,65
2015-11-30,274.00,284.00,275.00,275.00,0.00,2704.00,756260.00,0,66
2015-11-29,283.00,279.00,274.00,274.00,0.00,300.00,82700.00,0,67
2015-11-26,288.00,284.00,283.00,283.00,0.00,2350.00,666300.00,0,68
2015-11-25,295.00,300.00,288.00,288.00,0.00,3500.00,1021900.00,0,69
2015-11-24,279.00,295.00,280.00,295.00,0.00,60.00,17300.00,0,70
2015-11-23,289.00,284.00,279.00,279.00,0.00,517.00,144728.00,0,71
2015-11-22,285.00,300.00,284.00,289.00,0.00,1995.00,581980.00,0,72
2015-11-19,280.00,295.00,279.00,285.00,0.00,5395.00,1527130.00,0,73
2015-11-18,290.00,290.00,280.00,280.00,0.00,9182.00,2618798.00,0,74
2015-11-16,280.00,300.00,285.00,290.00,0.00,247.00,72270.00,0,75
2015-11-15,285.00,280.00,280.00,280.00,0.00,100.00,28000.00,0,76
2015-11-09,275.00,285.00,280.00,285.00,0.00,990.00,279150.00,0,77
2015-11-08,272.00,275.00,270.00,275.00,0.00,671.00,182020.00,0,78
2015-11-05,290.00,285.00,272.00,272.00,0.00,946.00,263512.00,0,79
2015-11-04,290.00,290.00,290.00,290.00,0.00,100.00,29000.00,0,80
2015-11-03,290.00,290.00,285.00,290.00,0.00,210.00,60850.00,0,81
2015-11-01,285.00,290.00,290.00,290.00,0.00,320.00,92800.00,0,82
2015-10-29,265.00,285.00,266.00,285.00,0.00,376.00,102706.00,0,83
2015-10-28,285.00,280.00,257.00,265.00,0.00,1620.00,427790.00,0,84
2015-10-15,295.00,290.00,285.00,285.00,0.00,1822.00,519820.00,0,85
2015-10-14,307.00,301.00,295.00,295.00,0.00,200.00,59300.00,0,86
2015-10-11,319.00,313.00,307.00,307.00,0.00,800.00,248300.00,0,87
2015-10-08,325.00,319.00,319.00,319.00,0.00,200.00,63800.00,0,88
2015-10-07,337.00,331.00,325.00,325.00,0.00,210.00,68310.00,0,89
2015-10-05,350.00,343.00,337.00,337.00,0.00,20.00,6800.00,0,90
2015-09-30,352.00,350.00,350.00,350.00,0.00,100.00,35000.00,0,91
2015-09-29,359.00,352.00,352.00,352.00,0.00,693.00,243936.00,0,92
2015-09-17,359.00,366.00,359.00,359.00,0.00,1370.00,496170.00,0,93
2015-09-16,346.00,359.00,351.00,359.00,0.00,620.00,220040.00,0,94
2015-09-15,328.00,346.00,325.00,346.00,0.00,4002.00,1316488.00,0,95
2015-09-14,321.00,333.00,322.00,328.00,0.00,1488.00,485652.00,0,96
2015-09-13,331.00,332.00,315.00,321.00,0.00,4497.00,1438237.00,0,97
2015-09-10,343.00,337.00,331.00,331.00,0.00,500.00,166100.00,0,98
2015-09-08,349.00,343.00,343.00,343.00,0.00,500.00,171500.00,0,99
2015-09-02,343.00,349.00,349.00,349.00,0.00,500.00,174500.00,0,100
2015-09-01,312.00,343.00,318.00,343.00,0.00,194.00,65892.00,0,101
2015-08-31,285.00,312.00,290.00,312.00,0.00,50.00,15030.00,0,102
2015-08-23,290.00,290.00,272.00,285.00,0.00,8228.00,2335905.00,0,103
2015-08-20,298.00,303.00,285.00,290.00,0.00,5572.00,1632263.00,0,104
2015-08-19,286.00,300.00,286.00,298.00,0.00,10788.00,3153433.00,0,105
2015-08-18,272.00,292.00,277.00,286.00,0.00,10589.00,2978189.00,0,106
2015-08-17,267.00,272.00,271.00,272.00,0.00,1026.00,278772.00,0,107
2015-08-16,282.00,285.00,266.00,267.00,0.00,5137.00,1399634.00,0,108
2015-08-13,267.00,292.00,272.00,282.00,0.00,7959.00,2223085.00,0,109
2015-08-12,274.00,275.00,263.00,267.00,0.00,3621.00,965688.00,0,110
2015-08-11,289.00,284.00,274.00,274.00,0.00,400.00,112100.00,0,111
2015-08-10,274.00,289.00,279.00,289.00,0.00,1274.00,364801.00,0,112
2015-08-09,275.00,274.00,271.00,274.00,0.00,118.00,32266.00,0,113
2015-08-06,285.00,283.00,275.00,275.00,0.00,521.00,145620.00,0,114
2015-08-05,285.00,285.00,280.00,285.00,0.00,3063.00,865978.00,0,115
2015-08-04,290.00,288.00,285.00,285.00,0.00,1380.00,395240.00,0,116
2015-08-03,295.00,290.00,290.00,290.00,0.00,13.00,3770.00,0,117
2015-08-02,285.00,295.00,285.00,295.00,0.00,1553.00,449890.00,0,118
2015-07-30,290.00,290.00,280.00,285.00,0.00,5496.00,1567657.00,0,119
2015-07-29,295.00,290.00,290.00,290.00,0.00,135.00,39150.00,0,120
2015-07-28,306.00,300.00,295.00,295.00,0.00,287.00,85635.00,0,121
2015-07-27,314.00,320.00,301.00,306.00,0.00,4719.00,1485746.00,0,122
2015-07-23,286.00,314.00,291.00,314.00,0.00,25563.00,7891565.00,0,123
2015-07-22,260.00,286.00,265.00,286.00,0.00,2651.00,747812.00,0,124
2015-07-16,245.00,262.00,249.00,260.00,0.00,1289.00,331047.00,0,125
2015-07-14,238.00,253.00,240.00,245.00,0.00,4989.00,1229815.00,0,126
2015-07-13,234.00,238.00,230.00,238.00,0.00,2932.00,686487.00,0,127
2015-07-12,236.00,238.00,234.00,234.00,0.00,785.00,184090.00,0,128
2015-07-09,236.00,240.00,236.00,236.00,0.00,251.00,59276.00,0,129
2015-07-08,232.00,236.00,236.00,236.00,0.00,10.00,2360.00,0,130
2015-07-07,233.00,235.00,232.00,232.00,0.00,995.00,231435.00,0,131
2015-07-06,238.00,234.00,232.00,233.00,0.00,1182.00,275066.00,0,132
2015-07-05,226.00,242.00,226.00,238.00,0.00,2128.00,486364.00,0,133
2015-07-02,234.00,230.00,226.00,226.00,0.00,1170.00,266244.00,0,134
2015-07-01,235.00,240.00,234.00,234.00,0.00,3083.00,730996.00,0,135
2015-06-30,234.00,235.00,231.00,235.00,0.00,941.00,221083.00,0,136
2015-06-29,228.00,235.00,232.00,234.00,0.00,528.00,122956.00,0,137
2015-06-28,220.00,228.00,224.00,228.00,0.00,1885.00,426580.00,0,138
2015-06-25,223.00,221.00,219.00,220.00,0.00,193.00,42460.00,0,139
2015-06-24,225.00,229.00,223.00,223.00,0.00,1863.00,418081.00,0,140
2015-06-23,220.00,230.00,224.00,225.00,0.00,483.00,109203.00,0,141
2015-06-22,223.00,220.00,220.00,220.00,0.00,1000.00,220000.00,0,142
2015-06-21,229.00,227.00,223.00,223.00,0.00,1090.00,245222.00,0,143
2015-06-17,228.00,229.00,225.00,229.00,0.00,417.00,94501.00,0,144
2015-06-16,229.00,232.00,228.00,228.00,0.00,1839.00,424181.00,0,145
2015-06-11,231.00,232.00,227.00,229.00,0.00,1184.00,270687.00,0,146
2015-06-10,230.00,234.00,230.00,231.00,0.00,5791.00,1340753.00,0,147
2015-06-09,226.00,237.00,230.00,230.00,0.00,1658.00,386450.00,0,148
2015-06-08,222.00,230.00,226.00,226.00,0.00,316.00,71816.00,0,149
2015-06-04,226.00,230.00,222.00,222.00,0.00,1537.00,349748.00,0,150
2015-06-03,210.00,226.00,206.00,226.00,0.00,1394.00,296558.00,0,151
2015-06-02,214.00,218.00,210.00,210.00,0.00,317.00,67530.00,0,152
2015-06-01,214.00,214.00,212.00,214.00,0.00,1500.00,319000.00,0,153
2015-05-31,195.00,214.00,189.00,214.00,0.00,3292.00,643162.00,0,154
2015-05-28,206.00,202.00,194.00,195.00,0.00,810.00,159752.00,0,155
2015-05-27,210.00,206.00,206.00,206.00,0.00,76.00,15656.00,0,156
2015-05-26,233.00,229.00,210.00,210.00,0.00,162.00,34878.00,0,157
2015-04-23,225.00,233.00,227.00,233.00,0.00,1318.00,300471.00,0,158
2015-04-22,223.00,225.00,220.00,225.00,0.00,474.00,106462.00,0,159
2015-04-21,223.00,223.00,223.00,223.00,0.00,179.00,39917.00,0,160
2015-04-20,225.00,225.00,223.00,223.00,0.00,1700.00,380900.00,0,161
2015-04-19,228.00,225.00,225.00,225.00,0.00,91.00,20475.00,0,162
2015-04-16,232.00,228.00,224.00,228.00,0.00,1339.00,304592.00,0,163
2015-04-15,235.00,232.00,232.00,232.00,0.00,500.00,116000.00,0,164
2015-04-13,231.00,235.00,234.00,235.00,0.00,137.00,32158.00,0,165
2015-04-12,232.00,236.00,231.00,231.00,0.00,666.00,156195.00,0,166
2015-04-09,224.00,232.00,228.00,232.00,0.00,213.00,48992.00,0,167
2015-04-08,223.00,224.00,224.00,224.00,0.00,780.00,174720.00,0,168
2015-04-07,216.00,223.00,220.00,223.00,0.00,597.00,132840.00,0,169
2015-04-06,220.00,216.00,216.00,216.00,0.00,120.00,25920.00,0,170
2015-04-02,212.00,220.00,212.00,220.00,0.00,1181.00,256900.00,0,171
2015-04-01,213.00,212.00,212.00,212.00,0.00,200.00,42400.00,0,172
2015-03-30,215.00,216.00,213.00,213.00,0.00,410.00,87882.00,0,173
2015-03-29,216.00,216.00,212.00,215.00,0.00,971.00,208651.00,0,174
2015-03-26,221.00,220.00,215.00,216.00,0.00,3440.00,746495.00,0,175
2015-03-25,220.00,221.00,218.00,221.00,0.00,3694.00,812374.00,0,176
2015-03-24,220.00,220.00,220.00,220.00,0.00,24.00,5280.00,0,177
2015-03-23,228.00,224.00,218.00,220.00,0.00,3788.00,837444.00,0,178
2015-03-22,235.00,231.00,227.00,228.00,0.00,2278.00,520984.00,0,179
2015-03-19,230.00,235.00,230.00,235.00,0.00,2495.00,580629.00,0,180
2015-03-18,231.00,232.00,229.00,230.00,0.00,3779.00,870838.00,0,181
2015-03-17,229.00,233.00,221.00,231.00,0.00,4699.00,1074663.00,0,182
2015-03-16,235.00,231.00,225.00,229.00,0.00,3189.00,725553.00,0,183
2015-03-15,233.00,240.00,233.00,235.00,0.00,3706.00,873244.00,0,184
2015-03-12,231.00,235.00,228.00,233.00,0.00,7001.00,1622748.00,0,185
2015-03-11,231.00,231.00,227.00,231.00,0.00,1038.00,236634.00,0,186
2015-03-10,230.00,234.00,226.00,231.00,0.00,547.00,126680.00,0,187
2015-03-09,226.00,235.00,227.00,230.00,0.00,1751.00,402705.00,0,188
2015-03-04,228.00,230.00,226.00,226.00,0.00,2831.00,641110.00,0,189
2015-03-03,232.00,230.00,226.00,228.00,0.00,274.00,62236.00,0,190
2015-03-02,226.00,232.00,230.00,232.00,0.00,807.00,185804.00,0,191
2015-03-01,230.00,230.00,226.00,226.00,0.00,1931.00,438759.00,0,192
2015-02-26,228.00,231.00,230.00,230.00,0.00,1104.00,254920.00,0,193
2015-02-25,225.00,232.00,225.00,228.00,0.00,2905.00,664292.00,0,194
2015-02-24,225.00,229.00,225.00,225.00,0.00,4457.00,1009975.00,0,195
2015-02-23,216.00,229.00,212.00,225.00,0.00,8870.00,1954096.00,0,196
2015-02-22,227.00,224.00,215.00,216.00,0.00,8736.00,1898888.00,0,197
2015-02-18,230.00,234.00,226.00,227.00,0.00,1625.00,369987.00,0,198
2015-02-16,241.00,245.00,227.00,230.00,0.00,3312.00,786507.00,0,199
2015-02-15,224.00,246.00,228.00,241.00,0.00,20013.00,4897384.00,0,200
