published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-11-27,379.00,379.00,379.00,379.00,0.00,14000.00,5306000.00,0,1
2024-07-11,311.00,311.00,311.00,311.00,0.00,29162.00,9069382.00,0,2
2024-02-29,217.00,217.00,217.00,217.00,-6.06,5000.00,1085000.00,-1,3
2023-09-24,231.00,231.00,231.00,231.00,0.00,47325.00,10932075.00,0,4
2023-05-28,196.00,196.00,196.00,196.00,0.00,23001.00,4508196.00,0,5
2023-05-21,196.00,196.00,196.00,196.00,0.00,5000.00,980000.00,0,6
2022-12-11,167.40,167.40,160.90,160.90,-5.80,8289.00,1344790.40,-1,7
2022-11-30,170.80,170.80,170.80,170.80,-1.95,3000.00,512400.00,-1,8
2022-10-13,177.70,177.70,174.20,174.20,-3.92,60000.00,10557000.00,-1,9
2022-08-24,181.30,181.30,181.30,181.30,-2.00,43740.00,7930062.00,-1,10
2022-07-15,185.00,185.00,185.00,185.00,0.00,29158.00,5394230.00,0,11
2022-01-25,274.00,274.00,274.00,274.00,0.00,8592.00,2354208.00,0,12
2022-01-20,274.00,274.00,274.00,274.00,0.00,8600.00,2356400.00,0,13
2022-01-16,274.00,274.00,274.00,274.00,0.00,45130.00,12365620.00,0,14
2021-05-03,182.00,182.00,182.00,182.00,0.00,5000.00,910000.00,0,15
2020-09-16,182.00,182.00,182.00,182.00,-1.62,5926.00,1078532.00,-1,16
2020-07-28,185.00,185.00,185.00,185.00,0.00,16165.00,2990520.00,0,17
2020-07-23,185.00,185.00,185.00,185.00,0.00,6061.00,1121285.00,0,18
2020-02-05,136.00,136.00,136.00,136.00,0.00,12000.00,1632000.00,0,19
2019-12-11,136.00,136.00,136.00,136.00,0.00,2000.00,272000.00,0,20
2019-12-04,136.00,136.00,136.00,136.00,-75.32,9440.00,1283840.00,-1,21
2016-09-12,551.00,551.00,551.00,551.00,0.00,2871.00,1581921.00,0,22
2016-09-07,551.00,551.00,551.00,551.00,0.00,1440.00,793440.00,0,23
2016-08-21,550.00,551.00,551.00,551.00,0.00,2600.00,1432600.00,0,24
2015-11-16,238.00,234.00,234.00,234.00,0.00,20880.00,4885920.00,0,25
2015-11-15,242.00,238.00,238.00,238.00,0.00,21600.00,5140800.00,0,26
2015-11-10,246.00,242.00,242.00,242.00,0.00,23400.00,5662800.00,0,27
2015-08-10,246.00,246.00,246.00,246.00,0.00,4000.00,984000.00,0,28
2015-07-13,246.00,246.00,246.00,246.00,0.00,11520.00,2833920.00,0,29
2014-12-28,232.00,232.00,232.00,232.00,0.00,3520.00,816640.00,0,30
2014-12-23,232.00,232.00,232.00,232.00,0.00,2160.00,501120.00,0,31
2014-11-13,240.00,236.00,232.00,232.00,0.00,15840.00,3703680.00,0,32
2014-08-07,244.00,240.00,240.00,240.00,0.00,15840.00,3801600.00,0,33
2014-06-29,240.00,244.00,244.00,244.00,0.00,4320.00,1054080.00,0,34
