published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-06-19,424.0,426.6,415.0,416.76,0.06,18480.0,7741309.2,1,1
2025-06-18,419.1,424.0,415.0,416.53,-1.01,13082.0,5459181.7,-1,1
2025-06-17,420.6,430.0,420.0,420.79,-0.96,12438.0,5231486.0,-1,1
2025-06-16,429.1,435.0,422.0,424.87,-1.48,15332.0,6567648.6,-1,1
2025-06-15,430.1,450.0,430.0,431.25,-1.72,14449.0,6278665.8,-1,1
2025-06-12,445.0,452.0,435.0,438.79,-1.52,18053.0,7939446.8,-1,1
2025-06-11,464.0,464.0,444.0,445.58,-2.59,5950.0,2667129.5,-1,1
2025-06-10,458.0,467.0,442.0,457.42,1.74,20230.0,9236304.2,1,1
2025-06-09,414.0,452.0,414.0,449.61,6.81,34314.0,15075061.9,1,1
2025-06-08,418.0,430.0,418.0,420.95,-1.03,5220.0,2213910.7,-1,1
2025-06-05,426.0,433.0,420.0,425.33,0.06,13254.0,5633315.1,1,1
2025-06-04,426.1,440.0,422.6,425.09,-1.65,11912.0,5085833.7,-1,1
2025-06-03,454.0,454.0,431.0,432.21,-3.24,18242.0,7942781.8,-1,2
2025-06-02,450.0,459.0,442.1,446.69,-1.0,14620.0,6581937.3,-1,1
2025-05-28,451.8,470.0,438.0,451.2,1.85,19104.0,8539526.5,1,1
2025-05-27,457.0,457.0,440.5,442.99,-1.28,11732.0,5202116.9,-1,2
2025-05-26,456.0,483.0,444.0,448.74,0.35,17437.0,7862841.6,1,1
2025-05-25,470.9,470.9,442.0,447.16,-3.15,11705.0,5243301.0,-1,2
2025-05-22,482.0,482.0,455.0,461.71,-2.49,17472.0,8078707.5,-1,3
2025-05-21,480.1,507.0,470.0,473.51,0.59,31248.0,15108168.1,1,4
2025-05-20,437.0,477.0,437.0,470.72,6.88,26060.0,11892243.6,1,5
2025-05-19,443.0,448.6,435.0,440.43,0.55,12907.0,5693896.9,1,6
2025-05-18,432.4,448.0,432.0,438.04,-0.72,20999.0,9216070.8,-1,7
2025-05-15,450.0,450.0,436.0,441.2,-0.64,21875.0,9623537.6,-1,8
2025-05-14,450.0,464.0,442.4,444.05,-2.14,19457.0,8763103.1,-1,9
2025-05-13,462.6,480.0,452.0,453.77,-3.86,33235.0,15303168.7,-1,10
2025-05-11,475.0,502.0,463.6,471.99,-2.03,28202.0,13512953.5,-1,11
2025-05-08,487.0,505.0,480.1,481.76,-2.58,23690.0,11516179.1,-1,12
2025-05-07,496.0,515.1,483.4,494.51,-2.06,24216.0,11909714.2,-1,13
2025-05-06,482.0,510.0,482.0,504.91,2.81,33373.0,16531116.3,1,14
2025-05-05,500.0,501.1,489.0,491.12,-2.9,13099.0,6459648.7,-1,15
2025-05-04,500.0,520.0,496.0,505.81,-0.58,23904.0,12047481.8,-1,16
2025-04-30,484.0,514.0,484.0,508.74,3.11,35349.0,17831486.3,1,17
2025-04-29,505.0,525.0,485.1,493.4,-3.77,27224.0,13593975.8,-1,18
2025-04-28,521.0,521.0,505.0,512.75,-0.16,15226.0,7757654.3,-1,19
2025-04-27,519.0,559.0,505.0,513.55,0.89,26669.0,13697617.7,1,20
2025-04-24,516.0,526.9,507.0,509.04,-1.46,19136.0,9781394.5,-1,21
