published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-06-29,588.00,613.00,588.00,603.07,2.71,142687.00,85913466.80,1,1
2025-06-26,594.0,595.9,586.1,587.17,-0.75,71634.0,42288953.9,-1,1
2025-06-25,590.0,595.0,585.0,591.59,0.12,53944.0,31805556.5,1,1
2025-06-24,595.0,602.0,588.4,590.9,-0.1,78161.0,46485823.6,-1,1
2025-06-23,586.1,594.0,577.0,591.47,1.02,93306.0,54662755.5,1,1
2025-06-22,600.1,606.0,584.3,585.47,-2.76,137534.0,81509344.1,-1,1
2025-06-19,628.0,628.0,600.6,602.08,-2.24,166072.0,101034215.4,-1,1
2025-06-18,624.0,631.9,611.0,615.89,0.06,244635.0,151973872.2,1,1
2025-06-17,625.0,629.8,611.0,615.5,-0.9,117225.0,72258302.3,-1,1
2025-06-16,660.0,660.0,620.0,621.1,-4.04,325965.0,206430521.6,-1,1
2025-06-15,605.3,653.9,605.3,647.22,4.8,789460.0,503804206.8,1,1
2025-06-12,607.6,629.0,607.6,617.56,1.63,450174.0,279916592.7,1,1
2025-06-11,588.1,618.0,581.1,607.66,3.26,222993.0,134129193.8,1,1
2025-06-10,589.0,601.0,585.0,588.49,0.44,224088.0,132815274.9,1,1
2025-06-09,578.0,588.0,575.2,585.92,1.5,54459.0,31783543.6,1,1
2025-06-08,569.0,596.0,569.0,577.28,-0.44,85384.0,49517902.4,-1,1
2025-06-05,565.2,583.8,565.2,579.82,1.19,76426.0,44167466.1,1,1
2025-06-04,566.0,583.0,566.0,572.98,-0.31,50856.0,29113184.5,-1,1
2025-06-03,580.0,583.5,573.1,574.75,-0.87,50986.0,29369155.1,-1,2
2025-06-02,596.8,596.8,579.0,579.79,-0.91,71263.0,41695007.2,-1,1
2025-05-28,590.0,590.0,580.0,585.11,0.65,59713.0,34871107.5,1,1
2025-05-27,580.0,589.9,576.0,581.36,-0.9,68764.0,40107288.7,-1,2
2025-05-26,600.0,612.0,585.0,586.66,-0.71,104404.0,61827259.6,-1,1
2025-05-25,593.0,610.0,589.7,590.86,-2.31,101682.0,60746786.8,-1,2
2025-05-22,590.0,623.0,590.0,604.82,2.59,560957.0,341857833.4,1,3
2025-05-21,585.0,611.9,575.0,589.53,2.56,1001267.0,591099772.3,1,4
2025-05-20,565.0,577.0,561.2,574.82,1.73,37148.0,21122379.9,1,5
2025-05-19,574.7,574.8,560.0,565.02,-0.2,59216.0,33454942.6,-1,6
2025-05-18,570.0,572.9,563.0,566.13,0.52,140043.0,79656883.9,1,7
2025-05-15,570.8,570.8,562.8,563.2,0.07,29324.0,16540955.9,1,8
2025-05-14,567.7,570.0,561.1,562.8,-0.85,45129.0,25529460.9,-1,9
2025-05-13,578.2,580.6,567.0,567.62,-2.2,113068.0,64518710.8,-1,10
2025-05-11,590.0,595.5,578.3,580.38,-0.82,82854.0,48505766.7,-1,11
2025-05-08,585.2,593.0,582.2,585.19,-0.15,65913.0,38751666.6,-1,12
2025-05-07,575.0,599.0,573.0,586.07,2.8,111362.0,65563724.2,1,13
2025-05-06,570.0,581.0,568.5,570.11,0.52,188975.0,108038141.7,1,14
2025-05-05,577.0,581.0,565.0,567.18,-0.46,20968.0,11924239.0,-1,15
2025-05-04,573.0,589.0,565.0,569.8,1.42,69385.0,39588113.4,1,16
2025-04-30,562.0,568.0,552.4,561.84,0.02,43458.0,24371954.1,1,17
2025-04-29,575.9,575.9,560.3,561.73,-0.85,36640.0,20694062.6,-1,18
2025-04-28,581.0,581.0,565.0,566.56,-0.61,41026.0,23404595.1,-1,19
2025-04-27,580.0,581.0,566.2,570.01,-0.09,82655.0,47136858.6,-1,20
2025-04-24,574.1,578.8,566.0,570.53,-0.63,40638.0,23177455.4,-1,21
