published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2023-07-11,227.00,227.00,226.00,226.00,0.00,23140.00,5239640.00,0,1
2023-02-28,356.00,356.00,356.00,356.00,0.00,26400.00,9398400.00,0,2
2022-11-06,519.00,519.00,519.00,519.00,0.00,80000.00,38960000.00,0,3
2022-10-23,535.00,535.00,535.00,535.00,3.08,1000.00,535000.00,1,4
2022-04-20,519.00,519.00,519.00,519.00,0.00,60000.00,31140000.00,0,5
2022-04-19,519.00,519.00,519.00,519.00,-1.89,60000.00,31140000.00,-1,6
2022-04-12,529.00,529.00,529.00,529.00,0.00,4800.00,2539200.00,0,7
2022-01-30,100.00,100.00,100.00,100.00,0.00,283100.00,130176490.00,0,8
2021-11-21,100.00,100.00,100.00,100.00,0.00,83160.00,45020535.20,0,9
2021-07-15,501.00,1002.00,437.00,441.00,0.00,531810.00,234644940.00,0,10
