published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-06-23,267.60,267.60,267.60,267.60,-1.98,61545.00,16469442.00,-1,1
2024-06-09,273.00,273.00,273.00,273.00,0.00,61544.00,16801512.00,0,2
2024-04-09,273.00,273.00,273.00,273.00,0.00,18494.00,5048862.00,0,3
2023-12-06,285.00,285.00,285.00,285.00,0.00,19437.00,5539545.00,0,4
2021-12-22,217.00,217.00,217.00,217.00,0.00,3000.00,825000.00,0,5
2021-10-04,217.00,217.00,217.00,217.00,0.00,5900.00,2030311.00,0,6
2020-12-28,217.00,217.00,217.00,217.00,0.00,1000.00,217000.00,0,7
2019-09-24,100.00,100.00,100.00,100.00,0.00,554.00,55400.00,0,8
2019-08-28,100.00,100.00,100.00,100.00,-7.41,48000.00,4800000.00,-1,9
2018-08-19,108.00,108.00,108.00,108.00,-1.82,4806.00,519048.00,-1,10
2018-04-08,108.00,108.00,108.00,108.00,0.00,11450.00,1236600.00,0,11
2017-10-25,110.00,108.00,108.00,108.00,0.00,1000.00,108000.00,0,12
2017-10-24,110.00,110.00,110.00,110.00,0.00,3000.00,330000.00,0,13
2017-08-27,110.00,110.00,110.00,110.00,0.00,58619.00,6448090.00,0,14
2016-12-12,196.00,193.00,192.00,193.00,0.00,56522.00,10884180.00,0,15
2016-12-11,200.00,196.00,196.00,196.00,0.00,32957.00,6459572.00,0,16
