published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2016-03-13,315.00,315.00,309.00,309.00,0.00,900.00,278700.00,0,1
2016-03-10,300.00,315.00,300.00,315.00,0.00,40590.00,12185200.00,0,2
2016-03-06,280.00,300.00,285.00,300.00,0.00,170.00,50500.00,0,3
2016-03-03,295.00,295.00,280.00,280.00,0.00,15150.00,4246250.00,0,4
2016-03-02,290.00,295.00,295.00,295.00,0.00,50.00,14750.00,0,5
2016-03-01,295.00,295.00,290.00,290.00,0.00,700.00,203500.00,0,6
2016-02-29,312.00,306.00,295.00,295.00,0.00,1100.00,327120.00,0,7
2016-02-28,310.00,312.00,312.00,312.00,0.00,100.00,31200.00,0,8
2016-02-25,284.00,310.00,289.00,310.00,0.00,1000.00,304000.00,0,9
2016-02-24,289.00,285.00,284.00,284.00,0.00,748.00,212962.00,0,10
2016-02-23,294.00,289.00,289.00,289.00,0.00,500.00,144500.00,0,11
2016-02-22,300.00,294.00,294.00,294.00,0.00,500.00,147000.00,0,12
2016-02-18,298.00,300.00,300.00,300.00,0.00,151.00,45300.00,0,13
2016-02-17,304.00,298.00,298.00,298.00,0.00,134.00,39932.00,0,14
2016-02-08,303.00,304.00,300.00,304.00,0.00,2440.00,732960.00,0,15
2016-02-07,300.00,305.00,300.00,303.00,0.00,11527.00,3490345.00,0,16
2016-02-04,306.00,300.00,300.00,300.00,0.00,500.00,150000.00,0,17
2016-02-01,285.00,313.00,290.00,306.00,0.00,4310.00,1311730.00,0,18
2016-01-31,271.00,285.00,276.00,285.00,0.00,110.00,31220.00,0,19
2016-01-28,261.00,271.00,266.00,271.00,0.00,20.00,5370.00,0,20
2015-06-18,300.00,300.00,300.00,300.00,0.00,102.00,30600.00,0,21
2015-06-02,320.00,314.00,300.00,300.00,0.00,12141.00,3642540.00,0,22
2015-05-25,320.00,320.00,320.00,320.00,0.00,3482.00,1114240.00,0,23
2015-04-07,330.00,324.00,320.00,320.00,0.00,1000.00,320800.00,0,24
2015-04-02,336.00,330.00,330.00,330.00,0.00,517.00,170610.00,0,25
2015-03-04,330.00,336.00,336.00,336.00,0.00,10.00,3360.00,0,26
2015-02-12,324.00,330.00,330.00,330.00,0.00,20.00,6600.00,0,27
2015-02-05,318.00,324.00,324.00,324.00,0.00,50.00,16200.00,0,28
2015-01-27,306.00,318.00,312.00,318.00,0.00,30.00,9420.00,0,29
2015-01-26,300.00,306.00,306.00,306.00,0.00,10.00,3060.00,0,30
2014-12-24,295.00,300.00,300.00,300.00,0.00,100.00,30000.00,0,31
2014-12-22,302.00,296.00,291.00,295.00,0.00,3354.00,985899.00,0,32
2014-12-21,308.00,302.00,302.00,302.00,0.00,1177.00,355454.00,0,33
2014-12-09,308.00,308.00,308.00,308.00,0.00,598.00,184184.00,0,34
2014-12-03,308.00,308.00,308.00,308.00,0.00,200.00,61600.00,0,35
2014-12-02,308.00,308.00,308.00,308.00,0.00,200.00,61600.00,0,36
2014-11-12,314.00,308.00,308.00,308.00,0.00,134.00,41272.00,0,37
2014-11-02,320.00,314.00,314.00,314.00,0.00,100.00,31400.00,0,38
2014-10-09,315.00,320.00,320.00,320.00,0.00,100.00,32000.00,0,39
2014-09-29,320.00,315.00,315.00,315.00,0.00,848.00,267120.00,0,40
2014-09-28,322.00,320.00,320.00,320.00,0.00,500.00,160000.00,0,41
2014-09-24,307.00,322.00,312.00,322.00,0.00,1846.00,585720.00,0,42
2014-09-23,318.00,312.00,307.00,307.00,0.00,229.00,71118.00,0,43
2014-09-22,324.00,318.00,318.00,318.00,0.00,38.00,12084.00,0,44
2014-09-21,330.00,324.00,324.00,324.00,0.00,133.00,43092.00,0,45
2014-09-16,328.00,330.00,330.00,330.00,0.00,200.00,66000.00,0,46
2014-09-11,345.00,339.00,328.00,328.00,0.00,800.00,266000.00,0,47
2014-09-10,331.00,349.00,337.00,345.00,0.00,1532.00,522484.00,0,48
2014-09-09,320.00,331.00,320.00,331.00,0.00,414.00,133489.00,0,49
2014-09-03,326.00,320.00,320.00,320.00,0.00,6902.00,2208640.00,0,50
2014-08-31,320.00,326.00,326.00,326.00,0.00,335.00,109210.00,0,51
2014-08-27,317.00,320.00,320.00,320.00,0.00,460.00,147200.00,0,52
2014-08-21,317.00,317.00,317.00,317.00,0.00,38.00,12046.00,0,53
2014-08-19,323.00,317.00,317.00,317.00,0.00,14.00,4438.00,0,54
2014-08-18,334.00,340.00,323.00,323.00,0.00,3125.00,1039084.00,0,55
2014-08-13,340.00,334.00,334.00,334.00,0.00,17.00,5678.00,0,56
2014-08-12,334.00,340.00,328.00,340.00,0.00,3017.00,1006238.00,0,57
2014-08-07,345.00,345.00,334.00,334.00,0.00,1912.00,650643.00,0,58
2014-08-06,351.00,345.00,345.00,345.00,0.00,269.00,92805.00,0,59
2014-08-05,365.00,358.00,351.00,351.00,0.00,768.00,272256.00,0,60
2014-08-03,371.00,365.00,365.00,365.00,0.00,385.00,140525.00,0,61
2014-07-31,392.00,385.00,371.00,371.00,0.00,1547.00,581413.00,0,62
2014-07-30,385.00,392.00,392.00,392.00,0.00,269.00,105448.00,0,63
2014-07-27,400.00,400.00,385.00,385.00,0.00,15776.00,6273876.00,0,64
2014-07-24,410.00,402.00,392.00,400.00,0.00,1839.00,736150.00,0,65
2014-07-23,410.00,410.00,402.00,410.00,0.00,200.00,81200.00,0,66
2014-07-22,395.00,418.00,402.00,410.00,0.00,2467.00,1009454.00,0,67
2014-07-21,394.00,401.00,393.00,395.00,0.00,1062.00,422212.00,0,68
2014-07-20,380.00,394.00,387.00,394.00,0.00,419.00,163289.00,0,69
2014-07-17,366.00,380.00,373.00,380.00,0.00,181.00,67583.00,0,70
2014-07-10,340.00,366.00,346.00,366.00,0.00,3326.00,1165133.00,0,71
2014-07-09,320.00,340.00,314.00,340.00,0.00,4076.00,1312194.00,0,72
2014-07-08,308.00,320.00,314.00,320.00,0.00,1038.00,329392.00,0,73
2014-07-07,297.00,308.00,302.00,308.00,0.00,538.00,164090.00,0,74
2014-07-03,282.00,297.00,287.00,297.00,0.00,1325.00,391635.00,0,75
2014-07-02,262.00,282.00,267.00,282.00,0.00,283.00,77051.00,0,76
2014-07-01,239.00,262.00,243.00,262.00,0.00,677.00,175769.00,0,77
2014-06-26,231.00,239.00,235.00,239.00,0.00,269.00,64251.00,0,78
2014-06-25,219.00,231.00,223.00,231.00,0.00,220.00,50364.00,0,79
2014-06-15,215.00,219.00,219.00,219.00,0.00,20.00,4380.00,0,80
2014-06-10,216.00,215.00,215.00,215.00,0.00,89.00,19135.00,0,81
2014-06-08,224.00,220.00,216.00,216.00,0.00,1063.00,232008.00,0,82
2014-06-05,225.00,224.00,220.00,224.00,0.00,807.00,178885.00,0,83
2014-06-02,217.00,225.00,221.00,225.00,0.00,184.00,40764.00,0,84
2014-05-28,213.00,217.00,217.00,217.00,0.00,346.00,75082.00,0,85
2014-05-26,217.00,213.00,213.00,213.00,0.00,346.00,73698.00,0,86
2014-05-25,217.00,217.00,217.00,217.00,0.00,986.00,213962.00,0,87
2014-05-22,225.00,221.00,217.00,217.00,0.00,5139.00,1132123.00,0,88
2014-05-19,229.00,225.00,225.00,225.00,0.00,307.00,69075.00,0,89
2014-05-07,233.00,229.00,229.00,229.00,0.00,500.00,114500.00,0,90
2014-04-23,237.00,233.00,233.00,233.00,0.00,3750.00,873750.00,0,91
2014-04-13,241.00,237.00,237.00,237.00,0.00,538.00,127506.00,0,92
2014-04-06,245.00,241.00,241.00,241.00,0.00,3451.00,831691.00,0,93
2014-03-05,260.00,255.00,245.00,245.00,0.00,1298.00,328990.00,0,94
2014-02-24,265.00,260.00,260.00,260.00,0.00,200.00,52000.00,0,95
2014-02-12,270.00,265.00,265.00,265.00,0.00,100.00,26500.00,0,96
2014-02-10,270.00,275.00,270.00,270.00,0.00,916.00,247900.00,0,97
2014-02-09,260.00,270.00,265.00,270.00,0.00,2425.00,654555.00,0,98
2014-02-06,238.00,260.00,242.00,260.00,0.00,716.00,174942.00,0,99
2014-02-04,206.00,218.00,210.00,218.00,0.00,30.00,6420.00,0,100
2014-02-03,209.00,206.00,206.00,206.00,0.00,89.00,18334.00,0,101
2014-02-02,205.00,209.00,205.00,209.00,0.00,3250.00,666290.00,0,102
2014-01-29,198.00,209.00,201.00,205.00,0.00,1058.00,219002.00,0,103
2014-01-28,192.00,198.00,195.00,198.00,0.00,20.00,3930.00,0,104
2014-01-27,186.00,192.00,189.00,192.00,0.00,20.00,3810.00,0,105
2014-01-26,183.00,186.00,186.00,186.00,0.00,10.00,1860.00,0,106
2014-01-23,180.00,183.00,183.00,183.00,0.00,10.00,1830.00,0,107
2014-01-14,168.00,180.00,171.00,180.00,0.00,1321.00,230583.00,0,108
2014-01-13,165.00,168.00,168.00,168.00,0.00,335.00,56280.00,0,109
2014-01-07,162.00,165.00,165.00,165.00,0.00,28.00,4620.00,0,110
2014-01-05,163.00,166.00,162.00,162.00,0.00,795.00,129267.00,0,111
2013-09-08,166.00,163.00,163.00,163.00,0.00,346.00,56398.00,0,112
2013-09-02,166.00,166.00,166.00,166.00,0.00,1897.00,314902.00,0,113
2013-06-30,163.00,166.00,166.00,166.00,0.00,804.00,133464.00,0,114
2013-06-27,160.00,163.00,163.00,163.00,0.00,192.00,31296.00,0,115
2013-06-25,160.00,163.00,160.00,160.00,0.00,28473.00,4556691.00,0,116
2013-05-22,160.00,163.00,160.00,160.00,0.00,2417.00,393458.00,0,117
2013-05-21,168.00,171.00,160.00,160.00,0.00,10722.00,1829564.00,0,118
2013-05-20,165.00,168.00,168.00,168.00,0.00,200.00,33600.00,0,119
2013-05-05,162.00,165.00,165.00,165.00,0.00,804.00,132660.00,0,120
2013-04-04,165.00,162.00,162.00,162.00,0.00,10000.00,1620000.00,0,121
2013-04-03,164.00,165.00,165.00,165.00,0.00,431.00,71115.00,0,122
2013-03-24,161.00,164.00,164.00,164.00,0.00,200.00,32800.00,0,123
2013-03-13,161.00,161.00,161.00,161.00,0.00,596.00,95956.00,0,124
2012-12-06,161.00,161.00,161.00,161.00,0.00,50.00,8050.00,0,125
2012-09-04,164.00,161.00,161.00,161.00,0.00,300.00,48300.00,0,126
2012-06-04,164.00,164.00,164.00,164.00,0.00,1142.00,187288.00,0,127
2012-05-31,161.00,164.00,164.00,164.00,0.00,923.00,151372.00,0,128
2012-05-09,164.00,161.00,161.00,161.00,0.00,538.00,86618.00,0,129
2012-03-27,170.00,167.00,164.00,164.00,0.00,5442.00,900651.00,0,130
2012-03-04,176.00,173.00,170.00,170.00,0.00,154.00,26411.00,0,131
2012-01-23,179.00,176.00,176.00,176.00,0.00,224.00,39424.00,0,132
2012-01-05,179.00,179.00,179.00,179.00,0.00,403.00,72137.00,0,133
2011-12-27,173.00,179.00,176.00,179.00,0.00,196.00,34784.00,0,134
2011-12-21,176.00,173.00,173.00,173.00,0.00,192.00,33216.00,0,135
2011-12-20,179.00,176.00,176.00,176.00,0.00,320.00,56320.00,0,136
2011-10-12,178.00,179.00,179.00,179.00,0.00,924.00,165396.00,0,137
2011-08-15,181.00,181.00,178.00,178.00,0.00,999.00,180342.00,0,138
2011-08-10,180.00,181.00,181.00,181.00,0.00,20.00,3620.00,0,139
2011-06-13,179.00,179.00,179.00,179.00,0.00,26.00,4654.00,0,140
2011-05-31,182.00,179.00,179.00,179.00,0.00,120.00,21480.00,0,141
2011-05-25,188.00,185.00,182.00,182.00,0.00,53.00,9682.00,0,142
2011-05-24,188.00,188.00,188.00,188.00,0.00,314.00,59032.00,0,143
2011-05-19,191.00,188.00,188.00,188.00,0.00,60.00,11280.00,0,144
2011-03-25,201.00,197.00,191.00,191.00,0.00,307.00,59675.00,0,145
