published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-12-09,1080.00,1080.00,1080.00,1080.00,0.00,25.00,27000.00,0,1
2024-12-02,1080.00,1080.00,1080.00,1080.00,-0.55,25.00,27000.00,-1,2
2024-12-01,1086.00,1086.00,1086.00,1086.00,1.91,80.00,86880.00,1,3
2024-11-28,1065.60,1065.60,1065.60,1065.60,-0.78,25.00,26640.00,-1,4
2024-11-27,1074.00,1074.00,1074.00,1074.00,-1.10,50.00,53700.00,-1,5
2024-11-25,1065.00,1086.00,1065.00,1086.00,1.88,35.00,37485.00,1,6
2024-11-24,1064.00,1067.00,1064.00,1066.00,-0.47,250.00,266500.00,-1,7
2024-11-21,1071.00,1071.00,1071.00,1071.00,-0.83,25.00,26775.00,-1,8
2024-11-20,1098.00,1100.00,1080.00,1080.00,-1.82,180.00,196940.00,-1,9
2024-11-14,1100.00,1100.00,1100.00,1100.00,0.18,6680.00,7348000.00,1,10
2024-11-10,1098.00,1098.00,1098.00,1098.00,0.27,50.00,54900.00,1,11
2024-11-06,1083.70,1095.00,1083.70,1095.00,1.86,135.00,146832.50,1,12
2024-11-05,1075.00,1075.00,1075.00,1075.00,0.00,20.00,21500.00,0,13
2024-10-30,1075.00,1075.00,1075.00,1075.00,0.00,15.00,16125.00,0,14
2024-10-29,1075.00,1075.00,1075.00,1075.00,0.00,100.00,107500.00,0,15
2024-10-28,1070.70,1075.00,1070.70,1075.00,0.40,50.00,53642.50,1,16
2024-10-24,1047.00,1070.70,1047.00,1070.70,1.97,205.00,218097.50,1,17
2024-10-23,1050.00,1050.00,1045.00,1050.00,-1.87,150.00,157375.00,-1,18
2024-10-16,1070.00,1070.00,1070.00,1070.00,0.94,60.00,64200.00,1,19
2024-10-01,1060.00,1060.00,1060.00,1060.00,0.89,20.00,21200.00,1,20
2024-09-23,1031.10,1050.60,1030.00,1050.60,0.83,180.00,187073.00,1,21
2024-09-22,1042.00,1042.00,1042.00,1042.00,0.19,25.00,26050.00,1,22
2024-09-18,1032.00,1040.00,1032.00,1040.00,0.76,100.00,103600.00,1,23
2024-09-15,1040.00,1040.00,1032.20,1032.20,-0.27,155.00,160201.00,-1,24
2024-09-12,1030.50,1035.00,1030.50,1035.00,0.43,95.00,97987.50,1,25
2024-09-11,1030.60,1030.60,1030.60,1030.60,0.06,25.00,25765.00,1,26
2024-09-10,1030.00,1030.00,1030.00,1030.00,-1.89,10.00,10300.00,-1,27
2024-09-09,1043.00,1049.80,1043.00,1049.80,2.56,6700.00,7033524.00,1,28
2024-09-08,1040.00,1040.00,1023.60,1023.60,0.10,125.00,128460.00,1,29
2024-09-05,1022.60,1022.60,1022.60,1022.60,0.65,25.00,25565.00,1,30
2024-09-04,1022.30,1026.00,1016.00,1016.00,-2.50,230.00,235065.50,-1,31
2024-09-03,1042.00,1042.00,1042.00,1042.00,-1.98,200.00,208400.00,-1,32
2024-08-25,1063.00,1063.00,1050.00,1063.00,0.00,3530.00,3751182.50,0,33
2024-08-21,1020.00,1063.00,1020.00,1063.00,4.63,3195.00,3375985.00,1,34
2024-08-18,1016.10,1016.10,1016.00,1016.00,-0.39,80.00,81282.50,-1,35
2024-08-15,1020.00,1020.00,1020.00,1020.00,0.49,30.00,30600.00,1,36
2024-08-14,1015.00,1015.00,1015.00,1015.00,-1.93,50.00,50750.00,-1,37
2024-08-13,1020.00,1035.00,1015.00,1035.00,3.44,2870.00,2969170.00,1,38
2024-08-12,1003.00,1003.50,1000.60,1000.60,-0.68,325.00,325752.50,-1,39
2024-08-11,1007.50,1007.50,1007.50,1007.50,-1.99,25.00,25187.50,-1,40
2024-08-08,1005.00,1028.00,1005.00,1028.00,0.78,200.00,203242.50,1,41
2024-08-07,1003.00,1020.00,1003.00,1020.00,0.49,75.00,75950.00,1,42
2024-08-06,1005.50,1015.00,1005.00,1015.00,0.94,425.00,428737.50,1,43
2024-08-05,1005.00,1006.00,1005.00,1005.50,-0.45,300.00,301700.00,-1,44
2024-08-01,1010.00,1010.00,1010.00,1010.00,0.00,25.00,25200.50,0,45
2024-07-31,1010.00,1010.00,1010.00,1010.00,0.00,35.00,35350.00,0,46
2024-07-30,1005.00,1010.00,1005.00,1010.00,-1.46,58.00,58415.00,-1,47
2024-07-28,1022.00,1025.00,1022.00,1025.00,0.29,164.00,167773.00,1,48
2024-07-25,1022.00,1023.00,1002.60,1022.00,1.69,305.00,311050.00,1,49
2024-07-23,1010.00,1010.00,1005.00,1005.00,0.00,400.00,402750.00,0,50
2024-07-21,1004.90,1005.00,1004.90,1005.00,1.41,250.00,251245.00,1,51
2024-07-18,991.00,991.00,991.00,991.00,0.00,100.00,99100.00,0,52
2024-07-16,1018.10,1018.10,991.00,991.00,-4.70,529.00,531783.60,-1,53
2024-07-14,1038.80,1038.80,1038.80,1038.80,1.99,50.00,51940.00,1,54
2024-07-11,1020.10,1022.10,1018.50,1018.50,-0.63,450.00,459280.00,-1,55
2024-07-10,1015.00,1025.00,1015.00,1025.00,0.99,250.00,255425.00,1,56
2024-07-09,1015.00,1015.00,1015.00,1015.00,-0.49,29.00,29435.00,-1,57
2024-07-08,1020.00,1020.00,1020.00,1020.00,-1.07,51.00,52020.00,-1,58
2024-07-01,1031.00,1031.00,1031.00,1031.00,1.08,78.00,80398.10,1,59
2024-06-30,1020.00,1020.00,1020.00,1020.00,1.37,25.00,25500.00,1,60
2024-06-23,1006.20,1006.20,1006.20,1006.20,-0.38,25.00,25155.00,-1,61
2024-06-18,1010.00,1010.00,1010.00,1010.00,0.65,25.00,25250.00,1,62
2024-06-13,1003.50,1003.50,1003.50,1003.50,-0.20,25.00,25087.50,-1,63
2024-06-11,1004.10,1007.00,1002.70,1005.50,0.35,152.00,152793.80,1,64
2024-06-06,1015.00,1015.00,1015.00,1015.00,0.00,5.00,5010.00,0,65
2024-06-05,1015.00,1019.00,1015.00,1015.00,-0.49,100.00,101700.00,-1,66
2024-06-02,1020.00,1020.00,1020.00,1020.00,0.00,25.00,25500.00,0,67
2024-05-20,1005.00,1020.00,1005.00,1020.00,0.39,105.00,106376.00,1,68
2024-05-16,1016.00,1016.00,1016.00,1016.00,0.10,50.00,50800.00,1,69
2024-05-14,1031.00,1033.00,1015.00,1015.00,0.22,85.00,87335.00,1,70
2024-05-13,1012.80,1012.80,1012.80,1012.80,1.99,10.00,10128.00,1,71
2024-05-08,1003.00,1003.00,993.00,993.00,-1.68,100.00,99745.00,-1,72
2024-05-06,1011.00,1011.00,1010.00,1010.00,-0.98,70.00,70725.00,-1,73
2024-05-05,1015.00,1020.00,1011.00,1020.00,0.20,299.00,303450.90,1,74
2024-05-02,1020.10,1020.10,1018.00,1018.00,-0.96,70.00,71381.00,-1,75
2024-04-29,1010.10,1027.90,1010.10,1027.90,1.17,55.00,56356.50,1,76
2024-04-25,1016.00,1016.00,1016.00,1016.00,0.09,27.00,27432.00,1,77
2024-04-22,1005.00,1035.00,1005.00,1015.10,-0.97,580.00,589767.50,-1,78
2024-04-21,1000.00,1025.00,1000.00,1025.00,2.71,440.00,445077.50,1,79
2024-04-18,997.00,998.00,997.00,998.00,-0.31,225.00,224425.00,-1,80
