published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-06-19,428.3,434.9,426.5,429.58,-1.25,14561.0,6249815.3,-1,1
2025-06-18,436.0,445.0,434.2,435.01,-1.68,11498.0,5011541.7,-1,1
2025-06-17,450.0,450.0,436.0,442.46,-0.35,8842.0,3873713.1,-1,1
2025-06-16,437.5,459.0,437.5,444.0,0.13,17058.0,7583219.8,1,1
2025-06-15,455.0,459.8,442.3,443.44,-1.93,7790.0,3477197.8,-1,1
2025-06-12,443.0,469.3,443.0,452.16,0.23,13159.0,5915784.0,1,1
2025-06-11,457.9,457.9,440.0,451.11,0.22,13913.0,6203638.8,1,1
2025-06-10,458.0,458.9,446.0,450.13,-0.18,15160.0,6860587.2,-1,1
2025-06-09,423.0,460.0,423.0,450.95,4.93,15672.0,6978568.4,1,1
2025-06-08,436.0,438.0,428.0,429.75,-1.26,7914.0,3408010.3,-1,1
2025-06-05,433.1,445.0,432.0,435.22,-1.32,10344.0,4510689.5,-1,1
2025-06-04,458.8,458.8,435.0,441.04,-2.21,11423.0,5042926.0,-1,1
2025-06-03,461.0,467.9,447.0,451.0,-0.23,5077.0,2288586.8,-1,2
2025-06-02,463.3,465.0,451.9,452.03,-0.49,8842.0,4048381.3,-1,1
2025-05-28,452.1,469.2,452.0,454.24,-1.53,10371.0,4717349.8,-1,1
2025-05-27,456.7,465.1,456.7,461.31,-0.99,7258.0,3354251.4,-1,2
2025-05-26,477.0,486.0,465.0,465.93,-0.46,12122.0,5687426.5,-1,1
2025-05-25,480.0,480.0,465.1,468.1,-1.89,6885.0,3243442.3,-1,2
2025-05-22,495.0,495.0,475.0,477.14,-3.61,15073.0,7234852.5,-1,3
2025-05-21,510.0,519.9,490.0,495.0,-1.19,11079.0,5554295.0,-1,4
2025-05-20,494.0,505.0,475.0,500.96,3.43,9859.0,4810712.2,1,5
2025-05-19,475.0,491.9,475.0,484.33,2.05,4712.0,2263104.5,1,6
2025-05-18,470.0,479.9,467.7,474.62,-0.22,12093.0,5749609.0,-1,7
2025-05-15,480.0,485.0,470.0,475.66,-1.21,11192.0,5323182.2,-1,8
2025-05-14,488.0,497.7,480.0,481.49,-1.4,9951.0,4810453.5,-1,9
2025-05-13,509.0,509.0,486.1,488.33,-2.2,9571.0,4710186.3,-1,10
2025-05-11,507.2,520.0,498.0,499.29,-3.0,8667.0,4370408.8,-1,11
2025-05-08,528.5,528.5,510.0,514.75,-0.67,18619.0,9577556.3,-1,12
2025-05-07,515.9,521.0,505.0,518.23,2.45,11200.0,5729761.5,1,13
2025-05-06,500.5,530.0,490.0,505.85,3.09,13658.0,6894598.6,1,14
2025-05-05,488.1,496.0,485.0,490.69,0.87,12432.0,6101450.6,1,15
2025-05-04,491.0,500.0,485.2,486.44,-1.74,17803.0,8792607.6,-1,16
2025-04-30,507.0,507.0,490.0,495.06,-0.41,9495.0,4701494.7,-1,17
2025-04-29,497.0,503.0,494.3,497.12,0.09,5429.0,2704446.4,1,18
2025-04-28,502.1,511.0,495.0,496.69,-1.15,15012.0,7520832.5,-1,19
2025-04-27,512.4,521.8,500.0,502.46,-1.95,9868.0,5050280.2,-1,20
2025-04-24,507.3,516.0,507.3,512.46,-0.8,6788.0,3477277.0,-1,21
2025-04-23,523.4,533.0,515.1,516.57,-3.25,16668.0,8661000.1,-1,22
2025-04-22,534.0,543.9,532.4,533.9,-0.02,12819.0,6875543.2,-1,23
2025-04-21,518.1,540.0,517.0,533.99,1.95,53138.0,27918679.4,1,24
2025-04-20,537.1,542.0,520.0,523.76,-2.51,18774.0,9884981.0,-1,25
2025-04-17,514.0,540.0,513.1,537.25,4.55,48801.0,25703817.0,1,26
2025-04-16,513.0,518.0,503.0,513.87,0.75,36791.0,18775441.9,1,27
2025-04-15,505.0,514.0,495.0,510.04,2.98,18760.0,9557827.0,1,28
2025-04-13,515.5,516.0,495.0,495.28,-2.17,15165.0,7574241.8,-1,29
2025-04-10,500.0,511.9,500.0,506.25,1.25,11892.0,6002567.4,1,30
2025-04-09,495.0,511.6,494.1,500.01,1.1,10658.0,5344817.6,1,31
2025-04-08,505.0,505.0,486.0,494.57,-1.1,13737.0,6754795.3,-1,32
2025-04-07,520.0,520.0,498.0,500.06,-3.27,13588.0,6849712.7,-1,33
2025-04-03,508.2,523.0,508.2,516.96,0.3,46907.0,24227816.7,1,34
2025-04-02,510.0,524.0,509.0,515.42,0.17,14867.0,7678707.5,1,35
2025-04-01,535.0,535.0,510.0,514.56,-2.69,18268.0,9389025.7,-1,36
2025-03-30,516.0,543.0,509.0,528.81,2.59,20866.0,10953997.1,1,37
2025-03-27,512.0,524.0,507.0,515.47,0.7,20115.0,10352341.3,1,38
2025-03-26,497.0,518.0,496.0,511.88,2.67,14845.0,7528012.0,1,39
2025-03-25,511.3,527.0,495.3,498.55,-4.44,14280.0,7209917.0,-1,40
2025-03-24,511.1,546.0,511.1,521.7,0.43,9006.0,4717472.2,1,41
2025-03-23,531.6,550.0,518.0,519.47,-4.21,16822.0,8839768.2,-1,42
2025-03-20,550.0,553.0,535.0,542.32,-2.25,15685.0,8528467.2,-1,43
2025-03-19,551.2,558.0,544.0,554.8,0.51,12695.0,7003971.4,1,44
2025-03-18,550.0,564.0,548.0,552.0,-0.9,10444.0,5797368.7,-1,45
2025-03-17,554.0,569.0,552.3,557.0,0.18,13730.0,7668120.0,1,46
2025-03-16,573.2,573.2,550.0,556.0,-1.07,18107.0,10138326.9,-1,47
2025-03-12,550.0,575.0,550.0,562.0,1.63,20859.0,11679483.0,1,48
2025-03-11,565.0,583.0,553.0,553.0,-3.83,29206.0,16492198.4,-1,49
2025-03-10,599.0,600.0,570.0,575.0,-2.87,37346.0,21791622.2,-1,50
2024-12-12,536.2,592.0,536.2,574.3,5.38,245684.0,141520630.0,1,1
