published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-05-26,631.00,631.00,615.00,615.98,-0.55,2429.00,1500265.00,-1,1
2025-05-25,630.00,630.00,612.00,619.40,-0.01,1643.00,1014497.80,-1,2
2025-05-22,614.00,658.90,605.60,619.48,0.78,6735.00,4250440.40,1,3
2025-05-21,632.70,658.20,613.00,614.66,-0.92,10910.00,6809102.00,-1,4
2025-05-20,619.00,623.00,608.00,620.38,0.61,5272.00,3264462.30,1,5
2025-05-19,588.00,620.00,580.10,616.59,4.84,4391.00,2647754.40,1,6
2025-05-18,600.00,600.00,585.00,588.11,-1.83,5670.00,3345608.10,-1,7
2025-05-15,599.00,610.00,593.10,599.06,-0.68,3320.00,1987675.30,-1,8
2025-05-14,610.00,615.00,600.00,603.18,-1.92,6770.00,4125128.00,-1,9
2025-05-13,609.00,615.50,603.00,615.00,-0.81,8407.00,5132362.90,-1,10
2025-05-11,620.00,623.90,610.00,620.02,0.02,3447.00,2125329.50,1,11
2025-05-08,621.00,646.90,601.10,619.92,-0.13,7125.00,4400950.70,-1,12
2025-05-07,606.00,622.00,595.70,620.71,0.90,4932.00,2986108.00,1,13
2025-05-06,624.00,624.00,590.00,615.17,0.51,9382.00,5670411.20,1,14
2025-05-05,620.00,624.90,600.70,612.07,-1.08,7459.00,4547241.00,-1,15
2025-05-04,645.00,650.00,617.40,618.73,-2.66,4486.00,2792163.80,-1,16
2025-04-30,640.00,649.00,634.00,635.67,-0.68,3913.00,2505799.00,-1,17
2025-04-29,631.10,652.00,631.10,640.00,-0.21,4270.00,2742381.40,-1,18
2025-04-28,683.70,697.00,629.20,641.32,-4.33,8135.00,5284924.10,-1,19
2025-04-27,670.00,704.60,639.00,670.33,-1.10,13309.00,8744493.90,-1,20
2025-04-24,676.10,690.00,676.10,677.80,-1.42,2543.00,1731366.50,-1,21
2025-04-23,690.00,699.00,685.30,687.55,-1.65,2293.00,1581470.60,-1,22
