published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-05-26,261.60,266.80,256.00,259.73,1.26,12950.00,3354928.70,1,1
2025-05-25,260.50,262.00,255.00,256.51,-1.13,18432.00,4768365.40,-1,2
2025-05-22,266.00,267.00,258.00,259.43,-0.53,12929.00,3371220.50,-1,3
2025-05-21,269.30,272.00,258.00,260.82,-1.23,23020.00,6057137.70,-1,4
2025-05-20,259.70,264.80,254.70,264.07,2.62,26420.00,6887979.20,1,5
2025-05-19,260.00,263.10,254.00,257.32,-0.37,20550.00,5283321.60,-1,6
2025-05-18,262.00,266.00,256.70,258.27,-1.33,14839.00,3828995.50,-1,7
2025-05-15,260.10,265.00,260.00,261.76,-0.74,23138.00,6045957.90,-1,8
2025-05-14,269.00,269.00,261.10,263.71,-1.60,16471.00,4348559.10,-1,9
2025-05-13,270.10,270.10,265.00,268.00,-1.99,23056.00,6168963.30,-1,10
2025-05-11,273.10,287.50,273.00,273.45,-1.59,23023.00,6398391.10,-1,11
2025-05-08,273.00,285.00,270.00,277.87,1.78,61606.00,17175010.70,1,12
2025-05-07,269.00,275.00,265.10,273.02,3.17,19310.00,5245999.60,1,13
2025-05-06,259.80,269.90,259.80,264.64,-0.12,20498.00,5449253.50,-1,14
2025-05-05,264.80,272.40,264.00,264.95,-1.94,17726.00,4717183.90,-1,15
2025-05-04,268.10,274.00,266.60,270.20,1.08,14787.00,4001608.10,1,16
2025-04-30,263.00,275.00,263.00,267.30,0.25,22330.00,6008490.70,1,17
2025-04-29,270.00,270.30,264.00,266.64,-1.06,23689.00,6301219.60,-1,18
2025-04-28,266.70,287.00,266.70,269.51,-0.94,21978.00,6032057.00,-1,19
2025-04-27,265.60,279.00,265.60,272.08,0.59,40825.00,11236332.90,1,20
2025-04-24,275.00,275.00,267.20,270.48,-1.74,17113.00,4637150.00,-1,21
2025-04-23,266.40,280.50,265.10,275.27,1.40,21062.00,5737396.90,1,22
2025-04-22,277.00,279.90,270.10,271.48,-0.22,12727.00,3490971.70,-1,23
2025-04-21,266.00,280.00,266.00,272.07,0.91,37391.00,10256736.10,1,24
2025-04-20,277.80,278.90,268.00,269.61,-2.97,9959.00,2720298.00,-1,25
2025-04-17,265.70,282.80,265.70,277.86,2.51,45874.00,12743604.80,1,26
2025-04-16,268.00,273.30,260.00,271.06,0.90,24301.00,6519182.20,1,27
2025-04-15,262.90,270.00,253.50,268.63,4.06,15502.00,4134247.80,1,28
2025-04-13,253.50,260.80,253.50,258.16,0.93,10228.00,2634469.40,1,29
2025-04-10,261.00,262.00,253.60,255.77,-0.19,27830.00,7150950.70,-1,30
2025-04-09,260.00,264.90,255.00,256.25,0.33,18150.00,4675388.20,1,31
2025-04-08,263.10,263.10,251.70,255.40,-1.44,15320.00,3904089.90,-1,32
2025-04-07,267.60,272.80,258.00,259.12,-1.24,4592.00,1197367.40,-1,33
2025-04-03,265.00,271.80,261.10,262.38,-1.48,29656.00,7899442.90,-1,34
2025-04-02,267.00,271.70,262.00,266.32,0.95,11653.00,3091192.20,1,35
2025-04-01,274.90,274.90,261.00,263.81,-2.78,17883.00,4727494.10,-1,36
2025-03-30,261.00,275.00,261.00,271.34,2.13,32591.00,8809831.20,1,37
2025-03-27,270.00,274.70,262.80,265.67,0.14,14065.00,3756228.50,1,38
2025-03-26,251.00,267.00,250.40,265.29,5.85,19289.00,5022904.90,1,39
2025-03-25,259.10,261.00,250.00,250.62,-5.09,26460.00,6716287.00,-1,40
2025-03-24,258.00,265.20,255.30,264.07,1.77,12502.00,3276340.70,1,41
2025-03-23,271.30,271.40,258.00,259.49,-2.50,19034.00,4990374.00,-1,42
2025-03-20,275.10,275.10,265.00,266.14,-1.39,14786.00,3936638.20,-1,43
2025-03-19,275.00,275.00,266.00,269.90,-1.50,12853.00,3454707.00,-1,44
2025-03-18,272.30,274.70,264.00,274.00,2.62,15795.00,4265393.20,1,45
2025-03-17,269.90,273.00,265.00,267.00,0.68,27913.00,7478779.50,1,46
2025-03-16,284.00,284.00,263.80,265.20,-4.88,50890.00,13671588.50,-1,47
2025-03-12,282.00,282.00,269.20,278.80,-0.32,27211.00,7421780.80,-1,48
2025-03-11,280.00,283.90,274.00,279.70,-0.11,40304.00,11155497.90,-1,49
2025-03-10,290.00,296.00,275.50,280.00,-2.10,36477.00,10294542.30,-1,50
2024-12-12,287.6,287.6,274.6,274.6,-2.62,17867.0,4964754.8,-1,1
2024-12-11,283.5,284.0,272.5,282.0,1.44,10464.0,2939102.4,1,1
2024-12-10,287.6,287.6,272.6,278.0,-1.42,17790.0,4925786.0,-1,1
2024-12-09,276.0,284.0,275.0,282.0,2.17,21293.0,5909917.6,1,2
2024-12-08,287.0,295.6,276.0,276.0,-2.06,21229.0,5946666.8,-1,3
2024-12-05,286.0,292.0,281.0,281.8,-3.23,24627.0,7047697.6,-1,4
2024-12-04,300.0,304.8,291.2,291.2,-1.62,53311.0,15950757.7,-1,5
2024-12-03,294.7,300.5,290.4,296.0,2.42,75125.0,22359599.0,1,6
2024-12-02,288.6,298.0,280.1,289.0,1.4,42798.0,12441652.1,1,7
2024-12-01,284.0,285.0,273.0,285.0,-1.04,40350.0,11245689.6,-1,8
2024-11-28,294.0,297.0,284.0,288.0,-2.04,21035.0,6096862.6,-1,9
2024-11-27,280.5,299.0,275.0,294.0,6.91,96867.0,28396241.1,1,10
2024-11-26,278.7,279.0,270.0,275.0,0.55,23110.0,6312701.7,1,11
2024-11-25,275.4,275.4,254.8,273.5,1.3,8909.0,2400932.7,1,12
2024-11-24,268.6,279.4,267.1,270.0,-1.46,17323.0,4675866.0,-1,13
2024-11-21,288.3,288.3,267.0,274.0,-3.18,36303.0,9893329.2,-1,14
2024-11-20,284.4,290.0,271.0,283.0,1.47,25489.0,7107164.8,1,15
2024-11-19,290.0,294.8,272.9,278.9,-5.14,29972.0,8432807.0,-1,16
2024-11-17,306.0,306.0,289.1,294.0,-2.0,43417.0,12858063.1,-1,17
2024-11-14,291.0,301.9,291.0,300.0,1.35,58674.0,17452330.4,1,18
2024-11-13,283.4,303.0,283.4,296.0,3.5,37966.0,11104539.6,1,19
2024-11-12,291.7,291.7,278.0,286.0,0.0,19473.0,5528630.6,0,20
2024-11-11,294.0,297.0,283.3,286.0,-2.39,26954.0,7790831.6,-1,21
2024-11-10,271.0,296.0,271.0,293.0,8.88,41062.0,11735685.8,1,22
2024-11-06,264.4,269.1,262.9,269.1,-0.22,9555.0,2543064.5,-1,23
2024-11-05,268.6,270.0,260.0,269.7,-1.57,16424.0,4348990.2,-1,24
2024-10-30,275.0,276.0,270.0,274.0,1.48,11743.0,3201604.5,1,25
2024-10-29,269.0,277.0,269.0,270.0,2.27,28739.0,7807179.6,1,26
2024-10-28,268.0,268.0,262.0,264.0,0.38,10112.0,2671153.0,1,27
2024-10-27,259.0,266.2,258.6,263.0,0.0,4710.0,1232676.0,0,28
2024-10-24,260.2,265.4,260.0,263.0,-0.94,6613.0,1727659.5,-1,29
2024-10-23,271.3,276.7,262.0,265.5,-0.19,5342.0,1415349.0,-1,30
2024-10-22,257.0,275.0,257.0,266.0,1.92,5509.0,1457053.4,1,31
2024-10-21,260.2,270.0,258.5,261.0,-1.44,13070.0,3411898.7,-1,32
2024-10-20,273.0,274.9,261.0,264.8,-3.74,14031.0,3765312.4,-1,33
2024-10-17,287.5,287.6,275.0,275.1,-2.45,10156.0,2874867.1,-1,34
2024-10-16,281.0,286.9,276.9,282.0,1.81,6282.0,1769474.1,1,35
2024-10-15,273.0,278.0,269.0,277.0,1.47,9401.0,2580937.3,1,36
2024-10-09,265.0,275.0,265.0,273.0,1.11,2265.0,616232.5,1,37
2024-10-08,270.1,280.4,253.0,270.0,-1.82,8019.0,2157181.4,-1,38
2024-10-07,272.0,289.0,268.0,275.0,3.0,21824.0,6059530.2,1,39
