published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-09-08,1506.0,1540.2,1491.0,1497.0,-2.22,9452.0,14301058.5,-1,1
2025-09-07,1540.0,1570.8,1530.0,1530.96,-2.31,6828.0,10552539.0,-1,1
2025-09-04,1590.0,1590.3,1555.0,1567.19,-1.88,6270.0,9848433.4,-1,1
2025-09-03,1595.2,1620.0,1590.0,1597.21,-1.06,4344.0,6938606.4,-1,1
2025-09-02,1608.4,1636.7,1595.0,1614.34,0.09,3690.0,5933352.2,1,1
2025-09-01,1620.0,1620.0,1596.6,1612.95,-0.46,11023.0,17664471.3,-1,1
2025-08-31,1636.0,1640.1,1618.0,1620.34,-1.81,11861.0,19284372.9,-1,1
2025-08-28,1650.0,1671.0,1630.0,1650.18,-0.49,13186.0,21729599.2,-1,1
2025-08-27,1620.0,1660.0,1615.2,1658.23,2.37,9619.0,15803772.8,1,1
2025-08-26,1618.0,1644.0,1600.0,1619.84,-0.16,15918.0,25676702.0,-1,1
2025-08-25,1615.0,1638.0,1612.0,1622.5,0.18,4927.0,8005926.7,1,1
2025-08-24,1612.9,1670.0,1612.9,1619.64,0.81,8500.0,13822629.2,1,1
2025-08-21,1605.0,1639.0,1602.2,1606.69,-0.73,4828.0,7791686.7,-1,1
2025-08-20,1620.0,1649.0,1615.3,1618.51,-0.58,8478.0,13761451.8,-1,1
2025-08-19,1602.0,1655.9,1602.0,1627.91,0.08,3164.0,5158263.2,1,1
2025-08-18,1620.0,1640.0,1599.0,1626.58,0.21,10474.0,16930970.2,1,1
2025-08-17,1641.0,1665.1,1620.5,1623.19,-2.5,11050.0,18154053.6,-1,1
2025-08-14,1664.9,1698.3,1644.0,1664.78,0.7,12795.0,21384354.7,1,1
2025-08-13,1645.1,1700.0,1640.0,1653.28,2.43,19401.0,32516882.3,1,1
2025-08-12,1639.0,1647.1,1613.0,1613.99,-2.5,9147.0,14904197.9,-1,1
2025-08-11,1672.0,1708.0,1650.0,1655.29,-2.2,16422.0,27480064.8,-1,1
2025-08-07,1709.0,1714.0,1675.0,1692.56,0.68,8542.0,14490545.8,1,1
2025-08-06,1638.3,1730.0,1638.3,1681.09,0.56,17408.0,29588057.7,1,1
2025-08-05,1702.0,1720.0,1660.0,1671.66,-2.83,14609.0,24688066.0,-1,1
2025-08-04,1700.0,1750.0,1685.0,1720.41,0.74,20390.0,35031371.7,1,1
2025-08-03,1839.4,1839.4,1702.0,1707.81,-5.3,30515.0,53218340.3,-1,1
2025-07-31,1811.0,1845.0,1785.0,1803.36,-0.43,34232.0,62113792.6,-1,1
2025-07-30,1826.3,1900.0,1755.0,1811.13,1.15,58330.0,106491644.5,1,1
2025-07-29,1660.0,1790.5,1660.0,1790.5,10.0,37263.0,64798354.9,1,1
2025-07-28,1581.0,1640.0,1565.4,1589.69,-0.05,15139.0,24066306.2,-1,1
2025-07-27,1620.0,1670.0,1581.0,1590.51,-2.7,15376.0,24875697.9,-1,1
2025-07-24,1626.1,1667.0,1626.1,1634.57,-1.38,4554.0,7493422.6,-1,1
2025-07-23,1656.0,1670.0,1617.0,1657.51,0.08,10861.0,17855784.6,1,1
2025-07-22,1555.0,1667.0,1535.1,1656.24,8.02,21893.0,35383031.0,1,1
2025-07-21,1530.0,1565.0,1530.0,1533.3,-1.11,8662.0,13348574.2,-1,1
2025-07-20,1542.5,1575.0,1530.0,1550.46,0.65,16673.0,25932938.0,1,1
2025-07-17,1523.9,1547.0,1470.0,1540.38,3.01,10919.0,16700184.2,1,1
2025-07-16,1470.0,1554.4,1470.0,1495.41,0.08,6105.0,9169201.4,1,1
2025-07-15,1492.1,1513.9,1490.0,1494.27,-0.21,5168.0,7743339.6,-1,1
2025-07-14,1485.0,1514.7,1485.0,1497.45,-0.5,2219.0,3327419.1,-1,1
2025-07-13,1519.0,1529.0,1500.0,1504.95,1.05,5519.0,8330501.6,1,1
2025-07-10,1477.0,1505.0,1477.0,1489.38,-0.15,3329.0,4964303.7,-1,1
2025-07-09,1466.0,1503.7,1466.0,1491.68,0.7,1927.0,2873197.6,1,1
