published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-08-06,602.00,611.00,595.00,597.06,-1.23,65135.00,39199864.30,-1,1
2025-08-05,588.2,625.0,588.2,604.49,0.72,117732.0,72302022.3,1,1
2025-08-04,593.3,607.0,581.0,600.16,3.13,140029.0,83337815.2,1,1
2025-08-03,592.7,616.0,574.3,581.97,-3.77,99747.0,59354692.3,-1,1
2025-07-31,611.0,619.9,590.0,604.75,0.51,204257.0,123901028.9,1,1
2025-07-30,588.0,622.0,588.0,601.67,0.78,271064.0,164349064.7,1,1
2025-07-29,608.3,620.0,587.0,597.0,0.09,111318.0,66939958.6,1,1
2025-07-28,556.0,600.0,542.5,571.68,4.43,241865.0,138271031.4,1,1
2025-07-27,560.3,570.0,542.0,547.43,-2.25,69541.0,38661711.3,-1,1
2025-07-24,548.0,563.0,544.0,560.03,2.17,78107.0,43624814.0,1,1
2025-07-23,550.1,559.8,537.0,548.12,-0.43,56931.0,31345344.4,-1,1
2025-07-22,542.5,552.0,538.1,550.49,3.49,57994.0,31769173.7,1,1
2025-07-21,535.0,544.9,529.0,531.92,-0.65,45317.0,24351185.4,-1,1
2025-07-20,554.9,554.9,534.0,535.41,-1.6,48635.0,26399704.2,-1,1
2025-07-17,509.7,550.8,509.7,544.09,4.61,57235.0,31090356.9,1,1
2025-07-16,527.3,537.0,518.0,520.1,0.59,29724.0,15596829.4,1,1
2025-07-15,507.2,520.0,507.2,517.05,1.12,18053.0,9308569.7,1,1
2025-07-14,507.2,524.9,507.0,511.33,-1.18,26576.0,13631440.4,-1,1
2025-07-13,530.2,532.0,516.0,517.45,-1.49,20918.0,10904183.9,-1,1
2025-07-10,538.0,538.0,520.0,525.27,-0.53,27040.0,14229576.4,-1,1
2025-07-09,509.0,535.0,509.0,528.06,2.07,17958.0,9450827.0,1,1
2025-07-08,518.1,525.0,509.6,517.36,-0.85,29853.0,15466774.7,-1,1
2025-07-07,524.0,540.0,520.0,521.82,-1.85,26361.0,13918297.1,-1,1
2025-07-06,555.0,555.0,528.0,531.66,-3.28,34496.0,18586987.8,-1,1
2025-07-03,534.2,555.0,528.0,549.71,3.76,79661.0,43472455.4,1,1
2025-07-02,531.0,534.4,516.1,529.8,1.31,36359.0,19258403.2,1,1
2025-07-01,524.0,535.0,519.0,522.93,-1.09,36182.0,18980171.7,-1,1
2025-06-30,525.0,540.0,523.1,528.71,0.15,40181.0,21246011.2,1,1
2025-06-29,544.0,544.0,525.0,527.92,-1.44,43369.0,23025602.7,-1,1
2025-06-26,542.7,559.9,533.8,535.61,0.66,91199.0,49738329.8,1,1
2025-06-25,501.0,540.0,501.0,532.1,5.59,46947.0,24557367.6,1,1
2025-06-24,499.0,520.0,498.0,503.93,1.48,18853.0,9513118.5,1,1
2025-06-23,491.0,498.4,488.2,496.6,1.27,9272.0,4554990.0,1,1
2025-06-22,493.4,504.9,490.0,490.36,-2.59,19150.0,9514294.2,-1,1
